component	pass955_value_de	portable_core_de	herbal_expansion_de	bath_station_expansion_de	celestial_expansion_de	revision	one_word_core
CHK	BEHANDELN	BEHANDELN	BEHANDELN	BEHANDELN	BEHANDELN	UNCHANGED	YES
IIN	STUFE	STUFE	STUFE	STUFE	STUFE	UNCHANGED	YES
S_ADDR	STERNORT	STERNORT	STERNORT	STERNORT	STERNSTELLE	UNCHANGED	YES
SOLK	AUFFANGEN	AUFFANGEN	AUFFANGEN	AUFFANGEN	AUFFANGEN	UNCHANGED	YES
EEE	VOLL	VOLL	VOLL	VOLL	VOLL	UNCHANGED	YES
LSH	SPÜLEN	SPÜLEN	SPÜLEN	SPÜLEN	SPÜLEN	UNCHANGED	YES
LOCAL_CHAR_F	NEBENWEG	NEBENWEG	NEBENWEG	NEBENWEG	NEBENWEG	UNCHANGED	YES
CPH	UMLEITEN	UMLEITEN	UMLEITEN	UMLEITEN	UMLEITEN	UNCHANGED	YES
HO	TEILSTOFF	TEILSTOFF	TEILSTOFF	TEILSTOFF	TEILSTOFF	UNCHANGED	YES
AN	ZUSATZ	ZUSATZ	ZUSATZ	ZUSATZ	ZUSATZ	UNCHANGED	YES
G_LABEL	PRÜFEN	PRÜFEN	PRÜFEN	PRÜFEN	PRÜFEN	UNCHANGED	YES
CFH	TRENNEN	TRENNEN	TRENNEN	TRENNEN	TRENNEN	UNCHANGED	YES
LOCAL_CHAR_G	EINMAL	EINMAL	EINMAL	EINMAL	EINMAL	UNCHANGED	YES
LOCAL_CHAR_I	UNTERSTUFE	UNTERSTUFE	UNTERSTUFE	UNTERSTUFE	UNTERSTUFE	UNCHANGED	YES
OS	DAZU	DAZU	DAZU	DAZU	DAZU	UNCHANGED	YES
D_LABEL	RAND	RAND	RAND	RAND	RAND	UNCHANGED	YES
S_LABEL	RAHMEN	RAHMEN	RAHMEN	RAHMEN	RAHMEN	UNCHANGED	YES
LOCAL_CHAR_B	PAAR	PAAR	PAAR	PAAR	PAAR	UNCHANGED	YES
M_LOCAL	MITTE	MITTE	MITTE	MITTE	MITTE	UNCHANGED	YES
Z_ADDR	AUSSEN	AUSSEN	AUSSEN	AUSSEN	AUSSEN	UNCHANGED	YES
LD	BEFESTIGEN	BEFESTIGEN	BEFESTIGEN	BEFESTIGEN	BEFESTIGEN	UNCHANGED	YES
LOCAL_CHAR_J	VERBINDEN	VERBINDEN	VERBINDEN	VERBINDEN	VERBINDEN	UNCHANGED	YES
LOCAL_CHAR_Z	ZWISCHEN	ZWISCHEN	ZWISCHEN	ZWISCHEN	ZWISCHEN	UNCHANGED	YES
RESUME_CARD	WIEDER	WIEDER	WIEDER	WIEDER	WIEDER	UNCHANGED	YES
