formula_card_id	component_recipe	portable_atomic_core_de	herbal_expansion_de	bath_station_expansion_de	celestial_expansion_de	former_workshop_formula_de	attested_registers	surface_variants
F011	OT+Y	DANACH · DIES	DANACH · DIES	DANACH · DIES	DANACH · DIES	DANACH DIESER POSTEN	BIOLOGICAL|HERBAL|ZODIAC	qoty|oty|qotchy|otchey
F012	D_ADDR+AR	TEIL · QUELLE	TEIL · VORRAT	TEIL · QUELLSTATION	TEIL · BEZUGSPLATZ	AUS DEM BEZEICHNETEN TEIL	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	dar
F013	OK+AR	SETZEN · QUELLE	ANSETZEN · VORRAT	AN STATION SETZEN · QUELLSTATION	STELLE AKTIVIEREN · BEZUGSPLATZ	AUS DER QUELLE ANSETZEN	BIOLOGICAL|HERBAL|ZODIAC	okar|qokar
F014	SH+EE+Y	HALTEN · LÄNGER · DIES	HALTEN · LÄNGER · DIES	HALTEN · LÄNGER · DIES	HALTEN · LÄNGER · DIES	LAENGER HALTEN	BIOLOGICAL|PHARMA|ZODIAC	cheey|sheey
F015	L+CHD+DY	LEITEN · UMSETZEN · SCHLIESSEN	LEITEN · UMSETZEN · SCHLIESSEN	LEITEN · UMSETZEN · SCHLIESSEN	LEITEN · UMSETZEN · SCHLIESSEN	WEITER UMSETZEN; ENDE	BIOLOGICAL	lchedy
F016	OT+AR	DANACH · QUELLE	DANACH · VORRAT	DANACH · QUELLSTATION	DANACH · BEZUGSPLATZ	DANACH AUS DER QUELLE	BIOLOGICAL|HERBAL|ZODIAC	otar|qotar
F017	OK+E+Y	SETZEN · KURZ · DIES	ANSETZEN · KURZ · DIES	AN STATION SETZEN · KURZ · DIES	STELLE AKTIVIEREN · KURZ · DIES	KURZ ANSETZEN	BIOLOGICAL|ZODIAC	qokey|okey
F018	OL+DY	FORTSETZEN · SCHLIESSEN	FORTSETZEN · SCHLIESSEN	FORTSETZEN · SCHLIESSEN	FORTSETZEN · SCHLIESSEN	DAMIT FORTFAHREN; ENDE	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	oldy|qoldy
F019	CHEO+L	AUSZUG · LEITEN	AUSZUG · LEITEN	AUSZUG · LEITEN	AUSZUG · LEITEN	DEN AUSZUG WEITERFUEHREN	BIOLOGICAL|PHARMA	cheol
F020	CKH+Y	DURCHLASS · DIES	DURCHLASS · DIES	DURCHLASS · DIES	DURCHLASS · DIES	DURCH DEN DURCHLASS FUEHREN	BIOLOGICAL|HERBAL	chckhy|ckhy|qckhsy
F021	OT+E+DY	DANACH · KURZ · SCHLIESSEN	DANACH · KURZ · SCHLIESSEN	DANACH · KURZ · SCHLIESSEN	DANACH · KURZ · SCHLIESSEN	NAECHSTEN SCHRITT KURZ; ENDE	BIOLOGICAL	otedy|qotedy
F022	OT+EE+DY	DANACH · LÄNGER · SCHLIESSEN	DANACH · LÄNGER · SCHLIESSEN	DANACH · LÄNGER · SCHLIESSEN	DANACH · LÄNGER · SCHLIESSEN	NAECHSTEN SCHRITT LAENGER; ENDE	BIOLOGICAL|ZODIAC	qoteedy|oteedy
F023	OT+EE+Y	DANACH · LÄNGER · DIES	DANACH · LÄNGER · DIES	DANACH · LÄNGER · DIES	DANACH · LÄNGER · DIES	NAECHSTEN POSTEN LAENGER HALTEN	BIOLOGICAL|ZODIAC	oteey|qoteey
F024	S+AR	AUSWÄHLEN · QUELLE	AUSWÄHLEN · VORRAT	AUSWÄHLEN · QUELLSTATION	AUSWÄHLEN · BEZUGSPLATZ	QUELLE WAEHLEN	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	sar
F025	CTH+Y	BEREIT · DIES	BEREIT · DIES	BEREIT · DIES	BEREIT · DIES	BIS BEREIT FUEHREN	BIOLOGICAL|HERBAL	cthy|checthy
F026	OT+OR	DANACH · SATZ	DANACH · ANSATZ	DANACH · ARBEITSSATZ	DANACH · EINTRAGSSATZ	DER NAECHSTE ANSATZ	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	otor|qotor
F027	S+AIIN	AUSWÄHLEN · SOLLWERT	AUSWÄHLEN · SOLLMASS	AUSWÄHLEN · STATIONSWERT	AUSWÄHLEN · TAFELWERT	SOLLWERT WAEHLEN	BIOLOGICAL|PHARMA|ZODIAC	saiin|saii
F028	CH+OR	NEHMEN · SATZ	ENTNEHMEN · ANSATZ	AUS STATION NEHMEN · ARBEITSSATZ	WERT NEHMEN · EINTRAGSSATZ	VOM ANSATZ ENTNEHMEN	HERBAL|PHARMA	chor
F029	S+AIN	AUSWÄHLEN · EINHEIT	AUSWÄHLEN · PORTION	AUSWÄHLEN · TEILMENGE	AUSWÄHLEN · INDEX	EINHEIT WAEHLEN	BIOLOGICAL|ZODIAC	sain
F030	CHK+E+Y	BEHANDELN · KURZ · DIES	BEHANDELN · KURZ · DIES	BEHANDELN · KURZ · DIES	BEHANDELN · KURZ · DIES	KURZ BEHANDELN	BIOLOGICAL|HERBAL|ZODIAC	cheky|chekey
F031	S+AL	AUSWÄHLEN · ZIEL	AUSWÄHLEN · ZIELSTELLE	AUSWÄHLEN · ZIELSTATION	AUSWÄHLEN · ZIELPLATZ	ZIELSTELLE WAEHLEN	BIOLOGICAL|ZODIAC	sal
F032	SH+EE+DY	HALTEN · LÄNGER · SCHLIESSEN	HALTEN · LÄNGER · SCHLIESSEN	HALTEN · LÄNGER · SCHLIESSEN	HALTEN · LÄNGER · SCHLIESSEN	LAENGER HALTEN; ENDE	BIOLOGICAL	sheedy
F033	SH+OL	HALTEN · FORTSETZEN	HALTEN · FORTSETZEN	HALTEN · FORTSETZEN	HALTEN · FORTSETZEN	WEITER HALTEN	BIOLOGICAL|HERBAL|ZODIAC	shol
F034	CHEO+R	AUSZUG · MARKIEREN	AUSZUG · MARKIEREN	AUSZUG · MARKIEREN	AUSZUG · MARKIEREN	AUSZUG MARKIEREN	BIOLOGICAL|PHARMA|ZODIAC	cheor
F035	OK+OL	SETZEN · FORTSETZEN	ANSETZEN · FORTSETZEN	AN STATION SETZEN · FORTSETZEN	STELLE AKTIVIEREN · FORTSETZEN	ANSETZEN UND WEITERFÜHREN	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	qokol|okol|chokchol|chokol|okchol|qokchol
F036	OL+Y	FORTSETZEN · DIES	FORTSETZEN · DIES	FORTSETZEN · DIES	FORTSETZEN · DIES	MIT DIESEM POSTEN WEITER	BIOLOGICAL|HERBAL|ZODIAC	oly|olchey|choly|qoly|qolchey
F037	OK+CHD+DY	SETZEN · UMSETZEN · SCHLIESSEN	ANSETZEN · UMSETZEN · SCHLIESSEN	AN STATION SETZEN · UMSETZEN · SCHLIESSEN	STELLE AKTIVIEREN · UMSETZEN · SCHLIESSEN	ANSETZEN, UMSETZEN; ENDE	BIOLOGICAL|ZODIAC	qokchdy|okchdy|okchedy
F038	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLIESSEN	FORTSETZEN · UMSETZEN · SCHLIESSEN	FORTSETZEN · UMSETZEN · SCHLIESSEN	FORTSETZEN · UMSETZEN · SCHLIESSEN	WEITER UMSETZEN; ENDE	BIOLOGICAL	olchedy|qolchedy
F039	OT+AL	DANACH · ZIEL	DANACH · ZIELSTELLE	DANACH · ZIELSTATION	DANACH · ZIELPLATZ	ZUR NÄCHSTEN STELLE	BIOLOGICAL|ZODIAC	otal|qotal
F040	D_ADDR+OL	TEIL · FORTSETZEN	TEIL · FORTSETZEN	TEIL · FORTSETZEN	TEIL · FORTSETZEN	DEN BEZEICHNETEN TEIL WEITERFÜHREN	BIOLOGICAL|HERBAL|PHARMA	dol|dchol
F041	LSH+E+DY	SPÜLEN · KURZ · SCHLIESSEN	SPÜLEN · KURZ · SCHLIESSEN	SPÜLEN · KURZ · SCHLIESSEN	SPÜLEN · KURZ · SCHLIESSEN	KURZ SPÜLEN; ENDE	BIOLOGICAL	lshedy
F042	SH+E+DY	HALTEN · KURZ · SCHLIESSEN	HALTEN · KURZ · SCHLIESSEN	HALTEN · KURZ · SCHLIESSEN	HALTEN · KURZ · SCHLIESSEN	KURZ HALTEN; ENDE	BIOLOGICAL	dshedy
F043	SH+E+OL	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	HALTEN · KURZ · FORTSETZEN	KURZ HALTEN UND WEITERFÜHREN	BIOLOGICAL|PHARMA	sheol|dsheol
F044	CHK+EE+Y	BEHANDELN · LÄNGER · DIES	BEHANDELN · LÄNGER · DIES	BEHANDELN · LÄNGER · DIES	BEHANDELN · LÄNGER · DIES	DIESEN POSTEN LÄNGER BEHANDELN	BIOLOGICAL|HERBAL	cheeky|chkeey
F045	D_ADDR+OR	TEIL · SATZ	TEIL · ANSATZ	TEIL · ARBEITSSATZ	TEIL · EINTRAGSSATZ	BEZEICHNETER TEILANSATZ	BIOLOGICAL|HERBAL	dor
F046	K+AR	GEBEN · QUELLE	ZUGEBEN · VORRAT	IN STATION GEBEN · QUELLSTATION	WERT ZUORDNEN · BEZUGSPLATZ	VON DER ENTNAHMESTELLE ZUGEBEN	BIOLOGICAL|HERBAL	kar|skar
F047	K+OL	GEBEN · FORTSETZEN	ZUGEBEN · FORTSETZEN	IN STATION GEBEN · FORTSETZEN	WERT ZUORDNEN · FORTSETZEN	WEITER ZUGEBEN	BIOLOGICAL|HERBAL	kchol|kol
F048	S+OR	AUSWÄHLEN · SATZ	AUSWÄHLEN · ANSATZ	AUSWÄHLEN · ARBEITSSATZ	AUSWÄHLEN · EINTRAGSSATZ	ZUBEREITUNGSVARIANTE	BIOLOGICAL|HERBAL|ZODIAC	sor
F049	SOLK+EE+DY	AUFFANGEN · LÄNGER · SCHLIESSEN	AUFFANGEN · LÄNGER · SCHLIESSEN	AUFFANGEN · LÄNGER · SCHLIESSEN	AUFFANGEN · LÄNGER · SCHLIESSEN	LÄNGER AUFFANGEN; ENDE	BIOLOGICAL	olkeedy
F050	SOLK+EE+Y	AUFFANGEN · LÄNGER · DIES	AUFFANGEN · LÄNGER · DIES	AUFFANGEN · LÄNGER · DIES	AUFFANGEN · LÄNGER · DIES	DIESEN POSTEN LÄNGER AUFFANGEN	BIOLOGICAL|PHARMA	olkeey|solkeey
F051	OK+SH+E+DY	SETZEN · HALTEN · KURZ · SCHLIESSEN	ANSETZEN · HALTEN · KURZ · SCHLIESSEN	AN STATION SETZEN · HALTEN · KURZ · SCHLIESSEN	STELLE AKTIVIEREN · HALTEN · KURZ · SCHLIESSEN	ANSETZEN, KURZ HALTEN; ENDE	BIOLOGICAL	qokshedy|okshedy
F052	P+CHD+DY	EINSETZEN · UMSETZEN · SCHLIESSEN	EINSETZEN · UMSETZEN · SCHLIESSEN	EINSETZEN · UMSETZEN · SCHLIESSEN	EINSETZEN · UMSETZEN · SCHLIESSEN	EINSETZEN, UMSETZEN; ENDE	BIOLOGICAL	pchedy
F053	Y+T+Y	DIES · EINSTELLEN · DIES	DIES · EINSTELLEN · DIES	DIES · EINSTELLEN · DIES	DIES · EINSTELLEN · DIES	DIESEN POSTEN EINSTELLEN	HERBAL	ytchy|yty|ytshy
F054	O+CKH+E+Y	AUSFÜHREN · DURCHLASS · KURZ · DIES	AUSFÜHREN · DURCHLASS · KURZ · DIES	AUSFÜHREN · DURCHLASS · KURZ · DIES	AUSFÜHREN · DURCHLASS · KURZ · DIES	DIESEN POSTEN KURZ DURCHFÜHREN	BIOLOGICAL|PHARMA	qockhey|ockhey
F055	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	FORTSETZEN · HALTEN · KURZ · SCHLIESSEN	WEITER KURZ HALTEN; ENDE	BIOLOGICAL	olshedy|solshedy
F056	OT+CH+OL	DANACH · NEHMEN · FORTSETZEN	DANACH · ENTNEHMEN · FORTSETZEN	DANACH · AUS STATION NEHMEN · FORTSETZEN	DANACH · WERT NEHMEN · FORTSETZEN	DANACH TEIL ENTNEHMEN UND WEITER	HERBAL|PHARMA	otchol|qotchol
F057	T+CHD+Y	EINSTELLEN · UMSETZEN · DIES	EINSTELLEN · UMSETZEN · DIES	EINSTELLEN · UMSETZEN · DIES	EINSTELLEN · UMSETZEN · DIES	DIESEN POSTEN UMSTELLEN	BIOLOGICAL	tchedy
F058	CH+E+CKH+Y	NEHMEN · KURZ · DURCHLASS · DIES	ENTNEHMEN · KURZ · DURCHLASS · DIES	AUS STATION NEHMEN · KURZ · DURCHLASS · DIES	WERT NEHMEN · KURZ · DURCHLASS · DIES	DIESEN TEIL KURZ DURCHFÜHREN	BIOLOGICAL	checkhy
F059	CH+O+D_ADDR+Y	NEHMEN · AUSFÜHREN · TEIL · DIES	ENTNEHMEN · AUSFÜHREN · TEIL · DIES	AUS STATION NEHMEN · AUSFÜHREN · TEIL · DIES	WERT NEHMEN · AUSFÜHREN · TEIL · DIES	DEN BEZEICHNETEN TEIL BEARBEITEN	HERBAL|PHARMA	chody
F060	CH+O+S	NEHMEN · AUSFÜHREN · AUSWÄHLEN	ENTNEHMEN · AUSFÜHREN · AUSWÄHLEN	AUS STATION NEHMEN · AUSFÜHREN · AUSWÄHLEN	WERT NEHMEN · AUSFÜHREN · AUSWÄHLEN	TEIL BEARBEITEN UND VARIANTE WÄHLEN	HERBAL|ZODIAC	chos
F061	D_ADDR+CHD+Y	TEIL · UMSETZEN · DIES	TEIL · UMSETZEN · DIES	TEIL · UMSETZEN · DIES	TEIL · UMSETZEN · DIES	DEN BEZEICHNETEN TEIL UMSETZEN	BIOLOGICAL	dchedy
F062	L+K+E+DY	LEITEN · GEBEN · KURZ · SCHLIESSEN	LEITEN · ZUGEBEN · KURZ · SCHLIESSEN	LEITEN · IN STATION GEBEN · KURZ · SCHLIESSEN	LEITEN · WERT ZUORDNEN · KURZ · SCHLIESSEN	AM WEG KURZ ZUGEBEN; ENDE	BIOLOGICAL	lkedy
F063	OT+CH+OR	DANACH · NEHMEN · SATZ	DANACH · ENTNEHMEN · ANSATZ	DANACH · AUS STATION NEHMEN · ARBEITSSATZ	DANACH · WERT NEHMEN · EINTRAGSSATZ	DANACH TEIL FÜR DEN ANSATZ ENTNEHMEN	HERBAL	otchor|qotchor
F064	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	HALTEN · DURCHLASS · KURZ · SCHLIESSEN	KURZ IM DURCHLASS HALTEN; ENDE	BIOLOGICAL	shckhedy
F065	Y+K+EE+Y	DIES · GEBEN · LÄNGER · DIES	DIES · ZUGEBEN · LÄNGER · DIES	DIES · IN STATION GEBEN · LÄNGER · DIES	DIES · WERT ZUORDNEN · LÄNGER · DIES	DIESEN POSTEN LÄNGER ZUGEBEN	BIOLOGICAL|ZODIAC	ykeey
F066	Y+K+OR	DIES · GEBEN · SATZ	DIES · ZUGEBEN · ANSATZ	DIES · IN STATION GEBEN · ARBEITSSATZ	DIES · WERT ZUORDNEN · EINTRAGSSATZ	DIESEN POSTEN DEM ANSATZ ZUGEBEN	HERBAL|ZODIAC	ykor
