record	at	word	M_class	parts	target	M_reading	W_reading	row_status
f21r	f21r.8:4	sheol	OPEN			⟦sheol⟧	⟦sheol⟧	recorded
f21r	f21r.8:5	ocphal	OPEN			⟦ocphal⟧	⟦ocphal⟧	recorded
f21r	f21r.8:6	opsheas	OPEN			⟦opsheas⟧	⟦opsheas⟧	recorded
f21r	f21r.8:7	cthodaiin	OPEN			⟦cthodaiin⟧	⟦cthodaiin⟧	recorded
f21r	f21r.8:8	oty	OPEN			⟦oty⟧	⟦oty⟧	recorded
f21r	f21r.9:1	okaiin	TECH			Ansatz	Ansatz	recorded
f21r	f21r.9:2	sho	OPEN			⟦sho⟧	⟦sho⟧	recorded
f21r	f21r.9:3	tshaiin	OPEN			⟦tshaiin⟧	⟦tshaiin⟧	recorded
f21r	f21r.9:4	chkaiin	OPEN			⟦chkaiin⟧	⟦chkaiin⟧	recorded
f21r	f21r.9:5	sh	OPEN			⟦sh⟧	⟦sh⟧	recorded
f21r	f21r.9:6	cthey	OPEN			⟦cthey⟧	⟦cthey⟧	recorded
f21r	f21r.9:7	cthody	OPEN			⟦cthody⟧	⟦cthody⟧	recorded
f21r	f21r.9:8	cthy	TECH			Kraut	Kraut	recorded
f21r	f21r.9:9	s	GRAMMAR	s	et	und	und	recorded
f21r	f21r.10:1	totchy	OPEN			⟦totchy⟧	⟦totchy⟧	recorded
f21r	f21r.10:2	keor	OPEN			⟦keor⟧	⟦keor⟧	recorded
f21r	f21r.10:3	chy	TECH			Wasser	Wasser	recorded
f21r	f21r.10:4	ky	OPEN			⟦ky⟧	⟦ky⟧	recorded
f21r	f21r.10:5	qotaiin	TECH			Portion	Portion	recorded
f21r	f21r.10:6	qotchol	OPEN			⟦qotchol⟧	⟦qotchol⟧	recorded
f21r	f21r.10:7	ty	OPEN			⟦ty⟧	⟦ty⟧	recorded
f21r	f21r.10:8	ctheey	OPEN			⟦ctheey⟧	⟦ctheey⟧	recorded
f21r	f21r.10:9	otaiin	OPEN			⟦otaiin⟧	⟦otaiin⟧	recorded
f21r	f21r.11:1	shol	OPEN			⟦shol⟧	⟦shol⟧	recorded
f21r	f21r.11:2	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f21r	f21r.11:3	shol	OPEN			⟦shol⟧	⟦shol⟧	recorded
f21r	f21r.11:4	tchol	OPEN			⟦tchol⟧	⟦tchol⟧	recorded
f21r	f21r.11:5	chcthy	OPEN			⟦chcthy⟧	⟦chcthy⟧	recorded
f21r	f21r.11:6	otyky	OPEN			⟦otyky⟧	⟦otyky⟧	recorded
f21r	f21r.11:7	shey	OPEN			⟦shey⟧	⟦shey⟧	recorded
f21r	f21r.11:8	yteol	OPEN			⟦yteol⟧	⟦yteol⟧	recorded
f21r	f21r.11:9	shody	OPEN			⟦shody⟧	⟦shody⟧	recorded
f21r	f21r.12:1	ykeey	OPEN			⟦ykeey⟧	⟦ykeey⟧	recorded
f21r	f21r.12:2	chor	TECH			Blüte	Blüte	recorded
f21r	f21r.12:3	sheey	OPEN			⟦sheey⟧	⟦sheey⟧	recorded
f21r	f21r.12:4	ysheol	OPEN			⟦ysheol⟧	⟦ysheol⟧	recorded
f21r	f21r.12:5	chor	TECH			Blüte	Blüte	recorded
f21r	f21r.12:6	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f21r	f21r.12:7	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f21r	f21r.12:8	chkaiin	OPEN			⟦chkaiin⟧	⟦chkaiin⟧	recorded
f32v	f32v.7:1	ksho	OPEN			⟦ksho⟧	⟦ksho⟧	recorded
f32v	f32v.7:2	cphos	OPEN			⟦cphos⟧	⟦cphos⟧	recorded
f32v	f32v.7:3	she	OPEN			⟦she⟧	⟦she⟧	recorded
f32v	f32v.7:4	sheaiin	OPEN			⟦sheaiin⟧	⟦sheaiin⟧	recorded
f32v	f32v.7:5	otshcho	OPEN			⟦otshcho⟧	⟦otshcho⟧	recorded
f32v	f32v.7:6	r	OPEN			⟦r⟧	⟦r⟧	recorded
f32v	f32v.7:7	dain	GRAMMAR	d+ain	da	gib	gib	recorded
f32v	f32v.7:8	shckhy	OPEN			⟦shckhy⟧	⟦shckhy⟧	recorded
f32v	f32v.7:9	s	GRAMMAR	s	et	und	und	recorded
f32v	f32v.7:10	odan	OPEN			⟦odan⟧	⟦odan⟧	recorded
f32v	f32v.8:1	otchol	OPEN			⟦otchol⟧	⟦otchol⟧	recorded
f32v	f32v.8:2	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f32v	f32v.8:3	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f32v	f32v.8:4	ctho	TECH			Stängel	Stängel	recorded
f32v	f32v.8:5	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f32v	f32v.8:6	qotaiin	TECH			Portion	Portion	recorded
f32v	f32v.8:7	otchy	OPEN			⟦otchy⟧	⟦otchy⟧	recorded
f32v	f32v.8:8	d	TRANSLITERATED_UNREAD	d	d	⟦Zielstring d ungelesen⟧	⟦d⟧	recorded
f32v	f32v.8:9	shan	OPEN			⟦shan⟧	⟦shan⟧	recorded
f32v	f32v.9:1	qotchy	OPEN			⟦qotchy⟧	⟦qotchy⟧	recorded
f32v	f32v.9:2	cfhy	OPEN			⟦cfhy⟧	⟦cfhy⟧	recorded
f32v	f32v.9:3	skey	OPEN			⟦skey⟧	⟦skey⟧	recorded
f32v	f32v.9:4	chocthy	TECH			Mark	Mark	recorded
f32v	f32v.9:5	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f32v	f32v.9:6	cthaiin	TECH			Knospe	Knospe	recorded
f32v	f32v.9:7	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f32v	f32v.10:1	sho	OPEN			⟦sho⟧	⟦sho⟧	recorded
f32v	f32v.10:2	keol	TECH			Öl	Öl	recorded
f32v	f32v.10:3	chor	TECH			Blüte	Blüte	recorded
f32v	f32v.10:4	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f32v	f32v.10:5	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f32v	f32v.10:6	cpho	OPEN			⟦cpho⟧	⟦cpho⟧	recorded
f32v	f32v.10:7	l	OPEN			⟦l⟧	⟦l⟧	recorded
f32v	f32v.10:8	cthol	OPEN			⟦cthol⟧	⟦cthol⟧	recorded
f32v	f32v.10:9	da	OPEN			⟦da⟧	⟦da⟧	recorded
f32v	f32v.10:10	ar	GRAMMAR	ar	ad	zu	zu	recorded
f32v	f32v.11:1	ol	GRAMMAR	ol	in	in	in	recorded
f32v	f32v.11:2	sho	OPEN			⟦sho⟧	⟦sho⟧	recorded
f32v	f32v.11:3	chy	TECH			Wasser	Wasser	recorded
f29v	f29v.1:1	kooiin	OPEN			⟦kooiin⟧	⟦kooiin⟧	recorded
f29v	f29v.1:2	shor	TECH			Frucht	Frucht	recorded
f29v	f29v.1:3	chetchy	OPEN			⟦chetchy⟧	⟦chetchy⟧	recorded
f29v	f29v.1:4	ol	GRAMMAR	ol	in	in	in	recorded
f29v	f29v.1:5	ls	OPEN			⟦ls⟧	⟦ls⟧	recorded
f29v	f29v.1:6	shytchy	OPEN			⟦shytchy⟧	⟦shytchy⟧	recorded
f29v	f29v.1:7	cthy	TECH			Kraut	Kraut	recorded
f29v	f29v.1:8	shy	OPEN			⟦shy⟧	⟦shy⟧	recorded
f29v	f29v.1:9	cho	OPEN			⟦cho⟧	⟦cho⟧	recorded
f29v	f29v.1:10	shy	OPEN			⟦shy⟧	⟦shy⟧	recorded
f29v	f29v.1:11	daiin	GRAMMAR	d+aiin	de	von/aus	von/aus	recorded
f29v	f29v.2:1	qotcheaiin	OPEN			⟦qotcheaiin⟧	⟦qotcheaiin⟧	recorded
f29v	f29v.2:2	s	GRAMMAR	s	et	und	und	recorded
f29v	f29v.2:3	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f29v	f29v.2:4	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f29v	f29v.2:5	cthy	TECH			Kraut	Kraut	recorded
f29v	f29v.2:6	chey	OPEN			⟦chey⟧	⟦chey⟧	recorded
f29v	f29v.2:7	cthold	OPEN			⟦cthold⟧	⟦cthold⟧	recorded
f29v	f29v.2:8	ytchor	OPEN			⟦ytchor⟧	⟦ytchor⟧	recorded
f29v	f29v.2:9	dary	OPEN			⟦dary⟧	⟦dary⟧	recorded
f29v	f29v.3:1	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f29v	f29v.3:2	chol	OPEN			⟦chol⟧	⟦chol⟧	recorded
f29v	f29v.3:3	kor	OPEN			⟦kor⟧	⟦kor⟧	recorded
f29v	f29v.3:4	shey	OPEN			⟦shey⟧	⟦shey⟧	recorded
f29v	f29v.3:5	odaiin	OPEN			⟦odaiin⟧	⟦odaiin⟧	recorded
f29v	f29v.3:6	qotchy	OPEN			⟦qotchy⟧	⟦qotchy⟧	recorded
f29v	f29v.3:7	taiin	OPEN			⟦taiin⟧	⟦taiin⟧	recorded
f29v	f29v.3:8	s	GRAMMAR	s	et	und	und	recorded
f29v	f29v.3:9	she	OPEN			⟦she⟧	⟦she⟧	recorded
f29v	f29v.3:10	otey	OPEN			⟦otey⟧	⟦otey⟧	recorded
f29v	f29v.3:11	sy	OPEN			⟦sy⟧	⟦sy⟧	recorded
f29v	f29v.4:1	ysho	OPEN			⟦ysho⟧	⟦ysho⟧	recorded
f29v	f29v.4:2	otshy	OPEN			⟦otshy⟧	⟦otshy⟧	recorded
f29v	f29v.4:3	okaiin	TECH			Ansatz	Ansatz	recorded
f29v	f29v.4:4	cthy	TECH			Kraut	Kraut	recorded
f29v	f29v.4:5	oltchy	OPEN			⟦oltchy⟧	⟦oltchy⟧	recorded
f29v	f29v.4:6	s	GRAMMAR	s	et	und	und	recorded
f29v	f29v.4:7	shot	OPEN			⟦shot⟧	⟦shot⟧	recorded
f29v	f29v.4:8	sho	OPEN			⟦sho⟧	⟦sho⟧	recorded
f29v	f29v.4:9	okaiin	TECH			Ansatz	Ansatz	recorded
