statement_id	record_unit_id	page	event_ids	surface_sequence	atomic_sequence	owner_sequence	owner_segment_count	fluent_station_translation_de	global_flow_claim
B1-S012	B1	f81v	E141|E142|E143	lsho qokey lshedy	Waschgang → Kurzkontakt → Waschgang	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus.	NONE
B1-S013	B1	f81v	E144	lshedy	Waschgang	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus.	NONE
B1-S014	B1	f81v	E145|E146|E147|E148|E149	chedy qolky lchedal qol otar	Umsetzen → Weiterweg → Zielabführung → Fortsetzung → Folgequelle	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe auf dem Weg weiter; dann führe ihn am Ziel ab; dann führe den laufenden Gang fort; dann wechsle zur folgenden Quelle.	NONE
B1-S015	B1	f81v	E150|E151	ytey okchedy	Kurzteil → Rücktransfer	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Nimm einen kleinen Teil; dann führe den vorigen Posten über.	NONE
B1-S016	B1	f81v	E152|E153|E154|E155	qokal okeey qol cheedy	Zieleinsatz → Langkontakt → Fortsetzung → Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze an der Zielstelle ein; dann lass ihn länger einwirken; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NONE
B1-S017	B1	f81v	E156|E157|E158	sal teol dchdy	Stelle → Kurzfortgang → Transfer	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle; dann führe ihn kurz weiter; dann führe ihn über.	NONE
B1-S018	B1	f81v	E159|E160|E161|E162	ly dsheol oiiin olkeedy	Auffanggefäß → Kurzhalt → Arbeitsstufe → Langsammlung	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Auffanggefäß bereit; dann halte ihn kurz; dann stelle die Arbeitsstufe ein; dann sammle ihn lange.	NONE
B1-S019	B1	f81v	E163	tedy	Kurzabsetzung	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz absetzen.	NONE
B1-S020	B1	f81v	E164|E165	cheky shckhedy	Kurzwärme → durchlassen	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Wärme ihn kurz; dann lass ihn hindurch.	NONE
B1-S021	B1	f81v	E166	chal	Stelle	B1_SHARED_TWO_ROW_POOL	1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Binde die bezeichnete Stelle.	NONE
B2-S001	B2	f82r	E167	dchedy	überführen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe den Posten über.	NONE
B2-S002	B2	f82r	E168	qolchedy	weiterführen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn weiter.	NONE
B2-S003	B2	f82r	E169|E170|E171	qokain dy qokeedy	Zugabe → Diesposten → Langkontakt	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	Bei PAARBECKEN_MIT_MITTELZYLINDER: Gib einen Anteil zu; dann halte diesen Posten aktiv; dann lass ihn lange einwirken.	NONE
B2-S004	B2	f82r	E172|E173|E174|E175|E176	qokal lcheckhy lched qokeey lcheckhedy	Zieleinsatz → Abführpassage → Abführung → Langkontakt → Trennabzug	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann führe ihn durch die Abführpassage; dann führe ihn ab; dann lass ihn länger einwirken; dann ziehe die getrennte Fraktion ab.	NONE
B2-S005	B2	f82r	E177|E178|E179|E180|E181|E182|E183|E184	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	Zieleinsatz → Sollsammlung → durchleiten → Sollstellung → Sollstellung → Folgevorbereitung → Langwärmen → abziehen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	Bei PAARBECKEN_MIT_MITTELZYLINDER: Setze an der Zielstelle ein; dann sammle ihn bis zur Sollmenge; dann leite den Posten hindurch; dann stelle das Sollmaß ein; dann stelle das Sollmaß ein; dann setze den nächsten Durchgang an; dann wärme ihn lange; dann ziehe ihn ab.	NONE
B2-S006	B2	f82r	E185|E186|E187|E188	oteey qokal sheckhy qoky	Langfolge → Zieleinsatz → Kurzpassage → Einsetzen	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	1	Bei PAARBECKEN_MIT_MITTELZYLINDER: Führe ihn länger im Folgegang weiter; dann setze an der Zielstelle ein; dann führe ihn kurz hindurch; dann setze den Posten ein.	NONE
B2-S007	B2	f82r	E189	dshedy	Vorabsetzschluss	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	1	Bei ZWISCHENGERAET_MIT_KNOTEN: Setze den vorigen Posten ab und schließe.	NONE
B2-S008	B2	f82r	E190|E191|E192	sotaiin qokar shedy	Folgemaß → Quelleinsatz → Kurzabsetzung	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	1	Bei ZWISCHENGERAET_MIT_KNOTEN: Arbeite danach nach dem nächsten Maß; dann setze den Quellposten ein; dann lass ihn kurz absetzen.	NONE
B2-S009	B2	f82r	E193	solshedy	Folgeabsetzen	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	1	Bei ZWISCHENGERAET_MIT_KNOTEN: Lass danach den nächsten Posten absetzen.	NONE
B2-S010	B2	f82r	E194|E195|E196|E197	qokeey qoky ls cheey	Langkontakt → Einsetzen → Auslass → Klarauszug	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	1	Bei ZWISCHENGERAET_MIT_KNOTEN: Lass ihn länger einwirken; dann setze den Posten ein; dann führe zum Auslass; dann nimm den Klarauszug.	NONE
B2-S011	B2	f82r	E198|E199|E200|E201	okain char okain qokeedy	Zugabe → Quelle → Zugabe → Langkontakt	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	1	Bei AMBIGUER_RECHTER_POSTEN: Gib einen Anteil zu; dann nimm aus der bezeichneten Quelle; dann gib einen Anteil zu; dann lass ihn lange einwirken.	NONE
B2-S012	B2	f82r	E202|E203|E204|E205|E206|E207|E208|E209	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Abführgut → Klarauszug → Kurzvorbereitung → Langkontakt → Klarabzug → Sollmaß → Diesposten → Volleinsatz	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION|B2_LOWER_GREEN_MULTI_FIGURE_POOL	2	Bei AMBIGUER_RECHTER_POSTEN: Nimm das abzuführende Gut. Neuer lokaler Posten: Bei MEHRPLATZ_BADBECKEN: Nimm den Klarauszug; dann bereite ihn kurz vor; dann lass ihn länger einwirken; dann ziehe den klaren Anteil ab; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann setze ihn vollständig ein.	NONE
B2-S013	B2	f82r	E210	lchedy	abführen	B2_LOWER_GREEN_MULTI_FIGURE_POOL	1	Bei MEHRPLATZ_BADBECKEN: Führe ihn ab.	NONE
B2-S014	B2	f82r	E211	lar	Quellabzug	B2_LOWER_GREEN_MULTI_FIGURE_POOL	1	Bei MEHRPLATZ_BADBECKEN: Ziehe ihn aus der Quelle ab.	NONE
B2-S015	B2	f82r	E212|E213	tshey qokeedy	Folgeklarlauf → Langkontakt	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Nimm danach den klaren Ablauf; dann lass ihn lange einwirken.	NONE
B2-S016	B2	f82r	E214|E215|E216|E217|E218|E219|E220|E221	cheal lchedar ches aiin oteey qokaiin okey pchedy	Stelle → Quellabführung → teilen → Sollmaß → Langfolge → Sollstellung → Kurzkontakt → Zuführung	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Binde die bezeichnete Stelle; dann führe ihn von der Quelle ab; dann teile den Posten; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn länger im Folgegang weiter; dann stelle das Sollmaß ein; dann lass ihn kurz einwirken; dann führe ihn zu.	NONE
B2-S017	B2	f82r	E222|E223	rsheal daldy	Zielkurzhalt → Zielschluss	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Halte den zugeführten Posten kurz am Ziel; dann schließe den Schritt am Ziel ab.	NONE
B2-S018	B2	f82r	E224	qokeedy	Langkontakt	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Lass ihn lange einwirken.	NONE
B2-S019	B2	f82r	E225	rshedy	Absetzschluss	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Setze ab und schließe.	NONE
B2-S020	B2	f82r	E226	qoteedy	Langfolgestufe	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Führe die lange Folgestufe aus.	NONE
B2-S021	B2	f82r	E227	qokeedy	Langkontakt	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Lass ihn lange einwirken.	NONE
B2-S022	B2	f82r	E228	lochedy	Abführung	B2_LOWER_POOL_EDGE_STATIONS	1	Bei RAND_ZUFUEHR_ABFUEHRSTATIONEN: Führe ihn ab.	NONE
B3-S001	B3	f83r	E229	olkeedy	Langsammlung	B3_UPPER_MARGIN_OPEN_FAN_STATION	1	Bei OFFENER_FAECHERZULAUF: Sammle ihn lange.	NONE
B3-S002	B3	f83r	E230|E231	qotal chkeedy	Folgeziel → Langwärmen	B3_UPPER_MARGIN_OPEN_FAN_STATION	1	Bei OFFENER_FAECHERZULAUF: Führe ihn danach dorthin; dann wärme ihn lange.	NONE
B3-S003	B3	f83r	E232|E233|E234|E235	chey daiin chey lchedy	Diesposten → Sollmaß → Diesposten → abführen	B3_UPPER_MARGIN_OPEN_FAN_STATION	1	Bei OFFENER_FAECHERZULAUF: Halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann halte diesen Posten aktiv; dann führe ihn ab.	NONE
B3-S004	B3	f83r	E236|E237|E238	qokaiin qotal dar	Sollstellung → Folgeziel → Quelle	B3_UPPER_MARGIN_OPEN_FAN_STATION	1	Bei OFFENER_FAECHERZULAUF: Stelle das Sollmaß ein; dann führe ihn danach dorthin; dann nimm aus der bezeichneten Quelle.	NONE
B3-S005	B3	f83r	E239	schedy	überführen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	Bei RUNDE_ZWISCHENSTATION: Führe den Posten über.	NONE
B3-S006	B3	f83r	E240|E241|E242	chedchy qokal olchedy	Postentransfer → Zieleinsatz → weiterführen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	Bei RUNDE_ZWISCHENSTATION: Führe den aktuellen Posten über; dann setze an der Zielstelle ein; dann führe ihn weiter.	NONE
B3-S007	B3	f83r	E243|E244|E245	qokaiin chedy qokeedy	Sollstellung → Umsetzen → Langkontakt	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	Bei RUNDE_ZWISCHENSTATION: Stelle das Sollmaß ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken.	NONE
B3-S008	B3	f83r	E246	lchedy	abführen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	Bei RUNDE_ZWISCHENSTATION: Führe ihn ab.	NONE
B3-S009	B3	f83r	E247	qoky	Einsetzen	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	1	Bei RUNDE_ZWISCHENSTATION: Setze den Posten ein.	NONE
B3-S010	B3	f83r	E248|E249	pchedal otedy	Zielzuführung → Kurzfolge	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	Bei KORB_SAMMELGEFAESS: Führe ihn dem Ziel zu; dann führe ihn kurz zum Folgeschritt weiter.	NONE
B3-S011	B3	f83r	E250|E251|E252|E253	shecthedchy qoky chedy chary	Vorbereitungstransfer → Einsetzen → Umsetzen → Quellposten	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	Bei KORB_SAMMELGEFAESS: Führe die vorbereitete Portion über; dann setze den Posten ein; dann setze den laufenden Posten um; dann nimm den Posten aus der Quelle.	NONE
B3-S012	B3	f83r	E254|E255	sor shedy	Ansatz → Kurzabsetzung	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	Bei KORB_SAMMELGEFAESS: Verwende den Ansatz; dann lass ihn kurz absetzen.	NONE
B3-S013	B3	f83r	E256|E257|E258|E259	qokaiin chkain shcthey qokedy	Sollstellung → Portion → Kurzvorbereitung → Kurzkontakt	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	Bei KORB_SAMMELGEFAESS: Stelle das Sollmaß ein; dann nimm eine Portion; dann bereite ihn kurz vor; dann lass ihn kurz einwirken.	NONE
B3-S014	B3	f83r	E260|E261	okair sheedy	Laufeinsatz → Langabsetzen	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	Bei KORB_SAMMELGEFAESS: Setze ihn in den Lauf ein; dann lass ihn lange absetzen.	NONE
B3-S015	B3	f83r	E262	lchedy	abführen	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	1	Bei KORB_SAMMELGEFAESS: Führe ihn ab.	NONE
B3-S016	B3	f83r	E263|E264	lo qokchedy	Abzug → Rücktransfer	B3_LOWER_MARGIN_BASKET_VESSEL_STATION|B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	2	Bei KORB_SAMMELGEFAESS: Ziehe ihn ab. Neuer lokaler Posten: Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe den vorigen Posten über.	NONE
B3-S017	B3	f83r	E265	qokeedy	Langkontakt	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Lass ihn lange einwirken.	NONE
B3-S018	B3	f83r	E266	shedy	Kurzabsetzung	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Lass ihn kurz absetzen.	NONE
B3-S019	B3	f83r	E267	qokshedy	Einsatzabsetzen	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Lass ihn nach dem Einsatz absetzen.	NONE
B3-S020	B3	f83r	E268|E269	dal lchedy	Stelle → abführen	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Binde die bezeichnete Stelle; dann führe ihn ab.	NONE
B3-S021	B3	f83r	E270|E271|E272|E273|E274|E275|E276|E277|E278|E279|E280	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Sollstellung → Bereit → Stelle → Diesposten → Sollmaß → Zielabsetzung → Kurzvorbereitung → Diesposten → Stelle → Bereit → Zieltransfer	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Stelle das Sollmaß ein; dann halte den Posten bereit; dann binde die bezeichnete Stelle; dann halte diesen Posten aktiv; dann arbeite nach dem vorgeschriebenen Maß; dann lass ihn am Ziel absetzen; dann bereite ihn kurz vor; dann halte diesen Posten aktiv; dann binde die bezeichnete Stelle; dann halte den Posten bereit; dann führe ihn zum Ziel über.	NONE
B3-S022	B3	f83r	E281	qotchedy	Folgetransfer	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe danach den nächsten Posten über.	NONE
B3-S023	B3	f83r	E282	lchedy	abführen	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe ihn ab.	NONE
B3-S024	B3	f83r	E283	tchedy	überführen	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe den Posten über.	NONE
B3-S025	B3	f83r	E284	qokchdy	Neueinsatz	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	1	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Setze einen neuen Posten ein.	NONE
B3-S026	B3	f83r	E285|E286|E287|E288|E289|E290|E291	cheedar chldaiin chedy qokain checthy chealror solkeedy	Quelltransfer → Sollabsetzung → Umsetzen → Zugabe → Bereit → Zielbereitung → Langsammlung	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED|B3_MAIN_ARCH_LINKED_PAIR	2	Bei UNVERBUNDENER_UEBERGABEPOSTEN: Führe ihn von der Quelle über; dann lass ihn bis zum Sollstand absetzen; dann setze den laufenden Posten um; dann gib einen Anteil zu; dann halte den Posten bereit; dann stelle ihn am Zielgefäß bereit. Neuer lokaler Posten: Bei SICHTBAR_VERBUNDENES_PAAR: Sammle ihn lange.	NONE
B3-S027	B3	f83r	E292	qoteedy	Langfolgestufe	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Führe die lange Folgestufe aus.	NONE
B3-S028	B3	f83r	E293|E294	qokeey qokedy	Langkontakt → Kurzkontakt	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Lass ihn länger einwirken; dann lass ihn kurz einwirken.	NONE
B3-S029	B3	f83r	E295|E296|E297	sol cheeety qokedy	Fortsetzung → Vollteil → Kurzkontakt	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Führe den laufenden Gang fort; dann nimm den ganzen bezeichneten Teil; dann lass ihn kurz einwirken.	NONE
B3-S030	B3	f83r	E298|E299|E300|E301	qoky saiin schedair otchedy	Einsetzen → Sollmaß → Weiterlauf → Folgetransfer	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Setze den Posten ein; dann arbeite nach dem vorgeschriebenen Maß; dann führe ihn im Lauf weiter; dann führe danach den nächsten Posten über.	NONE
B3-S031	B3	f83r	E302	qokeedy	Langkontakt	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Lass ihn lange einwirken.	NONE
B3-S032	B3	f83r	E303|E304|E305|E306|E307	chedain chedy qotedaiin otaiin otedy	Anteilstransfer → Umsetzen → Kurzsoll → Folgemaß → Kurzfolge	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Führe einen Anteil über; dann setze den laufenden Posten um; dann halte die kurze Sollstufe ein; dann arbeite danach nach dem nächsten Maß; dann führe ihn kurz zum Folgeschritt weiter.	NONE
B3-S033	B3	f83r	E308	ldy	abziehen	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Ziehe ihn ab.	NONE
B3-S034	B3	f83r	E309|E310|E311|E312|E313|E314	soiiin checthy chety otaiin olsaly shedy	Arbeitsstufe → Bereit → Zerkleinern → Folgemaß → Zwischenziel → Kurzabsetzung	B3_MAIN_ARCH_LINKED_PAIR	1	Bei SICHTBAR_VERBUNDENES_PAAR: Stelle die Arbeitsstufe ein; dann halte den Posten bereit; dann zerkleinere den Posten; dann arbeite danach nach dem nächsten Maß; dann führe zum Zwischenziel; dann lass ihn kurz absetzen.	NONE
B4-S001	B4	f83r	E315	qokeedy	Langkontakt	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn lange einwirken.	NONE
B4-S002	B4	f83r	E316|E317|E318	qolchey qokeey qokedy	Weiterposten → Langkontakt → Kurzkontakt	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Nimm den nächsten Einsatzposten; dann lass ihn länger einwirken; dann lass ihn kurz einwirken.	NONE
B4-S003	B4	f83r	E319|E320|E321|E322|E323|E324|E325	chedy otal otchey qokeey qoky tol shedy	Umsetzen → Folgeziel → Folgeposten → Langkontakt → Einsetzen → Fortsetzung → Kurzabsetzung	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Setze den laufenden Posten um; dann führe ihn danach dorthin; dann nimm das nächste; dann lass ihn länger einwirken; dann setze den Posten ein; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NONE
B4-S004	B4	f83r	E326	qokylddy	befestigen	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Befestige ihn.	NONE
B4-S005	B4	f83r	E327|E328|E329	dain chedy qokeedy	Einlage → Umsetzen → Langkontakt	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lege die Einlage ein; dann setze den laufenden Posten um; dann lass ihn lange einwirken.	NONE
B4-S006	B4	f83r	E330	shckhedy	durchlassen	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn hindurch.	NONE
B4-S007	B4	f83r	E331	shckhedy	durchlassen	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn hindurch.	NONE
B4-S008	B4	f83r	E332|E333|E334|E335	saiin cheeky sheey qokedy	Sollmaß → Langwärme → Langhalt → Kurzkontakt	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Arbeite nach dem vorgeschriebenen Maß; dann halte den Posten länger warm; dann halte ihn lange; dann lass ihn kurz einwirken.	NONE
B4-S009	B4	f83r	E336	shedy	Kurzabsetzung	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Lass ihn kurz absetzen.	NONE
B4-S010	B4	f83r	E337	oldy	Fortschluss	B4_MAIN_ARCH_LINKED_PAIR	1	Bei ANWENDUNGS_UND_DURCHLASS_PAAR: Führe fort und schließe.	NONE
B4-S011	B4	f83r	E338|E339|E340|E341|E342|E343|E344	saiin cheky okeeol okain chdy sol lkedy	Sollmaß → Kurzwärme → Langfortsetzung → Zugabe → Umsetzen → Fortsetzung → Kurzabzugsschluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION	1	Bei OFFENE_LINKSSTATION: Arbeite nach dem vorgeschriebenen Maß; dann wärme ihn kurz; dann setze den Gang lange fort; dann gib einen Anteil zu; dann setze den laufenden Posten um; dann führe den laufenden Gang fort; dann ziehe kurz ab und schließe.	NONE
B4-S012	B4	f83r	E345	lchedy	abführen	B4_MAIN_LEFT_OPEN_FRINGE_STATION	1	Bei OFFENE_LINKSSTATION: Führe ihn ab.	NONE
B4-S013	B4	f83r	E346|E347	qokol shedy	Wiedereinsatz → Kurzabsetzung	B4_MAIN_LEFT_OPEN_FRINGE_STATION	1	Bei OFFENE_LINKSSTATION: Setze den verbleibenden Posten erneut ein; dann lass ihn kurz absetzen.	NONE
B4-S014	B4	f83r	E348|E349|E350|E351	or chey qockhey dairydy	Ansatz → Diesposten → Kurzdurchgang → Laufschluss	B4_MAIN_LEFT_OPEN_FRINGE_STATION	1	Bei OFFENE_LINKSSTATION: Verwende den Ansatz; dann halte diesen Posten aktiv; dann führe ihn kurz hindurch; dann schließe den Lauf ab.	NONE
