group_serial	page	locus	visible_owner	namespace_id	visible_surface	prefix_surface	relation_suffix	relation_contribution_de	component_parse	composed_short_value_de	composition_status	existing_diagram_reading_de
206	f68r1	f68r1.2	A2_MIDDLE_PANEL_HEADER	F68_MIDDLE_PANEL_HEADER_NS	chpor	chp	OR	BEDINGUNGSANSATZ	LOCAL_CHP+OR	Bedingungsansatz des lokalen CHP-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A2_MIDDLE_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest chp.
209	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	ykor	yk	OR	BEDINGUNGSANSATZ	LOCAL_YK+OR	Bedingungsansatz des lokalen YK-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sektorplatz A2_RIGHT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest yk.
214	f68r1	f68r1.3	A2_RIGHT_PANEL_HEADER	F68_RIGHT_PANEL_HEADER_NS	ror	r	OR	BEDINGUNGSANSATZ	LOCAL_R+OR	Bedingungsansatz des lokalen R-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sektorplatz A2_RIGHT_PANEL_HEADER: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest r.
217	f68r1	f68r1.4	A2_MULTIPANEL_HEADER_FRAGMENT_04	F68_MULTIPANEL_HEADER_QUARANTINE_NS	dchor	dch	OR	BEDINGUNGSANSATZ	LOCAL_DCH+OR	Bedingungsansatz des lokalen DCH-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Tafelkopf A2_MULTIPANEL_HEADER_FRAGMENT_04: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest dch.
236	f68r1	f68r1.22	A2_STAR_STATION_14	F68_LOCAL_STAR_SLOT_NS	ofcheor	ofche	OR	BEDINGUNGSANSATZ	LOCAL_OFCHE+OR	Bedingungsansatz des lokalen OFCHE-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Sternplatz A2_STAR_STATION_14: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest ofche.
240	f68r1	f68r1.26	A2_STAR_STATION_18	F68_LOCAL_STAR_SLOT_NS	otor	ot	OR	BEDINGUNGSANSATZ	OT+OR	naechster Bedingungsansatz	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A2_STAR_STATION_18: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz.
247	f68r1	f68r1.33	A2_STAR_STATION_25	F68_LOCAL_STAR_SLOT_NS	okshor	oksh	OR	BEDINGUNGSANSATZ	OK+SH+OR	ruhenden Bedingungsansatz einsetzen	FULL_OR_PARTIAL_RELATION_COMPOSITION	Sternplatz A2_STAR_STATION_25: Diagrammposten setzen oder aktivieren + Position oder Bedingung halten + Bedingungs-, Tabellen- oder Wahlansatz.
294	f69v	f69v.1	A3_LEFT_WHEEL_RING_TEXT	F69_LEFT_WHEEL_NS	dchor	dch	OR	BEDINGUNGSANSATZ	LOCAL_DCH+OR	Bedingungsansatz des lokalen DCH-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	Radstelle A3_LEFT_WHEEL_RING_TEXT: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest dch.
301	f69v	f69v.2	A3_MIDDLE_WHEEL_RING_TEXT	F69_MIDDLE_WHEEL_NS	iokeeor	iokee	OR	BEDINGUNGSANSATZ	LOCAL_I+OK+EE+OR	lokalen Bedingungsansatz laenger aktiv halten	FULL_OR_PARTIAL_RELATION_COMPOSITION	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest i.
341	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	qoteor	qote	OR	BEDINGUNGSANSATZ	Q_FRAME+OT+E+OR	danach einen kurzen Bedingungsansatz setzen	FULL_OR_PARTIAL_RELATION_COMPOSITION	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: naechster Platz oder folgende Bedingung + Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest q/e.
346	f69v	f69v.3	A3_RIGHT_WHEEL_RING_TEXT	F69_RIGHT_WHEEL_NS	cheor	che	OR	BEDINGUNGSANSATZ	LOCAL_CHE+OR	Bedingungsansatz des lokalen CHE-Postens	LOCAL_PREFIX_PLUS_RELATION_SUFFIX	lokaler Himmels- oder Kalenderplatz A3_RIGHT_WHEEL_RING_TEXT: Bedingungs-, Tabellen- oder Wahlansatz; lokaler Namensrest che.
377	f69v	f69v.16	A3_LEFT_RADIAL_SLOT_13	F69_LEFT_WHEEL_NS	oteol	ote	OL	IM_SELBEN_LAUF_WEITER	OT+E+OL	danach kurz im selben Lauf weiter	FULL_OR_PARTIAL_RELATION_COMPOSITION	Radstelle A3_LEFT_RADIAL_SLOT_13: naechster Platz oder folgende Bedingung + im selben Ring, Band oder Satz fortsetzen; lokaler Namensrest e.
