statement_id	record_unit_id	page	loci	event_count	fusion_unit_count	surface_sequence	corrected_atom_chain	attachment_skeleton_de	continuous_workshop_reading_de	equal_distance_attachments	elliptic_owner_supplied_head	crosses_physical_line	dch_correction_present
H4-S002	H4	f55v	f55v.5	3	2	daiin chedy talam	AIIN | CHD+Y | AL+AM	Vorgabe Sollmaß: Übertrage den aktuellen Posten / Verwahre am Ziel	Stelle den Vorgabewert ein, übertrage den Posten und verwahre ihn am Ziel.	0	NO	NO	NO
H4-S003	H4	f55v	f55v.11	4	2	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Vorgabe Postenmaß; Auszug entnehmen: Wärme länger / Führe fort und schließe	Stelle den Postenwert ein, nimm den Auszug vom Ausgang, wärme länger, führe fort und schließe.	0	NO	NO	NO
H4-S004	H4	f55v	f55v.11	6	2	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Vorgabe Sollmaß: Setze am Ziel / Führe den bereiten Posten fort; dazu Ansatz; dieser Posten; Ansatzportion	Stelle den Vorgabewert ein, setze dort an, führe den bereiten Ansatz weiter und nimm davon einen Anteil.	0	NO	NO	NO
H5-S001	H5	f56r	f56r.5|f56r.7	9	2	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Vorgabe Zutatenansatz; Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat: Bearbeite weiter / Vorgabe Folgeansatz: Setze den aktuellen Posten; dazu dorthin	Setze einen Eingangsansatz an, bringe den Eingangsposten zum Ziel, nimm den Vorgabewert, bearbeite weiter, beginne den Folgeansatz und setze den aktuellen Posten am Ziel.	0	NO	YES	NO
H5-S002	H5	f56r	f56r.8	4	2	schol choy choky cheeckhody	DCHOL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	Vorgabe vorigen Posten fortsetzen; diese Zutat: Setze den aktuellen Posten / Führe den Eingangsposten länger und schließe	Nimm den vorigen Posten wieder auf, setze den aktuellen Eingangsposten an, führe ihn länger über die Zielstelle und schließe.	0	NO	NO	YES
H5-S003	H5	f56r	f56r.12	4	3	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	Halte den aktuellen Posten; dazu Zutat / Bearbeite kurz / Setze den aktuellen Posten erneut	Halte den Eingangsposten, bearbeite ihn kurz und setze ihn erneut an.	1	NO	NO	NO
H5-S004	H5	f56r	f56r.13	3	3	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Setze den aktuellen Posten / Setze den Auszug / Bearbeite am Ziel	Setze den Posten an, gib den Auszug zu und bearbeite ihn an der Zielstelle.	0	NO	NO	NO
H5-S005	H5	f56r	f56r.18	4	2	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Vorgabe Zutat: Setze den aktuellen Posten; dazu Auszug daraus / Wende danach an	Setze den Ansatz als Eingangsposten an, nimm den Auszug daraus und wende ihn danach an.	1	NO	NO	NO
H5-S006	H5	f56r	f56r.19	3	1	otchey keol daiin	OT+Y | E+OL | AIIN	Vorgabe nächster Teilposten: Führe kurz fort; dazu Sollmaß	Nimm den Folgeposten, führe ihn kurz weiter und stelle den Vorgabewert ein.	0	NO	NO	NO
B1-S001	B1	f81v	f81v.2	1	1	qokedy	OK+E+CLOSE	Setze kurz und schließe	Setze kurz an und schließe.	0	NO	NO	NO
B1-S002	B1	f81v	f81v.2|f81v.7	19	12	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	Stelle auf den Vorgabewert ein; dazu Beckenwasser / Setze am Ziel; dazu aus dem Ansatz / Führe fort; dazu eine Portion / Nimm einen weiteren Anteil; dazu dorthin / Führe fort / Führe fort; dazu Zusatz / Führe den Ansatz weiter / Führe fort / Leite kurz zum Ziel durch; dazu Sollmaß / Halte länger am Ziel; dazu Sollmaß / Leite den aktuellen Posten durch / Übertrage und schließe	Stelle den Vorgabewert ein, öffne den Wasserlauf am Ziel, nimm vom Ausgang, führe weiter, gib einen Anteil, einen weiteren Anteil und den Zusatz zum Ziel, halte dort länger, übertrage und schließe.	7	NO	YES	NO
B1-S003	B1	f81v	f81v.7|f81v.17	2	2	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	Führe fort / Halte, bearbeite, übertrage und schließe	Führe weiter, halte den Posten im Arbeitsgang, übertrage und schließe.	0	NO	YES	NO
B1-S004	B1	f81v	f81v.17	3	3	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	Übertrage den aktuellen Posten / Führe fort / Lass kurz absetzen und schließe	Übertrage, führe weiter, lass absetzen und schließe.	0	NO	NO	NO
B1-S005	B1	f81v	f81v.17	1	1	qolchedy	OL+CHD+CLOSE	Übertrage weiter und schließe	Führe den Posten weiter und schließe.	0	NO	NO	NO
B1-S006	B1	f81v	f81v.17	4	2	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	Gib einen gezählten Anteil zu / Leite den aktuellen Posten durch; dazu Zusatz; zur Zielstelle	Gib einen gezählten Anteil und den Zusatz zu, leite den Posten durch und führe ihn zum Ziel.	0	NO	NO	NO
B1-S007	B1	f81v	f81v.18	1	1	qokchdy	OK+CHD+CLOSE	Setze an, übertrage und schließe	Setze den Posten an, übertrage und schließe.	0	NO	NO	NO
B1-S008	B1	f81v	f81v.18	5	4	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	Vorgabe dieser Posten: Führe fort / Wärme kurz / Führe fort / Lass kurz absetzen und schließe	Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe.	0	NO	NO	NO
B1-S009	B1	f81v	f81v.18	1	1	qokedy	OK+E+CLOSE	Setze kurz und schließe	Setze kurz an und schließe.	0	NO	NO	NO
B1-S010	B1	f81v	f81v.18	1	1	qokedy	OK+E+CLOSE	Setze kurz und schließe	Setze kurz an und schließe.	0	NO	NO	NO
B1-S011	B1	f81v	f81v.18	2	2	chckhy qoky	CKH+Y | OK+Y	Leite den aktuellen Posten durch / Setze den aktuellen Posten	Leite durch und setze den Posten an.	0	NO	NO	NO
B1-S012	B1	f81v	f81v.21	3	3	lsho qokey lshedy	WASH | OK+E+Y | WASH+CLOSE	Führe den Waschgang aus / Setze die kurze Stufe / Wasche und schließe	Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe.	0	NO	NO	NO
B1-S013	B1	f81v	f81v.21	1	1	lshedy	WASH+CLOSE	Wasche und schließe	Wasche und schließe.	0	NO	NO	NO
B1-S014	B1	f81v	f81v.21	5	4	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	Übertrage den aktuellen Posten / Führe auf dem Arbeitsweg fort / Führe zum Ziel ab / Führe fort; dazu danach von dort	Übertrage, führe weiter, leite am Auslass ab und führe danach von dort weiter.	0	NO	NO	NO
B1-S015	B1	f81v	f81v.24	2	1	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	Vorgabe kurzen Teil des aktuellen Postens nehmen: Setze an, übertrage und schließe	Nimm einen kurzen Teil des aktuellen Postens, setze ihn an, übertrage und schließe.	0	NO	NO	NO
B1-S016	B1	f81v	f81v.24	4	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	Setze am Ziel / Setze die lange Stufe / Führe fort / Lass kurz absetzen und schließe	Setze dort länger an, führe weiter, lass absetzen und schließe.	0	NO	NO	NO
B1-S017	B1	f81v	f81v.24	3	2	sal teol dchdy	AL | E+OL | CHD+CLOSE	Vorgabe dorthin: Führe kurz fort / Übertrage und schließe	Führe dorthin, führe kurz weiter, übertrage und schließe.	0	NO	NO	NO
B1-S018	B1	f81v	f81v.24|f81v.27	4	3	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	Führe den aktuellen Posten ab / Halte kurz und führe fort; dazu Sollstufe / Sammle länger und schließe	Führe den aktuellen Posten ab, halte kurz, führe fort, stelle die Stufe ein, sammle länger und schließe.	1	NO	YES	NO
B1-S019	B1	f81v	f81v.27	1	1	tedy	SHED+E+CLOSE	Lass kurz absetzen und schließe	Lass absetzen und schließe.	0	NO	NO	NO
B1-S020	B1	f81v	f81v.27	2	2	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	Wärme kurz / Seihe und schließe	Wärme kurz, seih und schließe.	0	NO	NO	NO
B1-S021	B1	f81v	f81v.27	1	1	chal	AL	Führe zum Ziel	Führe den Posten dorthin.	0	YES	NO	NO
B2-S001	B2	f82r	f82r.2	1	1	dchedy	CHD+CLOSE	Übertrage und schließe	Übertrage und schließe.	0	NO	NO	NO
B2-S002	B2	f82r	f82r.2	1	1	qolchedy	OL+CHD+CLOSE	Übertrage weiter und schließe	Führe weiter und schließe.	0	NO	NO	NO
B2-S003	B2	f82r	f82r.2	3	2	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	Gib einen gezählten Anteil zu; dazu dieser Posten / Setze länger und schließe	Gib einen Anteil zu, setze den Posten länger an und schließe.	1	NO	NO	NO
B2-S004	B2	f82r	f82r.2|f82r.3	5	5	qokal lcheckhy lched qokeey lcheckhedy	OK+AL | L+CKH+Y | L+CHD | OK+EE+Y | L+CKHE+CLOSE	Setze am Ziel / Führe den Posten durch den Ausgang / Führe ab / Setze die lange Stufe / Seihe ab und schließe	Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.	0	NO	YES	NO
B2-S005	B2	f82r	f82r.3|f82r.4	8	8	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	OK+AL+Y | SOLK+AIIN | CKH+Y | OK+AIIN | OK+AIIN | CTH+OL | CHK+EE+Y | L+CLOSE	Setze den aktuellen Posten am Ziel / Sammle bis zum Vorgabewert / Leite den aktuellen Posten durch / Stelle auf den Vorgabewert ein / Stelle auf den Vorgabewert ein / Führe den bereiten Posten fort / Wärme länger / Führe ab und schließe	Setze den aktuellen Posten am Ziel, sammle bis zum Vorgabewert, leite durch, setze zweimal auf Vorgabewert, führe bereit fort, wärme länger, führe ab und schließe.	0	NO	YES	NO
B2-S006	B2	f82r	f82r.4	4	3	oteey qokal sheckhy qoky	OT+EE+Y | OK+AL | CKH+E+Y | OK+Y	Vorgabe langer Folgeposten: Setze am Ziel / Leite kurz durch / Setze den aktuellen Posten	Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.	0	NO	NO	NO
B2-S007	B2	f82r	f82r.7	1	1	dshedy	SHED+E+CLOSE	Lass kurz absetzen und schließe	Lass kurz absetzen und schließe.	0	NO	NO	NO
B2-S008	B2	f82r	f82r.7	3	2	sotaiin qokar shedy	OT+AIIN | OK+AR | SHED+E+CLOSE	Vorgabe Folgemaß: Setze vom Ausgang aus an / Lass kurz absetzen und schließe	Stelle den Folgewert ein, setze daraus an, lass absetzen und schließe.	0	NO	NO	NO
B2-S009	B2	f82r	f82r.7	1	1	solshedy	OL+SHED+CLOSE	Lass weiter absetzen und schließe	Lass weiter absetzen und schließe.	0	NO	NO	NO
B2-S010	B2	f82r	f82r.7	4	3	qokeey qoky ls cheey	OK+EE+Y | OK+Y | L | CHEEY	Setze die lange Stufe / Setze den aktuellen Posten / Nutze den Auslass; dazu klarer Auszug	Setze länger an, führe den Posten durch den Auslass und nimm den freigegebenen Auszug.	0	NO	NO	NO
B2-S011	B2	f82r	f82r.19	4	3	okain char okain qokeedy	OK+AIN | AR | OK+AIN | OK+EE+CLOSE	Gib einen gezählten Anteil zu; dazu aus dem Ansatz / Gib einen gezählten Anteil zu / Setze länger und schließe	Gib einen gezählten Anteil zu, nimm vom Ausgang einen weiteren Anteil, setze länger an und schließe.	1	NO	NO	NO
B2-S012	B2	f82r	f82r.19|f82r.23	8	5	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	L+Y | CHEEY | CTH+E+Y | OK+EE+Y | L+CHEEY | AIIN | Y | OK+EEE+CLOSE	Ziehe den aktuellen Posten ab; dazu klarer Auszug / Halte kurz bereit / Setze die lange Stufe / Führe den freigegebenen Wert ab; dazu Sollmaß / Vorgabe dieser Posten: Setze vollständig und schließe	Ziehe den Posten ab, nimm den freigegebenen Auszug, halte ihn kurz bereit, setze ihn länger an, führe den freigegebenen Auszug ab, stelle den Vorgabewert ein, führe den Posten vollständig aus und schließe.	1	NO	YES	NO
B2-S013	B2	f82r	f82r.23	1	1	lchedy	L+CHD+CLOSE	Führe ab und schließe	Führe ab und schließe.	0	NO	NO	NO
B2-S014	B2	f82r	f82r.23	1	1	lar	L+AR	Führe vom Ausgang ab	Führe von dort ab.	0	NO	NO	NO
B2-S015	B2	f82r	f82r.26	2	1	tshey qokeedy	CHEEY | OK+EE+CLOSE	Vorgabe Klarlauf zugeben: Setze länger und schließe	Nimm den freigegebenen Auszug, setze länger an und schließe.	0	NO	NO	NO
B2-S016	B2	f82r	f82r.26|f82r.27	8	5	cheal lchedar ches aiin oteey qokaiin okey pchedy	AL | L+CHD+AR | PARTITION | AIIN | OT+EE+Y | OK+AIIN | OK+E+Y | P+CHD+CLOSE	Vorgabe dorthin: Führe vom Ausgang ab / Trenne; dazu Sollmaß / Vorgabe langer Folgeposten: Stelle auf den Vorgabewert ein / Setze die kurze Stufe / Führe ein und schließe	Führe zum Ziel und vom Ausgang ab, trenne, setze den Vorgabewert, nimm den langen Folgeposten, setze kurz, führe ein und schließe.	0	NO	YES	NO
B2-S017	B2	f82r	f82r.27	2	1	rsheal daldy	SH+E+AL | AL+CLOSE	Halte kurz am Ziel; dazu Nebenoeffnung; Schluss	Halte den Posten kurz am Ziel, schließe das Ziel und beende den Schritt.	0	NO	NO	NO
B2-S018	B2	f82r	f82r.27	1	1	qokeedy	OK+EE+CLOSE	Setze länger und schließe	Setze länger an und schließe.	0	NO	NO	NO
B2-S019	B2	f82r	f82r.27	1	1	rshedy	WASH+CLOSE	Wasche und schließe	Führe den Waschgang aus und schließe.	0	NO	NO	NO
B2-S020	B2	f82r	f82r.27	1	1	qoteedy	OT+EE+CLOSE	Führe die lange Folge aus und schließe	Nimm die lange Folge und schließe.	0	YES	NO	NO
B2-S021	B2	f82r	f82r.27	1	1	qokeedy	OK+EE+CLOSE	Setze länger und schließe	Setze länger an und schließe.	0	NO	NO	NO
B2-S022	B2	f82r	f82r.27	1	1	lochedy	L+CHD+CLOSE	Führe den Rest ab und schließe	Führe den Rest ab und schließe.	0	NO	NO	NO
B3-S001	B3	f83r	f83r.3	1	1	olkeedy	SOLK+EE+CLOSE	Sammle länger und schließe	Sammle länger und schließe.	0	NO	NO	NO
B3-S002	B3	f83r	f83r.3	2	1	qotal chkeedy	OT+AL | CHK+EE+CLOSE	Vorgabe danach dorthin: Wärme länger und schließe	Führe danach dorthin, wärme länger und schließe.	0	NO	NO	NO
B3-S003	B3	f83r	f83r.3	4	1	chey daiin chey lchedy	Y | AIIN | Y | L+CHD+CLOSE	Vorgabe dieser Posten; Sollmaß; dieser Posten: Führe ab und schließe	Nimm den aktuellen Posten, stelle den Vorgabewert ein, nimm ihn wieder auf, führe ab und schließe.	0	NO	NO	NO
B3-S004	B3	f83r	f83r.3	3	1	qokaiin qotal dar	OK+AIIN | OT+AL | AR	Stelle auf den Vorgabewert ein; dazu danach dorthin; aus dem Ansatz	Stelle den Vorgabewert ein, führe danach dorthin und nimm daraus.	0	NO	NO	NO
B3-S005	B3	f83r	f83r.6	1	1	schedy	CHD+CLOSE	Übertrage und schließe	Übertrage und schließe.	0	NO	NO	NO
B3-S006	B3	f83r	f83r.6	3	3	chedchy qokal olchedy	CHD+Y | OK+AL | OL+CHD+CLOSE	Übertrage den aktuellen Posten / Setze am Ziel / Übertrage weiter und schließe	Übertrage den aktuellen Posten, setze ihn am Ziel an, führe weiter und schließe.	0	NO	NO	NO
B3-S007	B3	f83r	f83r.6	3	3	qokaiin chedy qokeedy	OK+AIIN | CHD+Y | OK+EE+CLOSE	Stelle auf den Vorgabewert ein / Übertrage den aktuellen Posten / Setze länger und schließe	Stelle den Vorgabewert ein, übertrage, setze länger an und schließe.	0	NO	NO	NO
B3-S008	B3	f83r	f83r.6	1	1	lchedy	L+CHD+CLOSE	Führe ab und schließe	Führe ab und schließe.	0	NO	NO	NO
B3-S009	B3	f83r	f83r.6	1	1	qoky	OK+Y	Setze den aktuellen Posten	Setze den Posten an.	0	NO	NO	NO
B3-S010	B3	f83r	f83r.8	2	1	pchedal otedy	P+CHD+AL | OT+E+CLOSE	Führe zum Ziel ein; dazu kurze Folge; Schluss	Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.	0	NO	NO	NO
B3-S011	B3	f83r	f83r.8	4	3	shecthedchy qoky chedy chary	CTH+CHD+Y | OK+Y | CHD+Y | AR+Y	Übertrage den bereiten Posten / Setze den aktuellen Posten / Übertrage den aktuellen Posten; dazu aus diesem Posten	Übertrage den bereiten Posten, setze ihn an, übertrage den aktuellen Posten und nimm ihn vom Ausgang.	0	NO	NO	NO
B3-S012	B3	f83r	f83r.11	2	1	sor shedy	OR | SHED+E+CLOSE	Vorgabe Ansatz: Lass kurz absetzen und schließe	Bereite den Ansatz, lass ihn absetzen und schließe.	0	NO	NO	NO
B3-S013	B3	f83r	f83r.11	4	3	qokaiin chkain shcthey qokedy	OK+AIIN | AIN | CTH+E+Y | OK+E+CLOSE	Stelle auf den Vorgabewert ein; dazu eine Portion / Halte kurz bereit / Setze kurz und schließe	Stelle den Vorgabewert ein, nimm einen Anteil, halte kurz bereit, setze kurz an und schließe.	1	NO	NO	NO
B3-S014	B3	f83r	f83r.11	2	2	okair sheedy	OK+AIR | SHED+EE+CLOSE	Öffne den Wasserlauf / Lass länger absetzen und schließe	Lass Wasser ein, lass länger absetzen und schließe.	0	NO	NO	NO
B3-S015	B3	f83r	f83r.11	1	1	lchedy	L+CHD+CLOSE	Führe ab und schließe	Führe ab und schließe.	0	NO	NO	NO
B3-S016	B3	f83r	f83r.11|f83r.14	2	2	lo qokchedy	L | OK+CHD+CLOSE	Führe ab / Setze an, übertrage und schließe	Führe ab, setze den Posten um und schließe.	0	NO	YES	NO
B3-S017	B3	f83r	f83r.14	1	1	qokeedy	OK+EE+CLOSE	Setze länger und schließe	Setze länger an und schließe.	0	NO	NO	NO
B3-S018	B3	f83r	f83r.14	1	1	shedy	SHED+E+CLOSE	Lass kurz absetzen und schließe	Lass absetzen und schließe.	0	NO	NO	NO
B3-S019	B3	f83r	f83r.14	1	1	qokshedy	OK+SHED+CLOSE	Beginne den Absetzgang und schließe	Lass absetzen und schließe.	0	NO	NO	NO
B3-S020	B3	f83r	f83r.14	2	1	dal lchedy	AL | L+CHD+CLOSE	Vorgabe dorthin: Führe ab und schließe	Führe dorthin, führe ab und schließe.	0	NO	NO	NO
B3-S021	B3	f83r	f83r.14|f83r.15	11	6	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	OK+AIIN | CTH+Y | AL | Y | AIIN | SHED+AL | CTH+E+Y | Y | AL | CTH+Y | AL+CHD+CLOSE	Stelle auf den Vorgabewert ein / Halte den Posten bereit; dazu dorthin; dieser Posten / Vorgabe Sollmaß: Lass am Ziel absetzen / Halte kurz bereit; dazu dieser Posten / Vorgabe dorthin: Halte den Posten bereit / Übertrage zum Ziel und schließe	Stelle den Vorgabewert ein, halte bereit, führe dorthin, lass dort absetzen, halte den Posten kurz bereit, führe ihn erneut dorthin, übertrage und schließe.	1	NO	YES	NO
B3-S022	B3	f83r	f83r.15	1	1	qotchedy	OT+CHD+CLOSE	Übertrage den Folgeposten und schließe	Übertrage den Folgeposten und schließe.	0	NO	NO	NO
B3-S023	B3	f83r	f83r.15	1	1	lchedy	L+CHD+CLOSE	Führe ab und schließe	Führe ab und schließe.	0	NO	NO	NO
B3-S024	B3	f83r	f83r.16	1	1	tchedy	CHD+CLOSE	Übertrage und schließe	Übertrage und schließe.	0	NO	NO	NO
B3-S025	B3	f83r	f83r.16	1	1	qokchdy	OK+CHD+CLOSE	Setze an, übertrage und schließe	Übertrage und schließe.	0	NO	NO	NO
B3-S026	B3	f83r	f83r.16|f83r.20	7	6	cheedar chldaiin chedy qokain checthy chealror solkeedy	CHD+AR | SHED+AIIN | CHD+Y | OK+AIN | CTH+Y | AL+OR | SOLK+EE+CLOSE	Übertrage vom Ausgang / Stelle den Absetzwert ein / Übertrage den aktuellen Posten / Gib einen gezählten Anteil zu / Halte den Posten bereit; dazu Ansatz von dort zur Zielstelle / Sammle länger und schließe	Übertrage vom Ausgang, stelle den Absetzwert ein, übertrage den aktuellen Posten, gib einen Anteil zu, halte den Posten bereit, führe den Ansatz zum Ziel, sammle länger und schließe.	1	NO	YES	NO
B3-S027	B3	f83r	f83r.20	1	1	qoteedy	OT+EE+CLOSE	Führe die lange Folge aus und schließe	Nimm die lange Folge und schließe.	0	YES	NO	NO
B3-S028	B3	f83r	f83r.20	2	2	qokeey qokedy	OK+EE+Y | OK+E+CLOSE	Setze die lange Stufe / Setze kurz und schließe	Setze länger, dann kurz an und schließe.	0	NO	NO	NO
B3-S029	B3	f83r	f83r.20	3	2	sol cheeety qokedy	OL | EEE+TY | OK+E+CLOSE	Führe fort; dazu ganzen Teilposten / Setze kurz und schließe	Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.	1	NO	NO	NO
B3-S030	B3	f83r	f83r.20|f83r.22	4	2	qoky saiin schedair otchedy	OK+Y | AIIN | AIR | OT+CHD+CLOSE	Setze den aktuellen Posten; dazu Sollmaß / Vorgabe Wasser weiterleiten: Übertrage den Folgeposten und schließe	Setze den Posten an, stelle den Vorgabewert ein, nutze den Wasserlauf, übertrage den Folgeposten und schließe.	0	NO	YES	NO
B3-S031	B3	f83r	f83r.22	1	1	qokeedy	OK+EE+CLOSE	Setze länger und schließe	Setze länger an und schließe.	0	NO	NO	NO
B3-S032	B3	f83r	f83r.22	5	2	chedain chedy qotedaiin otaiin otedy	CHD+AIN | CHD+Y | OT+E+AIIN | OT+AIIN | OT+E+CLOSE	Übertrage einen Anteil / Übertrage den aktuellen Posten; dazu kurzes Folgemass; Folgemaß; kurze Folge; Schluss	Übertrage einen Anteil und den aktuellen Posten, setze den kurzen Folgewert und den Folgewert, führe die kurze Folge aus und schließe.	0	NO	NO	NO
B3-S033	B3	f83r	f83r.22	1	1	ldy	L+CLOSE	Führe ab und schließe	Ziehe ab und schließe.	0	NO	NO	NO
B3-S034	B3	f83r	f83r.24	6	3	soiiin checthy chety otaiin olsaly shedy	IIN | CTH+Y | PARTITION+TY | OT+AIIN | AL+Y | SHED+E+CLOSE	Vorgabe Sollstufe: Halte den Posten bereit / Trenne einen Teil ab / Vorgabe Folgemaß; untere Zielstelle: Lass kurz absetzen und schließe	Setze die Stufe, halte bereit, trenne einen Teil, setze den Folgewert, führe zur unteren Zielstelle, setze kurz ab und schließe.	0	NO	NO	NO
