card_rank	family	surface	card_type	composition	working_meaning_de	working_render_de	strongest_rival_de	confidence	action_license	expected_occurrences	expected_pages	decision_reason
15	COLD_GRAIN_MEASURE	tolg	READER_CONDITIONED_LEARNED_WHOLE	TOL_COLD_MATERIAL+G_GRAIN_SIGLUM	ein Gran kalten Drogenmaterials	ein Gran kalten Drogenmaterials	eine Handvoll kalten Drogenmaterials nach IT2a tolm	LOW_EXPLORATORY	0	1	1	ZL3b und RF1b bewahren terminales g, IT2a liest tolm; die Mengenklasse bleibt konkret, die Einheit ist offen
16	DRY_MIDDLE_PORTION	orchey	PRODUCTIVE_AMOUNT	OR_PORTION+CH_DRY+E_MIDDLE+Y_CLOSE	eine Portion bis zur Mittelstufe getrocknete Droge	Portion mittelgetrockneter Droge	eine Portion vollständig getrocknete Droge	STRONG_FAMILY_COMPOSITION	0	3	3	orchedy ist die fertige Schwester; or plus chey bindet Portion und mittlere Trockenstufe
17	ANAPHORIC_PORTION_COMMAND	qey	LEARNED_REFERENCE_COMMAND	Q_COMMAND+EY_THEN	die vorstehende Mittelstufenportion anschließend nehmen	diese Portion anschließend nehmen	die Endportion hinzugeben wie qeey	MEDIUM_CONTEXT_BOUND	1	1	1	die unmittelbare orchey-Portion liefert das Objekt und ey ist bereits der Anschlussmarker
18	COLD_WOOD_GRADE_II	ltain	PRODUCTIVE_QUALITY	L_WOOD+T_COLD+AIN_II	Holzdroge, kalt auf Stufe II	Holzdroge, kalt auf Stufe II	Holzcharge II ohne Kühlprozess	STRONG_FAMILY_COMPOSITION	0	2	2	lkain und rtain zeigen denselben Stoff-plus-Prozess-plus-Stufe-Aufbau; hier ersetzt t den Heizkopf k
19	MOIST_PREPARATION_END	osheey	PRODUCTIVE_RESULT	O_PREP+SH_MOIST+EE_END+Y_CLOSE	vollständig eingeweichter Ansatz	vollständig eingeweichter Ansatz	Ansatz am Feuchtigkeitsende ohne Ergebnisstatus	STRONG_FAMILY_COMPOSITION	0	1	1	oshey ist die Mittelstufenschwester und sheeo der vollständig eingeweichte Ansatz
20	MOIST_END_PORTION	orsheey	READER_BOUNDARY_COMPOUND	OR_PORTION+SHEEY_MOIST_END	eine Portion vollständig eingeweichte Droge	Portion vollständig eingeweichte Droge	eine Portion angefeuchteter Droge ohne Endstufe	STRONG_READER_COMPOSITION	0	1	1	IT2a trennt exakt or sheey; RF1b orshee verliert nur den Schlussmarker y
21	DRY_MATERIAL_HOT_II	cholkain	PRODUCTIVE_QUALITY	CHOL_DRY_MATERIAL+K_HOT+AIN_II	Trockengut, heiß auf Stufe II	Trockengut, heiß auf Stufe II	getrockneten Drogenstoff auf Stufe II erhitzen	STRONG_FAMILY_COMPOSITION	0	1	1	cholkaiin ist die Stufe-III-Schwester und cheolkain die explizite Befehlsform
22	COMPOSITE_DRUG_MATERIAL	ckhol	PRODUCTIVE_STUFF_HEAD	CKH_COMPOSITE+OL_MATERIAL	Drogenstoff aus Arzneikompositum	Arzneikompositumstoff	allgemeiner zusammengesetzter Drogenstoff cphol	STRONG_PRODUCTIVE_HEAD	0	17	14	ckh ist der gefestigte Arzneikompositumkopf und ol der Stoff- oder Ergebnisträger; 16 Stellen sind bei beiden Lesern exakt
23	HOT_DRY_SPECIES	kc	READER_CORRECTED_WHOLE	K_HOT+CH_DRY+S_TERM_SPECIES	Charge unter Wärme getrockneter Droge	Charge heißgetrockneter Droge	kurze unaufgelöste Heizmarke	MEDIUM_READER_CONTROLLED	0	1	1	beide Alternativleser schreiben kchs und legen k plus ch plus terminale Charge s offen
24	MEASURED_FRACTION_IV_DRY	daiiiry	READER_CORRECTED_COMPOUND	D_MEASURE+AIIIR_FRACTION_IV+CHY_DRY_START	abgemessene vierte Trockenfraktion, Anfangsstufe	vierte abgemessene Trockenfraktion, leicht getrocknet	vierte abgemessene Fraktion, nur abgeschlossen	MEDIUM_READER_CONTROLLED	0	1	1	beide Alternativleser schreiben daiiirchy; dadurch gewinnt die Trocken-Grundstufe gegen eine bloße y-Schlusslesung
