formula_id	formula_role	atom_pattern	short_formula_de	statement_id	record_unit_id	page	card_positions	visible_surface_span	full_visible_statement	current_statement_reading_de
WF04	CONTINUE_SETTLE_CLOSE	OL+SHED+E+CLOSE	weiterführen, kurz absetzen lassen und schließen	B1-S008	B1	f81v	4-5	ol shedy	chey ol cheky ol shedy	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
WF06	TRANSFERRED_ITEM_CONTINUES	CHD+Y+OL	den umgesetzten Posten weiterführen	B1-S014	B1	f81v	1-2	chedy qolky	chedy qolky lchedal qol otar	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
WF04	CONTINUE_SETTLE_CLOSE	OL+SHED+E+CLOSE	weiterführen, kurz absetzen lassen und schließen	B1-S016	B1	f81v	3-4	qol cheedy	qokal okeey qol cheedy	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
WF03	MEASURE_THEN_ITEM	AIIN+Y	das Sollmaß auf den folgenden Posten legen	B2-S012	B2	f82r	6-7	daiin chey	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
WF01	PAIRED_SAME_MEASURE_FRAME	Y+AIIN+Y	zwei Posten unter dasselbe Sollmaß stellen	B3-S003	B3	f83r	1-3	chey daiin chey	chey daiin chey lchedy	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
WF02	ITEM_THEN_MEASURE	Y+AIIN	diesen Posten nach Sollmaß führen	B3-S021	B3	f83r	4-5	sy saiin	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
WF07	LONG_THEN_SHORT_CLOSE	OK+EE+Y+OK+E+CLOSE	länger ansetzen, kurz nachführen und schließen	B3-S028	B3	f83r	1-2	qokeey qokedy	qokeey qokedy	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.
WF07	LONG_THEN_SHORT_CLOSE	OK+EE+Y+OK+E+CLOSE	länger ansetzen, kurz nachführen und schließen	B4-S002	B4	f83r	2-3	qokeey qokedy	qolchey qokeey qokedy	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
WF04	CONTINUE_SETTLE_CLOSE	OL+SHED+E+CLOSE	weiterführen, kurz absetzen lassen und schließen	B4-S003	B4	f83r	6-7	tol shedy	chedy otal otchey qokeey qoky tol shedy	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
WF06	TRANSFERRED_ITEM_CONTINUES	CHD+Y+OL	den umgesetzten Posten weiterführen	B4-S011	B4	f83r	5-6	chdy sol	saiin cheky okeeol okain chdy sol lkedy	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
WF05	CURRENT_PREPARATION	OR+Y	den aktuellen Ansatz	B4-S014	B4	f83r	1-2	or chey	or chey qockhey dairydy	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
WF09	ADDITIONAL_PORTION_TO_TARGET	OL+AIN+AL	eine weitere Portion zum Ziel geben	B4-S016	B4	f83r	1-2	qolkain dal	qolkain dal skar shedy	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
