component_recipe	component_count	events	surface_types	surfaces	page_count	physical_pages	residual_drawer	current_short_reading_de	teaching_instruction_de
K+EE+DY	3	5	1	keedy	2	f75r|f81v	NEXT_FORMULA_CANDIDATE	Material zugeben; länger oder gehalten; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
L+DY	2	5	1	ldy	3	f75r|f82r|f83r	NEXT_FORMULA_CANDIDATE	entlang des Arbeitswegs führen; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
L+O	2	5	1	lo	2	f75r|f83r	NEXT_FORMULA_CANDIDATE	entlang des Arbeitswegs führen; Arbeitsgang ausführen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
L+Y	2	5	2	lchey|ly	3	f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	entlang des Arbeitswegs führen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
O+IIN	2	5	2	oiin|oiiin	3	f13r|f67r2|f81v	NEXT_FORMULA_CANDIDATE	Arbeitsgang ausführen; Arbeitsstufe	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OK+SH+E+DY	4	5	2	qokshedy|okshedy	3	f75r|f81v|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgang ansetzen; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OT+AIIN	2	5	2	qotaiin|otaiin	2	f82r|f83r	NEXT_FORMULA_CANDIDATE	danach oder nächster Posten; Sollmaß	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
P+CHD+DY	3	5	1	pchedy	3	f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	Material einsetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
Y+T+Y	3	5	3	yty|ytchy|ytshy	3	f10r|f11r|f13r	NEXT_FORMULA_CANDIDATE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
AL+DY	2	4	1	daldy	4	f13r|f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	Ziel- oder Anschlussstelle; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+AIIN	2	4	1	chaiin	3	f10r|f11r|f55v	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; Sollmaß	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+CTH+Y	3	4	1	chcthy	3	f10r|f75r|f81v	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
K+AIN	2	4	1	kain	3	f75r|f81v|f83r	NEXT_FORMULA_CANDIDATE	Material zugeben; Portion	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
K+Y	2	4	2	kchy|ky	3	f11r|f13r|f81v	NEXT_FORMULA_CANDIDATE	Material zugeben; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
O+CKH+E+Y	4	4	2	qockhey|ockhey	3	f82r|f83r|f88r	NEXT_FORMULA_CANDIDATE	Arbeitsgang ausführen; durch einen Durchlass führen; kurz oder direkt; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
O+P+Y	3	4	2	qopchy|opchy	2	f13r|f67r2	NEXT_FORMULA_CANDIDATE	Arbeitsgang ausführen; Material einsetzen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OK+E+OL	3	4	2	qokeol|okeol	3	f81v|f82r|f88r	NEXT_FORMULA_CANDIDATE	Arbeitsgang ansetzen; kurz oder direkt; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OL+OR	2	4	2	olor|cholor	3	f10r|f75r|f81v	NEXT_FORMULA_CANDIDATE	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OL+SH+E+DY	4	4	2	olshedy|solshedy	2	f75r|f82r	NEXT_FORMULA_CANDIDATE	im selben Arbeitsgang fortfahren; Arbeitsgegenstand halten; kurz oder direkt; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OT+AIN	2	4	2	otain|qotain	3	f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	danach oder nächster Posten; Portion	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OT+CH+OL	3	4	2	qotchol|otchol	3	f10r|f13r|f88r	NEXT_FORMULA_CANDIDATE	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SH+CKH+Y	3	4	1	shckhy	3	f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	Arbeitsgegenstand halten; durch einen Durchlass führen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SH+OR	2	4	1	shor	2	f10r|f11r	NEXT_FORMULA_CANDIDATE	Arbeitsgegenstand halten; Ansatz oder Zubereitung	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
T+CHD+Y	3	4	1	tchedy	2	f75r|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgang einstellen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
T+OL	2	4	2	tchol|tol	3	f11r|f56r|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgang einstellen; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+AL	2	3	1	chal	3	f56r|f75r|f81v	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; Ziel- oder Anschlussstelle	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+E+CKH+Y	4	3	1	checkhy	3	f75r|f81v|f83r	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; kurz oder direkt; durch einen Durchlass führen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+E+Y	3	3	1	dchey	3	f10r|f56r|f88r	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+O+D_ADDR+Y	4	3	1	chody	3	f11r|f56r|f88r	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CH+O+S	3	3	1	chos	2	f56r|f67r2	NEXT_FORMULA_CANDIDATE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsvariante auswählen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CHD+DY	2	3	2	schedy|dchdy	2	f81v|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgut umsetzen; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
CTH+OL	2	3	1	cthol	3	f56r|f82r|f88r	NEXT_FORMULA_CANDIDATE	bis bereit führen; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
D_ADDR+CHD+Y	3	3	1	dchedy	3	f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	bezeichneter Teil; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
E+Y	2	3	2	ey|qey	2	f75r|f82r	NEXT_FORMULA_CANDIDATE	kurz oder direkt; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
L+K+E+DY	4	3	1	lkedy	2	f82r|f83r	NEXT_FORMULA_CANDIDATE	entlang des Arbeitswegs führen; Material zugeben; kurz oder direkt; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
L+OL	2	3	1	lol	2	f75r|f83r	NEXT_FORMULA_CANDIDATE	entlang des Arbeitswegs führen; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
L+OR	2	3	1	lor	2	f75r|f81v	NEXT_FORMULA_CANDIDATE	entlang des Arbeitswegs führen; Ansatz oder Zubereitung	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
O+DY	2	3	1	ody	2	f10r|f55v	NEXT_FORMULA_CANDIDATE	Arbeitsgang ausführen; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OK+EEE+Y	3	3	1	qokeeey	2	f55v|f82r	NEXT_FORMULA_CANDIDATE	Arbeitsgang ansetzen; vollständig; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OK+OR	2	3	2	chokor|qokor	2	f56r|f88r	NEXT_FORMULA_CANDIDATE	Arbeitsgang ansetzen; Ansatz oder Zubereitung	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OT+AM_ADDR	2	3	1	otam	3	f55v|f75r|f88r	NEXT_FORMULA_CANDIDATE	danach oder nächster Posten; Innenstelle	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OT+CH+OR	3	3	2	otchor|qotchor	3	f10r|f13r|f56r	NEXT_FORMULA_CANDIDATE	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
OT+OL	2	3	1	otol	3	f10r|f11r|f75r	NEXT_FORMULA_CANDIDATE	danach oder nächster Posten; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
R+OL	2	3	1	rol	2	f75r|f81v	NEXT_FORMULA_CANDIDATE	Zustand kennzeichnen; im selben Arbeitsgang fortfahren	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
S+AM_ADDR	2	3	1	sam	2	f83r|f88r	NEXT_FORMULA_CANDIDATE	Arbeitsvariante auswählen; Innenstelle	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SH+CKH+E+DY	4	3	1	shckhedy	2	f81v|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgegenstand halten; durch einen Durchlass führen; kurz oder direkt; Arbeitsschritt schließen	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SH+E+CKH+Y	4	3	1	sheckhy	2	f82r|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgegenstand halten; kurz oder direkt; durch einen Durchlass führen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SH+E+CTH+Y	4	3	1	shecthy	2	f75r|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgegenstand halten; kurz oder direkt; bis bereit führen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SHED+AIIN	2	3	1	shedaiin	2	f82r|f83r	NEXT_FORMULA_CANDIDATE	absetzen lassen; Sollmaß	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
SOLK+EE+D_ADDR+Y	4	3	2	solkeedy|qolkeedy	2	f81v|f83r	NEXT_FORMULA_CANDIDATE	auffangen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
T+Y	2	3	3	tchy|tshy|chety	3	f10r|f13r|f83r	NEXT_FORMULA_CANDIDATE	Arbeitsgang einstellen; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
Y+K+AIIN	3	3	1	ykaiin	2	f55v|f81v	NEXT_FORMULA_CANDIDATE	dieser Arbeitsgegenstand; Material zugeben; Sollmaß	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
Y+K+EE+Y	4	3	1	ykeey	3	f75r|f81v|f82r	NEXT_FORMULA_CANDIDATE	dieser Arbeitsgegenstand; Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
Y+K+OR	3	3	1	ykor	3	f13r|f67r2|f68r1	NEXT_FORMULA_CANDIDATE	dieser Arbeitsgegenstand; Material zugeben; Ansatz oder Zubereitung	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
Y+K+Y	3	3	2	ykchy|yky	2	f13r|f68r1	NEXT_FORMULA_CANDIDATE	dieser Arbeitsgegenstand; Material zugeben; dieser Arbeitsgegenstand	Als mögliche fertige Formel prüfen; mehrere Seiten verwenden dieselbe Folge.
AIR+Y+DY	3	1	1	dairydy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Flüssigkeits- oder Stationslauf; dieser Arbeitsgegenstand; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+AIIN	2	1	1	alaiin	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+AL	2	1	1	dalal	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+CHD+DY	3	1	1	dalchdy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; Arbeitsgut umsetzen; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+D_ADDR+AIIN	3	1	1	aldaiin	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; bezeichneter Teil; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+R+OR	3	1	1	chealror	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; Zustand kennzeichnen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+S+Y	3	1	1	alsy	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; Arbeitsvariante auswählen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+T+E+D_ADDR+Y	5	1	1	altedy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; Arbeitsgang einstellen; kurz oder direkt; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
AL+Y	2	1	1	aly	1	f75r	ONE_OFF_PRODUCTIVE_COMPOSITION	Ziel- oder Anschlussstelle; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
AM_ADDR+Y	2	1	1	amy	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	Innenstelle; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
AR+AIIN	2	1	1	araiin	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	Entnahmestelle; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
AR+Y	2	1	1	chary	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	Entnahmestelle; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
A_ADDR+SH+Y+T+EE+D_ADDR	6	1	1	ashyteed	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	lokale Arbeitsstelle; Arbeitsgegenstand halten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; länger oder gehalten; bezeichneter Teil	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+E+DY	3	1	1	qedy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+E+K+AIIN	4	1	1	qekaiin	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; kurz oder direkt; Material zugeben; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+E+K+EE+Y	5	1	1	qekeey	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; kurz oder direkt; Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+E+T+AL	4	1	1	qetal	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; kurz oder direkt; Arbeitsgang einstellen; Ziel- oder Anschlussstelle	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+E+T+CH+Y	5	1	1	qetchy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; kurz oder direkt; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+E+Y+K+EE+Y	6	1	1	qeykeey	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; kurz oder direkt; dieser Arbeitsgegenstand; Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+EEE+D_ADDR+Y	4	1	1	qeeedy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; vollständig; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+K+O+Y	4	1	1	qkoy	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Material zugeben; Arbeitsgang ausführen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+AIIN	3	1	1	qoaiin	1	f55v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Sollmaß	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+CH+EE+Y	5	1	1	qocheey	1	f68r1	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; bezeichneten Anteil entnehmen; länger oder gehalten; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+CKH+Y	4	1	1	qockhy	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; durch einen Durchlass führen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+CTH+E+Y	5	1	1	qocthey	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; bis bereit führen; kurz oder direkt; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+CTH+OL+Y	5	1	1	qoctholy	1	f10r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; bis bereit führen; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+DY	3	1	1	qody	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+D_ADDR+CHD	4	1	1	qodched	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; bezeichneter Teil; Arbeitsgut umsetzen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+D_ADDR+OR	4	1	1	qodor	1	f11r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; bezeichneter Teil; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+E+K+E+OR	6	1	1	qoekeor	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; kurz oder direkt; Material zugeben; kurz oder direkt; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+E+S+E+DY	6	1	1	qoesedy	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; kurz oder direkt; Arbeitsvariante auswählen; kurz oder direkt; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+EE+D_ADDR+Y	5	1	1	qoeedy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+LOCAL_CHAR_F+AIR	4	1	1	qofair	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; über einen Nebenpfad; Flüssigkeits- oder Stationslauf	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+LOCAL_CHAR_F+CHD+Y	5	1	1	qofchedy	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; über einen Nebenpfad; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+OL	3	1	1	qool	1	f55v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+OR	3	1	1	qoor	1	f88r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Ansatz oder Zubereitung	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+P	3	1	1	qop	1	f81v	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Material einsetzen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+P+CHD+Y	5	1	1	qopchedy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Material einsetzen; Arbeitsgut umsetzen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+P+OL	4	1	1	qopol	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Material einsetzen; im selben Arbeitsgang fortfahren	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+P+SH+D_ADDR+Y	6	1	1	qopshdy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Material einsetzen; Arbeitsgegenstand halten; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+P+Y	4	1	1	qopy	1	f83r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Material einsetzen; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+O+SH+EE+D_ADDR+Y	6	1	1	qosheedy	1	f82r	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsgang ausführen; Arbeitsgegenstand halten; länger oder gehalten; bezeichneter Teil; dieser Arbeitsgegenstand	Einmalig aus den bekannten Kürzeln zusammensetzen.
CARRIER_Q+S+G_LABEL	3	1	1	qsg	1	f67r2	ONE_OFF_PRODUCTIVE_COMPOSITION	neuen Kartenblock beginnen; Arbeitsvariante auswählen; Prüfmarke setzen	Einmalig aus den bekannten Kürzeln zusammensetzen.
CFH+OL+DY	3	1	1	cfholdy	1	f13r	ONE_OFF_PRODUCTIVE_COMPOSITION	trennen; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	Einmalig aus den bekannten Kürzeln zusammensetzen.
