surface	component_recipe	atomic_pocket_gloss_de	workshop_composition_de	image_composition_de	events	physical_pages	registers	observed_channels	channel_class	event_ids	visible_owner_examples
s	S	WAHL	Arbeitsvariante auswählen	Bildklasse auswählen	27	f11r|f13r|f55v|f56r|f67r2|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0138|P912-E0146|P912-E0170|P912-E0172|P912-E0216|P912-E0306|P912-E0413|P912-E0746|P912-E0916|P912-E1236|P912-E1258|P912-E1493|P912-E1520|P912-E1651|P912-E1665|P912-E1750|P912-E1778|P912-E1893|P912-E1899|P912-E2151|P912-E2217|P912-E2263|P912-E2384|P912-E2438|P912-E2440|P912-E2469|P912-E2485	abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel|abgebildeter Pflanzenartikel f55v|abgebildeter Pflanzenartikel f56r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
dal	AL	ZIEL	Ziel- oder Anschlussstelle	Zielplatz	25	f56r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0381|P912-E0590|P912-E0727|P912-E0794|P912-E0862|P912-E1060|P912-E1099|P912-E1253|P912-E1284|P912-E1531|P912-E1535|P912-E1576|P912-E1704|P912-E1723|P912-E1794|P912-E1886|P912-E2047|P912-E2076|P912-E2108|P912-E2170|P912-E2215|P912-E2219|P912-E2342|P912-E2374|P912-E2498	abgebildeter Pflanzenartikel f56r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
shey	SH+E+Y	HALT + KURZ + DIES	Arbeitsgegenstand halten; kurz oder direkt; dieser Arbeitsgegenstand	Bezug festhalten; erster Grad; dieser Bildplatz	25	f11r|f13r|f68r1|f70v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0098|P912-E0220|P912-E0448|P912-E0470|P912-E0472|P912-E0474|P912-E0521|P912-E0541|P912-E0545|P912-E0607|P912-E0609|P912-E0614|P912-E0620|P912-E0631|P912-E0635|P912-E0859|P912-E1100|P912-E1120|P912-E1416|P912-E1578|P912-E1682|P912-E1695|P912-E1958|P912-E2237|P912-E2323	abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|mehrteiliger Sternatlas mit lokalen Zentren|Fischrad mit Stern tragenden Figuren
y	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	23	f10r|f11r|f13r|f55v|f56r|f67r2|f69v|f81v	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0055|P912-E0103|P912-E0129|P912-E0133|P912-E0139|P912-E0171|P912-E0173|P912-E0293|P912-E0312|P912-E0324|P912-E0338|P912-E0376|P912-E0395|P912-E1087|P912-E1788|P912-E1878|P912-E2021|P912-E2024|P912-E2028|P912-E2058|P912-E2064|P912-E2068|P912-E2073	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel|abgebildeter Pflanzenartikel f55v|abgebildeter Pflanzenartikel f56r|gemeinsames Bad- und Beckenfeld|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder
chol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	22	f10r|f11r|f13r|f56r|f67r2|f69v|f70v|f88r	HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0025|P912-E0042|P912-E0066|P912-E0068|P912-E0111|P912-E0162|P912-E0205|P912-E0221|P912-E0346|P912-E0414|P912-E0419|P912-E1834|P912-E2033|P912-E2045|P912-E2070|P912-E2259|P912-E2456|P912-E2472|P912-E2475|P912-E2482|P912-E2497|P912-E2508	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f11r|grosse abgebildete Pflanze mit Knollenwurzel|abgebildeter Pflanzenartikel f56r|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
ar	AR	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	21	f55v|f67r2|f69v|f70v|f75r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0280|P912-E0290|P912-E0327|P912-E0331|P912-E0612|P912-E1419|P912-E1797|P912-E1803|P912-E1809|P912-E1924|P912-E1936|P912-E2008|P912-E2011|P912-E2087|P912-E2095|P912-E2178|P912-E2279|P912-E2311|P912-E2345|P912-E2350|P912-E2488	abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
dar	D_ADDR+AR	UNTER + QUELLE	bezeichneter Teil; Entnahmestelle	Unterplatz; Quell- oder Bezugsstelle	21	f10r|f13r|f67r2|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0070|P912-E0182|P912-E0486|P912-E0667|P912-E0675|P912-E0730|P912-E0749|P912-E0759|P912-E0760|P912-E0790|P912-E0827|P912-E0863|P912-E0978|P912-E1007|P912-E1197|P912-E1431|P912-E1903|P912-E2039|P912-E2231|P912-E2395|P912-E2506	abgebildeter Pflanzenartikel f10r|grosse abgebildete Pflanze mit Knollenwurzel|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
qoky	OK+Y	START + DIES	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	21	f13r|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0204|P912-E0483|P912-E0491|P912-E0500|P912-E0548|P912-E0577|P912-E0608|P912-E0800|P912-E0905|P912-E0959|P912-E1028|P912-E1069|P912-E1142|P912-E1166|P912-E1459|P912-E1463|P912-E1473|P912-E1587|P912-E1631|P912-E1654|P912-E1684	grosse abgebildete Pflanze mit Knollenwurzel|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
lchedy	L+CHD+DY	VERBINDUNG + WECHSEL + ENDE	entlang des Arbeitswegs führen; Arbeitsgut umsetzen; Arbeitsschritt schließen	Bildverbindung; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	20	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0527|P912-E0659|P912-E1061|P912-E1220|P912-E1230|P912-E1301|P912-E1319|P912-E1351|P912-E1353|P912-E1371|P912-E1428|P912-E1458|P912-E1506|P912-E1532|P912-E1545|P912-E1579|P912-E1662|P912-E1671|P912-E1687|P912-E1702	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
qokeey	OK+EE+Y	START + LANG + DIES	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	20	f56r|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E0356|P912-E0482|P912-E0641|P912-E0682|P912-E0736|P912-E0955|P912-E1129|P912-E1165|P912-E1216|P912-E1255|P912-E1283|P912-E1296|P912-E1308|P912-E1310|P912-E1364|P912-E1447|P912-E1582|P912-E1625|P912-E1630|P912-E2437	abgebildeter Pflanzenartikel f56r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|drei Gefaesse mit Wurzel- und Blattreihen
or	OR	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	19	f10r|f55v|f67r2|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E0026|P912-E0035|P912-E0275|P912-E0298|P912-E0299|P912-E0323|P912-E0463|P912-E0574|P912-E0625|P912-E0634|P912-E0930|P912-E1234|P912-E1690|P912-E1839|P912-E2389|P912-E2396|P912-E2405|P912-E2477|P912-E2486	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder|drei Gefaesse mit Wurzel- und Blattreihen
qokaiin	OK+AIIN	START + SOLLWERT	Arbeitsgang ansetzen; Sollmaß	Bildplatz aktivieren; verzeichneter Sollwert	18	f55v|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0259|P912-E0285|P912-E0890|P912-E1134|P912-E1135|P912-E1180|P912-E1184|P912-E1217|P912-E1224|P912-E1285|P912-E1288|P912-E1330|P912-E1347|P912-E1413|P912-E1429|P912-E1455|P912-E1500|P912-E1533	abgebildeter Pflanzenartikel f55v|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
dain	AIN	EINHEIT	Portion	Einheit oder Index	16	f10r|f11r|f67r2|f75r|f81v|f83r	BIOLOGICAL|HERBAL|ZODIAC	WORKSHOP_PROSE	PROSE_ONLY	P912-E0060|P912-E0116|P912-E0447|P912-E0661|P912-E0664|P912-E0691|P912-E0698|P912-E0704|P912-E0710|P912-E0843|P912-E0867|P912-E0896|P912-E1491|P912-E1635|P912-E1743|P912-E1868	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f11r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|lokale Becken-, Figuren- und Verbindungsstationen|zwei lokale Himmelsraeder
qokal	OK+AL	START + ZIEL	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	Bildplatz aktivieren; Zielplatz	16	f75r|f81v|f82r|f83r	BIOLOGICAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0533|P912-E0539|P912-E0642|P912-E0709|P912-E0991|P912-E1036|P912-E1056|P912-E1075|P912-E1126|P912-E1140|P912-E1146|P912-E1150|P912-E1212|P912-E1453|P912-E1516|P912-E1610	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
qol	OL	WEITER	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	16	f55v|f75r|f81v|f82r|f83r	BIOLOGICAL|HERBAL	WORKSHOP_PROSE	PROSE_ONLY	P912-E0287|P912-E0598|P912-E0600|P912-E0606|P912-E0644|P912-E0686|P912-E0928|P912-E0965|P912-E1054|P912-E1057|P912-E1077|P912-E1091|P912-E1153|P912-E1281|P912-E1290|P912-E1465	abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen
cheey	SH+EE+Y	HALT + LANG + DIES	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	Bezug festhalten; zweiter Grad; dieser Bildplatz	15	f68r1|f69v|f70v|f75r|f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0544|P912-E1059|P912-E1118|P912-E1168|P912-E1174|P912-E1207|P912-E1232|P912-E1294|P912-E1350|P912-E1412|P912-E1647|P912-E1951|P912-E2050|P912-E2154|P912-E2476	mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|mehrteiliger Sternatlas mit lokalen Zentren|drei getrennte heterogene Himmelsraeder|Widderrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
chy	Y	DIES	dieser Arbeitsgegenstand	dieser Bildplatz	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	BIOLOGICAL|HERBAL|PHARMA|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0050|P912-E0074|P912-E0121|P912-E0341|P912-E0344|P912-E0364|P912-E0497|P912-E0583|P912-E1004|P912-E1038|P912-E1774|P912-E2088|P912-E2156|P912-E2286|P912-E2439	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f11r|abgebildeter Pflanzenartikel f56r|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|zwei lokale Himmelsraeder|drei getrennte heterogene Himmelsraeder|Widderrad mit Stern tragenden Figuren|Fischrad mit Stern tragenden Figuren|drei Gefaesse mit Wurzel- und Blattreihen
otar	OT+AR	NAECHST + QUELLE	danach oder nächster Posten; Entnahmestelle	nächster Bildplatz; Quell- oder Bezugsstelle	15	f10r|f55v|f67r2|f70v|f75r|f81v	BIOLOGICAL|HERBAL|ZODIAC	OWNER_ADDRESS_OR_DIAGRAM|WORKSHOP_PROSE	BICHANNEL	P912-E0088|P912-E0288|P912-E0311|P912-E0566|P912-E0676|P912-E0752|P912-E0769|P912-E0815|P912-E0823|P912-E1055|P912-E1883|P912-E2274|P912-E2296|P912-E2327|P912-E2329	abgebildeter Pflanzenartikel f10r|abgebildeter Pflanzenartikel f55v|mehrstufige Becken-, Figuren- und Laufseite|gemeinsames Bad- und Beckenfeld|zwei lokale Himmelsraeder|Fischrad mit Stern tragenden Figuren
cheol	CHEO+L	AUSZUG + VERBINDUNG	Auszug; entlang des Arbeitswegs führen	lokaler Eintrag; Bildverbindung	13	f81v|f82r|f83r|f88r	BIOLOGICAL|PHARMA	WORKSHOP_PROSE	PROSE_ONLY	P912-E0913|P912-E1361|P912-E1368|P912-E1388|P912-E1660|P912-E1724|P912-E1738|P912-E2400|P912-E2403|P912-E2435|P912-E2481|P912-E2493|P912-E2502	gemeinsames Bad- und Beckenfeld|mehrere lokale Bad- und Leitungsstationen|lokale Becken-, Figuren- und Verbindungsstationen|drei Gefaesse mit Wurzel- und Blattreihen
