rank	slot_pattern	events	distinct_component_recipes	event_percent	cumulative_percent	teaching_status
38	ACTION>GRADE	7	3	0.28	86.06	EXTENDED_PATTERN
39	REFERENT>ACTION>GRADE>CLOSE	7	3	0.28	86.34	EXTENDED_PATTERN
40	ORDER>GRADE>ACTION	7	5	0.28	86.62	EXTENDED_PATTERN
41	GRADE>ACTION>REFERENT	6	4	0.24	86.86	EXTENDED_PATTERN
42	ARGUMENT>ACTION>REFERENT	6	4	0.24	87.10	EXTENDED_PATTERN
43	REFERENT>ARGUMENT	6	5	0.24	87.34	EXTENDED_PATTERN
44	ARGUMENT>CLOSE	6	3	0.24	87.57	EXTENDED_PATTERN
45	ORDER>ACTION>GRADE>CLOSE	6	3	0.24	87.81	EXTENDED_PATTERN
46	REFERENT>ACTION>ARGUMENT>REFERENT	6	6	0.24	88.05	EXTENDED_PATTERN
47	ACTION>ARGUMENT>ORDER	5	5	0.20	88.25	EXTENDED_PATTERN
48	ACTION>REFERENT>ACTION>ARGUMENT	5	5	0.20	88.45	EXTENDED_PATTERN
49	FRAME>ACTION>ARGUMENT	5	5	0.20	88.65	EXTENDED_PATTERN
50	ACTION>ORDER>REFERENT	5	4	0.20	88.85	EXTENDED_PATTERN
51	ACTION>ORDER>CLOSE	5	3	0.20	89.05	EXTENDED_PATTERN
52	REFERENT>ACTION>GRADE>ACTION>ARGUMENT	5	4	0.20	89.25	EXTENDED_PATTERN
53	ACTION>ORDER>ACTION>REFERENT	5	4	0.20	89.45	EXTENDED_PATTERN
54	GRADE>ARGUMENT	5	5	0.20	89.65	EXTENDED_PATTERN
55	ORDER>ARGUMENT>REFERENT	5	2	0.20	89.84	EXTENDED_PATTERN
56	ORDER>ACTION>ORDER	4	1	0.16	90.00	EXTENDED_PATTERN
57	FRAME>ACTION>ORDER	4	3	0.16	90.16	EXTENDED_PATTERN
58	GRADE>REFERENT	4	1	0.16	90.32	EXTENDED_PATTERN
59	ACTION>ARGUMENT>CLOSE	4	3	0.16	90.48	EXTENDED_PATTERN
60	ORDER>ACTION	4	2	0.16	90.64	EXTENDED_PATTERN
61	FRAME>ACTION>REFERENT	4	4	0.16	90.80	EXTENDED_PATTERN
62	REFERENT>ACTION>GRADE>ACTION>CLOSE	4	2	0.16	90.96	EXTENDED_PATTERN
63	ORDER>GRADE>ACTION>REFERENT	4	1	0.16	91.12	EXTENDED_PATTERN
64	ORDER>GRADE>ACTION>GRADE>REFERENT	4	3	0.16	91.28	EXTENDED_PATTERN
65	ACTION>ARGUMENT>GRADE	3	3	0.12	91.40	EXTENDED_PATTERN
66	ACTION>ORDER>ARGUMENT	3	3	0.12	91.52	EXTENDED_PATTERN
67	ACTION>REFERENT>ARGUMENT	3	3	0.12	91.64	EXTENDED_PATTERN
68	ACTION>ARGUMENT>ACTION>ARGUMENT	3	3	0.12	91.76	EXTENDED_PATTERN
69	ACTION>GRADE>ACTION>GRADE>REFERENT	3	3	0.12	91.88	EXTENDED_PATTERN
70	ACTION>ARGUMENT>ACTION>ARGUMENT>REFERENT	3	3	0.12	92.00	EXTENDED_PATTERN
71	ACTION>GRADE>ACTION>CLOSE	3	3	0.12	92.11	EXTENDED_PATTERN
72	REFERENT>ACTION>GRADE>ARGUMENT	3	3	0.12	92.23	EXTENDED_PATTERN
73	ORDER>ACTION>ARGUMENT>REFERENT	3	3	0.12	92.35	EXTENDED_PATTERN
74	ARGUMENT>ORDER>ARGUMENT	3	3	0.12	92.47	EXTENDED_PATTERN
75	ACTION>ARGUMENT>ACTION>GRADE>REFERENT	3	3	0.12	92.59	EXTENDED_PATTERN
76	ARGUMENT>ACTION>CLOSE	3	3	0.12	92.71	EXTENDED_PATTERN
77	ACTION>ORDER>ARGUMENT>REFERENT	3	3	0.12	92.83	EXTENDED_PATTERN
78	REFERENT>ACTION>GRADE>ACTION	3	3	0.12	92.95	EXTENDED_PATTERN
79	ACTION>REFERENT>ACTION	3	3	0.12	93.07	EXTENDED_PATTERN
80	ACTION>GRADE>ORDER>ARGUMENT	3	3	0.12	93.19	EXTENDED_PATTERN
81	GRADE>ACTION	3	2	0.12	93.31	EXTENDED_PATTERN
82	ACTION>GRADE>ACTION>GRADE>ACTION	3	3	0.12	93.43	EXTENDED_PATTERN
83	ARGUMENT>ACTION>GRADE>ACTION	2	1	0.08	93.51	EXTENDED_PATTERN
84	ARGUMENT>ACTION>GRADE	2	1	0.08	93.59	EXTENDED_PATTERN
85	REFERENT>ACTION>ARGUMENT>ACTION>REFERENT	2	2	0.08	93.67	EXTENDED_PATTERN
86	ACTION>ORDER>ACTION>ARGUMENT	2	2	0.08	93.75	EXTENDED_PATTERN
87	ARGUMENT>ACTION>GRADE>ACTION>REFERENT	2	2	0.08	93.83	EXTENDED_PATTERN
88	ACTION>GRADE>ORDER>REFERENT	2	2	0.08	93.91	EXTENDED_PATTERN
89	ACTION>ARGUMENT>ACTION>GRADE>ACTION>REFERENT	2	2	0.08	93.99	EXTENDED_PATTERN
90	ACTION>GRADE>ACTION>GRADE>ARGUMENT>REFERENT	2	2	0.08	94.07	EXTENDED_PATTERN
91	REFERENT>ACTION>GRADE>ACTION>GRADE>REFERENT	2	2	0.08	94.15	EXTENDED_PATTERN
92	FRAME>ACTION>GRADE>ARGUMENT>REFERENT	2	2	0.08	94.23	EXTENDED_PATTERN
93	FRAME>ACTION>GRADE>REFERENT	2	2	0.08	94.31	EXTENDED_PATTERN
94	GRADE>ORDER	2	1	0.08	94.38	EXTENDED_PATTERN
95	ACTION>ORDER>ACTION	2	2	0.08	94.46	EXTENDED_PATTERN
96	ORDER>GRADE>ORDER	2	2	0.08	94.54	EXTENDED_PATTERN
97	FRAME>GRADE>ACTION>ARGUMENT	2	2	0.08	94.62	EXTENDED_PATTERN
98	ARGUMENT>ACTION>GRADE>ARGUMENT>REFERENT	2	2	0.08	94.70	EXTENDED_PATTERN
99	ARGUMENT>REFERENT>CLOSE	2	2	0.08	94.78	EXTENDED_PATTERN
100	GRADE	2	1	0.08	94.86	EXTENDED_PATTERN
101	GRADE>ACTION>GRADE>REFERENT	2	2	0.08	94.94	EXTENDED_PATTERN
102	REFERENT>ACTION>CLOSE	2	1	0.08	95.02	EXTENDED_PATTERN
103	ACTION>ORDER>GRADE>REFERENT	2	1	0.08	95.10	EXTENDED_PATTERN
104	ORDER>ACTION>GRADE>REFERENT	2	2	0.08	95.18	EXTENDED_PATTERN
105	ORDER>REFERENT>ACTION	2	2	0.08	95.26	EXTENDED_PATTERN
106	ORDER>GRADE>ACTION>CLOSE	2	1	0.08	95.34	EXTENDED_PATTERN
107	ORDER>ARGUMENT>CLOSE	2	1	0.08	95.42	EXTENDED_PATTERN
108	FRAME>ACTION>GRADE>ACTION>ORDER	2	1	0.08	95.50	EXTENDED_PATTERN
109	ORDER>REFERENT>ACTION>ORDER	1	1	0.04	95.54	EXTENDED_PATTERN
110	FRAME>ACTION>ORDER>REFERENT	1	1	0.04	95.58	EXTENDED_PATTERN
111	REFERENT>ACTION>GRADE	1	1	0.04	95.62	EXTENDED_PATTERN
112	ACTION>REFERENT>ACTION>REFERENT	1	1	0.04	95.66	EXTENDED_PATTERN
113	REFERENT>ACTION>REFERENT>ACTION>REFERENT	1	1	0.04	95.70	EXTENDED_PATTERN
114	ARGUMENT>REFERENT>ACTION>REFERENT	1	1	0.04	95.74	EXTENDED_PATTERN
115	ACTION>ARGUMENT>ACTION>ARGUMENT>ACTION	1	1	0.04	95.78	EXTENDED_PATTERN
116	REFERENT>ACTION>ORDER>REFERENT	1	1	0.04	95.82	EXTENDED_PATTERN
117	ACTION>GRADE>ARGUMENT>ACTION>REFERENT	1	1	0.04	95.86	EXTENDED_PATTERN
118	ARGUMENT>ACTION>CLOSE>ARGUMENT	1	1	0.04	95.90	EXTENDED_PATTERN
119	ACTION>GRADE>REFERENT>ARGUMENT	1	1	0.04	95.94	EXTENDED_PATTERN
120	ORDER>ARGUMENT>ACTION>REFERENT	1	1	0.04	95.98	EXTENDED_PATTERN
121	ORDER>ACTION>GRADE>ACTION>REFERENT	1	1	0.04	96.02	EXTENDED_PATTERN
122	GRADE>ACTION>GRADE>CLOSE	1	1	0.04	96.06	EXTENDED_PATTERN
123	ACTION>REFERENT>ACTION>GRADE>REFERENT	1	1	0.04	96.10	EXTENDED_PATTERN
124	FRAME	1	1	0.04	96.14	EXTENDED_PATTERN
125	ACTION>ORDER>ACTION>GRADE>REFERENT	1	1	0.04	96.18	EXTENDED_PATTERN
126	ACTION>REFERENT>ACTION>ARGUMENT>REFERENT	1	1	0.04	96.22	EXTENDED_PATTERN
127	ACTION>REFERENT>ACTION>GRADE>ARGUMENT	1	1	0.04	96.26	EXTENDED_PATTERN
128	ACTION>ORDER>ACTION>CLOSE	1	1	0.04	96.30	EXTENDED_PATTERN
129	ACTION>GRADE>CLOSE>ORDER	1	1	0.04	96.34	EXTENDED_PATTERN
130	ARGUMENT>REFERENT>ACTION>ARGUMENT	1	1	0.04	96.38	EXTENDED_PATTERN
131	REFERENT>ACTION>ORDER	1	1	0.04	96.42	EXTENDED_PATTERN
132	GRADE>CLOSE	1	1	0.04	96.46	EXTENDED_PATTERN
133	ARGUMENT>ACTION>REFERENT>ACTION>GRADE>ARGUMENT	1	1	0.04	96.50	EXTENDED_PATTERN
134	FRAME>ACTION	1	1	0.04	96.54	EXTENDED_PATTERN
135	ARGUMENT>ACTION>ORDER>REFERENT>ARGUMENT	1	1	0.04	96.58	EXTENDED_PATTERN
136	ACTION>GRADE>ARGUMENT>GRADE>REFERENT	1	1	0.04	96.61	EXTENDED_PATTERN
137	ARGUMENT>ACTION>GRADE>ARGUMENT	1	1	0.04	96.65	EXTENDED_PATTERN
138	REFERENT>ACTION>GRADE>ARGUMENT>REFERENT	1	1	0.04	96.69	EXTENDED_PATTERN
139	FRAME>ACTION>ARGUMENT>ACTION>REFERENT	1	1	0.04	96.73	EXTENDED_PATTERN
140	ARGUMENT>GRADE>CLOSE	1	1	0.04	96.77	EXTENDED_PATTERN
141	ACTION>ARGUMENT>ACTION>GRADE>ARGUMENT>REFERENT>ACTION>ARGUMENT	1	1	0.04	96.81	EXTENDED_PATTERN
142	FRAME>GRADE>ACTION>REFERENT	1	1	0.04	96.85	EXTENDED_PATTERN
143	ACTION>GRADE>ORDER>ACTION>ARGUMENT	1	1	0.04	96.89	EXTENDED_PATTERN
144	ORDER>ACTION>GRADE>ORDER	1	1	0.04	96.93	EXTENDED_PATTERN
145	FRAME>GRADE>ACTION>GRADE>REFERENT	1	1	0.04	96.97	EXTENDED_PATTERN
146	ARGUMENT>ACTION>GRADE>REFERENT	1	1	0.04	97.01	EXTENDED_PATTERN
147	FRAME>ACTION>ARGUMENT>ACTION	1	1	0.04	97.05	EXTENDED_PATTERN
148	ORDER>FRAME>ACTION	1	1	0.04	97.09	EXTENDED_PATTERN
149	ACTION>ORDER>ARGUMENT>ORDER	1	1	0.04	97.13	EXTENDED_PATTERN
150	ARGUMENT>GRADE>ARGUMENT>REFERENT	1	1	0.04	97.17	EXTENDED_PATTERN
151	REFERENT>CLOSE	1	1	0.04	97.21	EXTENDED_PATTERN
152	FRAME>ACTION>GRADE>ACTION>GRADE>CLOSE	1	1	0.04	97.25	EXTENDED_PATTERN
153	GRADE>ACTION>ORDER	1	1	0.04	97.29	EXTENDED_PATTERN
154	GRADE>ACTION>ARGUMENT>REFERENT	1	1	0.04	97.33	EXTENDED_PATTERN
155	ACTION>GRADE>ACTION>ORDER	1	1	0.04	97.37	EXTENDED_PATTERN
156	ARGUMENT>GRADE>REFERENT	1	1	0.04	97.41	EXTENDED_PATTERN
157	FRAME>GRADE>ARGUMENT>REFERENT	1	1	0.04	97.45	EXTENDED_PATTERN
158	ACTION>GRADE>ACTION>GRADE>CLOSE	1	1	0.04	97.49	EXTENDED_PATTERN
159	FRAME>ACTION>ARGUMENT>REFERENT	1	1	0.04	97.53	EXTENDED_PATTERN
160	FRAME>GRADE>CLOSE	1	1	0.04	97.57	EXTENDED_PATTERN
161	ACTION>GRADE>ARGUMENT>ORDER	1	1	0.04	97.61	EXTENDED_PATTERN
162	ACTION>REFERENT>ACTION>CLOSE	1	1	0.04	97.65	EXTENDED_PATTERN
163	FRAME>ACTION>CLOSE	1	1	0.04	97.69	EXTENDED_PATTERN
164	ARGUMENT>ORDER>ACTION	1	1	0.04	97.73	EXTENDED_PATTERN
165	ACTION>ARGUMENT>ACTION>ORDER>GRADE>ACTION	1	1	0.04	97.77	EXTENDED_PATTERN
166	GRADE>ACTION>ORDER>ACTION>REFERENT	1	1	0.04	97.81	EXTENDED_PATTERN
167	GRADE>ACTION>REFERENT>ARGUMENT>REFERENT	1	1	0.04	97.85	EXTENDED_PATTERN
168	ARGUMENT>ACTION>GRADE>ACTION>ARGUMENT>REFERENT	1	1	0.04	97.89	EXTENDED_PATTERN
169	REFERENT>ACTION>REFERENT>ACTION	1	1	0.04	97.93	EXTENDED_PATTERN
170	ARGUMENT>ORDER>ACTION>ARGUMENT>ACTION>CLOSE	1	1	0.04	97.97	EXTENDED_PATTERN
171	REFERENT>ARGUMENT>ACTION	1	1	0.04	98.01	EXTENDED_PATTERN
172	REFERENT>GRADE>ARGUMENT	1	1	0.04	98.05	EXTENDED_PATTERN
173	ARGUMENT>GRADE	1	1	0.04	98.09	EXTENDED_PATTERN
174	ORDER>ARGUMENT>ACTION	1	1	0.04	98.13	EXTENDED_PATTERN
175	ACTION>ORDER>GRADE	1	1	0.04	98.17	EXTENDED_PATTERN
176	ACTION>ARGUMENT>REFERENT>CLOSE	1	1	0.04	98.21	EXTENDED_PATTERN
177	ACTION>GRADE>ARGUMENT>GRADE	1	1	0.04	98.25	EXTENDED_PATTERN
178	REFERENT>GRADE>ACTION>GRADE>ACTION	1	1	0.04	98.29	EXTENDED_PATTERN
179	ORDER>ACTION>GRADE>ARGUMENT	1	1	0.04	98.33	EXTENDED_PATTERN
180	ACTION>ARGUMENT>GRADE>ACTION	1	1	0.04	98.37	EXTENDED_PATTERN
181	REFERENT>ARGUMENT>ORDER>REFERENT	1	1	0.04	98.41	EXTENDED_PATTERN
182	REFERENT>ACTION>ARGUMENT>ACTION	1	1	0.04	98.45	EXTENDED_PATTERN
183	FRAME>GRADE>REFERENT>ACTION>GRADE>REFERENT	1	1	0.04	98.49	EXTENDED_PATTERN
184	GRADE>ACTION>GRADE>ARGUMENT	1	1	0.04	98.53	EXTENDED_PATTERN
185	GRADE>ACTION>ARGUMENT	1	1	0.04	98.57	EXTENDED_PATTERN
186	ACTION>REFERENT>ACTION>ORDER>REFERENT	1	1	0.04	98.61	EXTENDED_PATTERN
187	ORDER>REFERENT>ARGUMENT>REFERENT	1	1	0.04	98.65	EXTENDED_PATTERN
188	ARGUMENT>ORDER>ACTION>REFERENT	1	1	0.04	98.69	EXTENDED_PATTERN
189	FRAME>GRADE>ARGUMENT	1	1	0.04	98.73	EXTENDED_PATTERN
190	ACTION>REFERENT>ARGUMENT>REFERENT	1	1	0.04	98.77	EXTENDED_PATTERN
191	ACTION>GRADE>REFERENT>ACTION>REFERENT	1	1	0.04	98.81	EXTENDED_PATTERN
192	GRADE>REFERENT>ACTION>GRADE>ACTION>CLOSE	1	1	0.04	98.85	EXTENDED_PATTERN
193	REFERENT>GRADE>ACTION>GRADE>REFERENT	1	1	0.04	98.88	EXTENDED_PATTERN
194	REFERENT>ACTION>GRADE>ACTION>REFERENT	1	1	0.04	98.92	EXTENDED_PATTERN
195	REFERENT>ACTION>REFERENT>ARGUMENT	1	1	0.04	98.96	EXTENDED_PATTERN
196	ACTION>GRADE>ACTION>GRADE>ARGUMENT>GRADE>ACTION	1	1	0.04	99.00	EXTENDED_PATTERN
197	ORDER>GRADE>REFERENT>ACTION	1	1	0.04	99.04	EXTENDED_PATTERN
198	REFERENT>ACTION>GRADE>REFERENT>CLOSE	1	1	0.04	99.08	EXTENDED_PATTERN
199	ACTION>ARGUMENT>REFERENT>ARGUMENT>REFERENT	1	1	0.04	99.12	EXTENDED_PATTERN
200	ACTION>GRADE>REFERENT>ACTION	1	1	0.04	99.16	EXTENDED_PATTERN
201	ARGUMENT>REFERENT>ACTION	1	1	0.04	99.20	EXTENDED_PATTERN
202	ACTION>GRADE>ACTION>ARGUMENT>ACTION>ARGUMENT	1	1	0.04	99.24	EXTENDED_PATTERN
203	ACTION>ORDER>GRADE>ARGUMENT	1	1	0.04	99.28	EXTENDED_PATTERN
204	ORDER>ARGUMENT>ACTION>ARGUMENT	1	1	0.04	99.32	EXTENDED_PATTERN
205	ACTION>ARGUMENT>ACTION>GRADE>ARGUMENT	1	1	0.04	99.36	EXTENDED_PATTERN
206	ORDER>REFERENT>ACTION>GRADE>REFERENT	1	1	0.04	99.40	EXTENDED_PATTERN
207	ORDER>ACTION>GRADE>ACTION	1	1	0.04	99.44	EXTENDED_PATTERN
208	ARGUMENT>GRADE>ACTION>GRADE>CLOSE	1	1	0.04	99.48	EXTENDED_PATTERN
209	ORDER>GRADE>ACTION>GRADE>ACTION	1	1	0.04	99.52	EXTENDED_PATTERN
210	ACTION>REFERENT>CLOSE	1	1	0.04	99.56	EXTENDED_PATTERN
211	ACTION>GRADE>ORDER>ACTION>GRADE>REFERENT	1	1	0.04	99.60	EXTENDED_PATTERN
212	REFERENT>ACTION>ORDER>ARGUMENT	1	1	0.04	99.64	EXTENDED_PATTERN
213	ARGUMENT>GRADE>ACTION>CLOSE	1	1	0.04	99.68	EXTENDED_PATTERN
214	ORDER>ARGUMENT>ACTION>GRADE>ACTION>REFERENT	1	1	0.04	99.72	EXTENDED_PATTERN
215	ACTION>ORDER>ARGUMENT>ACTION>ARGUMENT	1	1	0.04	99.76	EXTENDED_PATTERN
216	ARGUMENT>ORDER>GRADE>REFERENT	1	1	0.04	99.80	EXTENDED_PATTERN
217	REFERENT>ACTION>GRADE>ACTION>ARGUMENT>REFERENT	1	1	0.04	99.84	EXTENDED_PATTERN
218	ORDER>REFERENT>GRADE	1	1	0.04	99.88	EXTENDED_PATTERN
219	ACTION>ARGUMENT>ORDER>ACTION>ARGUMENT	1	1	0.04	99.92	EXTENDED_PATTERN
220	ACTION>ARGUMENT>REFERENT>ACTION>REFERENT>GRADE>ACTION	1	1	0.04	99.96	EXTENDED_PATTERN
221	FRAME>ACTION>GRADE>ACTION>GRADE>ARGUMENT	1	1	0.04	100.00	EXTENDED_PATTERN
