visible_surface	master_card_id	semantic_atoms	stable_surface_host	surface_entry_prefix	renderer_gesture	is_master_form	family_class	meaning_preserved
oky	MC026	OK+Y	oky	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qoky	MC026	OK+Y	oky	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
oykchor	MC027	Y+KCH+OR	oykchor	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
olchedy	MC028	OL+CHD+CLOSE	olchedy	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qolchedy	MC028	OL+CHD+CLOSE	olchedy	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
lar	MC029	L+AR	lar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lo	MC030	L	lo	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dalchdy	MC031	AL+CHD+CLOSE	dalchdy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheeky	MC032	CHK+EE+Y	cheeky	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
oiiin	MC033	IIN	oiiin	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
soiiin	MC033	IIN	oiiin	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
cho	MC034	HO	ho	c	OTHER_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
sho	MC034	HO	ho	s	S_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
chckhy	MC035	CKH+Y	hckhy	c	OTHER_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
shckhy	MC035	CKH+Y	hckhy	s	S_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
solkaiin	MC036	SOLK+AIIN	solkaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
tchody	MC037	HO+CLOSE	tchody	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lshedy	MC038	WASH+CLOSE	lshedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
aiin	MC039	AIIN	aiin	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
chaiin	MC039	AIIN	aiin	ch	CH_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
daiin	MC039	AIIN	aiin	d	D_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
saiin	MC039	AIIN	aiin	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
taiin	MC039	AIIN	aiin	t	T_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
okal	MC040	OK+AL	okal	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokal	MC040	OK+AL	okal	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
okchol	MC041	OK+OL	okchol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheedar	MC042	CHD+AR	cheedar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
shecthedchy	MC043	CTH+CHD+Y	shecthedchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokar	MC044	OK+AR	qokar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
olkeedy	MC045	SOLK+EE+CLOSE	olkeedy	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
solkeedy	MC045	SOLK+EE+CLOSE	olkeedy	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
raly	MC046	AL+Y	raly	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ykain	MC047	Y+AIN	ykain	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kaiiin	MC048	IIN	kaiiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
schoal	MC049	HO+AL	schoal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
solkey	MC050	SOLK+E+Y	solkey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lchedal	MC051	L+CHD+AL	lchedal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qekey	MC052	KCH+E+Y	qekey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otol	MC053	OT+OL	otol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokaly	MC054	OK+AL+Y	qokaly	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
char	MC055	AR	ar	ch	CH_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
dar	MC055	AR	ar	d	D_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
sar	MC055	AR	ar	s	S_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
ral	MC056	AL	ral	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otchedy	MC057	OT+CHD+CLOSE	otchedy	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qotchedy	MC057	OT+CHD+CLOSE	otchedy	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sheckhal	MC058	CKH+E+AL	sheckhal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dain	MC059	DAIN	dain	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otaiin	MC060	OT+AIIN	otaiin	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sotaiin	MC060	OT+AIIN	otaiin	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sshkchdy	MC061	SH+KCH+CHD+CLOSE	sshkchdy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
shoyty	MC062	HO+Y+TY	shoyty	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
oteey	MC063	OT+EE+Y	oteey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chedchy	MC064	CHD+Y	chedchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ls	MC065	L	ls	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lcheey	MC066	L+CHEEY	lcheey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otchdy	MC067	OT+CHD+CLOSE	otchdy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
sotodan	MC068	OT+DAN	sotodan	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otytchol	MC069	OT+TY+OL	otytchol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
pchedy	MC070	P+CHD+CLOSE	pchedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dchey	MC071	DCHE+Y	dchey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
orain	MC072	OR+AIN	orain	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qcthey	MC073	CTH+E+Y	cthey	q	Q_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
shcthey	MC073	CTH+E+Y	cthey	sh	SH_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
chdy	MC074	CHD+Y	dy	ch	CH_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
chedy	MC074	CHD+Y	dy	che	CH_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
ycheor	MC075	Y+CHEO+OR	ycheor	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dsheol	MC076	SH+E+OL	dsheol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kchal	MC077	KCH+AL	kchal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
olsaly	MC078	AL+Y	olsaly	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
daldy	MC079	AL+CLOSE	daldy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chor	MC080	OR	or	ch	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
or	MC080	OR	or	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
shor	MC080	OR	or	sh	SH_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sor	MC080	OR	or	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
okair	MC081	OK+AIR	okair	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokeedy	MC082	OK+EE+CLOSE	qokeedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokedy	MC083	OK+E+CLOSE	qokedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
rshedy	MC084	WASH+CLOSE	rshedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheoar	MC085	CHEO+AR	cheoar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chety	MC086	PARTITION+TY	ty	che	CH_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
chty	MC086	PARTITION+TY	ty	ch	CH_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
chodaiin	MC087	HO+AIIN	chodaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokchdy	MC088	OK+CHD+CLOSE	qokchdy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
skar	MC089	SK+AR	skar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kchol	MC090	KCH+OL	kchol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dairydy	MC091	AIR+Y+CLOSE	dairydy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lol	MC092	L+OL	lol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otal	MC093	OT+AL	otal	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qotal	MC093	OT+AL	otal	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
cheeety	MC094	EEE+TY	cheeety	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
sheey	MC095	SH+EE+Y	sheey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokeedal	MC096	OK+EE+AL	qokeedal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
olkain	MC097	OL+AIN	olkain	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qolkain	MC097	OL+AIN	olkain	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
tshol	MC098	HO+L	tshol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheeckhody	MC099	EE+CKH+HO+CLOSE	cheeckhody	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ody	MC100	ODY	ody	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ldalor	MC101	AL	ldalor	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
rsheal	MC102	SH+E+AL	rsheal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chokchy	MC103	OK+Y	okchy	ch	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
okchy	MC103	OK+Y	okchy	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokchy	MC103	OK+Y	okchy	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
keol	MC104	E+OL	keol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chkain	MC105	AIN	kain	ch	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
kain	MC105	AIN	kain	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
teol	MC106	E+OL	teol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qotchy	MC107	OT+Y	qotchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
etyd	MC108	E+TY	etyd	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ytey	MC109	Y+E+TY	ytey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chkeedy	MC110	CHK+EE+CLOSE	chkeedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
shfydaiin	MC111	SH+AIIN	shfydaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
octheol	MC112	CTH+OL	octheol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
shedal	MC113	SHED+AL	shedal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
sh	MC114	SH	sh	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qoctholy	MC115	CTH+OL+Y	qoctholy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
schedair	MC116	AIR	schedair	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kchy	MC117	KCH+Y	kchy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ly	MC118	L+Y	ly	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheey	MC119	CHEEY	ey	che	CH_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
shey	MC119	CHEEY	ey	sh	SH_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
okaiin	MC120	OK+AIIN	okaiin	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qokaiin	MC120	OK+AIIN	okaiin	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
otar	MC121	OT+AR	otar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kchey	MC122	KCH+E+Y	kchey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chey	MC123	Y	y	che	CH_ENTRY	YES	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	YES
chy	MC123	Y	y	ch	CH_ENTRY	NO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	YES
dy	MC123	Y	y	d	D_ENTRY	NO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	YES
shy	MC123	Y	y	sh	SH_ENTRY	NO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	YES
sy	MC123	Y	y	s	S_ENTRY	NO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	YES
y	MC123	Y	y	ZERO	ZERO	NO	MINIMAL_HOST__LEARN_ALLOGRAPH_SET	YES
lkedy	MC124	L+E+CLOSE	lkedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chochor	MC125	HO+OR	chochor	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
pchedal	MC126	P+CHD+AL	pchedal	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lched	MC127	L+CHD	lched	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheedy	MC128	SHED+E+CLOSE	edy	che	CH_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
shedy	MC128	SHED+E+CLOSE	edy	sh	SH_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
tedy	MC128	SHED+E+CLOSE	edy	t	T_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
cfhy	MC129	CFH+Y	cfhy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lsho	MC130	WASH	lsho	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
choy	MC131	HO+Y	choy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
sheckhy	MC132	CKH+E+Y	sheckhy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lcheckhedy	MC133	L+CKHE+CLOSE	lcheckhedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qolky	MC134	OL	qolky	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otedy	MC135	OT+E+CLOSE	otedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
kchoar	MC136	CHEO+AR	kchoar	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
shecthy	MC137	CTH+E+Y	shecthy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dshedy	MC138	SHED+E+CLOSE	dshedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dchdy	MC139	CHD+CLOSE	dchdy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokeeedy	MC140	OK+EEE+CLOSE	qokeeedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
tshey	MC141	CHEEY	tshey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
dchol	MC142	DCHOL	chol	d	D_ENTRY	YES	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
schol	MC142	DCHOL	chol	s	S_ENTRY	NO	BOUND_STABLE_HOST_PLUS_ENTRIES	YES
shckhedy	MC143	CKHE+CLOSE	shckhedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chldaiin	MC144	SHED+AIIN	chldaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chedain	MC145	CHD+AIN	chedain	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chealror	MC146	AL+OR	chealror	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheky	MC147	CHK+E+Y	cheky	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ykan	MC148	Y+AIN	ykan	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
solshedy	MC149	OL+SHED+CLOSE	solshedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
okeeol	MC150	OK+EE+OL	okeeol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokshedy	MC151	OK+SHED+CLOSE	qokshedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ches	MC152	PARTITION	ches	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cheol	MC153	OL	ol	che	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
chol	MC153	OL	ol	ch	CH_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
ol	MC153	OL	ol	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qol	MC153	OL	ol	q	Q_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sol	MC153	OL	ol	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
tol	MC153	OL	ol	t	T_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
al	MC154	AL	al	ZERO	ZERO	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
chal	MC154	AL	al	ch	CH_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
cheal	MC154	AL	al	che	CH_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
dal	MC154	AL	al	d	D_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
sal	MC154	AL	al	s	S_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
tal	MC154	AL	al	t	T_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
lchedy	MC155	L+CHD+CLOSE	lchedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cphy	MC156	CPH+Y	cphy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cholor	MC157	OL+OR	olor	ch	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
olor	MC157	OL+OR	olor	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
cthoor	MC158	CTH+OR	cthoor	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
os	MC159	OS	os	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
talam	MC160	AL+AM	talam	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
checthy	MC161	CTH+Y	cthy	che	CH_ENTRY	YES	FREE_STABLE_HOST_PLUS_ENTRIES	YES
cthy	MC161	CTH+Y	cthy	ZERO	ZERO	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
shcthy	MC161	CTH+Y	cthy	sh	SH_ENTRY	NO	FREE_STABLE_HOST_PLUS_ENTRIES	YES
qolchey	MC162	OL+Y	qolchey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qotchol	MC163	OT+OL	qotchol	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qokylddy	MC164	OK+Y+LDDY	qokylddy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qockhey	MC165	OK+CKH+E+Y	qockhey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
chkeey	MC166	CHK+EE+Y	chkeey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lochedy	MC167	L+CHD+CLOSE	lochedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
lcheckhy	MC168	L+CKH+Y	lcheckhy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
cthaiin	MC169	CTH+AIIN	cthaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
ykaiin	MC170	Y+AIIN	ykaiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
otchey	MC171	OT+Y	otchey	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
daiiin	MC172	IIN	daiiin	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
qoteedy	MC173	OT+EE+CLOSE	qoteedy	ZERO	ZERO	YES	SINGLE_REGISTERED_FORM	YES
