master_card_id	portable_value_de	target_station_ids	target_occurrences	all_occurrences	outside_station_occurrences	page_count	pages	visible_owner_count	portability_class	dictionary_action	station_expansion_rule	outside_examples
MC055	davon	F83_STATION_1	1	5	4	4	f10r|f81v|f82r|f83r	4	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E003:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E031:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E105:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld
MC064	Postentransfer	F83_STATION_2	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC073	kurz vorbereiten	F83_STATION_3	1	2	1	2	f82r|f83r	2	TENTATIVE_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E204:f82r:unteres grünes Mehrfigurenfeld
MC074	überführen	F83_STATION_2|F83_STATION_3	2	11	9	3	f55v|f81v|f83r	8	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E062:f55v:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT || E123:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E145:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld
MC080	Ansatz	F83_STATION_3	1	7	6	3	f10r|f55v|f83r	4	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E017:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E025:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E033:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
MC081	Laufeinsatz	F83_STATION_3	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC082	lange einwirken; Schluss	F83_STATION_2	1	10	9	2	f82r|f83r	6	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E171:f82r:obere Paarbecken-/Zylinderstation || E201:f82r:ungelöste mittlere rechte Linie-/Liegepodeststation || E213:f82r:lokale Randstationen des unteren Feldes
MC083	kurz einwirken; Schluss	F83_STATION_3	1	8	7	2	f81v|f83r	3	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E101:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E137:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E138:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld
MC093	danach dorthin	F83_STATION_1	2	3	1	1	f83r	2	TENTATIVE_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E320:f83r:Hauptpaar am sichtbaren ungerichteten Bogen
MC105	Portion	F83_STATION_3	1	3	2	2	f81v|f83r	3	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E107:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E354:f83r:linke offene Fransen-/Unterlaufstation
MC110	Langwärmen; Schluss	F83_STATION_1	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC120	bemessen	F83_STATION_1|F83_STATION_2|F83_STATION_3	3	9	6	4	f55v|f81v|f82r|f83r	8	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E056:f55v:WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT || E102:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E180:f82r:obere Paarbecken-/Zylinderstation
MC123	dies	F83_STATION_1	2	18	16	6	f10r|f11r|f55v|f81v|f82r|f83r	10	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E020:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E021:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB || E023:f10r:WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB
MC126	Zielzuführung	F83_STATION_3	1	1	0	1	f83r	1	LOCAL_LEARNED_WHOLE_CARD	KEEP_AS_LOCAL_WHOLE_CARD_ONLY	Add the visible station noun locally; do not insert it into the card value.	NONE_OUTSIDE_TARGET
MC128	kurz absetzen; Schluss	F83_STATION_3	1	12	11	3	f81v|f82r|f83r	7	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E125:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E136:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld || E155:f81v:gemeinsames zweireihiges Figuren-/Beckenfeld
MC135	Kurzfolge; Schluss	F83_STATION_3	1	2	1	1	f83r	2	TENTATIVE_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E307:f83r:Hauptpaar am sichtbaren ungerichteten Bogen
MC155	abführen; Schluss	F83_STATION_1|F83_STATION_2|F83_STATION_3	3	8	5	2	f82r|f83r	7	STRONG_PORTABLE_ACTION_OR_CONTROL	KEEP_GENERIC_PORTABLE_VALUE	Add the visible station noun locally; do not insert it into the card value.	E210:f82r:unteres grünes Mehrfigurenfeld || E269:f83r:ungelöster Zwischenposten zwischen Randstapel und Hauptpaar || E282:f83r:ungelöster Zwischenposten zwischen Randstapel und Hauptpaar
