event_id	statement_id	locus	station_id	visible_owner_id	visible_owner_de	surface	card_no	component_parse	invariant_card_reading_de	primitive	minimum_source_clause_de	terminal	global_network_edge
E194	B2-S010	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	qokeey	PROC092	OK+EE+Y	ansetzen · länger · dies	HOLD_STATE	ansetzen länger dies	NO	NONE
E195	B2-S010	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	qoky	PROC008	OK+Y	ansetzen · dies	ACTIVATE_CHARGE	ansetzen dies	NO	NONE
E196	B2-S010	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	ls	PROC115	LS	fortsetzen	CONTINUE_USE	fortsetzen	NO	NONE
E197	B2-S010	f82r.7	ST02	B2_MIDDLE_LEFT_DEVICE_AND_INLINE_NODE	mittleres linkes Handgerät mit Inline-Knoten	cheey	PROC031	WHOLE[cheey|shey]	Empfangsbestand	HOLD_STATE	Empfangsbestand	NO	NONE
E198	B2-S011	f82r.19	ST03	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte, bildlich unklare Station	okain	PROC080	OK+AIN	ansetzen · Portion	ACTIVATE_CHARGE	ansetzen Portion	NO	NONE
E199	B2-S011	f82r.19	ST03	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte, bildlich unklare Station	char	PROC003	AR	von dort	ACTIVATE_CHARGE	von dort	NO	NONE
E200	B2-S011	f82r.19	ST03	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte, bildlich unklare Station	okain	PROC080	OK+AIN	ansetzen · Portion	ACTIVATE_CHARGE	ansetzen Portion	NO	NONE
E201	B2-S011	f82r.19	ST03	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte, bildlich unklare Station	qokeedy	PROC100	OK+EE+DY	ansetzen · länger · Schluss	HOLD_STATE>CLOSE	ansetzen länger Schluss	YES	NONE
E202	B2-S012	f82r.19	ST03	B2_MIDDLE_RIGHT_AMBIGUOUS_STATION	mittlere rechte, bildlich unklare Station	lchy	PROC116	L+CH+Y	führen · abziehen · dies	SOURCE_DRAW	führen abziehen dies	NO	NONE
E203	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	cheey	PROC031	WHOLE[cheey|shey]	Empfangsbestand	HOLD_STATE	Empfangsbestand	NO	NONE
E204	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	qcthey	PROC117	CTH+E+Y	bereit · kurz · dies	HOLD_STATE	bereit kurz dies	NO	NONE
E205	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	qokeey	PROC092	OK+EE+Y	ansetzen · länger · dies	HOLD_STATE	ansetzen länger dies	NO	NONE
E206	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	lcheey	PROC118	L+EE+Y	führen · länger · dies	SOURCE_DRAW	führen länger dies	NO	NONE
E207	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	daiin	PROC009	AIIN	Maß	METER_CHECK	Maß	NO	NONE
E208	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	chey	PROC019	Y	dies	CONTINUE_USE	dies	NO	NONE
E209	B2-S012	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	qokeeedy	PROC119	OK+EEE+DY	ansetzen · vollständig · Schluss	HOLD_STATE>CLOSE	ansetzen vollständig Schluss	YES	NONE
E210	B2-S013	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	lchedy	PROC120	L+CHD+DY	führen · umsetzen · Schluss	MOVE_PASS>CLOSE	führen umsetzen Schluss	YES	NONE
E211	B2-S014	f82r.23	ST04	B2_LOWER_GREEN_MULTI_FIGURE_POOL	unteres grünes Mehrfigurenbecken	lar	PROC121	L+AR	führen · von dort	SOURCE_DRAW	führen von dort	NO	NONE
E212	B2-S015	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	tshey	PROC122	SH+E+Y	halten · kurz · dies	HOLD_STATE	halten kurz dies	NO	NONE
E213	B2-S015	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	qokeedy	PROC100	OK+EE+DY	ansetzen · länger · Schluss	HOLD_STATE>CLOSE	ansetzen länger Schluss	YES	NONE
E214	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	cheal	PROC055	AL	Zielstelle	TARGET_HANDOFF	Zielstelle	NO	NONE
E215	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	lchedar	PROC123	L+CHD+AR	führen · umsetzen · von dort	SOURCE_DRAW	führen umsetzen von dort	NO	NONE
E216	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	ches	PROC124	WHOLE[ches]	teilen	ACTIVATE_CHARGE	teilen	NO	NONE
E217	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	aiin	PROC009	AIIN	Maß	METER_CHECK	Maß	NO	NONE
E218	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	oteey	PROC109	OT+EE+Y	danach · länger · dies	HOLD_STATE	danach länger dies	NO	NONE
E219	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	qokaiin	PROC038	OK+AIIN	ansetzen · Maß	METER_CHECK	ansetzen Maß	NO	NONE
E220	B2-S016	f82r.26	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	okey	PROC085	OK+E+Y	ansetzen · kurz · dies	HOLD_STATE	ansetzen kurz dies	NO	NONE
E221	B2-S016	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	pchedy	PROC125	P+CHD+DY	hinein · umsetzen · Schluss	MOVE_PASS>CLOSE	hinein umsetzen Schluss	YES	NONE
E222	B2-S017	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	rsheal	PROC126	R+SH+E+AL	abkühlen · halten · kurz · Zielstelle	HOLD_STATE	abkühlen halten kurz Zielstelle	NO	NONE
E223	B2-S017	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	daldy	PROC127	AL+DY	Zielstelle · Schluss	TARGET_HANDOFF>CLOSE	Zielstelle Schluss	YES	NONE
E224	B2-S018	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	qokeedy	PROC100	OK+EE+DY	ansetzen · länger · Schluss	HOLD_STATE>CLOSE	ansetzen länger Schluss	YES	NONE
E225	B2-S019	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	rshedy	PROC128	R+SHED+DY	abkühlen · absetzen · Schluss	HOLD_STATE>CLOSE	abkühlen absetzen Schluss	YES	NONE
E226	B2-S020	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	qoteedy	PROC129	OT+EE+DY	danach · länger · Schluss	HOLD_STATE>CLOSE	danach länger Schluss	YES	NONE
E227	B2-S021	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	qokeedy	PROC100	OK+EE+DY	ansetzen · länger · Schluss	HOLD_STATE>CLOSE	ansetzen länger Schluss	YES	NONE
E228	B2-S022	f82r.27	ST05	B2_LOWER_POOL_EDGE_STATIONS	kleine Randstationen des unteren Beckens	lochedy	PROC130	L+O+CHD+DY	führen · Arbeitsgang · umsetzen · Schluss	MOVE_PASS>CLOSE	führen Arbeitsgang umsetzen Schluss	YES	NONE
