atom	working_value_de	factor_family	semantic_layer	decision	portable_rule_de	source_dictionary
OR	EINHEIT	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	GDT412
L	VERBINDUNG	RELATION	PORTABLE_BROAD_WORKING_CORE	KEEP	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	GDT412
T	EINSTELLEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
AIN	ANTEIL	ARGUMENT	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	GDT412
R	MARKIEREN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
P	EINSETZEN	ACTION_HEAD	PORTABLE_BROAD_WORKING_CORE	KEEP	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	GDT412
AIR	BAHN	RELATION	PORTABLE_BROAD_WORKING_CORE	KEEP	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	GDT412
E	GRAD I	GRADE	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
EE	GRAD II	GRADE	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
EEE	GRAD III	GRADE	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
DY	SCHLUSS	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
O	AUSFÜHRUNG	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
CARRIER_Q	BEGINNMARKER	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
IIN	STUFE	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
DA	ZWEITE STUFE	FORMAL_CONTROL	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
D_ADDR	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
AM_ADDR	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
A_ADDR	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
S_ADDR	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
LOCAL_CHAR_F	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
D_LABEL	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
S_LABEL	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
M_LOCAL	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
Z_ADDR	HIER	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
G_LABEL	VARIANTE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
LOCAL_CHAR_G	VARIANTE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
LOCAL_CHAR_I	VARIANTE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
LOCAL_CHAR_B	VARIANTE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
LOCAL_CHAR_J	VARIANTE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
LOCAL_CHAR_Z	VARIANTE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
HO	KLASSE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
AN	KLASSE	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
OS	VORBEZUG	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
RESUME_CARD	VORBEZUG	LOCAL_OR_CLASS_SIGN	FORMAL_OR_LOCAL_CONTROL	KEEP_CONTROL	VALUE_LOCKED__NEW_VISIBLE_COMPOSITIONS_ALLOWED	GDT405
