target_recipe	target_is_exact_catalog_key	target_identity_route	source_neighbor_edge_count	distinct_source_recipe_count	source_recipes	mutation_families	unique_sampled_context_count	sampled_page_count	sampled_pages	green_context_count	amber_context_count	stop_context_count	observed_context_robustness	stop_factor_rules	deck_instruction	identity_is_not_inferred_from_robustness	occurrence_is_not_predicted_from_robustness
AIIN+CH+AIR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+AIR	SAME_CLASS_SUBSTITUTION	1	1	f18r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+E+O	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+E+O	SAME_CLASS_SUBSTITUTION	1	1	f89r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+E+O+D_ADDR+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+E+O+D_ADDR+Y	SAME_CLASS_SUBSTITUTION	1	1	f67r2	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+E+O+L	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+E+O+L	SAME_CLASS_SUBSTITUTION	1	1	f24v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+E+O+R	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+E+O+R	SAME_CLASS_SUBSTITUTION	1	1	f10r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+K	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+K	SAME_CLASS_SUBSTITUTION	1	1	f18r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+K+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+K+Y	SAME_CLASS_SUBSTITUTION	1	1	f17r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+O	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+O	SAME_CLASS_SUBSTITUTION	1	1	f1r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+O+CH+P+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+O+CH+P+Y	SAME_CLASS_SUBSTITUTION	1	1	f56r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+O+D_ADDR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CH+O+D_ADDR	SAME_CLASS_SUBSTITUTION	1	1	f17r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CH+OR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	OR+CH+OR	SAME_CLASS_SUBSTITUTION	1	1	f88r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CHD	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	CHD+AIIN	ADJACENT_SWAP	8	5	f67r2|f72r|f77r|f83r|f95v	8	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+CHD+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+CHD+Y	SAME_CLASS_SUBSTITUTION	1	1	f81r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+DA+AM_ADDR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+DA+AM_ADDR	SAME_CLASS_SUBSTITUTION	2	2	f67r2|f89r	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+DY	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+DY	SAME_CLASS_SUBSTITUTION	1	1	f82r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+DY+D_LABEL	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+DY+D_LABEL	SAME_CLASS_SUBSTITUTION	1	1	f1r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	AIN+D_ADDR	SAME_CLASS_SUBSTITUTION	1	1	f24v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+AIIN	SAME_CLASS_SUBSTITUTION	5	4	f18r|f24v|f67r2|f89r	5	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+AIR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+AIR	SAME_CLASS_SUBSTITUTION	2	2	f17r|f89r	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+AR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+AR	SAME_CLASS_SUBSTITUTION	1	1	f17r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+AR+A_ADDR+LOCAL_CHAR_I+SH+Y	SAME_CLASS_SUBSTITUTION	1	1	f1r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+CH+O+S	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+CH+O+S	SAME_CLASS_SUBSTITUTION	1	1	f67r2	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+O+IIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+O+IIN	SAME_CLASS_SUBSTITUTION	1	1	f1r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+OL+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+D_ADDR+OL+Y	SAME_CLASS_SUBSTITUTION	1	1	f67r2	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+D_ADDR+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	D_ADDR+AIIN+Y	ADJACENT_SWAP	2	2	f55v|f89r	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+E+K+EE+S	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+E+K+EE+S	SAME_CLASS_SUBSTITUTION	1	1	f67r2	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K	NO	IDENTITY_NEW_VISIBLE_RECIPE	2	2	K+AIIN|Y+K	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	7	5	f1r|f71v|f75r|f81r|f81v	7	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AIIN	SAME_CLASS_SUBSTITUTION	5	4	f1r|f55v|f77r|f81v	5	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AIN	SAME_CLASS_SUBSTITUTION	3	1	f55v	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AIR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AIR	SAME_CLASS_SUBSTITUTION	1	1	f55v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AL	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AL	SAME_CLASS_SUBSTITUTION	1	1	f1r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AL+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AL+Y	SAME_CLASS_SUBSTITUTION	1	1	f95v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AN	SAME_CLASS_SUBSTITUTION	1	1	f55v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+AR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+AR	SAME_CLASS_SUBSTITUTION	3	3	f55v|f76r|f88r	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+A_ADDR+K+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+A_ADDR+K+Y	SAME_CLASS_SUBSTITUTION	1	1	f55v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+CH+E+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+CH+E+Y	SAME_CLASS_SUBSTITUTION	3	2	f67r2|f88v	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+CH+O	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+CH+O	SAME_CLASS_SUBSTITUTION	1	1	f56r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+CH+OR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+CH+OR	SAME_CLASS_SUBSTITUTION	1	1	f11r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+CH+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+CH+Y	SAME_CLASS_SUBSTITUTION	1	1	f18r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+CHD+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+CHD+Y	SAME_CLASS_SUBSTITUTION	1	1	f89r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+DA+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+DA+Y	SAME_CLASS_SUBSTITUTION	1	1	f81v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+DY	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+DY	SAME_CLASS_SUBSTITUTION	1	1	f81v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+O	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+O	SAME_CLASS_SUBSTITUTION	1	1	f89r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+O+DY	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+O+DY	SAME_CLASS_SUBSTITUTION	1	1	f89r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+O+D_ADDR+AIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+O+D_ADDR+AIN	SAME_CLASS_SUBSTITUTION	1	1	f88v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+OL+OL	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+OL+OL	SAME_CLASS_SUBSTITUTION	1	1	f72r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+OR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+OR	SAME_CLASS_SUBSTITUTION	1	1	f88r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+E+SH+E+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+E+SH+E+Y	SAME_CLASS_SUBSTITUTION	1	1	f81v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+EE+D_ADDR+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+EE+D_ADDR+Y	SAME_CLASS_SUBSTITUTION	2	2	f81r|f81v	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+EE+OR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+EE+OR	SAME_CLASS_SUBSTITUTION	1	1	f88v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+EE+S+AN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+EE+S+AN	SAME_CLASS_SUBSTITUTION	1	1	f55v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+EE+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+EE+Y	SAME_CLASS_SUBSTITUTION	5	5	f72r|f75r|f81v|f82r|f88v	5	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+EEE+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+EEE+Y	SAME_CLASS_SUBSTITUTION	1	1	f88r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+O+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+O+AIIN	SAME_CLASS_SUBSTITUTION	1	1	f67r2	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+OL	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+OL	SAME_CLASS_SUBSTITUTION	3	2	f18r|f81v	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+OL+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+OL+Y	SAME_CLASS_SUBSTITUTION	3	2	f13r|f72r	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+OR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+OR	SAME_CLASS_SUBSTITUTION	3	3	f13r|f67r2|f68r1	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+Y	SAME_CLASS_SUBSTITUTION	4	3	f13r|f17r|f68r1	4	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+K+Y+CH+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+K+Y+CH+Y	SAME_CLASS_SUBSTITUTION	1	1	f11r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+L	NO	IDENTITY_NEW_VISIBLE_RECIPE	2	2	L+AIIN|Y+L	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	6	4	f76r|f77r|f83r|f89r	6	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+LOCAL_CHAR_F+OL+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+LOCAL_CHAR_F+OL+AIIN	SAME_CLASS_SUBSTITUTION	1	1	f88v	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+LOCAL_CHAR_I	NO	IDENTITY_NEW_VISIBLE_RECIPE	2	2	AL+AIIN+LOCAL_CHAR_I|R+AIIN+LOCAL_CHAR_I	ATOM_DELETION	2	2	f72r|f76r	2	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+LOCAL_CHAR_I+AIIN	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	OR+LOCAL_CHAR_I+AIIN	SAME_CLASS_SUBSTITUTION	1	1	f81r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+O	NO	IDENTITY_NEW_VISIBLE_RECIPE	2	2	O+AIIN|OR+O	ADJACENT_SWAP|SAME_CLASS_SUBSTITUTION	3	3	f24v|f55v|f67r2	3	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+O+AR	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+O+AR	SAME_CLASS_SUBSTITUTION	1	1	f18r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+O+DY	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+O+DY	SAME_CLASS_SUBSTITUTION	1	1	f89r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+OK	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	OK+AIIN	ADJACENT_SWAP	63	15	f17r|f1r|f24v|f55v|f56r|f71v|f72r|f75r|f76r|f77r|f81v|f82r|f83r|f88r|f95v	63	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+OK+E+O+D_ADDR+Y	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+OK+E+O+D_ADDR+Y	SAME_CLASS_SUBSTITUTION	1	1	f88r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
AIIN+OK+EE+OL	NO	IDENTITY_NEW_VISIBLE_RECIPE	1	1	Y+OK+EE+OL	SAME_CLASS_SUBSTITUTION	1	1	f89r	1	0	0	OBSERVED_CONTEXT_ALL_GREEN	NONE	REISSUE_CONTEXT_CERTIFICATE__HISTORICALLY_ALL_GREEN	YES	YES
