workday_step	day_phase	case_id	task_phase	source_id	acting_person	recording_or_checking_person	visible_owner_or_instrument	spoken_instruction_de	written_surface_sequence	written_group_count	master_check_de	learning_mode
13	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S010	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen.	qokedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
14	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S011	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen.	chckhy qoky	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
15	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S012	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: waschen -> ansetzen -> waschen.	lsho qokey lshedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
16	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S013	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: waschen.	lshedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
17	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S014	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: umsetzen -> auffangen -> fuehren + umsetzen.	chedy qolky lchedal qol otar	5	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
18	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S015	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: eintragen -> ansetzen + umsetzen.	ytey okchedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
19	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S016	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: ansetzen -> ansetzen -> absetzen.	qokal okeey qol cheedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
20	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S017	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: umsetzen.	sal teol dchdy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
21	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S018	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: fuehren -> halten -> auffangen.	ly dsheol oiiin olkeedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
22	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S019	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: absetzen.	tedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
23	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S020	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: waermen -> halten.	cheky shckhedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
24	FRUEHER_MORGEN	C1	OPERATE_OR_APPLY	B1-S021	P3	P2	gemeinsame zweireihige Figuren-/Beckenstation	Arbeite mit dem Blütenauszug an gemeinsame zweireihige Figuren-/Beckenstation: nur Objekt, Mass, Ziel oder Zustand setzen.	chal	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
25	VORMITTAG	C2	PREPARE_PRODUCT	H2-S001	P2	P3	abgebildete breit gezähnte radialblütige Pflanze	Den zurueckbehaltenen Pflanzenrest oder zweiten Teil abziehen, an Ansatz und Mass binden und bis zur Bereitschaft weiterziehen.	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	9	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
26	VORMITTAG	C2	PREPARE_PRODUCT	H2-S002	P2	P3	abgebildete breit gezähnte radialblütige Pflanze	Vom fortgefuehrten Ansatz einen gemessenen Nachauszug abnehmen; den Rest im Gefaess weiterfuehren.	qotchor chor otol chol cholor chol daiin dar	8	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
27	VORMITTAG	C2	PREPARE_PRODUCT	H2-S003	P2	P3	abgebildete breit gezähnte radialblütige Pflanze	Den Ansatz zweimal mit frischem Pflanzenstoff oder Medium nachbeschicken und die naechste verbrauchte Portion entfernen.	oykchor shor chor chy kaiiin dy chodaiin	7	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
28	VORMITTAG	C2	OPTIONAL_ASTRO_CONDITION	F67_RIGHT_WHEEL_NS	P1	P3	F67_RIGHT_WHEEL_NS	Bestimme zuerst den groben Himmelsabschnitt; wähle für den stärkeren Mehrstationsgang danach einen lokalen Arbeitsslot.	MASTER_SELECTS_ONE_LOCAL_LABEL	VARIABLE_LOCAL_LABEL	Richtigen Bildplatz und Namensraum zeigen; keine Prosa-Zerlegung zulassen.	COPY_COMPLETE_LOCAL_ASTRO_LABEL
29	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S001	P3	P2	oberes Beckenpaar mit Zylinder	Arbeite mit dem stärkeren Nachauszug an oberes Beckenpaar mit Zylinder: umsetzen.	dchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
30	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S002	P3	P2	oberes Beckenpaar mit Zylinder	Arbeite mit dem stärkeren Nachauszug an oberes Beckenpaar mit Zylinder: umsetzen.	qolchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
31	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S003	P3	P2	oberes Beckenpaar mit Zylinder	Arbeite mit dem stärkeren Nachauszug an oberes Beckenpaar mit Zylinder: ansetzen -> ansetzen.	qokain dy qokeedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
32	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S004	P3	P2	oberes Beckenpaar mit Zylinder	Arbeite mit dem stärkeren Nachauszug an oberes Beckenpaar mit Zylinder: ansetzen -> fuehren -> fuehren + umsetzen -> ansetzen -> fuehren.	qokal lcheckhy lched qokeey lcheckhedy	5	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
33	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S005	P3	P2	oberes Beckenpaar mit Zylinder	Arbeite mit dem stärkeren Nachauszug an oberes Beckenpaar mit Zylinder: ansetzen -> auffangen -> ansetzen -> ansetzen -> waermen -> fuehren.	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	8	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
34	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S006	P3	P2	oberes Beckenpaar mit Zylinder	Arbeite mit dem stärkeren Nachauszug an oberes Beckenpaar mit Zylinder: ansetzen -> halten -> ansetzen.	oteey qokal sheckhy qoky	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
35	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S007	P3	P2	mittleres linkes Handgerät mit Inline-Knoten	Arbeite mit dem temperierte Auflage an mittleres linkes Handgerät mit Inline-Knoten: halten.	dshedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
36	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S008	P3	P2	mittleres linkes Handgerät mit Inline-Knoten	Arbeite mit dem temperierte Auflage an mittleres linkes Handgerät mit Inline-Knoten: ansetzen -> absetzen.	sotaiin qokar shedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
37	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S009	P3	P2	mittleres linkes Handgerät mit Inline-Knoten	Arbeite mit dem temperierte Auflage an mittleres linkes Handgerät mit Inline-Knoten: halten.	solshedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
38	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S010	P3	P2	mittleres linkes Handgerät mit Inline-Knoten	Arbeite mit dem temperierte Auflage an mittleres linkes Handgerät mit Inline-Knoten: ansetzen -> ansetzen -> halten.	qokeey qoky ls cheey	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
39	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S011	P3	P2	mittlere rechte unklare Station	Arbeite mit dem temperierte Auflage an mittlere rechte unklare Station: ansetzen -> ansetzen -> ansetzen.	okain char okain qokeedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
40	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S012	P3	P2	mittlere rechte unklare Station	Arbeite mit dem temperierte Auflage an mittlere rechte unklare Station: fuehren + abziehen -> halten -> ansetzen -> fuehren -> ansetzen.	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	8	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
41	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S013	P3	P2	unteres grünes Mehrfigurenbecken	Arbeite mit dem konzentrierten Vorrat an unteres grünes Mehrfigurenbecken: fuehren + umsetzen.	lchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
42	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S014	P3	P2	unteres grünes Mehrfigurenbecken	Arbeite mit dem konzentrierten Vorrat an unteres grünes Mehrfigurenbecken: fuehren.	lar	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
43	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S015	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: halten -> ansetzen.	tshey qokeedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
44	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S016	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: fuehren + umsetzen -> abziehen + teilen -> ansetzen -> ansetzen -> hineingeben + umsetzen.	cheal lchedar ches aiin oteey qokaiin okey pchedy	8	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
45	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S017	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: abkuehlen + halten.	rsheal daldy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
46	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S018	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: ansetzen.	qokeedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
47	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S019	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: abkuehlen + absetzen.	rshedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
48	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S020	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: nur Objekt, Mass, Ziel oder Zustand setzen.	qoteedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
49	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S021	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: ansetzen.	qokeedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
50	VORMITTAG	C2	OPERATE_OR_APPLY	B2-S022	P3	P2	kleine Randstationen des unteren Beckens	Arbeite mit dem temperierte Auflage an kleine Randstationen des unteren Beckens: fuehren + umsetzen.	lochedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
51	MITTAG	C3	PREPARE_PRODUCT	H3-S001	P2	P3	abgebildete dicht blau blühende Kronenpflanze	Blueten in das Tuchgefaess geben, ziehen lassen, auswringen, das Pressgut erneut einlegen, nochmals ziehen und den Auszug auffangen.	tshol schoal cfhy shfydaiin cphy shey tchody	7	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
52	MITTAG	C3	PREPARE_PRODUCT	H3-S002	P2	P3	abgebildete dicht blau blühende Kronenpflanze	Eine zweite Bluetenportion im gleichen Ziehgang halten und eintragen.	shoyty	1	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
53	MITTAG	C3	PREPARE_PRODUCT	H3-S003	P2	P3	abgebildete dicht blau blühende Kronenpflanze	Vom vorhandenen Bluetenmaterial oder Medium eine gemessene Portion weiter zugeben.	dchol chy kchy dy daiin	5	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
54	MITTAG	C3	PREPARE_PRODUCT	H3-S004	P2	P3	abgebildete dicht blau blühende Kronenpflanze	Den zweiten Ansatz fortsetzen, bis der Bluetenauszug gebrauchsfertig ist.	qotchy okchol cthy dy	4	Pflanzenbild, Produktklasse, Maß und Reihenfolge bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
55	MITTAG	C3	OPTIONAL_ASTRO_CONDITION	F68_LOCAL_STAR_SLOT_NS	P1	P3	F68_LOCAL_STAR_SLOT_NS	Erkenne den bezeichneten Sternplatz wieder und prüfe, ob die aktuelle Himmels-/Wetterlage zur Blütenwaschung passt.	MASTER_SELECTS_ONE_LOCAL_LABEL	VARIABLE_LOCAL_LABEL	Richtigen Bildplatz und Namensraum zeigen; keine Prosa-Zerlegung zulassen.	COPY_COMPLETE_LOCAL_ASTRO_LABEL
56	MITTAG	C3	OPERATE_OR_APPLY	B3-S001	P3	P2	obere offene Fächerstation am Rand	Arbeite mit dem konzentrierten Vorrat an obere offene Fächerstation am Rand: auffangen.	olkeedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
57	MITTAG	C3	OPERATE_OR_APPLY	B3-S002	P3	P2	obere offene Fächerstation am Rand	Arbeite mit dem konzentrierten Vorrat an obere offene Fächerstation am Rand: waermen.	qotal chkeedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
58	MITTAG	C3	OPERATE_OR_APPLY	B3-S003	P3	P2	obere offene Fächerstation am Rand	Arbeite mit dem konzentrierten Vorrat an obere offene Fächerstation am Rand: fuehren + umsetzen.	chey daiin chey lchedy	4	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
59	MITTAG	C3	OPERATE_OR_APPLY	B3-S004	P3	P2	obere offene Fächerstation am Rand	Arbeite mit dem konzentrierten Vorrat an obere offene Fächerstation am Rand: ansetzen.	qokaiin qotal dar	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
60	MITTAG	C3	OPERATE_OR_APPLY	B3-S005	P3	P2	mittlere Randfigur im runden Gefäß	Arbeite mit dem Blütenauszug an mittlere Randfigur im runden Gefäß: umsetzen.	schedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
61	MITTAG	C3	OPERATE_OR_APPLY	B3-S006	P3	P2	mittlere Randfigur im runden Gefäß	Arbeite mit dem Blütenauszug an mittlere Randfigur im runden Gefäß: umsetzen -> ansetzen -> umsetzen.	chedchy qokal olchedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
62	MITTAG	C3	OPERATE_OR_APPLY	B3-S007	P3	P2	mittlere Randfigur im runden Gefäß	Arbeite mit dem Blütenauszug an mittlere Randfigur im runden Gefäß: ansetzen -> umsetzen -> ansetzen.	qokaiin chedy qokeedy	3	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
63	MITTAG	C3	OPERATE_OR_APPLY	B3-S008	P3	P2	mittlere Randfigur im runden Gefäß	Arbeite mit dem Blütenauszug an mittlere Randfigur im runden Gefäß: fuehren + umsetzen.	lchedy	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
64	MITTAG	C3	OPERATE_OR_APPLY	B3-S009	P3	P2	mittlere Randfigur im runden Gefäß	Arbeite mit dem Blütenauszug an mittlere Randfigur im runden Gefäß: ansetzen.	qoky	1	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
65	MITTAG	C3	OPERATE_OR_APPLY	B3-S010	P3	P2	untere Randfigur im korbartigen Gefäß	Arbeite mit dem stärkeren Nachauszug an untere Randfigur im korbartigen Gefäß: hineingeben + umsetzen.	pchedal otedy	2	Produkt, lokale Station, Arbeitsgrad, Ownerreset und Schluss bestätigen.	COMPOSE_COMMON_CARDS_PLUS_COPY_WHOLE_EXCEPTIONS
