component_template_id	component_template	meaning_template_de	surface_template_count	surface_template_ids	surface_templates	alternate_surface_rendering	topology_ids	source_count	content_class_count	content_classes	page_count	physical_pages	source_surfaces	recipe_support_tiers
G471-C014	OK · {NAME_1} · AL	SETZEN · {NAME_1} · ZIELORT	1	G471-T014	ok{NAME_1}al	NO	G471-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	okeal	RUNNING_EXACT_RECIPE
G471-C015	OK · {NAME_1} · AL · AR	SETZEN · {NAME_1} · ZIELORT · AUSGANG	1	G471-T015	ok{NAME_1}alar	NO	G471-P05	1	1	STAR_BEARING_RING_POSITION	1	f72r	okealar	RUNNING_EXACT_RECIPE
G471-C016	OL · {NAME_1}	FORTSETZEN · {NAME_1}	1	G471-T016	ol{NAME_1}	NO	G471-P04	2	2	BATH_OR_OUTLET_STATION|STAR_BEARING_RING_POSITION	2	f72r|f77r	olay|olkchs	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C017	OL · {NAME_1} · AL	FORTSETZEN · {NAME_1} · ZIELORT	1	G471-T017	ol{NAME_1}al	NO	G471-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	oletal	RUNNING_EXACT_RECIPE
G471-C018	OL · {NAME_1} · AL · AIIN	FORTSETZEN · {NAME_1} · ZIELORT · WERT	1	G471-T018	ol{NAME_1}alaiin	NO	G471-P05	1	1	STAR_BEARING_RING_POSITION	1	f72r	olkalaiin	ADDRESS_HYBRID_SHELL_ONLY
G471-C019	OL · {NAME_1} · AM_ADDR	FORTSETZEN · {NAME_1} · HIER	1	G471-T019	ol{NAME_1}am	NO	G471-P08	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	oldam	RUNNING_EXACT_RECIPE
G471-C020	OL · {NAME_1} · SH · {NAME_2} · AL	FORTSETZEN · {NAME_1} · HALTEN · {NAME_2} · ZIELORT	1	G471-T020	ol{NAME_1}sh{NAME_2}al	NO	G471-P07	1	1	STAR_BEARING_RING_POSITION	1	f72r	olfsheoral	ADDRESS_HYBRID_SHELL_ONLY
G471-C021	OR · AL · {NAME_1} · AM_ADDR	EINHEIT · ZIELORT · {NAME_1} · HIER	1	G471-T021	oral{NAME_1}am	NO	G471-P03	1	1	STAR_BEARING_RING_POSITION	1	f72r	oralkam	ADDRESS_HYBRID_SHELL_ONLY
G471-C022	OR · AR · {NAME_1}	EINHEIT · AUSGANG · {NAME_1}	1	G471-T022	orar{NAME_1}	NO	G471-P02	2	1	STAR_BEARING_RING_POSITION	1	f72r	orara|orary	ADDRESS_HYBRID_SHELL_ONLY
G471-C023	OR · {NAME_1} · AL	EINHEIT · {NAME_1} · ZIELORT	1	G471-T023	or{NAME_1}al	NO	G471-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	oraiiral	RUNNING_EXACT_RECIPE
G471-C024	OR · {NAME_1} · AM_ADDR	EINHEIT · {NAME_1} · HIER	1	G471-T024	or{NAME_1}am	NO	G471-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	oraiinam	ADDRESS_HYBRID_SHELL_ONLY
G471-C025	OT · {NAME_1}	DANACH · {NAME_1}	1	G471-T027	ot{NAME_1}	NO	G471-P04	5	4	BATH_OR_OUTLET_STATION|DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT|STAR_BEARING_RING_POSITION	4	f17r|f71v|f77r|f88v	otchody|otdordy|oteeeon|otora|otork	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C026	OT · {NAME_1} · AIN	DANACH · {NAME_1} · ANTEIL	1	G471-T028	ot{NAME_1}ain	NO	G471-P08	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	otorain	RUNNING_EXACT_RECIPE
G471-C027	OT · {NAME_1} · AL	DANACH · {NAME_1} · ZIELORT	1	G471-T031	ot{NAME_1}dal	NO	G471-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	otchdal	RUNNING_EXACT_RECIPE
G471-C028	OT · {NAME_1} · AM_ADDR	DANACH · {NAME_1} · HIER	1	G471-T029	ot{NAME_1}am	NO	G471-P08	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	otoram	RUNNING_EXACT_RECIPE
G471-C029	OT · {NAME_1} · AR · {NAME_2}	DANACH · {NAME_1} · AUSGANG · {NAME_2}	1	G471-T030	ot{NAME_1}ar{NAME_2}	NO	G471-P06	1	1	STAR_BEARING_RING_POSITION	1	f72r	oteeary	RUNNING_EXACT_RECIPE
G471-C030	OT · {NAME_1} · D_ADDR+AR · {NAME_2}	DANACH · {NAME_1} · HIER · AUSGANG · {NAME_2}	1	G471-T032	ot{NAME_1}dar{NAME_2}	NO	G471-P06	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	otydary	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C031	OT · {NAME_1} · Y	DANACH · {NAME_1} · POSTEN	1	G471-T033	ot{NAME_1}shy	NO	G471-P08	1	1	STAR_BEARING_RING_POSITION	1	f72r	otchoshy	RUNNING_EXACT_RECIPE
G471-C032	OT+AL · {NAME_1}	DANACH · ZIELORT · {NAME_1}	1	G471-T025	otal{NAME_1}	NO	G471-P04	2	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	otalef|otalody	RUNNING_EXACT_RECIPE
G471-C033	OT+OL · {NAME_1}	DANACH · FORTSETZEN · {NAME_1}	1	G471-T026	otol{NAME_1}	NO	G471-P04	2	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	otold|otoldy	RUNNING_EXACT_RECIPE
G471-C034	SH · OL · SH · {NAME_1}	HALTEN · FORTSETZEN · HALTEN · {NAME_1}	1	G471-T034	sholsh{NAME_1}	NO	G471-P01	1	1	STAR_BEARING_RING_POSITION	1	f71v	sholshdy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C035	{NAME_1}	{NAME_1}	1	G471-T035	{NAME_1}	NO	G471-P09	2	2	DRUG_OR_INGREDIENT_OBJECT|PICTURED_PLANT	2	f17r|f88v	cheosdy|oiil	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C036	{NAME_1} · AIIN	{NAME_1} · WERT	2	G471-T036|G471-T059	{NAME_1}aiin|{NAME_1}daiin	YES	G471-P16	3	1	STAR_BEARING_RING_POSITION	1	f72r	oeeesaiin|oeeodaiin|ypaiin	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C037	{NAME_1} · AIN	{NAME_1} · ANTEIL	1	G471-T037	{NAME_1}ain	NO	G471-P16	2	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	oporain|yorain	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C038	{NAME_1} · AIN+Y	{NAME_1} · ANTEIL · POSTEN	1	G471-T038	{NAME_1}ainy	NO	G471-P16	1	1	STAR_BEARING_RING_POSITION	1	f72r	chdaiirdainy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C039	{NAME_1} · AIR · AL	{NAME_1} · BAHN · ZIELORT	1	G471-T039	{NAME_1}airal	NO	G471-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	ytairal	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C040	{NAME_1} · AL	{NAME_1} · ZIELORT	1	G471-T040	{NAME_1}al	NO	G471-P16	1	1	BATH_OR_OUTLET_STATION	1	f77r	soral	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C041	{NAME_1} · AL · AL	{NAME_1} · ZIELORT · ZIELORT	1	G471-T041	{NAME_1}alal	NO	G471-P12	2	1	STAR_BEARING_RING_POSITION	1	f72r	opalal|ralal	RUNNING_EXACT_RECIPE
G471-C042	{NAME_1} · AL · AR	{NAME_1} · ZIELORT · AUSGANG	1	G471-T042	{NAME_1}alar	NO	G471-P12	1	1	STAR_BEARING_RING_POSITION	1	f71v	opalar	ADDRESS_HYBRID_SHELL_ONLY
G471-C043	{NAME_1} · AL · SH · {NAME_2}	{NAME_1} · ZIELORT · HALTEN · {NAME_2}	1	G471-T044	{NAME_1}alsh{NAME_2}	NO	G471-P11	1	1	STAR_BEARING_RING_POSITION	1	f72r	ytalshdy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C044	{NAME_1} · AL · {NAME_2} · AM_ADDR	{NAME_1} · ZIELORT · {NAME_2} · HIER	1	G471-T046	{NAME_1}al{NAME_2}am	NO	G471-P15	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	saldam	ADDRESS_HYBRID_SHELL_ONLY
G471-C045	{NAME_1} · AL · {NAME_2} · SH · {NAME_3} · OL	{NAME_1} · ZIELORT · {NAME_2} · HALTEN · {NAME_3} · FORTSETZEN	1	G471-T047	{NAME_1}al{NAME_2}sh{NAME_3}ol	NO	G471-P14	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	saloiinsheol	ADDRESS_HYBRID_SHELL_ONLY
G471-C046	{NAME_1} · AL+OR	{NAME_1} · ZIELORT · EINHEIT	1	G471-T043	{NAME_1}alor	NO	G471-P16	1	1	STAR_BEARING_RING_POSITION	1	f71v	opalor	RUNNING_EXACT_RECIPE
G471-C047	{NAME_1} · AL+Y	{NAME_1} · ZIELORT · POSTEN	1	G471-T045	{NAME_1}aly	NO	G471-P16	3	1	STAR_BEARING_RING_POSITION	2	f71v|f72r	ainaly|chfaly|eeesaly	RUNNING_EXACT_RECIPE
G471-C048	{NAME_1} · AM_ADDR	{NAME_1} · HIER	1	G471-T048	{NAME_1}am	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	opchosam	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C049	{NAME_1} · AR	{NAME_1} · AUSGANG	1	G471-T049	{NAME_1}ar	NO	G471-P16	2	1	STAR_BEARING_RING_POSITION	1	f72r	chosar|ytoar	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C050	{NAME_1} · AR · AIIN	{NAME_1} · AUSGANG · WERT	1	G471-T050	{NAME_1}araiin	NO	G471-P12	1	1	STAR_BEARING_RING_POSITION	1	f72r	ykaraiin	RUNNING_EXACT_RECIPE
G471-C051	{NAME_1} · AR · AR · {NAME_2}	{NAME_1} · AUSGANG · AUSGANG · {NAME_2}	1	G471-T051	{NAME_1}arar{NAME_2}	NO	G471-P11	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	dararda	ADDRESS_HYBRID_SHELL_ONLY
G471-C052	{NAME_1} · AR · SH · {NAME_2}	{NAME_1} · AUSGANG · HALTEN · {NAME_2}	1	G471-T052	{NAME_1}arsh{NAME_2}	NO	G471-P11	1	1	STAR_BEARING_RING_POSITION	1	f72r	osarsheeeo	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C053	{NAME_1} · AR · {NAME_2}	{NAME_1} · AUSGANG · {NAME_2}	1	G471-T053	{NAME_1}ar{NAME_2}	NO	G471-P13	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f89r	yfary|ytarem	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C054	{NAME_1} · AR · {NAME_2} · AL	{NAME_1} · AUSGANG · {NAME_2} · ZIELORT	1	G471-T055	{NAME_1}ar{NAME_2}dal	NO	G471-P15	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	daramdal	ADDRESS_HYBRID_SHELL_ONLY
G471-C055	{NAME_1} · AR · {NAME_2} · AR	{NAME_1} · AUSGANG · {NAME_2} · AUSGANG	1	G471-T054	{NAME_1}ar{NAME_2}ar	NO	G471-P15	1	1	BATH_OR_OUTLET_STATION	1	f77r	darchdar	ADDRESS_HYBRID_SHELL_ONLY
G471-C056	{NAME_1} · CH+LOCAL_CHAR_F+Y	{NAME_1} · NEHMEN · HIER · POSTEN	1	G471-T056	{NAME_1}cfhy	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	ykocfhy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C057	{NAME_1} · CH+T · {NAME_2}	{NAME_1} · NEHMEN · EINSTELLEN · {NAME_2}	1	G471-T058	{NAME_1}cth{NAME_2}	NO	G471-P13	1	1	STAR_BEARING_RING_POSITION	1	f72r	octho	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C058	{NAME_1} · CH+T+Y	{NAME_1} · NEHMEN · EINSTELLEN · POSTEN	1	G471-T057	{NAME_1}cthy	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	cheocthy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C059	{NAME_1} · D_ADDR+AR · AR · {NAME_2}	{NAME_1} · HIER · AUSGANG · AUSGANG · {NAME_2}	1	G471-T060	{NAME_1}darar{NAME_2}	NO	G471-P11	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	sydarary	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C060	{NAME_1} · EE+Y	{NAME_1} · GRAD II · POSTEN	1	G471-T061	{NAME_1}eey	NO	G471-P16	1	1	STAR_BEARING_RING_POSITION	1	f72r	opoeey	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C061	{NAME_1} · O+IIN	{NAME_1} · AUSFÜHRUNG · STUFE	2	G471-T062|G471-T063	{NAME_1}oiin|{NAME_1}oin	YES	G471-P16	2	2	DRUG_OR_INGREDIENT_OBJECT|STAR_BEARING_RING_POSITION	2	f72r|f89r	opchoroiin|opoiiinoin	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C062	{NAME_1} · OL	{NAME_1} · FORTSETZEN	1	G471-T064	{NAME_1}ol	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	qkol	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C063	{NAME_1} · OL · AIR · OL	{NAME_1} · FORTSETZEN · BAHN · FORTSETZEN	1	G471-T065	{NAME_1}olairol	NO	G471-P10	1	1	STAR_BEARING_RING_POSITION	1	f72r	ykolairol	ADDRESS_HYBRID_SHELL_ONLY
G471-C064	{NAME_1} · OL+Y	{NAME_1} · FORTSETZEN · POSTEN	1	G471-T066	{NAME_1}oly	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	doly	RUNNING_EXACT_RECIPE
G471-C065	{NAME_1} · OR	{NAME_1} · EINHEIT	1	G471-T067	{NAME_1}or	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f88v	cpheor	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C066	{NAME_1} · OR+Y	{NAME_1} · EINHEIT · POSTEN	1	G471-T068	{NAME_1}ory	NO	G471-P16	1	1	DRUG_OR_INGREDIENT_OBJECT	1	f89r	odory	RUNNING_EXACT_RECIPE
G471-C067	{NAME_1} · OT · {NAME_2}	{NAME_1} · DANACH · {NAME_2}	1	G471-T069	{NAME_1}ot{NAME_2}	NO	G471-P13	1	1	BATH_OR_OUTLET_STATION	1	f77r	dotedy	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C068	{NAME_1} · SH · {NAME_2}	{NAME_1} · HALTEN · {NAME_2}	1	G471-T070	{NAME_1}sh{NAME_2}	NO	G471-P13	1	1	STAR_BEARING_RING_POSITION	1	f72r	oshodady	OUTSIDE_BOUNDED_SHELL_ATLAS
G471-C069	{NAME_1} · Y+DY	{NAME_1} · POSTEN · SCHLUSS	1	G471-T071	{NAME_1}ydy	NO	G471-P16	1	1	STAR_BEARING_RING_POSITION	1	f72r	fydy	OUTSIDE_BOUNDED_SHELL_ATLAS
