comparison_ordinal	target_event_id	statement_id	physical_page	surface	morphological_frame	primary_object_source_direction	workshop_model_class	source_precedence_model_c_class	selected_hybrid_class	changed_from_workshop	agrees_with_model_c	selected_clause_de	body_rival_de	station_rival_de	portion_rival_de	unit_rival_de	selection_note_de	guard
30	G407-E3205	G407-S499	f82r	sheckhy	SAME_EVENT_LATE_Y_PACKET	LEFTWARD_ANAPHORA	STATION	STATION	STATION	NO	YES	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
31	G407-E3218	G407-S502	f82r	shedaiin	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	STATION	BODY	NO	NO	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte die Anwendungsportion im Bad bei der angegebenen Füllung auf Grad I	Halte die Badeinheit im Bad bei der angegebenen Füllung auf Grad I	AIIN füllt nur die Füllungsstelle; zwei verbundene Badeklauseln werden körperlich gelesen, bevor die Station ausdrücklich neu übergeben wird.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
32	G407-E3224	G407-S502	f82r	dshedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	STATION	BODY	NO	NO	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
33	G407-E3227	G407-S503	f82r	shedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
34	G407-E3336	G407-S529	f82r	shedy	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
35	G407-E3441	G407-S556	f82r	shedaiin	AIIN_FILL_CONTEXT	LEFTWARD_ANAPHORA	STATION	BODY	STATION	NO	NO	Halte denselben Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte den Körper im Bad bei der angegebenen Füllung auf Grad I	Halte den Stationsansatz im Bad bei der angegebenen Füllung auf Grad I	Halte die Anwendungsportion im Bad bei der angegebenen Füllung auf Grad I	Halte die Badeinheit im Bad bei der angegebenen Füllung auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
36	G407-E3483	G407-S563	f83r	qokshedy	AIIN_FILL_CONTEXT	DEFINITE_BODY_DEFAULT	BODY	BODY	BODY	NO	YES	Halte den Körper im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Nach dem letzten Schnitt steht kein belastbarer nicht-mediumhafter Teilnehmer bereit; Körper ist der einfache definitive Arbeitsdefault.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
37	G407-E3488	G407-S565	f83r	shetar	NO_AIIN_OR_SAME_EVENT_Y_CONTEXT	LEFTWARD_ANAPHORA	STATION	STATION	STATION	NO	YES	Halte denselben Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	AIIN/Stationsmaß bleibt gegebenenfalls Medium; der sichtbare linke Stationsansatz-Teilnehmer derselben Arbeitskette wird wiederaufgenommen. Stationsansatz und Maß werden unmittelbar vor der Badeklausel zugeführt; die Station ist der engste sichtbare Patient.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
38	G407-E3523	G407-S576	f83r	shecthedchy	SAME_EVENT_LATE_Y_PACKET	RIGHTWARD_SHARED_COMPLEMENT	BODY	STATION	STATION	YES	YES	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Der im selben Ereignis rechts geschriebene Träger wird als gemeinsames Stationsansatz-Komplement der kurzen Verbkette gelesen; die ältere enge Hostanbindung bleibt als Rivale erhalten.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
39	G407-E3533	G407-S579	f83r	shedkedy	SAME_EVENT_LATE_Y_PACKET	RIGHTWARD_SHARED_COMPLEMENT	BODY	STATION	STATION	YES	YES	Halte den Stationsansatz im Bad auf Grad I	Halte den Körper im Bad auf Grad I	Halte den Stationsansatz im Bad auf Grad I	Halte die Anwendungsportion im Bad auf Grad I	Halte die Badeinheit im Bad auf Grad I	Der im selben Ereignis rechts geschriebene Träger wird als gemeinsames Stationsansatz-Komplement der kurzen Verbkette gelesen; die ältere enge Hostanbindung bleibt als Rivale erhalten.	THREE_EXPLORATORY_MODELS_COMPARED__SELECTED_HYBRID_IS_WORKING_PRIMARY__ALL_MAJOR_RIVALS_RETAINED
