selected_witness_id	comparison_card_id	target_matrix_cell_id	support_channel	support_recipe	support_register	support_event_count	support_event_ids	support_pages	support_surfaces	selected_old_clause_de	selected_old_clause_carrier_count	all_old_clauses_de	support_roundtrip_exact	guard
G502-W13	G502-F13	G498-M206	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	SOURCE_SECTION_T	1	G407-E0102	f1r	chdy	Bearbeite den laufenden Eintrag.	1	Bearbeite den laufenden Eintrag.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W14	G502-F14	G498-M300	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	PHARMA	1	G407-E4075	f89r	chedy	Bearbeite den Drogenposten.	1	Bearbeite den Drogenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W15	G502-F15	G498-M296	LOCAL_NEAR_ACTION_RECIPE	CHD+Y	SOURCE_SECTION_T	1	G407-E0102	f1r	chdy	Bearbeite den laufenden Eintrag.	1	Bearbeite den laufenden Eintrag.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W16	G502-F16	G498-M196	LOCAL_NEAR_ACTION_RECIPE	K+Y	SOURCE_SECTION_T	1	G407-E0122	f1r	kchy	Ordne den laufenden Eintrag zu.	1	Ordne den laufenden Eintrag zu.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W17	G502-F17	G498-M254	LOCAL_ACTION_PARTIAL_RECIPE	CHD+Y	CELESTIAL	2	G407-E1408|G407-E1409	f72r	chedy	Bearbeite den Positionsposten.	2	Bearbeite den Positionsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W18	G502-F18	G498-M255	LOCAL_ACTION_PARTIAL_RECIPE	CHD+Y	PHARMA	1	G407-E4075	f89r	chedy	Bearbeite den Drogenposten.	1	Bearbeite den Drogenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W19	G502-F19	G498-M234	LOCAL_ACTION_PARTIAL_RECIPE	CH+E	CELESTIAL	1	G407-E1392	f72r	che	Nimm den Positionsposten [wie zuvor] auf; auf Grad I.	1	Nimm den Positionsposten [wie zuvor] auf; auf Grad I.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W20	G502-F20	G498-M284	CROSS_NEAR_ACTION_RECIPE	SH+Y	BIOLOGICAL	1	G407-E3154	f81v	shchey	Halte den Stationsposten.	1	Halte den Stationsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W21	G502-F21	G498-M270	ORDERED_PAIR_TARGET_REGISTER	O+P+CH+E+OL	PHARMA	1	G407-E4298	f89r	opcheol	Weiter setze die Ansatzeinheit [wie zuvor] ein und nimm die Ansatzeinheit [wie zuvor]; als Ausführung und auf Grad I.	1	Weiter setze die Ansatzeinheit [wie zuvor] ein und nimm die Ansatzeinheit [wie zuvor]; als Ausführung und auf Grad I.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W22	G502-F22	G498-M294	ORDERED_PAIR_OTHER_REGISTER	S+OL+CHD+Y	BIOLOGICAL	3	G407-E1883|G407-E2549|G407-E3749	f76r|f77r|f83r	solchedy	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	3	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W23	G502-F23	G498-M279	LOCAL_FRAME_BACKBONE_RECIPE	CHD+Y	CELESTIAL	2	G407-E1408|G407-E1409	f72r	chedy	Bearbeite den Positionsposten.	2	Bearbeite den Positionsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W24	G502-F24	G498-M405	CROSS_NEAR_ACTION_RECIPE	P+Y	BIOLOGICAL	1	G407-E1624	f75r	pchey	Setze den Stationsposten ein.	1	Setze den Stationsposten ein.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W25	G502-F25	G498-M285	CROSS_NEAR_ACTION_RECIPE	SH+Y	BIOLOGICAL	1	G407-E3154	f81v	shchey	Halte den Stationsposten.	1	Halte den Stationsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W26	G502-F26	G498-M281	CROSS_NEAR_ACTION_RECIPE	SH+Y	BIOLOGICAL	1	G407-E3154	f81v	shchey	Halte den Stationsposten.	1	Halte den Stationsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W27	G502-F27	G498-M269	ORDERED_PAIR_TARGET_REGISTER	O+P+AR+CH+Y	CELESTIAL	1	G407-E0928	f67r2	oparchy	Setze den Positionsposten ein und nimm den Positionsposten auf; von der Ausgangsposition; als Ausführung.	1	Setze den Positionsposten ein und nimm den Positionsposten auf; von der Ausgangsposition; als Ausführung.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W28	G502-F28	G498-M295	ORDERED_PAIR_OTHER_REGISTER	S+OL+CHD+Y	BIOLOGICAL	3	G407-E1883|G407-E2549|G407-E3749	f76r|f77r|f83r	solchedy	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	3	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W29	G502-F29	G498-M291	ORDERED_PAIR_OTHER_REGISTER	S+OL+CHD+Y	BIOLOGICAL	3	G407-E1883|G407-E2549|G407-E3749	f76r|f77r|f83r	solchedy	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	3	Weiter wähle den Stationsposten und bearbeite den Stationsposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W30	G502-F30	G498-M280	LOCAL_FRAME_BACKBONE_RECIPE	CHD+Y	PHARMA	1	G407-E4075	f89r	chedy	Bearbeite den Drogenposten.	1	Bearbeite den Drogenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W31	G502-F31	G498-M276	LOCAL_FRAME_BACKBONE_RECIPE	CHD+Y	SOURCE_SECTION_T	1	G407-E0102	f1r	chdy	Bearbeite den laufenden Eintrag.	1	Bearbeite den laufenden Eintrag.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W32	G502-F32	G498-M369	CROSS_NEAR_ACTION_RECIPE	CH+OR	HERBAL	14	G407-E0260|G407-E0278|G407-E0287|G407-E0392|G407-E0467|G407-E0480|G407-E0539|G407-E0546|G407-E0589|G407-E0642|G407-E0656|G407-E0822|G407-E0823|G407-E0854	f10r|f13r|f17r|f18r|f24v|f56r	chor	Nimm die Arbeitseinheit.	14	Nimm die Arbeitseinheit.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W33	G502-F33	G498-M379	CROSS_NEAR_ACTION_RECIPE	K+Y	HERBAL	3	G407-E0336|G407-E0395|G407-E0441	f11r|f13r	kchy	Gib den Pflanzenposten zu.	3	Gib den Pflanzenposten zu.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W34	G502-F34	G498-M202	CROSS_NEAR_ACTION_RECIPE	S+AL	BIOLOGICAL	8	G407-E1502|G407-E1934|G407-E2328|G407-E2339|G407-E2411|G407-E2707|G407-E3145|G407-E3369	f75r|f76r|f77r|f81v|f82r	sal	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	8	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W35	G502-F35	G498-M201	CROSS_NEAR_ACTION_RECIPE	S+AL	BIOLOGICAL	8	G407-E1502|G407-E1934|G407-E2328|G407-E2339|G407-E2411|G407-E2707|G407-E3145|G407-E3369	f75r|f76r|f77r|f81v|f82r	sal	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	8	Wähle den Stationsposten [wie zuvor]; zur Zielstation.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W36	G502-F36	G498-M192	CROSS_NEAR_ACTION_RECIPE	SH+AL	BIOLOGICAL	1	G407-E1576	f75r	shal	Halte den Stationsposten [wie zuvor]; zur Zielstation.	1	Halte den Stationsposten [wie zuvor]; zur Zielstation.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W37	G502-F37	G498-M191	CROSS_NEAR_ACTION_RECIPE	SH+AL	BIOLOGICAL	1	G407-E1576	f75r	shal	Halte den Stationsposten [wie zuvor]; zur Zielstation.	1	Halte den Stationsposten [wie zuvor]; zur Zielstation.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W38	G502-F38	G498-M222	CROSS_NEAR_ACTION_RECIPE	P+Y	BIOLOGICAL	1	G407-E1624	f75r	pchey	Setze den Stationsposten ein.	1	Setze den Stationsposten ein.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W39	G502-F39	G498-M221	CROSS_NEAR_ACTION_RECIPE	P+Y	BIOLOGICAL	1	G407-E1624	f75r	pchey	Setze den Stationsposten ein.	1	Setze den Stationsposten ein.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W40	G502-F40	G498-M404	CROSS_NEAR_ACTION_RECIPE	P+Y	BIOLOGICAL	1	G407-E1624	f75r	pchey	Setze den Stationsposten ein.	1	Setze den Stationsposten ein.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W41	G502-F41	G498-M495	ORDERED_PAIR_TARGET_REGISTER	CH+P+OL	PHARMA	1	G407-E3844	f88r	cphol	Weiter nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein.	1	Weiter nimm den Drogenposten [wie zuvor] und setze den Drogenposten [wie zuvor] ein.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W42	G502-F42	G498-M491	ORDERED_PAIR_TARGET_REGISTER	CH+P+AR	SOURCE_SECTION_T	1	G407-E0044	f1r	cphar	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	1	Entnimm den Kennwert [wie zuvor] und setze den Kennwert [wie zuvor] ein; von der Ausgangszeile.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W43	G502-F43	G498-M460	ORDERED_PAIR_OTHER_REGISTER	CH+OR+CH+Y	HERBAL	2	G407-E0218|G407-E0805	f10r|f56r	chorchy	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	2	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W44	G502-F44	G498-M456	ORDERED_PAIR_OTHER_REGISTER	CH+OR+CH+Y	HERBAL	2	G407-E0218|G407-E0805	f10r|f56r	chorchy	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	2	Nimm die Arbeitseinheit und den Pflanzenposten und nimm die Arbeitseinheit und den Pflanzenposten.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W45	G502-F45	G498-M465	ORDERED_PAIR_OTHER_REGISTER	CH+OL+D_ADDR+SH+Y	HERBAL	1	G407-E0494	f17r	choldshy	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	1	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
G502-W46	G502-F46	G498-M461	ORDERED_PAIR_OTHER_REGISTER	CH+OL+D_ADDR+SH+Y	HERBAL	1	G407-E0494	f17r	choldshy	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	1	Weiter nimm den Pflanzenposten und halte den Pflanzenposten; an der bezeichneten Stelle.	YES	COMPARISON_CARD_ONLY__CURRENT_TARGET_PHRASE_AND_COMPOSED_STATUS_RETAINED
