rare_no	event_id	page	record	statement_id	surface	card_no	rare_recipe	compact_reading_de	teaching_method	anchor_recipe_or_root	anchor_reading_de	edit_distance	edit_script	teaching_level	new_root_required
R011	E001	f10r	H1	H1-S001	dchey	PROC001	CH+E+Y	ABNEHMEN · KURZ · DIES	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	2	KEEP:CH | ADD:E | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R012	E086	f56r	H5	H5-S002	cheeckhody	PROC057	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	4	KEEP:CH | ADD:EE | ADD:CKH | ADD:O | ADD:DY	ROOT_PLUS_ATTACHMENTS	NO
R013	E038	f10r	H2	H2-S003	chodaiin	PROC025	CH+O+AIIN	ABNEHMEN · GANG · MASS	KNOWN_ROOT_TRAY_EXTENSION	CH	ABNEHMEN	2	KEEP:CH | ADD:O | ADD:AIIN	ROOT_PLUS_ATTACHMENTS	NO
R014	E303	f83r	B3	B3-S032	chedain	PROC151	CHD+AIN	UMSETZEN · PORTION	RECURRENT_SAME_HEAD_ANCHOR	CHD+DY	UMSETZEN · SCHLUSS	1	KEEP:CHD | REPLACE:DY>AIN	ONE_CHANGE	NO
R015	E300	f83r	B3	B3-S030	schedair	PROC150	CHD+AIR	UMSETZEN · LAUF	RECURRENT_SAME_HEAD_ANCHOR	CHD+DY	UMSETZEN · SCHLUSS	1	KEEP:CHD | REPLACE:DY>AIR	ONE_CHANGE	NO
R016	E368	f83r	B5	B5-S003	chdal	PROC168	CHD+AL	UMSETZEN · ZIEL	RECURRENT_SAME_HEAD_ANCHOR	CHD+DY	UMSETZEN · SCHLUSS	1	KEEP:CHD | REPLACE:DY>AL	ONE_CHANGE	NO
R017	E231	f83r	B3	B3-S002	chkeedy	PROC132	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	CHK+EE+Y	WAERMEN · LANG · DIES	1	KEEP:CHK | KEEP:EE | REPLACE:Y>DY	ONE_CHANGE	NO
R018	E018	f10r	H2	H2-S001	cthaiin	PROC017	CTH+AIIN	BEREIT · MASS	RECURRENT_SAME_HEAD_ANCHOR	CTH+Y	BEREIT · DIES	1	KEEP:CTH | REPLACE:Y>AIIN	ONE_CHANGE	NO
R019	E002	f10r	H1	H1-S001	cthoor	PROC002	CTH+O+OR	BEREIT · GANG · ANSATZ	RECURRENT_SAME_HEAD_ANCHOR	CTH+E+Y	BEREIT · KURZ · DIES	2	KEEP:CTH | REPLACE:E>O | REPLACE:Y>OR	TWO_CHANGES	NO
R020	E371	f83r	B5	B5-S003	daiiin	PROC169	DA+IIN	ZWEIT · STUFE	KNOWN_ROOT_TRAY_EXTENSION	DA	ZWEIT	1	KEEP:DA | ADD:IIN	ROOT_PLUS_ATTACHMENTS	NO
R021	E374	f83r	B6	B6-S001	qekey	PROC171	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	KNOWN_ROOT_TRAY_EXTENSION	E	KURZ	3	KEEP:E | ADD:K | ADD:E | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R022	E157	f81v	B1	B1-S017	teol	PROC093	E+OL	KURZ · FORTSETZEN	KNOWN_ROOT_TRAY_EXTENSION	E	KURZ	1	KEEP:E | ADD:OL	ROOT_PLUS_ATTACHMENTS	NO
R023	E010	f10r	H1	H1-S001	etyd	PROC010	E+T+Y	KURZ · EINTRAGEN · DIES	KNOWN_ROOT_TRAY_EXTENSION	E	KURZ	2	KEEP:E | ADD:T | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R024	E285	f83r	B3	B3-S026	cheedar	PROC146	EE+AR	LANG · QUELLE	KNOWN_ROOT_TRAY_EXTENSION	EE	LANG	1	KEEP:EE | ADD:AR	ROOT_PLUS_ATTACHMENTS	NO
R025	E296	f83r	B3	B3-S029	cheeety	PROC149	EEE+T+Y	VOLL · EINTRAGEN · DIES	KNOWN_ROOT_TRAY_EXTENSION	EEE	VOLL	2	KEEP:EEE | ADD:T | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R026	E076	f56r	H5	H5-S001	chodaly	PROC053	HO+AL+Y	ZUTAT · ZIEL · DIES	RECURRENT_SAME_HEAD_ANCHOR	HO	ZUTAT	2	KEEP:HO | ADD:AL | ADD:Y	TWO_CHANGES	NO
R027	E074	f56r	H5	H5-S001	chochor	PROC051	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	RECURRENT_SAME_HEAD_ANCHOR	HO	ZUTAT	2	KEEP:HO | ADD:CH | ADD:OR	TWO_CHANGES	NO
R028	E084	f56r	H5	H5-S002	choy	PROC056	HO+Y	ZUTAT · DIES	RECURRENT_SAME_HEAD_ANCHOR	HO	ZUTAT	1	KEEP:HO | ADD:Y	ONE_CHANGE	NO
R029	E103	f81v	B1	B1-S002	kair	PROC068	K+AIR	ZUDOSIEREN · LAUF	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	1	KEEP:K | REPLACE:AIN>AIR	ONE_CHANGE	NO
R030	E093	f56r	H5	H5-S004	kchal	PROC062	K+AL	ZUDOSIEREN · ZIEL	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	1	KEEP:K | REPLACE:AIN>AL	ONE_CHANGE	NO
R031	E360	f83r	B4	B4-S016	skar	PROC165	K+AR	ZUDOSIEREN · QUELLE	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	1	KEEP:K | REPLACE:AIN>AR	ONE_CHANGE	NO
R032	E099	f56r	H5	H5-S006	keol	PROC066	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	2	KEEP:K | ADD:E | REPLACE:AIN>OL	TWO_CHANGES	NO
R033	E089	f56r	H5	H5-S003	kchey	PROC059	K+E+Y	ZUDOSIEREN · KURZ · DIES	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	2	KEEP:K | ADD:E | REPLACE:AIN>Y	TWO_CHANGES	NO
R034	E096	f56r	H5	H5-S005	kchoar	PROC063	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	2	KEEP:K | ADD:HO | REPLACE:AIN>AR	TWO_CHANGES	NO
R035	E036	f10r	H2	H2-S003	kaiiin	PROC024	K+IIN	ZUDOSIEREN · STUFE	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	1	KEEP:K | REPLACE:AIN>IIN	ONE_CHANGE	NO
R036	E079	f56r	H5	H5-S001	kchol	PROC054	K+OL	ZUDOSIEREN · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	1	KEEP:K | REPLACE:AIN>OL	ONE_CHANGE	NO
R037	E049	f11r	H3	H3-S003	kchy	PROC035	K+Y	ZUDOSIEREN · DIES	RECURRENT_SAME_HEAD_ANCHOR	K+AIN	ZUDOSIEREN · PORTION	1	KEEP:K | REPLACE:AIN>Y	ONE_CHANGE	NO
R038	E286	f83r	B3	B3-S026	chldaiin	PROC147	L+AIIN	WEITERLEITEN · MASS	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	1	KEEP:L | ADD:AIIN	ONE_CHANGE	NO
R039	E381	f83r	B6	B6-S001	ldalor	PROC173	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	2	KEEP:L | ADD:AL | ADD:OR	TWO_CHANGES	NO
R040	E211	f82r	B2	B2-S014	lar	PROC121	L+AR	WEITERLEITEN · QUELLE	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	1	KEEP:L | ADD:AR	ONE_CHANGE	NO
R041	E202	f82r	B2	B2-S012	lchy	PROC116	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	2	KEEP:L | ADD:CH | ADD:Y	TWO_CHANGES	NO
R042	E174	f82r	B2	B2-S004	lched	PROC102	L+CHD	WEITERLEITEN · UMSETZEN	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	KEEP:L | KEEP:CHD | DROP:DY	ONE_CHANGE	NO
R043	E147	f81v	B1	B1-S014	lchedal	PROC088	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	KEEP:L | KEEP:CHD | REPLACE:DY>AL	ONE_CHANGE	NO
R044	E215	f82r	B2	B2-S016	lchedar	PROC123	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	KEEP:L | KEEP:CHD | REPLACE:DY>AR	ONE_CHANGE	NO
R045	E176	f82r	B2	B2-S004	lcheckhedy	PROC103	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	2	KEEP:L | ADD:CKH | REPLACE:CHD>E | KEEP:DY	TWO_CHANGES	NO
R046	E173	f82r	B2	B2-S004	lcheckhy	PROC101	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	2	KEEP:L | ADD:CKH | ADD:Y	TWO_CHANGES	NO
R047	E206	f82r	B2	B2-S012	lcheey	PROC118	L+EE+Y	WEITERLEITEN · LANG · DIES	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	2	KEEP:L | ADD:EE | ADD:Y	TWO_CHANGES	NO
R048	E344	f83r	B4	B4-S011	lkedy	PROC159	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	2	KEEP:L | ADD:K | REPLACE:CHD>E | KEEP:DY	TWO_CHANGES	NO
R049	E263	f83r	B3	B3-S016	lo	PROC140	L+O	WEITERLEITEN · GANG	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	1	KEEP:L | ADD:O	ONE_CHANGE	NO
R050	E228	f82r	B2	B2-S022	lochedy	PROC130	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	KEEP:L | ADD:O | KEEP:CHD | KEEP:DY	ONE_CHANGE	NO
R051	E367	f83r	B5	B5-S003	lol	PROC167	L+OL	WEITERLEITEN · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	1	KEEP:L | ADD:OL	ONE_CHANGE	NO
R052	E159	f81v	B1	B1-S018	ly	PROC095	L+Y	WEITERLEITEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	L	WEITERLEITEN	1	KEEP:L | ADD:Y	ONE_CHANGE	NO
R053	E141	f81v	B1	B1-S012	lsho	PROC084	LSH+O	WASCHEN · GANG	RECURRENT_SAME_HEAD_ANCHOR	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	2	KEEP:LSH | DROP:E | REPLACE:DY>O	TWO_CHANGES	NO
R054	E350	f83r	B4	B4-S014	qockhey	PROC161	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	RECURRENT_SAME_HEAD_ANCHOR	O+IIN	GANG · STUFE	3	KEEP:O | ADD:CKH | ADD:E | REPLACE:IIN>Y	THREE_CHANGES	NO
R055	E182	f82r	B2	B2-S005	octheol	PROC106	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	O+IIN	GANG · STUFE	3	KEEP:O | ADD:CTH | ADD:E | REPLACE:IIN>OL	THREE_CHANGES	NO
R056	E019	f10r	H2	H2-S001	qoctholy	PROC018	O+CTH+OL+Y	GANG · BEREIT · FORTSETZEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	O+IIN	GANG · STUFE	3	KEEP:O | ADD:CTH | ADD:OL | REPLACE:IIN>Y	THREE_CHANGES	NO
R057	E060	f55v	H4	H4-S001	ody	PROC041	O+DY	GANG · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	O+IIN	GANG · STUFE	1	KEEP:O | REPLACE:IIN>DY	ONE_CHANGE	NO
R058	E032	f10r	H2	H2-S003	oykchor	PROC023	O+Y+K+OR	GANG · DIES · ZUDOSIEREN · ANSATZ	RECURRENT_SAME_HEAD_ANCHOR	O+IIN	GANG · STUFE	3	KEEP:O | ADD:Y | ADD:K | REPLACE:IIN>OR	THREE_CHANGES	NO
R059	E260	f83r	B3	B3-S014	okair	PROC138	OK+AIR	ANSETZEN · LAUF	RECURRENT_SAME_HEAD_ANCHOR	OK+AIIN	ANSETZEN · MASS	1	KEEP:OK | REPLACE:AIIN>AIR	ONE_CHANGE	NO
R060	E177	f82r	B2	B2-S005	qokaly	PROC104	OK+AL+Y	ANSETZEN · ZIEL · DIES	RECURRENT_SAME_HEAD_ANCHOR	OK+AL	ANSETZEN · ZIEL	1	KEEP:OK | KEEP:AL | ADD:Y	ONE_CHANGE	NO
R061	E191	f82r	B2	B2-S008	qokar	PROC113	OK+AR	ANSETZEN · QUELLE	RECURRENT_SAME_HEAD_ANCHOR	OK+AIIN	ANSETZEN · MASS	1	KEEP:OK | REPLACE:AIIN>AR	ONE_CHANGE	NO
R062	E092	f56r	H5	H5-S004	chokcheo	PROC061	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	RECURRENT_SAME_HEAD_ANCHOR	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	2	KEEP:OK | ADD:CH | KEEP:E | REPLACE:DY>O	TWO_CHANGES	NO
R063	E117	f81v	B1	B1-S002	qokeedal	PROC074	OK+EE+AL	ANSETZEN · LANG · ZIEL	RECURRENT_SAME_HEAD_ANCHOR	OK+AL	ANSETZEN · ZIEL	1	KEEP:OK | ADD:EE | KEEP:AL	ONE_CHANGE	NO
R064	E340	f83r	B4	B4-S011	okeeol	PROC158	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	KEEP:OK | KEEP:EE | REPLACE:DY>OL	ONE_CHANGE	NO
R065	E209	f82r	B2	B2-S012	qokeeedy	PROC119	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	1	KEEP:OK | REPLACE:CHD>EEE | KEEP:DY	ONE_CHANGE	NO
R066	E090	f56r	H5	H5-S003	qokokchy	PROC060	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	OK+E+Y	ANSETZEN · KURZ · DIES	1	KEEP:OK | REPLACE:E>OK | KEEP:Y	ONE_CHANGE	NO
R067	E267	f83r	B3	B3-S019	qokshedy	PROC141	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	KEEP:OK | ADD:SH | KEEP:E | KEEP:DY	ONE_CHANGE	NO
R068	E326	f83r	B4	B4-S004	qokylddy	PROC155	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	KEEP:OK | ADD:Y | REPLACE:CHD>LD | KEEP:DY	TWO_CHANGES	NO
R069	E313	f83r	B3	B3-S034	olsaly	PROC153	OL+AL+Y	FORTSETZEN · ZIEL · DIES	RECURRENT_SAME_HEAD_ANCHOR	OL	FORTSETZEN	2	KEEP:OL | ADD:AL | ADD:Y	TWO_CHANGES	NO
R070	E193	f82r	B2	B2-S009	solshedy	PROC114	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	2	KEEP:OL | ADD:SH | REPLACE:CHD>E | KEEP:DY	TWO_CHANGES	NO
R071	E070	f55v	H4	H4-S004	oltchy	PROC049	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	OL	FORTSETZEN	2	KEEP:OL | ADD:T | ADD:Y	TWO_CHANGES	NO
R072	E316	f83r	B4	B4-S002	qolchey	PROC154	OL+Y	FORTSETZEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	OL	FORTSETZEN	1	KEEP:OL | ADD:Y	ONE_CHANGE	NO
R073	E073	f55v	H4	H4-S004	orain	PROC050	OR+AIN	ANSATZ · PORTION	RECURRENT_SAME_HEAD_ANCHOR	OR	ANSATZ	1	KEEP:OR | ADD:AIN	ONE_CHANGE	NO
R074	E005	f10r	H1	H1-S001	os	PROC005	OS	FACH	WHOLE_NOMENCLATOR_ENTRY	OS	FACH	0	KEEP:OS	LEARN_WHOLE	NO
R075	E149	f81v	B1	B1-S014	otar	PROC089	OT+AR	DANACH · QUELLE	RECURRENT_SAME_HEAD_ANCHOR	OT+AIIN	DANACH · MASS	1	KEEP:OT | REPLACE:AIIN>AR	ONE_CHANGE	NO
R076	E012	f10r	H1	H1-S002	qotchol	PROC012	OT+CH+OL	DANACH · ABNEHMEN · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	1	KEEP:OT | KEEP:CH | REPLACE:OR>OL	ONE_CHANGE	NO
R077	E305	f83r	B3	B3-S032	qotedaiin	PROC152	OT+E+AIIN	DANACH · KURZ · MASS	RECURRENT_SAME_HEAD_ANCHOR	OT+AIIN	DANACH · MASS	1	KEEP:OT | ADD:E | KEEP:AIIN	ONE_CHANGE	NO
R078	E097	f56r	H5	H5-S005	sotodan	PROC064	OT+O+AIN	DANACH · GANG · PORTION	RECURRENT_SAME_HEAD_ANCHOR	OT+AIIN	DANACH · MASS	2	KEEP:OT | ADD:O | REPLACE:AIIN>AIN	TWO_CHANGES	NO
R079	E026	f10r	H2	H2-S002	otol	PROC021	OT+OL	DANACH · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	OT+AIIN	DANACH · MASS	1	KEEP:OT | REPLACE:AIIN>OL	ONE_CHANGE	NO
R080	E007	f10r	H1	H1-S001	otytchol	PROC007	OT+Y+T+CH+OL	DANACH · DIES · EINTRAGEN · ABNEHMEN · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	3	KEEP:OT | ADD:Y | ADD:T | KEEP:CH | REPLACE:OR>OL	THREE_CHANGES	NO
R081	E248	f83r	B3	B3-S010	pchedal	PROC134	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	KNOWN_ROOT_TRAY_EXTENSION	P	EINFUELLEN	2	KEEP:P | ADD:CHD | ADD:AL	ROOT_PLUS_ATTACHMENTS	NO
R082	E221	f82r	B2	B2-S016	pchedy	PROC125	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	KNOWN_ROOT_TRAY_EXTENSION	P	EINFUELLEN	2	KEEP:P | ADD:CHD | ADD:DY	ROOT_PLUS_ATTACHMENTS	NO
R083	E043	f11r	H3	H3-S001	cphy	PROC030	P+Y	EINFUELLEN · DIES	KNOWN_ROOT_TRAY_EXTENSION	P	EINFUELLEN	1	KEEP:P | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R084	E130	f81v	B1	B1-S006	ral	PROC081	R+AL	KUEHLEN · ZIEL	KNOWN_ROOT_TRAY_EXTENSION	R	KUEHLEN	1	KEEP:R | ADD:AL	ROOT_PLUS_ATTACHMENTS	NO
R085	E375	f83r	B6	B6-S001	raly	PROC172	R+AL+Y	KUEHLEN · ZIEL · DIES	KNOWN_ROOT_TRAY_EXTENSION	R	KUEHLEN	2	KEEP:R | ADD:AL | ADD:Y	ROOT_PLUS_ATTACHMENTS	NO
R086	E111	f81v	B1	B1-S002	rol	PROC071	R+OL	KUEHLEN · FORTSETZEN	KNOWN_ROOT_TRAY_EXTENSION	R	KUEHLEN	1	KEEP:R | ADD:OL	ROOT_PLUS_ATTACHMENTS	NO
R087	E222	f82r	B2	B2-S017	rsheal	PROC126	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	KNOWN_ROOT_TRAY_EXTENSION	R	KUEHLEN	3	KEEP:R | ADD:SH | ADD:E | ADD:AL	ROOT_PLUS_ATTACHMENTS	NO
R088	E225	f82r	B2	B2-S019	rshedy	PROC128	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	KNOWN_ROOT_TRAY_EXTENSION	R	KUEHLEN	2	KEEP:R | ADD:SHED | ADD:DY	ROOT_PLUS_ATTACHMENTS	NO
R089	E087	f56r	H5	H5-S003	sh	PROC058	SH	HALTEN	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	2	KEEP:SH | DROP:EE | DROP:Y	TWO_CHANGES	NO
R090	E115	f81v	B1	B1-S002	sheckhal	PROC073	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	3	KEEP:SH | REPLACE:CKH>E | REPLACE:E>CKH | REPLACE:DY>AL	THREE_CHANGES	NO
R091	E187	f82r	B2	B2-S006	sheckhy	PROC110	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	2	KEEP:SH | ADD:E | REPLACE:EE>CKH | KEEP:Y	TWO_CHANGES	NO
R092	E250	f83r	B3	B3-S011	shecthedchy	PROC136	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	3	KEEP:SH | ADD:E | ADD:CTH | REPLACE:EE>CHD | KEEP:Y	THREE_CHANGES	NO
R093	E276	f83r	B3	B3-S021	shecthy	PROC143	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	2	KEEP:SH | ADD:E | REPLACE:EE>CTH | KEEP:Y	TWO_CHANGES	NO
R094	E189	f82r	B2	B2-S007	dshedy	PROC111	SH+E+DY	HALTEN · KURZ · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	1	KEEP:SH | DROP:CKH | KEEP:E | KEEP:DY	ONE_CHANGE	NO
R095	E160	f81v	B1	B1-S018	dsheol	PROC096	SH+E+OL	HALTEN · KURZ · FORTSETZEN	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	2	KEEP:SH | DROP:CKH | KEEP:E | REPLACE:DY>OL	TWO_CHANGES	NO
R096	E212	f82r	B2	B2-S015	tshey	PROC122	SH+E+Y	HALTEN · KURZ · DIES	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	1	KEEP:SH | REPLACE:EE>E | KEEP:Y	ONE_CHANGE	NO
R097	E261	f83r	B3	B3-S014	sheedy	PROC139	SH+EE+DY	HALTEN · LANG · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	1	KEEP:SH | KEEP:EE | REPLACE:Y>DY	ONE_CHANGE	NO
R098	E122	f81v	B1	B1-S003	sshkchdy	PROC077	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	RECURRENT_SAME_HEAD_ANCHOR	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	2	KEEP:SH | REPLACE:CKH>K | REPLACE:E>CHD | KEEP:DY	TWO_CHANGES	NO
R099	E040	f11r	H3	H3-S001	schoal	PROC027	SH+O+AL	HALTEN · GANG · ZIEL	RECURRENT_SAME_HEAD_ANCHOR	SH+EE+Y	HALTEN · LANG · DIES	2	KEEP:SH | REPLACE:EE>O | REPLACE:Y>AL	TWO_CHANGES	NO
