group_no	teaching_method	anchor_recipe_or_root	anchor_reading_de	rare_recipes	rare_recipe_ids	max_changes	master_phrase_de
G11	RECURRENT_SAME_HEAD_ANCHOR	Y	DIES	4	R110|R111|R112|R113	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G12	KNOWN_ROOT_TRAY_EXTENSION	E	KURZ	3	R021|R022|R023	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G13	KNOWN_ROOT_TRAY_EXTENSION	P	EINFUELLEN	3	R081|R082|R083	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G14	RECURRENT_SAME_HEAD_ANCHOR	AL	ZIEL	3	R002|R003|R004	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G15	RECURRENT_SAME_HEAD_ANCHOR	CHD+DY	UMSETZEN · SCHLUSS	3	R014|R015|R016	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G16	RECURRENT_SAME_HEAD_ANCHOR	HO	ZUTAT	3	R026|R027|R028	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G17	RECURRENT_SAME_HEAD_ANCHOR	OL	FORTSETZEN	3	R069|R071|R072	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G18	RECURRENT_SAME_HEAD_ANCHOR	T+Y	EINTRAGEN · DIES	3	R106|R107|R108	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G19	RECURRENT_SAME_HEAD_ANCHOR	OK+AIIN	ANSETZEN · MASS	2	R059|R061	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G20	RECURRENT_SAME_HEAD_ANCHOR	OK+AL	ANSETZEN · ZIEL	2	R060|R063	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G21	RECURRENT_SAME_HEAD_ANCHOR	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	R065|R068	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G22	RECURRENT_SAME_HEAD_ANCHOR	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	2	R062|R067	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G23	RECURRENT_SAME_HEAD_ANCHOR	OT+CH+OR	DANACH · ABNEHMEN · ANSATZ	2	R076|R080	3	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G24	KNOWN_ROOT_TRAY_EXTENSION	AIR	LAUF	1	R001	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G25	KNOWN_ROOT_TRAY_EXTENSION	CFH	AUSWRINGEN	1	R006	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G26	KNOWN_ROOT_TRAY_EXTENSION	DA	ZWEIT	1	R020	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G27	KNOWN_ROOT_TRAY_EXTENSION	EE	LANG	1	R024	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G28	KNOWN_ROOT_TRAY_EXTENSION	EEE	VOLL	1	R025	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G29	RECURRENT_SAME_HEAD_ANCHOR	AR	QUELLE	1	R005	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G30	RECURRENT_SAME_HEAD_ANCHOR	CHK+EE+Y	WAERMEN · LANG · DIES	1	R017	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G31	RECURRENT_SAME_HEAD_ANCHOR	CTH+E+Y	BEREIT · KURZ · DIES	1	R019	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G32	RECURRENT_SAME_HEAD_ANCHOR	CTH+Y	BEREIT · DIES	1	R018	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G33	RECURRENT_SAME_HEAD_ANCHOR	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	1	R053	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G34	RECURRENT_SAME_HEAD_ANCHOR	OK+E+Y	ANSETZEN · KURZ · DIES	1	R066	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G35	RECURRENT_SAME_HEAD_ANCHOR	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	R064	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G36	RECURRENT_SAME_HEAD_ANCHOR	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	1	R070	2	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G37	RECURRENT_SAME_HEAD_ANCHOR	OR	ANSATZ	1	R073	1	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G38	WHOLE_NOMENCLATOR_ENTRY	OS	FACH	1	R074	0	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
G39	WHOLE_NOMENCLATOR_ENTRY	TALAM	VERWAHREN	1	R109	0	Wie den Anker lesen; dann nur die aufgefuehrten ADD DROP oder REPLACE-Schritte anwenden.
