component_id	visible_realizations	working_meaning_de	status	licensed_environment	evidence_summary	important_limit
P_CHED	p+ched	hinein- oder zum Empfänger führen	FIXED_CONTEXT_BOUND	nur pchedal und pchedy	pchedal and pchedy form the thin opposite of L+CHED	two events only; only licensed before CHED
E_GRADE_1	e vor Y oder DY	kurzer oder direkter Kontakt; gewöhnliche Haltephase	FIXED_CONTEXT_BOUND	OK+E+Y/DY; provisorisch OT, SH und CHK	zehn starke OK-Rasterereignisse	Kein globales E-Morphem; in CHED und CKHE Teil des Kerns
E_GRADE_2	ee vor Y oder DY	anhaltender Kontakt oder verlängerte Haltephase	FIXED_CONTEXT_BOUND	OK+EE+Y/DY; provisorisch OT, SH und CHK	siebzehn starke OK-Rasterereignisse	Keine genaue Zeit und keine sichere Temperatur
E_GRADE_3	eee vor DY	vollständiger oder durchgehender Kontakt	PROVISIONAL_THIN	OK+EEE+DY	ein gerichteter Beleg	Oberste Stufe noch sehr dünn
Y_REFERENT	y; licensed chy wrappers	aktuell gemeinter Arbeitsposten; dies oder es	FIXED_CONTEXT_BOUND	OK-, OT- and CHD~CHED families audited in Y_CHY_PARADIGM.tsv	58 productive events in 12 exact cards, separated from 65 terminal counterevents and five KY boundaries	Y does not mean open; the owner supplies the concrete noun and a terminal construction supplies closure
DY_TERMINAL_CONSTRUCTION	dy only in licensed exact-card terminal frames	lokalen Arbeitsschritt abschließen	FIXED_CONTEXT_BOUND	recognized OK-E and wrapped CHD~CHED terminal constructions	terminal behavior remains stable after separating Y as a referent	not a global D+Y decomposition; bare chdy|chedy remains nonterminal
Q_RENDERER	q	keine eigene Bedeutung	NO_SEMANTIC_VALUE	exakte Karten mit und ohne q	mehrere identische Kartenfamilien wechseln q	Kann eine Schreib- oder Eintrittsrealisierung sein
CH_RENDERER	ch|sh|d|t in identischer exakter Karte	keine automatisch eigene Bedeutung	NO_SEMANTIC_VALUE	nur wo dieselbe anonyme Kartenidentität die Formen verbindet	chedy|chdy und dchedy|schedy|tchedy	Nicht auf alle sichtbaren ch-, sh-, d- oder t-Anfänge verallgemeinern
SHED_REST_FAMILY	cheedy|shedy|tedy; sheedy; shedal	ruhen, nachwirken oder sich absetzen	FIXED_LEARNED_FAMILY	the two terminal rest cards and SHED+AL station card	thirteen terminal rest events plus two SHED+AL station events	not a global meaning of every visible sh or shed substring
CHK_WARMTH_PAIR	cheky; cheeky	kurz erwärmen; länger warm halten	FIXED_LEARNED_PAIR	the exact cheky/cheeky pair only	five open/internal events share an E/EE grade contrast	KY is not Y; chkeey/chkeedy are different cards
OLK_SOLK_COLLECTION_STATION	solkey; solkeey; olkeedy|solkeedy	lokale Sammel- oder Empfangsstelle	FIXED_LOCAL_FAMILY	right S-run/multiport station on the fixed Biological pages	two open grades and three terminal events at the same local owner class	weak and owner-local; not a portable global SOLK word
OK_REDUPLICATION	OK+OK in qokokchy	erneut in Arbeit nehmen	FIXED_SINGLE_CARD	qokokchy only	the repeated operator precedes the same wrapped Y referent	one card; not a general reduplication rule
OK_AL_Y_ORDER	OK+AL+Y in qokaly	den laufenden Posten an der Zielstelle einsetzen	FIXED_SINGLE_CARD	qokaly only	all three components already have selected bounded contributions	one card; argument order is not independently replicated
OR_PREPARATION	or|chor|shor|sor	Zubereitung oder bereiteter Ansatz	FIXED_IN_WORKING_MODEL	base exact card and OT+OR	seven base events and two OTCHOR events	not every internal or is this root
IIN_GRADE	oiiin|soiiin	vorgeschriebener Grad oder Stand	PROVISIONAL_RECURRENT	the exact two-event OIIIN card only	both contexts precede readiness, processing, or a terminal station	relation to AIIN is a working composition, not a phonetic derivation
CTH_READY	cthy exact family; qcthey|shcthey	bereit oder in Bereitschaft	PROVISIONAL_RECURRENT	base CTHY and the two CTHEY events	the CTHEY pair lies between setup and application	warmth and equality are not inherent in CTH
CHEO_EXTRACT_LIQUID	chokcheo; cheoar	Auszugs- oder Trägerflüssigkeit	PROVISIONAL_TWO_CARD_CORE	OK+CHEO before cloth filtering and CHEO+AR in a second Herbal record	two different Herbal pages support carrier/extract liquid	does not distinguish water, oil, wine, or another liquid
LDDY_APPLICATION_CLOSE	qokylddy	als Auflage befestigen und schließen	SELECTED_SINGLE_CARD_CORE	the one exact qokylddy card	one closed cell at the local f83r arch-linked pair	learned whole terminal core; not portable morphology yet
