family	joint_tuple_id	surface_family	event_count	event_inventory	pages	records	statement_ids	selected_parse	invariant_contribution_de	selected_default_de	counter_idea_de	statement_effect_de	strength
TARGET_AL	dd0ecaf5e27d81befffc	al|chal|cheal|dal|sal|tal	10	E082@H5-S001|E109@B1-S002|E156@B1-S017|E166@B1-S021|E214@B2-S016|E268@B3-S020|E272@B3-S021|E278@B3-S021|E359@B4-S016|E365@B5-S003	f56r|f81v|f82r|f83r	H5|B1|B2|B3|B4|B5	H5-S001|B1-S002|B1-S017|B1-S021|B2-S016|B3-S020|B3-S021|B4-S016|B5-S003	AL	Ziel/Arbeitsstelle: an oder zu	an der Zielstelle	AL als unten oder Ablauf	Alle zehn Ereignisse werden als derselbe Zielslot gelesen	SELECTED_RECURRENT
TARGET_AL	97ddca78c9ebcc956d04	ldalor	1	E381@B6-S001	f83r	B6	B6-S001	LD_OR_LEARNED_WITH_AL	Ziel/Arbeitsstelle: an oder zu	bezeichnete Zielstelle	AL verliere im Ganzwort seine Ortsfunktion	B6-S001 endet mit der bezeichneten Zielstelle	SELECTED_EMBEDDED_COMPONENT
TARGET_AL	7811a7daff25d476e28d	olsaly	1	E313@B3-S034	f83r	B3	B3-S034	OLS_LEARNED+AL+Y_SURFACE	Ziel/Arbeitsstelle: an oder zu	untere Zielstelle	AL selbst bedeute unten	B3-S034 behält unten als gelernte Zusatzbestimmung und AL als Ziel	SELECTED_EMBEDDED_COMPONENT
TARGET_AL	90bcf0a9ec0ef56399e6	otal|qotal	3	E230@B3-S002|E237@B3-S004|E320@B4-S003	f83r	B3|B4	B3-S002|B3-S004|B4-S003	OT+AL	OT=danach; AL=Zielstelle	danach zur Zielstelle	danach zur Ablaufstelle als Stammwert	Drei Aussagen verlieren den unbelegten festen Ablauf	SELECTED_RECURRENT_COMPOSITION
TARGET_AL	308e8ea2d5d190c498e8	okal|qokal	6	E069@H4-S004|E104@B1-S002|E152@B1-S016|E172@B2-S004|E186@B2-S006|E241@B3-S006	f55v|f81v|f82r|f83r	H4|B1|B2|B3	H4-S004|B1-S002|B1-S016|B2-S004|B2-S006|B3-S006	Q_RENDERER+OK+AL	OK=in Arbeit setzen; AL=Zielstelle	an der Zielstelle einsetzen	dorthin führen als zusätzlicher Bewegungswert	Sechs Aussagen verwenden denselben Zielanwendungswert	SELECTED_RECURRENT_COMPOSITION
TARGET_AL	4a7a6326ac95a8809302	qokaly	1	E177@B2-S005	f82r	B2	B2-S005	Q_RENDERER+OK+AL+Y_REFERENT	OK=in Arbeit setzen; AL=Ziel; Y=laufender Posten	den laufenden Posten an der Zielstelle einsetzen	zweiter Lauf oder offener Zustand	B2-S005 beginnt mit der Zielanwendung des laufenden Postens	SELECTED_COMPOSITIONAL_DEFAULT
TARGET_AL	93f69c38fdedee1598e9	qokeedal	1	E117@B1-S002	f81v	B1	B1-S002	Q_RENDERER+OK+E_GRADE_2+AL	OK=in Arbeit setzen; EE=anhaltend; AL=Ziel	an der Zielstelle anhaltend in Kontakt halten	eingetauchter Teil als unzerlegter Kartenwert	B1-S002 hält den Zielposten anhaltend in Kontakt	SELECTED_COMPOSITIONAL_DEFAULT
TARGET_AL	00d8ebe3c68294eeac39	chdal	1	E368@B5-S003	f83r	B5	B5-S003	CHD+AL	CHD=umsetzen; AL=Zielstelle	an der Zielstelle umsetzen	weiterrühren oder unlokal umsetzen	B5-S003 setzt den Posten ausdrücklich dort um	SELECTED_COMPOSITIONAL_DEFAULT
OUTWARD_TARGET	433713294b25b0a12f66	lchedal	1	E147@B1-S014	f81v	B1	B1-S014	L+CHED+AL	L+CHED=hinausführen; AL=Ziel/Auslassstelle	Auslassstelle	beliebige Transferstelle ohne Richtung	B1-S014 nennt die Auslassstelle	SELECTED_COMPOSITIONAL_DEFAULT
INWARD_TARGET	ba540da978ea132f6da5	pchedal	1	E248@B3-S010	f83r	B3	B3-S010	P+CHED+AL	P+CHED=hineinführen; AL=Ziel/Empfangsstelle	Einfüllstelle	beliebige Transferstelle ohne Richtung	B3-S010 nennt die Einfüllstelle	SELECTED_COMPOSITIONAL_DEFAULT
OUTWARD	ba8142680851f24c9ff2	lched	1	E174@B2-S004	f82r	B2	B2-S004	L+CHED	L=hinaus/weg; CHED=führen	hinausführen	nächstes Becken oder ungerichtet weiterleiten	B2-S004 enthält eine offene Ausgangsbewegung	SELECTED_COMPOSITIONAL_DEFAULT
OUTWARD	de7321bface5628e35d6	lchedy	8	E210@B2-S013|E235@B3-S003|E246@B3-S008|E262@B3-S015|E269@B3-S020|E282@B3-S023|E345@B4-S012|E357@B4-S015	f82r|f83r	B2|B3|B4	B2-S013|B3-S003|B3-S008|B3-S015|B3-S020|B3-S023|B4-S012|B4-S015	L+CHED+DY_TERMINAL	L=hinaus/weg; CHED=führen; DY=Schluss	hinausführen; Schluss	allgemein abführen ohne stabilen Richtungsbeitrag	Acht terminale Aussagen erhalten denselben Ausgang und Schluss	SELECTED_STRONG
INWARD	65df3cd9e59060042d47	pchedy	1	E221@B2-S016	f82r	B2	B2-S016	P+CHED+DY_TERMINAL	P=hinein/zum Empfänger; CHED=führen; DY=Schluss	hineinführen; Schluss	abziehen oder ungerichtet transferieren	B2-S016 endet mit der Gegenrichtung zu LCHEDY	SELECTED_THIN_CONTRAST
