assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	relation_state_projection	relation_argument_state_projection	relation_occurrence_in_recipe	relation_multiplicity_in_recipe	relation_sequence	relation	relation_value_de	relation_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	envelope_role	content_block	relation_position_in_block	block_left_edge	block_right_edge	left_content_before_relation	right_content_after_relation	visible_left_actions	visible_right_actions	visible_left_arguments	visible_right_arguments	local_payload_geometry	root_geometry_default	compact_relation_reading_de	literal_rich_projection_de	statement_position	statement_final	current_reading_de	guard	substitution_family_id
11	OLD26_GDT407	G407-E1014	G407-S051	f67r2	CELESTIAL	olar	OL+AR	OL+AR	OL+AR	1	1	AR	AR	AUSGANG	2	2	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG	STATEMENT_INTERNAL	NO	FORTSETZEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F07
12	OLD26_GDT407	G407-E1038	G407-S052	f68r1	CELESTIAL	otchl	OT+CH+L	OT+L	OT+L	1	1	L	L	VERBINDUNG	3	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	CH+L	2	NO	YES	CH	NONE	CH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	DANACH · VERBINDUNG	DANACH · VERBINDUNG	STATEMENT_INTERNAL	NO	DANACH · NEHMEN · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
13	OLD26_GDT407	G407-E1076	G407-S055	f71v	CELESTIAL	otcheodal	OT+CH+E+O+D_ADDR+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	6	6	OT	END	OT>R<END	NEXT_RELATION_VALUE	CH+E+O+D_ADDR+AL	5	NO	YES	CH+E+O+D_ADDR	NONE	CH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · NEHMEN · GRAD I · AUSFÜHRUNG · HIER · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
14	OLD26_GDT407	G407-E1077	G407-S055	f71v	CELESTIAL	sheealody	SH+EE+AL+O+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	3	5	START	DY	START>R<DY	RELATION_THEN_CLOSE	SH+EE+AL+O	3	NO	NO	SH+EE	O	SH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	HALTEN · GRAD II · ZIELORT · AUSFÜHRUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
15	OLD26_GDT407	G407-E1079	G407-S056	f71v	CELESTIAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
16	OLD26_GDT407	G407-E1081	G407-S056	f71v	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	5	5	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+O+D_ADDR+AR	4	NO	YES	E+O+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
17	OLD26_GDT407	G407-E1086	G407-S056	f71v	CELESTIAL	oteoshar	OT+E+O+SH+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	5	5	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+O+SH+AR	4	NO	YES	E+O+SH	NONE	SH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSFÜHRUNG · HALTEN · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
18	OLD26_GDT407	G407-E1093	G407-S056	f71v	CELESTIAL	arol	AR+OL	AR+OL	AR+OL	1	1	AR	AR	AUSGANG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · FORTSETZEN	AUSGANG · FORTSETZEN	STATEMENT_INTERNAL	NO	AUSGANG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
19	OLD26_GDT407	G407-E1120	G407-S057	f71v	CELESTIAL	otal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
20	OLD26_GDT407	G407-E1122	G407-S057	f71v	CELESTIAL	shldy	SH+L+DY	L+DY	L+DY	1	1	L	L	VERBINDUNG	2	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	SH+L	2	NO	YES	SH	NONE	SH	NONE	NONE	NONE	BACKWARD_FROM_VISIBLE_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · ABSCHLIESSEN	VERBINDUNG · ABSCHLIESSEN	STATEMENT_FINAL	YES	HALTEN · VERBINDUNG · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
21	OLD26_GDT407	G407-E1123	G407-S058	f71v	CELESTIAL	otaly	OT+AL+Y	OT+AL	OT+AL+Y	1	1	AL	AL	ZIELORT	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+Y	1	YES	NO	NONE	Y	NONE	NONE	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT · POSTEN	STATEMENT_INITIAL	NO	DANACH · ZIELORT · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F08
22	OLD26_GDT407	G407-E1139	G407-S060	f72r	CELESTIAL	chlol	L+OL	L+OL	L+OL	1	1	L	L	VERBINDUNG	1	2	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	L	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	VERBINDUNG · FORTSETZEN	VERBINDUNG · FORTSETZEN	STATEMENT_INTERNAL	NO	VERBINDUNG · FORTSETZEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F01
23	OLD26_GDT407	G407-E1179	G407-S064	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	5	5	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+O+D_ADDR+AR	4	NO	YES	E+O+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INITIAL	NO	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
24	OLD26_GDT407	G407-E1192	G407-S065	f72r	CELESTIAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INITIAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
25	OLD26_GDT407	G407-E1198	G407-S065	f72r	CELESTIAL	otear	OT+E+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	3	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+AR	2	NO	YES	E	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · GRAD I · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F11
26	OLD26_GDT407	G407-E1202	G407-S065	f72r	CELESTIAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
27	OLD26_GDT407	G407-E1207	G407-S066	f72r	CELESTIAL	aroly	AR+OL+Y	AR+OL	AR+OL+Y	1	1	AR	AR	AUSGANG	1	3	START	OL	START>R<OL	RELATION_RETAINED_BY_OL	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	AUSGANG · FORTSETZEN	AUSGANG · FORTSETZEN · POSTEN	STATEMENT_INTERNAL	NO	AUSGANG · FORTSETZEN · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F09
28	OLD26_GDT407	G407-E1238	G407-S067	f72r	CELESTIAL	otar	OT+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AR	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
29	OLD26_GDT407	G407-E1273	G407-S068	f72r	CELESTIAL	otaly	OT+AL+Y	OT+AL	OT+AL+Y	1	1	AL	AL	ZIELORT	2	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL+Y	1	YES	NO	NONE	Y	NONE	NONE	NONE	Y	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT · POSTEN	STATEMENT_INTERNAL	NO	DANACH · ZIELORT · AKTIVER POSTEN	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F08
30	OLD26_GDT407	G407-E1276	G407-S068	f72r	CELESTIAL	dalchdy	AL+CHD+DY	AL+DY	AL+DY	1	1	AL	AL	ZIELORT	1	3	START	DY	START>R<DY	RELATION_THEN_CLOSE	AL+CHD	1	YES	NO	NONE	CHD	NONE	CHD	NONE	NONE	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	ZIELORT · ABSCHLIESSEN	ZIELORT · ABSCHLIESSEN	STATEMENT_FINAL	YES	ZIELORT · UMSETZEN · SCHLUSS	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F03
31	OLD26_GDT407	G407-E1282	G407-S070	f72r	CELESTIAL	chotal	OT+AL	OT+AL	OT+AL	1	1	AL	AL	ZIELORT	2	2	OT	END	OT>R<END	NEXT_RELATION_VALUE	AL	1	YES	YES	NONE	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	DANACH · ZIELORT	DANACH · ZIELORT	STATEMENT_INTERNAL	NO	DANACH · ZIELORT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	G560-F02
32	OLD26_GDT407	G407-E1286	G407-S071	f72r	CELESTIAL	otoar	OT+O+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	3	3	OT	END	OT>R<END	NEXT_RELATION_VALUE	O+AR	2	NO	YES	O	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INITIAL	NO	DANACH · AUSFÜHRUNG · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
33	OLD26_GDT407	G407-E1353	G407-S077	f72r	CELESTIAL	oteodar	OT+E+O+D_ADDR+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	5	5	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+O+D_ADDR+AR	4	NO	YES	E+O+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INITIAL	NO	DANACH · GRAD I · AUSFÜHRUNG · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
34	OLD26_GDT407	G407-E1394	G407-S079	f72r	CELESTIAL	opcholalaiin	O+P+CH+OL+AL+AIIN	OL+AL	OL+AL+AIIN	1	1	AL	AL	ZIELORT	5	6	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AL+AIIN	1	YES	NO	NONE	AIIN	NONE	NONE	NONE	AIIN	FORWARD_TO_VISIBLE_PAYLOAD	TARGET_HINGE__MAY_POINT_FORWARD_OR_CLOSE_A_TARGET	FORTSETZEN · ZIELORT	FORTSETZEN · ZIELORT · WERT	STATEMENT_INTERNAL	NO	AUSFÜHRUNG · EINSETZEN · NEHMEN · FORTSETZEN · ZIELORT · WERT	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
35	OLD26_GDT407	G407-E1403	G407-S079	f72r	CELESTIAL	otedar	OT+E+D_ADDR+AR	OT+AR	OT+AR	1	1	AR	AR	AUSGANG	4	4	OT	END	OT>R<END	NEXT_RELATION_VALUE	E+D_ADDR+AR	3	NO	YES	E+D_ADDR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	DANACH · AUSGANG	DANACH · AUSGANG	STATEMENT_INTERNAL	NO	DANACH · GRAD I · HIER · AUSGANG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
36	OLD26_GDT407	G407-E1420	G407-S081	f72r	CELESTIAL	octheolarl	O+CH+T+E+OL+AR+L	OL+AR+L	OL+AR+L	1	2	AR+L	AR	AUSGANG	6	7	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AR+L	1	YES	NO	NONE	L	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	SOURCE_OUTPUT_ENDPOINT__MOSTLY_RIGHT_EDGE	FORTSETZEN · AUSGANG	FORTSETZEN · AUSGANG · VERBINDUNG	STATEMENT_INTERNAL	NO	AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN · AUSGANG · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
37	OLD26_GDT407	G407-E1420	G407-S081	f72r	CELESTIAL	octheolarl	O+CH+T+E+OL+AR+L	OL+AR+L	OL+AR+L	2	2	AR+L	L	VERBINDUNG	7	7	OL	END	OL>R<END	CONTINUED_RELATION_VALUE	AR+L	2	NO	YES	AR	NONE	NONE	NONE	NONE	NONE	CONTROL_CARRIED_RELATION_WITHOUT_LOCAL_PAYLOAD	FORWARD_CONNECTION_OPENER__MOSTLY_LEFT_EDGE	FORTSETZEN · VERBINDUNG	FORTSETZEN · AUSGANG · VERBINDUNG	STATEMENT_INTERNAL	NO	AUSFÜHRUNG · NEHMEN · EINSTELLEN · GRAD I · FORTSETZEN · AUSGANG · VERBINDUNG	RELATION_VALUE_AND_WRITTEN_CONTROL_ORDER_FIXED__NO_ROOT_OR_RECIPE_CHANGE	NONE
