page	record_ordinal	locus	field_ordinal	event_count	visible_field	primary_role	secondary_roles	worksheet_roles	workshop_questions_German	complete_card_defaults	closure	field_status
f81v	1	f81v.27	1	3	dsheol oiiin olkeedy	HEAT_REST	APPLICATION+MEDIUM_OR_INGREDIENT+INDICATION	HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT+INDICATION	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	apply at the marked place / until clear / let the liquid settle; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.27	2	1	tedy	HEAT_REST		HEAT_REST	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	let it stand until ready; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.27	3	2	cheky shckhedy	TRANSFER_CLEAN	HEAT_REST	TRANSFER_CLEAN+HEAT_REST	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	over a gentle heat / strain it once through cloth; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f81v	1	f81v.27	4	1	chal	DESTINATION	PROCEDURE_DETAIL	DESTINATION+PROCEDURE_DETAIL	WOHIN ODER AN WELCHES ZIEL? | WELCHER WEITERE ARBEITSSCHRITT?	an die bezeichnete Zielstelle führen	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.2	1	1	dchedy	TRANSFER_CLEAN	APPLICATION	TRANSFER_CLEAN+APPLICATION	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	wash the used vessel or channel through once; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.2	2	1	qolchedy	MEDIUM_OR_INGREDIENT		MEDIUM_OR_INGREDIENT	WELCHES MEDIUM ODER WELCHER ZUSATZ?	set the mixed liquid aside in a covered receiving vessel; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.2	3	3	qokain dy qokeedy	CURRENT_ITEM	HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	CURRENT_ITEM+HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	WELCHER POSTEN IST JETZT AKTIV? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	add one measured portion to the vessel / diese aktive Portion / bathe or immerse in the tempered warm liquid; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.2	4	3	qokal lcheckhy lched	APPLICATION		APPLICATION	WIE ANWENDEN, BADEN ODER BINDEN?	mix the two portions together / the second opening / and proceed to the next basin	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.3	1	2	qokeey lcheckhedy	TRANSFER_CLEAN	HEAT_REST+MEDIUM_OR_INGREDIENT	TRANSFER_CLEAN+HEAT_REST+MEDIUM_OR_INGREDIENT	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	temper the working liquid and keep it lukewarm / strain it clear; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.3	2	4	qokaly solkaiin chckhy qokaiin	TRANSFER_CLEAN	APPLICATION	TRANSFER_CLEAN+APPLICATION	WIE SPÜLEN, SEIHEN ODER ABLASSEN? | WIE ANWENDEN, BADEN ODER BINDEN?	continue at the second conduit / through a cloth / through the connected channels / begin the next measured entry	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.4	1	4	qokaiin octheol chkeey ldy	PROCEDURE_DETAIL		PROCEDURE_DETAIL	WELCHER WEITERE ARBEITSSCHRITT?	begin the next measured entry / under the same setting / the broad vessel / draw it off; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.4	2	4	oteey qokal sheckhy qoky	USE_OR_EXECUTE	APPLICATION+MEDIUM_OR_INGREDIENT+INDICATION	USE_OR_EXECUTE+APPLICATION+MEDIUM_OR_INGREDIENT+INDICATION	WAS IST JETZT AUSZUFÜHREN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	the prepared oil / mix the two portions together / over the local place / die aktive Portion verwenden	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.7	1	1	dshedy	MEDIUM_OR_INGREDIENT		MEDIUM_OR_INGREDIENT	WELCHES MEDIUM ODER WELCHER ZUSATZ?	add clean water; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.7	2	3	sotaiin qokar shedy	HEAT_REST	INDICATION	HEAT_REST+INDICATION	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | FÜR WELCHEN BESCHWERDE- ODER ANWENDUNGSFALL?	for the same interval as before / over the local place / let it stand until ready; end this instruction	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.7	3	1	solshedy	HEAT_REST		HEAT_REST	WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN?	keep it warm; close the rubric	DY	COMPLETE_DEFAULT_ROLE_NO_BLANK
f82r	1	f82r.7	4	4	qokeey qoky ls cheey	USE_OR_EXECUTE	STATE_GATE+HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	USE_OR_EXECUTE+STATE_GATE+HEAT_REST+APPLICATION+MEDIUM_OR_INGREDIENT	WAS IST JETZT AUSZUFÜHREN? | BIS WANN ODER BIS ZU WELCHEM ZUSTAND? | WIE ERHITZEN, KÜHLEN ODER RUHEN LASSEN? | WIE ANWENDEN, BADEN ODER BINDEN? | WELCHES MEDIUM ODER WELCHER ZUSATZ?	temper the working liquid and keep it lukewarm / die aktive Portion verwenden / the first opening / bis die Flüssigkeit klar abläuft	OPEN_FIELD_END	COMPLETE_DEFAULT_ROLE_NO_BLANK
