dictionary_entry_id	surfaces	component_recipe	abstract_composition_de	workshop_prose_composition_de	owner_address_composition_de	observed_events	physical_pages	registers	observed_channel	observed_channel_reading_de	composition_status
P912-D0067	char	AR	QUELLE	Entnahmestelle	Quell- oder Bezugsstelle	1	f10r	HERBAL	WORKSHOP_PROSE	Entnahmestelle	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0246	chty	CH+T+Y	AUSWAHL_ENTNAHME → EINSTELLUNG → REFERENT	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Platz oder Wert einstellen; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0750	os	OS	ADDITION	dazu oder außerdem	zusätzlicher Bildposten	2	f10r,f55v	HERBAL	WORKSHOP_PROSE	dazu oder außerdem	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0062	chair	CH+AIR	AUSWAHL_ENTNAHME → LAUFWEG	bezeichneten Anteil entnehmen; Flüssigkeits- oder Stationslauf	Klasse oder Figur kennzeichnen; Ringlauf	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Flüssigkeits- oder Stationslauf	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0875	otytchol	OT+Y+T+CH+OL	NAECHSTER → REFERENT → EINSTELLUNG → AUSWAHL_ENTNAHME → FORTSETZUNG	danach oder nächster Posten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	nächster Bildplatz; dieser Bildplatz; Platz oder Wert einstellen; Klasse oder Figur kennzeichnen; dieselbe Reihe fortführen	1	f10r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0668	oky	OK+Y	AKTIVIEREN → REFERENT	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	2	f10r,f55v	HERBAL	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0289	daiin	AIIN	SOLLWERT	Sollmaß	verzeichneter Sollwert	23	f10r,f11r,f13r,f55v,f56r	HERBAL	WORKSHOP_PROSE	Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0401	etyd	E+T+Y	GRAD_1 → EINSTELLUNG → REFERENT	kurz oder direkt; Arbeitsgang einstellen; dieser Arbeitsgegenstand	erster Grad; Platz oder Wert einstellen; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	kurz oder direkt; Arbeitsgang einstellen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1026	qotor	OT+OR	NAECHSTER → EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	nächster Bildplatz; Eintragsklasse	3	f10r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0507	o	O	LAUF	Arbeitsgang ausführen	Reihe aufrufen	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	Arbeitsgang ausführen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1250	tchy	T+Y	EINSTELLUNG → REFERENT	Arbeitsgang einstellen; dieser Arbeitsgegenstand	Platz oder Wert einstellen; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang einstellen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0191	chocthy	CH+O+CTH+Y	AUSWAHL_ENTNAHME → LAUF → BEREITSTATUS → REFERENT	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Reihe aufrufen; Bereitschaftsklasse; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1015	qotchy	OT+Y	NAECHSTER → REFERENT	danach oder nächster Posten; dieser Arbeitsgegenstand	nächster Bildplatz; dieser Bildplatz	5	f10r,f11r,f56r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0215	chol	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren	dieselbe Reihe fortführen	11	f10r,f11r,f13r,f56r	HERBAL	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0738	or	OR	EINTRAG	Ansatz oder Zubereitung	Eintragsklasse	6	f10r,f55v	HERBAL	WORKSHOP_PROSE	Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1382	yty	Y+T+Y	REFERENT → EINSTELLUNG → REFERENT	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	dieser Bildplatz; Platz oder Wert einstellen; dieser Bildplatz	2	f10r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0390	dy	Y	REFERENT	dieser Arbeitsgegenstand	dieser Bildplatz	10	f10r,f11r,f13r,f56r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1213	sor	S+OR	AUSWAHL → EINTRAG	Arbeitsvariante auswählen; Ansatz oder Zubereitung	Bildklasse auswählen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsvariante auswählen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0061	chaiin	CH+AIIN	AUSWAHL_ENTNAHME → SOLLWERT	bezeichneten Anteil entnehmen; Sollmaß	Klasse oder Figur kennzeichnen; verzeichneter Sollwert	4	f10r,f11r,f55v	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0082	chcthy	CH+CTH+Y	AUSWAHL_ENTNAHME → BEREITSTATUS → REFERENT	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0271	ctho	CTH+O	BEREITSTATUS → LAUF	bis bereit führen; Arbeitsgang ausführen	Bereitschaftsklasse; Reihe aufrufen	2	f10r,f56r	HERBAL	WORKSHOP_PROSE	bis bereit führen; Arbeitsgang ausführen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0258	ckhy	CKH+Y	DURCHLASS → REFERENT	durch einen Durchlass führen; dieser Arbeitsgegenstand	Verbindung oder Durchlass; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	durch einen Durchlass führen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0003	aiin	AIIN	SOLLWERT	Sollmaß	verzeichneter Sollwert	7	f10r,f55v,f56r	HERBAL	WORKSHOP_PROSE	Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0243	chtchor	CH+T+CH+OR	AUSWAHL_ENTNAHME → EINSTELLUNG → AUSWAHL_ENTNAHME → EINTRAG	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Klasse oder Figur kennzeichnen; Platz oder Wert einstellen; Klasse oder Figur kennzeichnen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0365	doiir	D_ADDR+O+IIN+R	UNTERADRESSE → LAUF → STUFE → MARKE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen	Unterplatz; Reihe aufrufen; Wertstufe; Zustandsmarke	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0539	ody	O+DY	LAUF → ABSCHLUSS	Arbeitsgang ausführen; Arbeitsschritt schließen	Reihe aufrufen; Bildeintrag schließen	3	f10r,f55v	HERBAL	WORKSHOP_PROSE	Arbeitsgang ausführen; Arbeitsschritt schließen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0947	qokchy	OK+Y	AKTIVIEREN → REFERENT	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz	3	f10r,f13r,f55v	HERBAL	WORKSHOP_PROSE	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1013	qotchol	OT+CH+OL	NAECHSTER → AUSWAHL_ENTNAHME → FORTSETZUNG	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	nächster Bildplatz; Klasse oder Figur kennzeichnen; dieselbe Reihe fortführen	2	f10r,f13r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0277	cthy	CTH+Y	BEREITSTATUS → REFERENT	bis bereit führen; dieser Arbeitsgegenstand	Bereitschaftsklasse; dieser Bildplatz	7	f10r,f11r,f56r	HERBAL	WORKSHOP_PROSE	bis bereit führen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1278	ycheor	Y+CHEO+R	REFERENT → LOKALINHALT → MARKE	dieser Arbeitsgegenstand; Auszug; Zustand kennzeichnen	dieser Bildplatz; lokaler Eintrag; Zustandsmarke	1	f10r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Auszug; Zustand kennzeichnen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0226	chor	CH+OR	AUSWAHL_ENTNAHME → EINTRAG	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Klasse oder Figur kennzeichnen; Eintragsklasse	7	f10r,f13r,f56r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0267	cthaiin	CTH+AIIN	BEREITSTATUS → SOLLWERT	bis bereit führen; Sollmaß	Bereitschaftsklasse; verzeichneter Sollwert	1	f10r	HERBAL	WORKSHOP_PROSE	bis bereit führen; Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0920	qoctholy	CARRIER_Q+O+CTH+OL+Y	EINTRITT → LAUF → BEREITSTATUS → FORTSETZUNG → REFERENT	neuen Kartenblock beginnen; Arbeitsgang ausführen; bis bereit führen; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	Eintrittsform einer Bildkarte; Reihe aufrufen; Bereitschaftsklasse; dieselbe Reihe fortführen; dieser Bildplatz	1	f10r	HERBAL	WORKSHOP_PROSE	neuen Kartenblock beginnen; Arbeitsgang ausführen; bis bereit führen; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0248	chy	Y	REFERENT	dieser Arbeitsgegenstand	dieser Bildplatz	6	f10r,f11r,f56r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1235	taiin	T+AIIN	EINSTELLUNG → SOLLWERT	Arbeitsgang einstellen; Sollmaß	Platz oder Wert einstellen; verzeichneter Sollwert	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang einstellen; Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1187	shy	Y	REFERENT	dieser Arbeitsgegenstand	dieser Bildplatz	4	f10r,f13r,f56r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0350	dchy	D_ADDR+Y	UNTERADRESSE → REFERENT	bezeichneter Teil; dieser Arbeitsgegenstand	Unterplatz; dieser Bildplatz	2	f10r,f13r	HERBAL	WORKSHOP_PROSE	bezeichneter Teil; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0945	qokchol	OK+OL	AKTIVIEREN → FORTSETZUNG	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	Bildplatz aktivieren; dieselbe Reihe fortführen	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1272	y	Y	REFERENT	dieser Arbeitsgegenstand	dieser Bildplatz	13	f10r,f11r,f13r,f55v,f56r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0419	kchaiin	K+CH+AIIN	ZUORDNUNG → AUSWAHL_ENTNAHME → SOLLWERT	Material zugeben; bezeichneten Anteil entnehmen; Sollmaß	Wert zuordnen; Klasse oder Figur kennzeichnen; verzeichneter Sollwert	1	f10r	HERBAL	WORKSHOP_PROSE	Material zugeben; bezeichneten Anteil entnehmen; Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0266	cth	CTH	BEREITSTATUS	bis bereit führen	Bereitschaftsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	bis bereit führen	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0298	dain	AIN	EINHEIT	Portion	Einheit oder Index	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	Portion	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0301	dair	D_ADDR+AIR	UNTERADRESSE → LAUFWEG	bezeichneter Teil; Flüssigkeits- oder Stationslauf	Unterplatz; Ringlauf	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	bezeichneter Teil; Flüssigkeits- oder Stationslauf	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0033	am	AM_ADDR	INNENADRESSE	Innenstelle	Innenplatz	2	f10r,f55v	HERBAL	WORKSHOP_PROSE	Innenstelle	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1014	qotchor	OT+CH+OR	NAECHSTER → AUSWAHL_ENTNAHME → EINTRAG	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	nächster Bildplatz; Klasse oder Figur kennzeichnen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0849	otol	OT+OL	NAECHSTER → FORTSETZUNG	danach oder nächster Posten; im selben Arbeitsgang fortfahren	nächster Bildplatz; dieselbe Reihe fortführen	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; im selben Arbeitsgang fortfahren	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0221	cholor	OL+OR	FORTSETZUNG → EINTRAG	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	dieselbe Reihe fortführen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0322	dar	D_ADDR+AR	UNTERADRESSE → QUELLE	bezeichneter Teil; Entnahmestelle	Unterplatz; Quell- oder Bezugsstelle	2	f10r,f13r	HERBAL	WORKSHOP_PROSE	bezeichneter Teil; Entnahmestelle	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0877	oykchor	O+Y+K+CH+OR	LAUF → REFERENT → ZUORDNUNG → AUSWAHL_ENTNAHME → EINTRAG	Arbeitsgang ausführen; dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Reihe aufrufen; dieser Bildplatz; Wert zuordnen; Klasse oder Figur kennzeichnen; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang ausführen; dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0409	kaiiin	K+A_ADDR+LOCAL_CHAR_I+IIN	ZUORDNUNG → ADRESSE → I → STUFE	Material zugeben; lokale Arbeitsstelle; lokales Schreibzeichen; Arbeitsstufe	Wert zuordnen; lokale Bildadresse; lokales Bildzeichen; Wertstufe	1	f10r	HERBAL	WORKSHOP_PROSE	Material zugeben; lokale Arbeitsstelle; lokales Schreibzeichen; Arbeitsstufe	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0193	chodaiin	CH+O+D_ADDR+AIIN	AUSWAHL_ENTNAHME → LAUF → UNTERADRESSE → SOLLWERT	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	Klasse oder Figur kennzeichnen; Reihe aufrufen; Unterplatz; verzeichneter Sollwert	1	f10r	HERBAL	WORKSHOP_PROSE	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0736	oqotor	O+OT+OR	LAUF → NAECHSTER → EINTRAG	Arbeitsgang ausführen; danach oder nächster Posten; Ansatz oder Zubereitung	Reihe aufrufen; nächster Bildplatz; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang ausführen; danach oder nächster Posten; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0857	otor	OT+OR	NAECHSTER → EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	nächster Bildplatz; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0057	cfhy	CFH+Y	TRENNUNG → REFERENT	trennen; dieser Arbeitsgegenstand	Trennklasse; dieser Bildplatz	2	f10r,f11r	HERBAL	WORKSHOP_PROSE	trennen; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0276	cthor	CTH+OR	BEREITSTATUS → EINTRAG	bis bereit führen; Ansatz oder Zubereitung	Bereitschaftsklasse; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	bis bereit führen; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0752	osain	O+S+AIN	LAUF → AUSWAHL → EINHEIT	Arbeitsgang ausführen; Arbeitsvariante auswählen; Portion	Reihe aufrufen; Bildklasse auswählen; Einheit oder Index	1	f10r	HERBAL	WORKSHOP_PROSE	Arbeitsgang ausführen; Arbeitsvariante auswählen; Portion	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1377	ytoiin	Y+T+O+IIN	REFERENT → EINSTELLUNG → LAUF → STUFE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen; Arbeitsstufe	dieser Bildplatz; Platz oder Wert einstellen; Reihe aufrufen; Wertstufe	1	f10r	HERBAL	WORKSHOP_PROSE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen; Arbeitsstufe	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0801	otchoshor	OT+CH+O+SH+OR	NAECHSTER → AUSWAHL_ENTNAHME → LAUF → HALTEN → EINTRAG	danach oder nächster Posten; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsgegenstand halten; Ansatz oder Zubereitung	nächster Bildplatz; Klasse oder Figur kennzeichnen; Reihe aufrufen; Bezug festhalten; Eintragsklasse	1	f10r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsgegenstand halten; Ansatz oder Zubereitung	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D1028	qoty	OT+Y	NAECHSTER → REFERENT	danach oder nächster Posten; dieser Arbeitsgegenstand	nächster Bildplatz; dieser Bildplatz	3	f10r,f11r,f13r	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; dieser Arbeitsgegenstand	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0278	cthyd	CTH+Y+D_ADDR	BEREITSTATUS → REFERENT → UNTERADRESSE	bis bereit führen; dieser Arbeitsgegenstand; bezeichneter Teil	Bereitschaftsklasse; dieser Bildplatz; Unterplatz	1	f10r	HERBAL	WORKSHOP_PROSE	bis bereit führen; dieser Arbeitsgegenstand; bezeichneter Teil	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
P912-D0785	otar	OT+AR	NAECHSTER → QUELLE	danach oder nächster Posten; Entnahmestelle	nächster Bildplatz; Quell- oder Bezugsstelle	3	f10r,f55v	HERBAL	WORKSHOP_PROSE	danach oder nächster Posten; Entnahmestelle	FULLY_COMPOSED_NO_NEW_WHOLE_GLOSS
