event_id	dictionary_entry_id	physical_page	locus	surface	channel	visible_owner_de	component_recipe	abstract_composition_de	register_composition_de	current_fluent_or_address_de
P912-E0011	P912-D0067	f10r	f10r.2	char	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AR	QUELLE	Entnahmestelle	Von der Entnahmestelle diesen Posten entnehmen und einstellen.
P912-E0012	P912-D0246	f10r	f10r.2	chty	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+T+Y	AUSWAHL_ENTNAHME → EINSTELLUNG → REFERENT	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Von der Entnahmestelle diesen Posten entnehmen und einstellen.
P912-E0013	P912-D0750	f10r	f10r.2	os	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OS	ADDITION	dazu oder außerdem	Auch entnehmen entlang des Laufs.
P912-E0014	P912-D0062	f10r	f10r.2	chair	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+AIR	AUSWAHL_ENTNAHME → LAUFWEG	bezeichneten Anteil entnehmen; Flüssigkeits- oder Stationslauf	Auch entnehmen entlang des Laufs.
P912-E0015	P912-D0875	f10r	f10r.2	otytchol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+Y+T+CH+OL	NAECHSTER → REFERENT → EINSTELLUNG → AUSWAHL_ENTNAHME → FORTSETZUNG	danach oder nächster Posten; dieser Arbeitsgegenstand; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	Danach weiter diesen Posten einstellen und entnehmen.
P912-E0016	P912-D0668	f10r	f10r.2	oky	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OK+Y	AKTIVIEREN → REFERENT	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Diesen Posten ansetzen.
P912-E0017	P912-D0289	f10r	f10r.2	daiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIIN	SOLLWERT	Sollmaß	Nach Sollmaß diesen Posten kurz einstellen.
P912-E0018	P912-D0401	f10r	f10r.2	etyd	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	E+T+Y	GRAD_1 → EINSTELLUNG → REFERENT	kurz oder direkt; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Nach Sollmaß diesen Posten kurz einstellen.
P912-E0019	P912-D1026	f10r	f10r.3	qotor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+OR	NAECHSTER → EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	Danach den Ansatz ausführen.
P912-E0020	P912-D0507	f10r	f10r.3	o	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O	LAUF	Arbeitsgang ausführen	Danach den Ansatz ausführen.
P912-E0021	P912-D1250	f10r	f10r.3	tchy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	T+Y	EINSTELLUNG → REFERENT	Arbeitsgang einstellen; dieser Arbeitsgegenstand	Diesen Posten einstellen.
P912-E0022	P912-D0289	f10r	f10r.3	daiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIIN	SOLLWERT	Sollmaß	Nach Sollmaß diesen Posten entnehmen, ausführen und bereitstellen.
P912-E0023	P912-D0191	f10r	f10r.3	chocthy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+O+CTH+Y	AUSWAHL_ENTNAHME → LAUF → BEREITSTATUS → REFERENT	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bis bereit führen; dieser Arbeitsgegenstand	Nach Sollmaß diesen Posten entnehmen, ausführen und bereitstellen.
P912-E0024	P912-D1015	f10r	f10r.3	qotchy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+Y	NAECHSTER → REFERENT	danach oder nächster Posten; dieser Arbeitsgegenstand	Danach weiter diesen Posten und den Ansatz einstellen.
P912-E0025	P912-D0215	f10r	f10r.3	chol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren	Danach weiter diesen Posten und den Ansatz einstellen.
P912-E0026	P912-D0738	f10r	f10r.3	or	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OR	EINTRAG	Ansatz oder Zubereitung	Danach weiter diesen Posten und den Ansatz einstellen.
P912-E0027	P912-D1382	f10r	f10r.3	yty	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y+T+Y	REFERENT → EINSTELLUNG → REFERENT	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Danach weiter diesen Posten und den Ansatz einstellen.
P912-E0028	P912-D0390	f10r	f10r.3	dy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Diesen Posten und den Ansatz wählen.
P912-E0029	P912-D0390	f10r	f10r.3	dy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Diesen Posten und den Ansatz wählen.
P912-E0030	P912-D1213	f10r	f10r.4	sor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	S+OR	AUSWAHL → EINTRAG	Arbeitsvariante auswählen; Ansatz oder Zubereitung	Diesen Posten und den Ansatz wählen.
P912-E0031	P912-D0061	f10r	f10r.4	chaiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+AIIN	AUSWAHL_ENTNAHME → SOLLWERT	bezeichneten Anteil entnehmen; Sollmaß	Nach Sollmaß entnehmen.
P912-E0032	P912-D0082	f10r	f10r.4	chcthy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+CTH+Y	AUSWAHL_ENTNAHME → BEREITSTATUS → REFERENT	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	Diesen Posten entnehmen und bereitstellen.
P912-E0033	P912-D0271	f10r	f10r.4	ctho	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+O	BEREITSTATUS → LAUF	bis bereit führen; Arbeitsgang ausführen	Bereitstellen und ausführen.
P912-E0034	P912-D0258	f10r	f10r.4	ckhy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CKH+Y	DURCHLASS → REFERENT	durch einen Durchlass führen; dieser Arbeitsgegenstand	Nach Sollmaß diesen Posten und den Ansatz entnehmen, einstellen und entnehmen durch den Durchlass.
P912-E0035	P912-D0738	f10r	f10r.4	or	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OR	EINTRAG	Ansatz oder Zubereitung	Nach Sollmaß diesen Posten und den Ansatz entnehmen, einstellen und entnehmen durch den Durchlass.
P912-E0036	P912-D0003	f10r	f10r.4	aiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIIN	SOLLWERT	Sollmaß	Nach Sollmaß diesen Posten und den Ansatz entnehmen, einstellen und entnehmen durch den Durchlass.
P912-E0037	P912-D0243	f10r	f10r.4	chtchor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+T+CH+OR	AUSWAHL_ENTNAHME → EINSTELLUNG → AUSWAHL_ENTNAHME → EINTRAG	bezeichneten Anteil entnehmen; Arbeitsgang einstellen; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Nach Sollmaß diesen Posten und den Ansatz entnehmen, einstellen und entnehmen durch den Durchlass.
P912-E0038	P912-D0365	f10r	f10r.4	doiir	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	D_ADDR+O+IIN+R	UNTERADRESSE → LAUF → STUFE → MARKE	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen	Aus diesem Teil auf der angegebenen Stufe ausführen und kennzeichnen.
P912-E0039	P912-D0539	f10r	f10r.4	ody	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O+DY	LAUF → ABSCHLUSS	Arbeitsgang ausführen; Arbeitsschritt schließen	Ausführen; fertig.
P912-E0040	P912-D0947	f10r	f10r.5	qokchy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OK+Y	AKTIVIEREN → REFERENT	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Diesen Posten ansetzen.
P912-E0041	P912-D1013	f10r	f10r.5	qotchol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+CH+OL	NAECHSTER → AUSWAHL_ENTNAHME → FORTSETZUNG	danach oder nächster Posten; bezeichneten Anteil entnehmen; im selben Arbeitsgang fortfahren	Danach weiter entnehmen.
P912-E0042	P912-D0215	f10r	f10r.5	chol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren	Weiter diesen Posten bereitstellen.
P912-E0043	P912-D0277	f10r	f10r.5	cthy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+Y	BEREITSTATUS → REFERENT	bis bereit führen; dieser Arbeitsgegenstand	Weiter diesen Posten bereitstellen.
P912-E0044	P912-D1278	f10r	f10r.6	ycheor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y+CHEO+R	REFERENT → LOKALINHALT → MARKE	dieser Arbeitsgegenstand; Auszug; Zustand kennzeichnen	Diesen Posten und den Auszug kennzeichnen.
P912-E0045	P912-D0277	f10r	f10r.6	cthy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+Y	BEREITSTATUS → REFERENT	bis bereit führen; dieser Arbeitsgegenstand	Diesen Posten bereitstellen.
P912-E0046	P912-D0226	f10r	f10r.6	chor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+OR	AUSWAHL_ENTNAHME → EINTRAG	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Den Ansatz entnehmen.
P912-E0047	P912-D0267	f10r	f10r.6	cthaiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+AIIN	BEREITSTATUS → SOLLWERT	bis bereit führen; Sollmaß	Nach Sollmaß bereitstellen.
P912-E0048	P912-D0920	f10r	f10r.6	qoctholy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CARRIER_Q+O+CTH+OL+Y	EINTRITT → LAUF → BEREITSTATUS → FORTSETZUNG → REFERENT	neuen Kartenblock beginnen; Arbeitsgang ausführen; bis bereit führen; im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	Weiter diesen Posten ausführen und bereitstellen unter q-Träger.
P912-E0049	P912-D0390	f10r	f10r.6	dy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Nach Sollmaß diesen Posten einstellen.
P912-E0050	P912-D0248	f10r	f10r.6	chy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Nach Sollmaß diesen Posten einstellen.
P912-E0051	P912-D1235	f10r	f10r.6	taiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	T+AIIN	EINSTELLUNG → SOLLWERT	Arbeitsgang einstellen; Sollmaß	Nach Sollmaß diesen Posten einstellen.
P912-E0052	P912-D1187	f10r	f10r.6	shy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Weiter aus diesem Teil diesen Posten ansetzen.
P912-E0053	P912-D0350	f10r	f10r.7	dchy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	D_ADDR+Y	UNTERADRESSE → REFERENT	bezeichneter Teil; dieser Arbeitsgegenstand	Weiter aus diesem Teil diesen Posten ansetzen.
P912-E0054	P912-D0945	f10r	f10r.7	qokchol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OK+OL	AKTIVIEREN → FORTSETZUNG	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	Weiter aus diesem Teil diesen Posten ansetzen.
P912-E0055	P912-D1272	f10r	f10r.7	y	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Nach Sollmaß diesen Posten zugeben und entnehmen.
P912-E0056	P912-D0419	f10r	f10r.7	kchaiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	K+CH+AIIN	ZUORDNUNG → AUSWAHL_ENTNAHME → SOLLWERT	Material zugeben; bezeichneten Anteil entnehmen; Sollmaß	Nach Sollmaß diesen Posten zugeben und entnehmen.
P912-E0057	P912-D1382	f10r	f10r.7	yty	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y+T+Y	REFERENT → EINSTELLUNG → REFERENT	dieser Arbeitsgegenstand; Arbeitsgang einstellen; dieser Arbeitsgegenstand	Diesen Posten einstellen.
P912-E0058	P912-D0289	f10r	f10r.7	daiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIIN	SOLLWERT	Sollmaß	Nach Sollmaß bereitstellen.
P912-E0059	P912-D0266	f10r	f10r.7	cth	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH	BEREITSTATUS	bis bereit führen	Nach Sollmaß bereitstellen.
P912-E0060	P912-D0298	f10r	f10r.7	dain	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIN	EINHEIT	Portion	Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle.
P912-E0061	P912-D0301	f10r	f10r.7	dair	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	D_ADDR+AIR	UNTERADRESSE → LAUFWEG	bezeichneter Teil; Flüssigkeits- oder Stationslauf	Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle.
P912-E0062	P912-D0033	f10r	f10r.7	am	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AM_ADDR	INNENADRESSE	Innenstelle	Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle.
P912-E0063	P912-D1014	f10r	f10r.8	qotchor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+CH+OR	NAECHSTER → AUSWAHL_ENTNAHME → EINTRAG	danach oder nächster Posten; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Danach aus diesem Teil als eine Portion den Ansatz entnehmen entlang des Laufs zur Innenstelle.
P912-E0064	P912-D0226	f10r	f10r.8	chor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+OR	AUSWAHL_ENTNAHME → EINTRAG	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Den Ansatz entnehmen.
P912-E0065	P912-D0849	f10r	f10r.8	otol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+OL	NAECHSTER → FORTSETZUNG	danach oder nächster Posten; im selben Arbeitsgang fortfahren	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0066	P912-D0215	f10r	f10r.8	chol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0067	P912-D0221	f10r	f10r.8	cholor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OL+OR	FORTSETZUNG → EINTRAG	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0068	P912-D0215	f10r	f10r.8	chol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OL	FORTSETZUNG	im selben Arbeitsgang fortfahren	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0069	P912-D0289	f10r	f10r.8	daiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIIN	SOLLWERT	Sollmaß	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0070	P912-D0322	f10r	f10r.8	dar	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	D_ADDR+AR	UNTERADRESSE → QUELLE	bezeichneter Teil; Entnahmestelle	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0071	P912-D0877	f10r	f10r.9	oykchor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O+Y+K+CH+OR	LAUF → REFERENT → ZUORDNUNG → AUSWAHL_ENTNAHME → EINTRAG	Arbeitsgang ausführen; dieser Arbeitsgegenstand; Material zugeben; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Danach weiter aus diesem Teil von der Entnahmestelle nach Sollmaß den Ansatz und diesen Posten ausführen, zugeben und entnehmen.
P912-E0072	P912-D1179	f10r	f10r.9	shor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	SH+OR	HALTEN → EINTRAG	Arbeitsgegenstand halten; Ansatz oder Zubereitung	Den Ansatz halten.
P912-E0073	P912-D0226	f10r	f10r.9	chor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+OR	AUSWAHL_ENTNAHME → EINTRAG	bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	Den Ansatz entnehmen.
P912-E0074	P912-D0248	f10r	f10r.9	chy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Von der lokalen Stelle auf der angegebenen Stufe diesen Posten zugeben mit i-Zeichen.
P912-E0075	P912-D0409	f10r	f10r.9	kaiiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	K+A_ADDR+LOCAL_CHAR_I+IIN	ZUORDNUNG → ADRESSE → I → STUFE	Material zugeben; lokale Arbeitsstelle; lokales Schreibzeichen; Arbeitsstufe	Von der lokalen Stelle auf der angegebenen Stufe diesen Posten zugeben mit i-Zeichen.
P912-E0076	P912-D0390	f10r	f10r.9	dy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y	REFERENT	dieser Arbeitsgegenstand	Aus diesem Teil nach Sollmaß diesen Posten entnehmen und ausführen.
P912-E0077	P912-D0193	f10r	f10r.9	chodaiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CH+O+D_ADDR+AIIN	AUSWAHL_ENTNAHME → LAUF → UNTERADRESSE → SOLLWERT	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	Aus diesem Teil nach Sollmaß diesen Posten entnehmen und ausführen.
P912-E0078	P912-D0736	f10r	f10r.10	oqotor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O+OT+OR	LAUF → NAECHSTER → EINTRAG	Arbeitsgang ausführen; danach oder nächster Posten; Ansatz oder Zubereitung	Danach den Ansatz ausführen.
P912-E0079	P912-D0857	f10r	f10r.10	otor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+OR	NAECHSTER → EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	Danach den Ansatz und diesen Posten trennen.
P912-E0080	P912-D0057	f10r	f10r.10	cfhy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CFH+Y	TRENNUNG → REFERENT	trennen; dieser Arbeitsgegenstand	Danach den Ansatz und diesen Posten trennen.
P912-E0081	P912-D0276	f10r	f10r.10	cthor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+OR	BEREITSTATUS → EINTRAG	bis bereit führen; Ansatz oder Zubereitung	Den Ansatz bereitstellen.
P912-E0082	P912-D0752	f10r	f10r.10	osain	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O+S+AIN	LAUF → AUSWAHL → EINHEIT	Arbeitsgang ausführen; Arbeitsvariante auswählen; Portion	Als eine Portion ausführen und wählen.
P912-E0083	P912-D1377	f10r	f10r.10	ytoiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	Y+T+O+IIN	REFERENT → EINSTELLUNG → LAUF → STUFE	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen; Arbeitsstufe	Auf der angegebenen Stufe diesen Posten einstellen und ausführen.
P912-E0084	P912-D0801	f10r	f10r.11	otchoshor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+CH+O+SH+OR	NAECHSTER → AUSWAHL_ENTNAHME → LAUF → HALTEN → EINTRAG	danach oder nächster Posten; bezeichneten Anteil entnehmen; Arbeitsgang ausführen; Arbeitsgegenstand halten; Ansatz oder Zubereitung	Danach den Ansatz entnehmen, ausführen und halten.
P912-E0085	P912-D1028	f10r	f10r.11	qoty	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+Y	NAECHSTER → REFERENT	danach oder nächster Posten; dieser Arbeitsgegenstand	Danach aus diesem Teil diesen Posten und den Ansatz bereitstellen.
P912-E0086	P912-D1026	f10r	f10r.11	qotor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+OR	NAECHSTER → EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	Danach aus diesem Teil diesen Posten und den Ansatz bereitstellen.
P912-E0087	P912-D0278	f10r	f10r.11	cthyd	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	CTH+Y+D_ADDR	BEREITSTATUS → REFERENT → UNTERADRESSE	bis bereit führen; dieser Arbeitsgegenstand; bezeichneter Teil	Danach aus diesem Teil diesen Posten und den Ansatz bereitstellen.
P912-E0088	P912-D0785	f10r	f10r.11	otar	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+AR	NAECHSTER → QUELLE	danach oder nächster Posten; Entnahmestelle	Danach von der Entnahmestelle aus diesem Teil nach Sollmaß ausführen.
P912-E0089	P912-D0531	f10r	f10r.12	odaiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	O+D_ADDR+AIIN	LAUF → UNTERADRESSE → SOLLWERT	Arbeitsgang ausführen; bezeichneter Teil; Sollmaß	Danach von der Entnahmestelle aus diesem Teil nach Sollmaß ausführen.
P912-E0090	P912-D0289	f10r	f10r.12	daiin	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	AIIN	SOLLWERT	Sollmaß	Danach nach Sollmaß diesen Posten und den Ansatz weiterarbeiten.
P912-E0091	P912-D1015	f10r	f10r.12	qotchy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+Y	NAECHSTER → REFERENT	danach oder nächster Posten; dieser Arbeitsgegenstand	Danach nach Sollmaß diesen Posten und den Ansatz weiterarbeiten.
P912-E0092	P912-D1026	f10r	f10r.12	qotor	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f10r	OT+OR	NAECHSTER → EINTRAG	danach oder nächster Posten; Ansatz oder Zubereitung	Danach nach Sollmaß diesen Posten und den Ansatz weiterarbeiten.
P912-E0093	P912-D1269	f11r	f11r.1	tshol	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f11r	T+SH+OL	EINSTELLUNG → HALTEN → FORTSETZUNG	Arbeitsgang einstellen; Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren	Weiter einstellen und halten.
P912-E0094	P912-D1105	f11r	f11r.1	schoal	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f11r	SH+O+AL	HALTEN → LAUF → ZIEL	Arbeitsgegenstand halten; Arbeitsgang ausführen; Ziel- oder Anschlussstelle	Halten und ausführen zur Ziel- oder Anschlussstelle.
P912-E0095	P912-D0057	f11r	f11r.1	cfhy	WORKSHOP_PROSE	abgebildeter Pflanzenartikel f11r	CFH+Y	TRENNUNG → REFERENT	trennen; dieser Arbeitsgegenstand	Diesen Posten trennen.
