surface	events	pages	prose_recipe	prose_reading_de	address_recipe	address_reading_de	shared_abstract_if_same_recipe
chy	15	f10r|f11r|f56r|f67r2|f69v|f70v|f75r|f81v|f88r	Y	dieser Arbeitsgegenstand	Y	dieser Bildplatz	REFERENT
otar	15	f10r|f55v|f67r2|f70v|f75r|f81v	OT+AR	danach oder nächster Posten; Entnahmestelle	OT+AR	nächster Bildplatz; Quell- oder Bezugsstelle	NAECHSTER → QUELLE
okar	13	f55v|f56r|f67r2|f69v|f75r|f81v	OK+AR	Arbeitsgang ansetzen; Entnahmestelle	OK+AR	Bildplatz aktivieren; Quell- oder Bezugsstelle	AKTIVIEREN → QUELLE
sar	11	f55v|f69v|f75r|f81v|f82r|f83r|f88r	S+AR	Arbeitsvariante auswählen; Entnahmestelle	S+AR	Bildklasse auswählen; Quell- oder Bezugsstelle	AUSWAHL → QUELLE
al	10	f55v|f70v|f75r|f81v|f83r	AL	Ziel- oder Anschlussstelle	AL	Zielplatz	ZIEL
am	10	f10r|f55v|f67r2|f70v|f75r|f88r	AM_ADDR	Innenstelle	AM_ADDR	Innenplatz	INNENADRESSE
okal	9	f55v|f67r2|f75r|f81v|f82r	OK+AL	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle	OK+AL	Bildplatz aktivieren; Zielplatz	AKTIVIEREN → ZIEL
oky	9	f10r|f55v|f68r1|f70v|f81v|f82r|f88r	OK+Y	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	OK+Y	Bildplatz aktivieren; dieser Bildplatz	AKTIVIEREN → REFERENT
saiin	9	f67r2|f70v|f75r|f81v|f83r|f88r	S+AIIN	Arbeitsvariante auswählen; Sollmaß	S+AIIN	Bildklasse auswählen; verzeichneter Sollwert	AUSWAHL → SOLLWERT
chdy	8	f56r|f69v|f75r|f81v|f82r|f83r	CHD+Y	Arbeitsgut umsetzen; dieser Arbeitsgegenstand	CHD+Y	zu Gegen- oder Folgeplatz wechseln; dieser Bildplatz	WECHSEL → REFERENT
o	8	f10r|f56r|f69v|f70v|f75r|f83r	O	Arbeitsgang ausführen	O	Reihe aufrufen	LAUF
okeey	8	f68r1|f69v|f75r|f81v	OK+EE+Y	Arbeitsgang ansetzen; länger oder gehalten; dieser Arbeitsgegenstand	OK+EE+Y	Bildplatz aktivieren; zweiter Grad; dieser Bildplatz	AKTIVIEREN → GRAD_2 → REFERENT
d	7	f11r|f13r|f56r|f69v|f82r	D_ADDR	bezeichneter Teil	D_ADDR	Unterplatz	UNTERADRESSE
okedy	7	f69v|f75r|f81v|f83r	OK+E+DY	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsschritt schließen	OK+E+DY	Bildplatz aktivieren; erster Grad; Bildeintrag schließen	AKTIVIEREN → GRAD_1 → ABSCHLUSS
okeedy	7	f55v|f75r|f81v|f83r	OK+EE+DY	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsschritt schließen	OK+EE+DY	Bildplatz aktivieren; zweiter Grad; Bildeintrag schließen	AKTIVIEREN → GRAD_2 → ABSCHLUSS
oteey	7	f69v|f70v|f82r	OT+EE+Y	danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	OT+EE+Y	nächster Bildplatz; zweiter Grad; dieser Bildplatz	NAECHSTER → GRAD_2 → REFERENT
otor	7	f10r|f68r1|f70v|f83r|f88r	OT+OR	danach oder nächster Posten; Ansatz oder Zubereitung	OT+OR	nächster Bildplatz; Eintragsklasse	NAECHSTER → EINTRAG
sal	7	f67r2|f70v|f75r|f81v|f82r	S+AL	Arbeitsvariante auswählen; Ziel- oder Anschlussstelle	S+AL	Bildklasse auswählen; Zielplatz	AUSWAHL → ZIEL
shol	7	f13r|f56r|f70v|f81v|f83r	SH+OL	Arbeitsgegenstand halten; im selben Arbeitsgang fortfahren	SH+OL	Bezug festhalten; dieselbe Reihe fortführen	HALTEN → FORTSETZUNG
cheor	6	f68r1|f69v|f82r|f88r	CHEO+R	Auszug; Zustand kennzeichnen	CHEO+R	lokaler Eintrag; Zustandsmarke	LOKALINHALT → MARKE
cho	6	f55v|f56r|f67r2|f69v|f70v	HO	Teil des sichtbaren Gegenstands	HO	Teil oder Mitglied der Bildklasse	TEIL
dair	6	f10r|f11r|f69v|f70v	D_ADDR+AIR	bezeichneter Teil; Flüssigkeits- oder Stationslauf	D_ADDR+AIR	Unterplatz; Ringlauf	UNTERADRESSE → LAUFWEG
ody	6	f10r|f55v|f69v|f70v	O+DY	Arbeitsgang ausführen; Arbeitsschritt schließen	O+DY	Reihe aufrufen; Bildeintrag schließen	LAUF → ABSCHLUSS
okain	6	f67r2|f81v|f82r|f83r	OK+AIN	Arbeitsgang ansetzen; Portion	OK+AIN	Bildplatz aktivieren; Einheit oder Index	AKTIVIEREN → EINHEIT
okey	6	f67r2|f69v|f70v|f75r|f82r	OK+E+Y	Arbeitsgang ansetzen; kurz oder direkt; dieser Arbeitsgegenstand	OK+E+Y	Bildplatz aktivieren; erster Grad; dieser Bildplatz	AKTIVIEREN → GRAD_1 → REFERENT
oly	6	f67r2|f70v|f75r|f82r	OL+Y	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	OL+Y	dieselbe Reihe fortführen; dieser Bildplatz	FORTSETZUNG → REFERENT
otal	6	f70v|f83r	OT+AL	danach oder nächster Posten; Ziel- oder Anschlussstelle	OT+AL	nächster Bildplatz; Zielplatz	NAECHSTER → ZIEL
oty	6	f56r|f69v|f70v|f75r	OT+Y	danach oder nächster Posten; dieser Arbeitsgegenstand	OT+Y	nächster Bildplatz; dieser Bildplatz	NAECHSTER → REFERENT
sheey	6	f69v|f81v|f82r|f83r	SH+EE+Y	Arbeitsgegenstand halten; länger oder gehalten; dieser Arbeitsgegenstand	SH+EE+Y	Bezug festhalten; zweiter Grad; dieser Bildplatz	HALTEN → GRAD_2 → REFERENT
air	5	f67r2|f69v|f70v	AIR	Flüssigkeits- oder Stationslauf	AIR	Ringlauf	LAUFWEG
chcthy	5	f10r|f70v|f75r|f81v	CH+CTH+Y	bezeichneten Anteil entnehmen; bis bereit führen; dieser Arbeitsgegenstand	CH+CTH+Y	Klasse oder Figur kennzeichnen; Bereitschaftsklasse; dieser Bildplatz	AUSWAHL_ENTNAHME → BEREITSTATUS → REFERENT
cheody	5	f55v|f69v|f70v|f88r	CHEO+Y	Auszug; dieser Arbeitsgegenstand	CHEO+Y	lokaler Eintrag; dieser Bildplatz	LOKALINHALT → REFERENT
otaiin	5	f70v|f83r	OT+AIIN	danach oder nächster Posten; Sollmaß	OT+AIIN	nächster Bildplatz; verzeichneter Sollwert	NAECHSTER → SOLLWERT
ykar	5	f55v|f67r2|f69v|f88r	Y+K+AR	dieser Arbeitsgegenstand; Material zugeben; Entnahmestelle	Y+K+AR	dieser Bildplatz; Wert zuordnen; Quell- oder Bezugsstelle	REFERENT → ZUORDNUNG → QUELLE
ykeey	5	f69v|f70v|f75r|f81v|f82r	Y+K+EE+Y	dieser Arbeitsgegenstand; Material zugeben; länger oder gehalten; dieser Arbeitsgegenstand	Y+K+EE+Y	dieser Bildplatz; Wert zuordnen; zweiter Grad; dieser Bildplatz	REFERENT → ZUORDNUNG → GRAD_2 → REFERENT
char	4	f10r|f69v|f75r|f82r	AR	Entnahmestelle	AR	Quell- oder Bezugsstelle	QUELLE
kchy	4	f11r|f13r|f67r2	K+Y	Material zugeben; dieser Arbeitsgegenstand	K+Y	Wert zuordnen; dieser Bildplatz	ZUORDNUNG → REFERENT
okol	4	f67r2|f88r	OK+OL	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren	OK+OL	Bildplatz aktivieren; dieselbe Reihe fortführen	AKTIVIEREN → FORTSETZUNG
olor	4	f68r1|f75r|f81v	OL+OR	im selben Arbeitsgang fortfahren; Ansatz oder Zubereitung	OL+OR	dieselbe Reihe fortführen; Eintragsklasse	FORTSETZUNG → EINTRAG
otain	4	f75r|f81v|f82r	OT+AIN	danach oder nächster Posten; Portion	OT+AIN	nächster Bildplatz; Einheit oder Index	NAECHSTER → EINHEIT
otol	4	f10r|f11r|f68r1|f75r	OT+OL	danach oder nächster Posten; im selben Arbeitsgang fortfahren	OT+OL	nächster Bildplatz; dieselbe Reihe fortführen	NAECHSTER → FORTSETZUNG
raiin	4	f70v|f82r	R+AIIN	Zustand kennzeichnen; Sollmaß	R+AIIN	Zustandsmarke; verzeichneter Sollwert	MARKE → SOLLWERT
ch	3	f55v|f69v|f75r	CH	bezeichneten Anteil entnehmen	CH	Klasse oder Figur kennzeichnen	AUSWAHL_ENTNAHME
chear	3	f69v|f88r	CH+E+AR	bezeichneten Anteil entnehmen; kurz oder direkt; Entnahmestelle	CH+E+AR	Klasse oder Figur kennzeichnen; erster Grad; Quell- oder Bezugsstelle	AUSWAHL_ENTNAHME → GRAD_1 → QUELLE
chedaiin	3	f67r2|f70v|f83r	CHD+AIIN	Arbeitsgut umsetzen; Sollmaß	CHD+AIIN	zu Gegen- oder Folgeplatz wechseln; verzeichneter Sollwert	WECHSEL → SOLLWERT
choky	3	f56r|f69v	OK+Y	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	OK+Y	Bildplatz aktivieren; dieser Bildplatz	AKTIVIEREN → REFERENT
dary	3	f55v|f68r1|f88r	DA+R+Y	zweite Arbeitsstufe; Zustand kennzeichnen; dieser Arbeitsgegenstand	DA+R+Y	zweite Bildstufe; Zustandsmarke; dieser Bildplatz	STUFE_2 → MARKE → REFERENT
dchor	3	f13r|f68r1|f69v	D_ADDR+CH+OR	bezeichneter Teil; bezeichneten Anteil entnehmen; Ansatz oder Zubereitung	D_ADDR+CH+OR	Unterplatz; Klasse oder Figur kennzeichnen; Eintragsklasse	UNTERADRESSE → AUSWAHL_ENTNAHME → EINTRAG
dchy	3	f10r|f13r|f69v	D_ADDR+Y	bezeichneter Teil; dieser Arbeitsgegenstand	D_ADDR+Y	Unterplatz; dieser Bildplatz	UNTERADRESSE → REFERENT
ey	3	f67r2|f75r|f82r	E+Y	kurz oder direkt; dieser Arbeitsgegenstand	E+Y	erster Grad; dieser Bildplatz	GRAD_1 → REFERENT
ockhy	3	f67r2|f68r1|f69v	O+CKH+Y	Arbeitsgang ausführen; durch einen Durchlass führen; dieser Arbeitsgegenstand	O+CKH+Y	Reihe aufrufen; Verbindung oder Durchlass; dieser Bildplatz	LAUF → DURCHLASS → REFERENT
okchy	3	f13r|f56r|f67r2	OK+Y	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	OK+Y	Bildplatz aktivieren; dieser Bildplatz	AKTIVIEREN → REFERENT
okoldy	3	f68r1|f75r|f88r	OK+OL+DY	Arbeitsgang ansetzen; im selben Arbeitsgang fortfahren; Arbeitsschritt schließen	OK+OL+DY	Bildplatz aktivieren; dieselbe Reihe fortführen; Bildeintrag schließen	AKTIVIEREN → FORTSETZUNG → ABSCHLUSS
olaiin	3	f70v|f75r|f82r	OL+AIIN	im selben Arbeitsgang fortfahren; Sollmaß	OL+AIIN	dieselbe Reihe fortführen; verzeichneter Sollwert	FORTSETZUNG → SOLLWERT
oteedy	3	f70v|f75r	OT+EE+DY	danach oder nächster Posten; länger oder gehalten; Arbeitsschritt schließen	OT+EE+DY	nächster Bildplatz; zweiter Grad; Bildeintrag schließen	NAECHSTER → GRAD_2 → ABSCHLUSS
otey	3	f70v|f75r	OT+E+Y	danach oder nächster Posten; kurz oder direkt; dieser Arbeitsgegenstand	OT+E+Y	nächster Bildplatz; erster Grad; dieser Bildplatz	NAECHSTER → GRAD_1 → REFERENT
otody	3	f69v|f70v|f75r	OT+O+DY	danach oder nächster Posten; Arbeitsgang ausführen; Arbeitsschritt schließen	OT+O+DY	nächster Bildplatz; Reihe aufrufen; Bildeintrag schließen	NAECHSTER → LAUF → ABSCHLUSS
tar	3	f55v|f70v|f83r	T+AR	Arbeitsgang einstellen; Entnahmestelle	T+AR	Platz oder Wert einstellen; Quell- oder Bezugsstelle	EINSTELLUNG → QUELLE
ychey	3	f69v|f75r|f88r	Y+Y	dieser Arbeitsgegenstand; dieser Arbeitsgegenstand	Y+Y	dieser Bildplatz; dieser Bildplatz	REFERENT → REFERENT
ykchy	3	f13r|f67r2	Y+K+Y	dieser Arbeitsgegenstand; Material zugeben; dieser Arbeitsgegenstand	Y+K+Y	dieser Bildplatz; Wert zuordnen; dieser Bildplatz	REFERENT → ZUORDNUNG → REFERENT
ay	2	f67r2	A_ADDR+Y	lokale Arbeitsstelle; dieser Arbeitsgegenstand	A_ADDR+Y	lokale Bildadresse; dieser Bildplatz	ADRESSE → REFERENT
cheal	2	f69v|f82r	AL	Ziel- oder Anschlussstelle	AL	Zielplatz	ZIEL
chky	2	f67r2|f83r	CHK+Y	Arbeitsgegenstand behandeln; dieser Arbeitsgegenstand	CHK+Y	Behandlungsklasse; dieser Bildplatz	BEHANDLUNG → REFERENT
chocfhy	2	f67r2|f68r1	CH+O+CFH+Y	bezeichneten Anteil entnehmen; Arbeitsgang ausführen; trennen; dieser Arbeitsgegenstand	CH+O+CFH+Y	Klasse oder Figur kennzeichnen; Reihe aufrufen; Trennklasse; dieser Bildplatz	AUSWAHL_ENTNAHME → LAUF → TRENNUNG → REFERENT
choly	2	f56r|f69v	OL+Y	im selben Arbeitsgang fortfahren; dieser Arbeitsgegenstand	OL+Y	dieselbe Reihe fortführen; dieser Bildplatz	FORTSETZUNG → REFERENT
choteey	2	f68r1|f70v	CH+OT+EE+Y	bezeichneten Anteil entnehmen; danach oder nächster Posten; länger oder gehalten; dieser Arbeitsgegenstand	CH+OT+EE+Y	Klasse oder Figur kennzeichnen; nächster Bildplatz; zweiter Grad; dieser Bildplatz	AUSWAHL_ENTNAHME → NAECHSTER → GRAD_2 → REFERENT
chotol	2	f56r|f70v	CH+OT+OL	bezeichneten Anteil entnehmen; danach oder nächster Posten; im selben Arbeitsgang fortfahren	CH+OT+OL	Klasse oder Figur kennzeichnen; nächster Bildplatz; dieselbe Reihe fortführen	AUSWAHL_ENTNAHME → NAECHSTER → FORTSETZUNG
chsdy	2	f69v|f75r	CH+S+DY	bezeichneten Anteil entnehmen; Arbeitsvariante auswählen; Arbeitsschritt schließen	CH+S+DY	Klasse oder Figur kennzeichnen; Bildklasse auswählen; Bildeintrag schließen	AUSWAHL_ENTNAHME → AUSWAHL → ABSCHLUSS
dalal	2	f70v|f81v	AL+AL	Ziel- oder Anschlussstelle; Ziel- oder Anschlussstelle	AL+AL	Zielplatz; Zielplatz	ZIEL → ZIEL
doiir	2	f10r|f69v	D_ADDR+O+IIN+R	bezeichneter Teil; Arbeitsgang ausführen; Arbeitsstufe; Zustand kennzeichnen	D_ADDR+O+IIN+R	Unterplatz; Reihe aufrufen; Wertstufe; Zustandsmarke	UNTERADRESSE → LAUF → STUFE → MARKE
kchey	2	f56r|f67r2	K+CH+E+Y	Material zugeben; bezeichneten Anteil entnehmen; kurz oder direkt; dieser Arbeitsgegenstand	K+CH+E+Y	Wert zuordnen; Klasse oder Figur kennzeichnen; erster Grad; dieser Bildplatz	ZUORDNUNG → AUSWAHL_ENTNAHME → GRAD_1 → REFERENT
ofar	2	f67r2	O+LOCAL_CHAR_F+AR	Arbeitsgang ausführen; lokales Schreibzeichen; Entnahmestelle	O+LOCAL_CHAR_F+AR	Reihe aufrufen; lokales Bildzeichen; Quell- oder Bezugsstelle	LAUF → F → QUELLE
okaldy	2	f75r|f82r	OK+AL+DY	Arbeitsgang ansetzen; Ziel- oder Anschlussstelle; Arbeitsschritt schließen	OK+AL+DY	Bildplatz aktivieren; Zielplatz; Bildeintrag schließen	AKTIVIEREN → ZIEL → ABSCHLUSS
okchdy	2	f68r1|f75r	OK+CHD+DY	Arbeitsgang ansetzen; Arbeitsgut umsetzen; Arbeitsschritt schließen	OK+CHD+DY	Bildplatz aktivieren; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	AKTIVIEREN → WECHSEL → ABSCHLUSS
okeeody	2	f67r2|f69v	OK+EE+O+D_ADDR+Y	Arbeitsgang ansetzen; länger oder gehalten; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	OK+EE+O+D_ADDR+Y	Bildplatz aktivieren; zweiter Grad; Reihe aufrufen; Unterplatz; dieser Bildplatz	AKTIVIEREN → GRAD_2 → LAUF → UNTERADRESSE → REFERENT
okeeol	2	f70v|f83r	OK+EE+OL	Arbeitsgang ansetzen; länger oder gehalten; im selben Arbeitsgang fortfahren	OK+EE+OL	Bildplatz aktivieren; zweiter Grad; dieselbe Reihe fortführen	AKTIVIEREN → GRAD_2 → FORTSETZUNG
okeo	2	f67r2|f69v	OK+E+O	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen	OK+E+O	Bildplatz aktivieren; erster Grad; Reihe aufrufen	AKTIVIEREN → GRAD_1 → LAUF
okeody	2	f55v|f69v	OK+E+O+D_ADDR+Y	Arbeitsgang ansetzen; kurz oder direkt; Arbeitsgang ausführen; bezeichneter Teil; dieser Arbeitsgegenstand	OK+E+O+D_ADDR+Y	Bildplatz aktivieren; erster Grad; Reihe aufrufen; Unterplatz; dieser Bildplatz	AKTIVIEREN → GRAD_1 → LAUF → UNTERADRESSE → REFERENT
olar	2	f67r2|f70v	OL+AR	im selben Arbeitsgang fortfahren; Entnahmestelle	OL+AR	dieselbe Reihe fortführen; Quell- oder Bezugsstelle	FORTSETZUNG → QUELLE
ols	2	f67r2|f83r	OL+S	im selben Arbeitsgang fortfahren; Arbeitsvariante auswählen	OL+S	dieselbe Reihe fortführen; Bildklasse auswählen	FORTSETZUNG → AUSWAHL
otchdy	2	f68r1|f83r	OT+CHD+DY	danach oder nächster Posten; Arbeitsgut umsetzen; Arbeitsschritt schließen	OT+CHD+DY	nächster Bildplatz; zu Gegen- oder Folgeplatz wechseln; Bildeintrag schließen	NAECHSTER → WECHSEL → ABSCHLUSS
otchy	2	f56r|f69v	OT+CH+Y	danach oder nächster Posten; bezeichneten Anteil entnehmen; dieser Arbeitsgegenstand	OT+CH+Y	nächster Bildplatz; Klasse oder Figur kennzeichnen; dieser Bildplatz	NAECHSTER → AUSWAHL_ENTNAHME → REFERENT
qoteor	2	f69v|f82r	OT+E+OR	danach oder nächster Posten; kurz oder direkt; Ansatz oder Zubereitung	OT+E+OR	nächster Bildplatz; erster Grad; Eintragsklasse	NAECHSTER → GRAD_1 → EINTRAG
saral	2	f67r2|f69v	S+AR+AL	Arbeitsvariante auswählen; Entnahmestelle; Ziel- oder Anschlussstelle	S+AR+AL	Bildklasse auswählen; Quell- oder Bezugsstelle; Zielplatz	AUSWAHL → QUELLE → ZIEL
shal	2	f70v|f75r	SH+AL	Arbeitsgegenstand halten; Ziel- oder Anschlussstelle	SH+AL	Bezug festhalten; Zielplatz	HALTEN → ZIEL
shchey	2	f70v|f81v	SH+Y	Arbeitsgegenstand halten; dieser Arbeitsgegenstand	SH+Y	Bezug festhalten; dieser Bildplatz	HALTEN → REFERENT
tchy	2	f10r|f70v	T+Y	Arbeitsgang einstellen; dieser Arbeitsgegenstand	T+Y	Platz oder Wert einstellen; dieser Bildplatz	EINSTELLUNG → REFERENT
todaiin	2	f67r2|f70v	T+O+AIIN	Arbeitsgang einstellen; Arbeitsgang ausführen; Sollmaß	T+O+AIIN	Platz oder Wert einstellen; Reihe aufrufen; verzeichneter Sollwert	EINSTELLUNG → LAUF → SOLLWERT
tol	2	f67r2|f83r	T+OL	Arbeitsgang einstellen; im selben Arbeitsgang fortfahren	T+OL	Platz oder Wert einstellen; dieselbe Reihe fortführen	EINSTELLUNG → FORTSETZUNG
ykair	2	f55v|f70v	Y+K+AIR	dieser Arbeitsgegenstand; Material zugeben; Flüssigkeits- oder Stationslauf	Y+K+AIR	dieser Bildplatz; Wert zuordnen; Ringlauf	REFERENT → ZUORDNUNG → LAUFWEG
yteos	2	f67r2|f70v	Y+T+E+O+S_ADDR	dieser Arbeitsgegenstand; Arbeitsgang einstellen; kurz oder direkt; Arbeitsgang ausführen; bezeichnete s-Stelle	Y+T+E+O+S_ADDR	dieser Bildplatz; Platz oder Wert einstellen; erster Grad; Reihe aufrufen; Stern- oder s-Stelle	REFERENT → EINSTELLUNG → GRAD_1 → LAUF → STERNADRESSE
yto	2	f67r2|f69v	Y+T+O	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen	Y+T+O	dieser Bildplatz; Platz oder Wert einstellen; Reihe aufrufen	REFERENT → EINSTELLUNG → LAUF
ytody	2	f67r2|f69v	Y+T+O+DY	dieser Arbeitsgegenstand; Arbeitsgang einstellen; Arbeitsgang ausführen; Arbeitsschritt schließen	Y+T+O+DY	dieser Bildplatz; Platz oder Wert einstellen; Reihe aufrufen; Bildeintrag schließen	REFERENT → EINSTELLUNG → LAUF → ABSCHLUSS
