unit_serial	record_id	page	statement_id	group_count	surface_sequence	atom_sequence	literal_card_reading_de	image_owner	owner_kind	owner_break_inside_statement	selected_concrete_reading_de	short_rival_de
11	H4	f55v	H4-S002	3	daiin chedy talam	AIIN | CHD+Y | AL+AM	Sollmaß; laufenden Posten umsetzen; am Ziel verwahren	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	VISIBLE_WHOLE_PLANT	NO	Miss eine Portion des Ansatzes ab. Wring sie durch Leinwand und lass sie klar absetzen. Verwahre den klaren Auszug; damit endet der Posten.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
12	H4	f55v	H4-S003	4	ykaiin cheoar cheeky oldy	Y+AIIN | CHEO+AR | CHK+EE+Y | OL+CLOSE	Postenmaß; Auszug entnehmen; länger erwärmen und offen halten; Fortsetzung abschließen	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	VISIBLE_WHOLE_PLANT	NO	Wasche damit eine unreine äußere Wunde. Verwende dazu den klaren Auszug. Einmal oder nach örtlicher Vorschrift. Beende diesen Gebrauch.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
13	H4	f55v	H4-S004	6	aiin okal oltchy or y orain	AIIN | OK+AL | OL+CTH+Y | OR | Y | OR+AIN	Sollmaß; dort ansetzen; bereiten Posten weiterführen; Ansatz; dieser Posten; Ansatzportion	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	VISIBLE_WHOLE_PLANT	NO	Nimm ein örtliches Maß der zurückbehaltenen Blätter. Lege sie an die bezeichnete äußere Stelle. Erwärme sie gelinde. Führe sie als zweiten Ansatz. Mische sie mit Honig. Lege den warmen Umschlag frisch auf.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
14	H5	f56r	H5-S001	9	chochor cho chodaly daiin sho kchol otchor choky dal	HO+OR | HO | HO+AL+Y | AIIN | HO | KCH+OL | OT+OR | OK+Y | AL	Zutatenansatz; Eingangsposten oder Zutat; diese Zutat zur Stelle bringen; Sollmaß; Zutat; weiter bearbeiten; Folgeansatz; aktuellen Posten ansetzen; dorthin	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	VISIBLE_WHOLE_PLANT	NO	Von der abgebildeten, unbenannten Pflanze. Sammle das ganze oberirdische Kraut an einem feuchten Standort. Nimm es zu Beginn der Blüte. Nimm nur ein kleines örtliches Maß. Zerstoße die frischen klebrigen Blätter. Lege sie als Auflage auf. Auf eine einzelne Warze oder ein Hühnerauge. Lass die Auflage nur kurz einwirken. An der örtlich bezeichneten Hautstelle.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
15	H5	f56r	H5-S002	4	schol choy choky cheeckhody	PREV+OL | HO+Y | OK+Y | EE+CKH+HO+CLOSE	vorigen Posten fortsetzen; diese Zutat; aktuellen Posten ansetzen; länger auftragen; Schluss	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	VISIBLE_WHOLE_PLANT	NO	Nimm die Auflage wieder ab. Wasche die Stelle mit Wasser. Wiederhole den Gebrauch nur, wenn er vertragen wird. Beende die äußere Anwendung.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
16	H5	f56r	H5-S003	4	sh cho kchey qokokchy	SH | HO | KCH+E+Y | OK+OK+Y	halten; Eingangsposten oder Zutat; diesen Posten kurz bearbeiten; erneut ansetzen	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	VISIBLE_WHOLE_PLANT	NO	Nimm vom übrigen Kraut die blühenden Stiele. Trockne sie im Schatten. Zerreibe sie grob. Verwahre sie trocken.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
17	H5	f56r	H5-S004	3	okchy chokcheo kchal	OK+Y | OK+CHEO | KCH+AL	Posten zur Weiterbearbeitung ansetzen; Auszug zugeben; an der Zielstelle bearbeiten	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	VISIBLE_WHOLE_PLANT	NO	Setze daraus einen schwachen Auszug an. Nimm milden Wein als Medium. Seihe ihn durch ein Tuch.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
18	H5	f56r	H5-S005	4	sho chokchy kchoar sotodan	HO | OK+Y | CHEO+AR | OT+DAN	Zutat; Posten zur Weiterbearbeitung ansetzen; Auszug daraus; danach anwenden	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	VISIBLE_WHOLE_PLANT	NO	Gib Honig hinzu. Erwärme gelinde. Gib den Auszug als Brusttrank. Gebrauche ihn bei trockenem Husten.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
19	H5	f56r	H5-S006	3	otchey keol daiin	OT+Y | E+OL | AIIN	nächster Teilposten; kurz weiterbearbeiten; Sollmaß	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	VISIBLE_WHOLE_PLANT	NO	Führe den ausgewählten Trankanteil als Gabe. Je Gabe. Nimm ein kleines örtliches Maß.	Pflanzenmaterial-/Probenregister: dieselbe sichtbare Pflanze und dieselben Arbeitsgänge, aber ohne vorausgesetzte Krankheit oder Arzneiwirkung.
20	B1	f81v	B1-S001	1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
21	B1	f81v	B1-S002	19	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	OK+AIIN | AIR | OK+AL | AR | OL | AIN | OL+AIN | AL | OL | OL | LOCAL_WHOLE | OL+OR | OL | CKH+E+AL | AIIN | OK+EE+AL | AIIN | CKH+Y | CHD+CLOSE	auf Sollmaß einstellen; Beckenwasser; dort ansetzen; aus dem Ansatz; fortsetzen; eine Portion; weitere Portion; dorthin; fortsetzen; vom vorigen Gang weiterführen; Zusatz; Fortsetzungsansatz; fortsetzen; kurz zur Zielstelle durchleiten; Sollmaß; dort länger halten; Sollmaß; durchleiten; Posten überführen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der zurücklaufende Strom. Den aktiven Posten an der örtlich bezeichneten Station führen. Daraus, aus demselben Ansatz. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Ein abgemessener Anteil. Das untere Becken. Den aktiven Posten an der örtlich bezeichneten Station führen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bevor es abkühlt. Der vorbereitete Bade- oder Waschzusatz. Den vorigen recordlokalen Posten wieder aufnehmen. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Eine mäßige Menge. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Der eingetauchte Teil. Den aktiven Posten nach der örtlichen Vorschrift bemessen. Durch die verbundenen Läufe. Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
22	B1	f81v	B1-S003	2	qol sshkchdy	OL | SH+KCH+CHD+CLOSE	fortsetzen; im Arbeitsgang schwenken; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Halte es warm und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
23	B1	f81v	B1-S004	3	chedy ol shedy	CHD+Y | OL | SHED+E+CLOSE	laufenden Posten umsetzen; fortsetzen; kurz absetzen lassen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
24	B1	f81v	B1-S005	1	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
25	B1	f81v	B1-S006	4	qokain shckhy dl ral	OK+AIN | CKH+Y | LOCAL_WHOLE | AL	eine Portion zugeben; durchleiten; Zusatz; zur Zielstelle	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Gib einen abgemessenen Anteil in das Gefäß. Durch die verbundenen Läufe. Der vorbereitete Bade- oder Waschzusatz. Und lasse es abkühlen.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
26	B1	f81v	B1-S007	1	qokchdy	OK+CHD+CLOSE	Umsetzung ansetzen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Erwärme es einmal und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
27	B1	f81v	B1-S008	5	chey ol cheky ol shedy	Y | OL | CHK+E+Y | OL | SHED+E+CLOSE	dieser Posten; fortsetzen; kurz wärmen; fortsetzen; kurz absetzen lassen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Diese aktive Portion. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Bei sanfter Wärme. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
28	B1	f81v	B1-S009	1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
29	B1	f81v	B1-S010	1	qokedy	OK+E+CLOSE	kurz ansetzen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Die bezeichnete Stelle oder den Lauf mit der aktiven Waschflotte spülen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
30	B1	f81v	B1-S011	2	chckhy qoky	CKH+Y | OK+Y	durchleiten; aktuellen Posten ansetzen	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Durch die verbundenen Läufe. Die Badecharge am vorgesehenen Waschplatz gebrauchen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
31	B1	f81v	B1-S012	3	lsho qokey lshedy	WASH+START | OK+E+Y | WASH+CLOSE	Waschgang beginnen; kurz ansetzen; waschen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Beginne die Spülung. Warmes Wasser. Wasche einmal und beende diesen Durchgang.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
32	B1	f81v	B1-S013	1	lshedy	WASH+CLOSE	waschen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Wasche einmal und beende diesen Durchgang.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
33	B1	f81v	B1-S014	5	chedy qolky lchedal qol otar	CHD+Y | OL | L+CHD+AL | OL | OT+AR	laufenden Posten umsetzen; auf dem Arbeitsweg weiterleiten; zur Ablaufstelle führen; fortsetzen; danach von dort	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Rühre, bis alles gleichmäßig vermischt ist. Die betroffene Stelle. Das untere Becken. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Benutze danach den unteren Ablauf.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
34	B1	f81v	B1-S015	2	ytey okchedy	Y+E+TY | OK+CHD+CLOSE	kurzen Teil des aktuellen Postens nehmen; angesetzten Inhalt überführen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Lasse es abkühlen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
35	B1	f81v	B1-S016	4	qokal okeey qol cheedy	OK+AL | OK+EE+Y | OL | SHED+E+CLOSE	dort ansetzen; länger ansetzen; fortsetzen; kurz absetzen lassen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die Charge für den vorgesehenen Gebrauch temperieren. Den recordlokalen aktiven Posten im Arbeitsgang fortführen. Lasse es bis zur Bereitschaft stehen und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
36	B1	f81v	B1-S017	3	sal teol dchdy	AL | E+OL | CHD+CLOSE	dorthin; kurz weiterleiten; weitergeführten Posten überführen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen. Die erste Öffnung. Seihe es klar und beende den Schritt.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
37	B1	f81v	B1-S018	4	ly dsheol oiiin olkeedy	L+Y | SH+E+OL | IIN | SOLK+EE+CLOSE	aktuellen Posten abführen; kurz weiter ruhen lassen; Sollstufe; länger sammeln; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Fülle danach das Gefäß. Wende es an der markierten Stelle an. Bis es klar ist. Lasse die Flüssigkeit sich setzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
38	B1	f81v	B1-S019	1	tedy	SHED+E+CLOSE	kurz absetzen lassen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Lasse es bis zur Bereitschaft stehen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
39	B1	f81v	B1-S020	2	cheky shckhedy	CHK+E+Y | CKHE+CLOSE	kurz wärmen; seihen; Schluss	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Bei sanfter Wärme. Seihe es einmal durch ein Tuch und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
40	B1	f81v	B1-S021	1	chal	AL	dorthin	B1_SHARED_TWO_ROW_POOL	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: gemeinsames zweireihiges Figuren-/Beckenfeld]] Den aktiven Posten an der örtlich bezeichneten Station führen.	MEDICAL_RIVAL: lokale therapeutische Bade-, Wasch- oder Anwendungsanweisung an derselben sichtbaren Station.
41	B2	f82r	B2-S001	1	dchedy	CHD+CLOSE	Posten überführen; Schluss	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Spüle das benutzte Gefäß oder den Lauf einmal aus und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
42	B2	f82r	B2-S002	1	qolchedy	OL+CHD+CLOSE	weiterüberführen; Schluss	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Stelle die Mischung im bedeckten Auffanggefäß beiseite und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
43	B2	f82r	B2-S003	3	qokain dy qokeedy	OK+AIN | Y | OK+EE+CLOSE	eine Portion zugeben; dieser Posten; länger ansetzen; Schluss	B2_UPPER_PAIRED_BASINS_AND_CYLINDER	VISIBLE_BASIN_FIGURE_OR_LOCAL_STATION	NO	[[LOKALER BESITZER: obere Paarbecken-/Zylinderstation]] Gib einen abgemessenen Anteil in das Gefäß. Diese aktive Portion. Lasse die Badende im temperierten Teilbad sitzen und beende den Schritt.	FORMAL_RIVAL: bloßer Exemplar-/Zellwert oder Bildlegende ohne rekonstruierbare Handlung.
