local_key_form	group_count	pages	namespaces	visible_owners	learning_rule
yekees	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_46	copy from the selected diagram locus; no portable gloss required
yka	1	f69v	F69_MIDDLE_WHEEL_NS	A3_MIDDLE_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
ykchos	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	copy from the selected diagram locus; no portable gloss required
ykchys	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_07	copy from the selected diagram locus; no portable gloss required
ykecho	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_02	copy from the selected diagram locus; no portable gloss required
ykees	1	f67r2	F67_RIGHT_WHEEL_NS	A1_RIGHT_SECTOR_SLOT_12	copy from the selected diagram locus; no portable gloss required
ytalchos	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_OUTER_RING_TEXT	copy from the selected diagram locus; no portable gloss required
yteos	1	f67r2	F67_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_40	copy from the selected diagram locus; no portable gloss required
yto	2	f67r2|f69v	F67_LEFT_WHEEL_NS|F69_LEFT_WHEEL_NS	A1_LEFT_LOCAL_FIELD_26|A3_LEFT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
ytyd	1	f69v	F69_RIGHT_WHEEL_NS	A3_RIGHT_WHEEL_RING_TEXT	copy from the selected diagram locus; no portable gloss required
