whole_sign_form	group_count	pages	learned_value_examples_de	learning_rule
otochedy	1	f68r1	Sternplatz A2_STAR_STATION_27: naechster Platz oder folgende Bedingung + Wert oder Platzbezug uebertragen; lokaler Namensrest o/y.	memorize as one Astro value sign; do not split final DY/Y
otody	1	f69v	Radstelle A3_LEFT_RADIAL_SLOT_09: naechster Platz oder folgende Bedingung; lokaler Namensrest ody.	memorize as one Astro value sign; do not split final DY/Y
oty	1	f69v	Radstelle A3_LEFT_WHEEL_RING_TEXT: Teilsektor oder Untereintrag; lokaler Namensrest o.	memorize as one Astro value sign; do not split final DY/Y
otydy	1	f68r1	Sternplatz A2_STAR_STATION_07: Teilsektor oder Untereintrag; lokaler Namensrest o/dy.	memorize as one Astro value sign; do not split final DY/Y
qkoy	1	f67r2	A1_LEFT_OUTER_RING_TEXT: neue Grundklasse.	memorize as one Astro value sign; do not split final DY/Y
qokeeody	1	f67r2	Legendenstelle A1_PAIRED_WHEEL_LEGEND_UNRESOLVED: Diagrammposten setzen oder aktivieren + lange oder volle Diagrammstufe; lokaler Namensrest q/ody.	memorize as one Astro value sign; do not split final DY/Y
sarydy	1	f69v	Radstelle A3_LEFT_RADIAL_SLOT_20: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest s/ydy.	memorize as one Astro value sign; do not split final DY/Y
sheody	1	f67r2	Sternplatz A1_LEFT_LOCAL_FIELD_44: Position oder Bedingung halten; lokaler Namensrest eody.	memorize as one Astro value sign; do not split final DY/Y
ycheody	1	f67r2	A1_LEFT_LOCAL_FIELD_45: aktueller Ablesewert fest.	memorize as one Astro value sign; do not split final DY/Y
ykady	1	f69v	A3_MIDDLE_WHEEL_RING_TEXT: aktuelle Qualität fest.	memorize as one Astro value sign; do not split final DY/Y
ykchdy	1	f68r1	Sternplatz A2_STAR_STATION_21: Wert oder Platzbezug uebertragen; lokaler Namensrest yk/y.	memorize as one Astro value sign; do not split final DY/Y
ykeeody	1	f69v	lokaler Himmels- oder Kalenderplatz A3_MIDDLE_WHEEL_RING_TEXT: lange oder volle Diagrammstufe; lokaler Namensrest yk/ody.	memorize as one Astro value sign; do not split final DY/Y
ykeody	2	f67r2|f69v	A1_RIGHT_SECTOR_SLOT_05: Klassenplatz fest eingetragen. | A3_LEFT_RADIAL_SLOT_19: Klassenplatz fest eingetragen.	memorize as one Astro value sign; do not split final DY/Y
ykeydy	1	f69v	A3_LEFT_RADIAL_SLOT_14: aktuelle Klasse fest.	memorize as one Astro value sign; do not split final DY/Y
ytchodly	1	f67r2	Sternplatz A1_LEFT_OUTER_STAR_STATION_08: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dly.	memorize as one Astro value sign; do not split final DY/Y
ytchody	1	f68r1	Sternplatz A2_STAR_STATION_10: Himmelsobjekt oder Eingangsbedingung; lokaler Namensrest ytc/dy.	memorize as one Astro value sign; do not split final DY/Y
yteody	1	f68r1	A2_MIDDLE_PANEL_HEADER: Phasenplatz fest eingetragen.	memorize as one Astro value sign; do not split final DY/Y
ytody	2	f67r2|f69v	A1_LEFT_LOCAL_FIELD_29: Platz fest eingetragen. | A3_LEFT_RADIAL_SLOT_07: Platz fest eingetragen.	memorize as one Astro value sign; do not split final DY/Y
