world	edition	grammar	paragraph	target	target_form	parent_form	parent_portion	supporting_operations	target_assertions	new_conflicts	removed_conflicts	later_actions	later_actions_on_new_name	all_actions_on_new_name_after_binding	physical_future_differences	state_differences	alias_collisions	E_portions	R_portions	unread_to_target	prediction_group	row_status
R0026	IT2a	J	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	20	19	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	ebe5095bed44222afb85285e215e5fb3d0f10412798c2aca4295a127c5ab7e96	recorded
R0027	IT2a	M	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	20	19	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	ebe5095bed44222afb85285e215e5fb3d0f10412798c2aca4295a127c5ab7e96	recorded
R0028	RF1b	B	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	25	24	f17v.5:3	c84292871fadf50d887d8a3f7d7b8a7e880e7b04e300b7b35b3109442b3a88dc	recorded
R0029	RF1b	J	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	25	24	f17v.5:3	5166c96105e22fbcec1b83cf6517b708b7ac7cc81202a8a2706f6fb208b471d1	recorded
R0030	RF1b	M	f17v|f17v.1-f17v.23	f17v.5:4	tchol	kchor	f17v.4:1	f17v.5:1	PHYSICAL:moisture=dry:MATCH			f17v.5:6	f17v.5:6	f17v.5:2;f17v.5:6		4	0	25	24	f17v.5:3	5166c96105e22fbcec1b83cf6517b708b7ac7cc81202a8a2706f6fb208b471d1	recorded
R0031	RF1b	B	f22v|f22v.6-f22v.16	f22v.9:4	tchol	shody	f22v.9:2	f22v.9:3	PHYSICAL:moisture=dry:MATCH							2	0	9	8		2a35eb89bab66ca7a0a9e77a735d030b1fd71863f45796bd87f857ee39e8556e	recorded
R0032	RF1b	J	f22v|f22v.6-f22v.16	f22v.9:4	tchol	shody	f22v.9:2	f22v.9:3	PHYSICAL:moisture=dry:MATCH							2	0	9	8		2a35eb89bab66ca7a0a9e77a735d030b1fd71863f45796bd87f857ee39e8556e	recorded
R0033	RF1b	M	f22v|f22v.6-f22v.16	f22v.9:4	tchol	shody	f22v.9:2	f22v.9:3	PHYSICAL:moisture=dry:MATCH							2	0	9	8		2a35eb89bab66ca7a0a9e77a735d030b1fd71863f45796bd87f857ee39e8556e	recorded
R0034	RF1b	B	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH			f24r.12:1	f24r.12:1	f24r.12:1		3	0	18	17	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.10:7;f24r.11:2;f24r.11:3;f24r.11:4;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	8df8fc132f10060d512fbd76f96ee2455dc604f17799beffbc7b9b354fb8e410	recorded
R0035	RF1b	J	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH							2	0	18	17	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.10:7;f24r.11:2;f24r.11:3;f24r.11:4;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	3f933390c4998ebf35490a91eb8639a17f76738db27ccc08ef231bdda964d82d	recorded
R0036	RF1b	M	f24r|f24r.1-f24r.20	f24r.11:5	qokain	otal	f24r.6:3	f24r.6:5	PHYSICAL:thermal=warm:MATCH							2	0	18	17	f24r.10:1;f24r.10:2;f24r.10:5;f24r.10:6;f24r.10:7;f24r.11:2;f24r.11:3;f24r.11:4;f24r.7:1;f24r.7:2;f24r.7:6;f24r.8:3;f24r.8:4;f24r.9:2;f24r.9:3	3f933390c4998ebf35490a91eb8639a17f76738db27ccc08ef231bdda964d82d	recorded
R0037	RF1b	B	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	11	10	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	8a3c989a0300a0e571e6f47a24f123a7f73d7deec3a8de79cff26ecaa6373208	recorded
R0038	RF1b	J	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	11	10	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	8a3c989a0300a0e571e6f47a24f123a7f73d7deec3a8de79cff26ecaa6373208	recorded
R0039	RF1b	M	f86v5|f86v5.18-f86v5.25	f86v5.23:7	qokar	ykaiin	f86v5.20:6	f86v5.22:2	PHYSICAL:thermal=warm:MATCH			f86v5.23:8	f86v5.23:8	f86v5.23:8		2	0	11	10	f86v5.22:3;f86v5.22:4;f86v5.22:6;f86v5.22:7;f86v5.22:8;f86v5.22:9;f86v5.23:5	8a3c989a0300a0e571e6f47a24f123a7f73d7deec3a8de79cff26ecaa6373208	recorded
R0040	RF1b	B	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	20	19	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	0f3b92ffbbb3b24e1fa67017e31b3a4f4ac9a5c49e8808e98634034eb6d09723	recorded
R0041	RF1b	B	f93r|f93r.1-f93r.32	f93r.5:5	qokol	shody	f93r.4:5	f93r.4:3	PHYSICAL:thermal=warm:MATCH							2	0	20	19	f93r.4:6;f93r.4:8;f93r.4:9;f93r.5:3	78331856a407e384c0561a649bbd8acd522e50700cf050411b24c0d09f805474	recorded
R0042	RF1b	J	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	20	19	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	0f3b92ffbbb3b24e1fa67017e31b3a4f4ac9a5c49e8808e98634034eb6d09723	recorded
R0043	RF1b	J	f93r|f93r.1-f93r.32	f93r.5:5	qokol	shody	f93r.4:5	f93r.4:3	PHYSICAL:thermal=warm:MATCH							2	0	20	19	f93r.4:6;f93r.4:8;f93r.4:9;f93r.5:3	78331856a407e384c0561a649bbd8acd522e50700cf050411b24c0d09f805474	recorded
R0044	RF1b	M	f93r|f93r.1-f93r.32	f93r.3:6	chody	sheo	f93r.2:6	f93r.2:3	PHYSICAL:moisture=dry:MATCH			f93r.12:1				4	0	20	19	f93r.2:10;f93r.2:11;f93r.2:8;f93r.3:1;f93r.3:3;f93r.3:4	0f3b92ffbbb3b24e1fa67017e31b3a4f4ac9a5c49e8808e98634034eb6d09723	recorded
R0045	RF1b	M	f93r|f93r.1-f93r.32	f93r.5:5	qokol	shody	f93r.4:5	f93r.4:3	PHYSICAL:thermal=warm:MATCH							2	0	20	19	f93r.4:6;f93r.4:8;f93r.4:9;f93r.5:3	78331856a407e384c0561a649bbd8acd522e50700cf050411b24c0d09f805474	recorded
