semantic_family	component_recipe	working_reading_de	exact_card_subfamilies	exact_card_ids	surface_inventory	events	pages	records	merge_status	same_owner_uses_multiple_subfamilies	same_owner_examples
SEM033	RESUME_CARD	WIEDERAUFNEHMEN	1	PROC034	dchol|schol	2	f11r|f56r	H3|H5	SINGLE_EXACT_CARD	NO	NONE
SEM034	K+Y	ZUDOSIEREN · DIES	1	PROC035	kchy	1	f11r	H3	SINGLE_EXACT_CARD	NO	NONE
SEM035	OT+Y	DANACH · DIES	2	PROC036|PROC065	qotchy || otchey	3	f11r|f56r|f83r	B4|H3|H5	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE
SEM036	OK+OL	ANSETZEN · FORTSETZEN	2	PROC037|PROC160	okchol || qokol	2	f11r|f83r	B4|H3	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE
SEM037	OK+AIIN	ANSETZEN · MASS	1	PROC038	okaiin|qokaiin	9	f55v|f81v|f82r|f83r	B1|B2|B3|H4	SINGLE_EXACT_CARD	NO	NONE
SEM038	Y+K+AIN	DIES · ZUDOSIEREN · PORTION	1	PROC039	ykain	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM039	Y+K+AN	DIES · ZUDOSIEREN · NACHGABE	1	PROC040	ykan	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM040	O+DY	GANG · SCHLUSS	1	PROC041	ody	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM041	CHD+Y	UMSETZEN · DIES	2	PROC042|PROC133	chdy|chedy || chedchy	12	f55v|f81v|f83r	B1|B3|B4|B5|H4	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	mittlere Randfigur im runden Gefäß
SEM042	TALAM	VERWAHREN	1	PROC043	talam	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM043	Y+K+AIIN	DIES · ZUDOSIEREN · MASS	1	PROC044	ykaiin	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM044	CH+E+O+AR	ABNEHMEN · KURZ · GANG · QUELLE	1	PROC045	cheoar	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM045	CHK+EE+Y	WAERMEN · LANG · DIES	2	PROC046|PROC107	cheeky || chkeey	3	f55v|f82r|f83r	B2|B4|H4	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE
SEM046	OL+DY	FORTSETZEN · SCHLUSS	1	PROC047	oldy	2	f55v|f83r	B4|H4	SINGLE_EXACT_CARD	NO	NONE
SEM047	OK+AL	ANSETZEN · ZIEL	1	PROC048	okal|qokal	6	f55v|f81v|f82r|f83r	B1|B2|B3|H4	SINGLE_EXACT_CARD	NO	NONE
SEM048	OL+T+Y	FORTSETZEN · EINTRAGEN · DIES	1	PROC049	oltchy	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM049	OR+AIN	ANSATZ · PORTION	1	PROC050	orain	1	f55v	H4	SINGLE_EXACT_CARD	NO	NONE
SEM050	HO+CH+OR	ZUTAT · ABNEHMEN · ANSATZ	1	PROC051	chochor	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM051	HO	ZUTAT	1	PROC052	cho|sho	4	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM052	HO+AL+Y	ZUTAT · ZIEL · DIES	1	PROC053	chodaly	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM053	K+OL	ZUDOSIEREN · FORTSETZEN	1	PROC054	kchol	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM054	AL	ZIEL	1	PROC055	al|chal|cheal|dal|sal|tal	10	f56r|f81v|f82r|f83r	B1|B2|B3|B4|B5|H5	SINGLE_EXACT_CARD	NO	NONE
SEM055	HO+Y	ZUTAT · DIES	1	PROC056	choy	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM056	CH+EE+CKH+O+DY	ABNEHMEN · LANG · DURCHLASS · GANG · SCHLUSS	1	PROC057	cheeckhody	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM057	SH	HALTEN	1	PROC058	sh	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM058	K+E+Y	ZUDOSIEREN · KURZ · DIES	1	PROC059	kchey	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM059	OK+OK+Y	ANSETZEN · ANSETZEN · DIES	1	PROC060	qokokchy	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM060	OK+CH+E+O	ANSETZEN · ABNEHMEN · KURZ · GANG	1	PROC061	chokcheo	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM061	K+AL	ZUDOSIEREN · ZIEL	1	PROC062	kchal	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM062	K+HO+AR	ZUDOSIEREN · ZUTAT · QUELLE	1	PROC063	kchoar	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM063	OT+O+AIN	DANACH · GANG · PORTION	1	PROC064	sotodan	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM064	K+E+OL	ZUDOSIEREN · KURZ · FORTSETZEN	1	PROC066	keol	1	f56r	H5	SINGLE_EXACT_CARD	NO	NONE
SEM065	OK+E+DY	ANSETZEN · KURZ · SCHLUSS	1	PROC067	qokedy	8	f81v|f83r	B1|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM066	K+AIR	ZUDOSIEREN · LAUF	1	PROC068	kair	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM067	K+AIN	ZUDOSIEREN · PORTION	1	PROC069	chkain|kain	3	f81v|f83r	B1|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM068	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	1	PROC070	olkain|qolkain	2	f81v|f83r	B1|B4	SINGLE_EXACT_CARD	NO	NONE
SEM069	R+OL	KUEHLEN · FORTSETZEN	1	PROC071	rol	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM070	L	WEITERLEITEN	1	PROC072	dl	2	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM071	SH+E+CKH+AL	HALTEN · KURZ · DURCHLASS · ZIEL	1	PROC073	sheckhal	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM072	OK+EE+AL	ANSETZEN · LANG · ZIEL	1	PROC074	qokeedal	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM073	CKH+Y	DURCHLASS · DIES	1	PROC075	chckhy|shckhy	4	f81v|f82r	B1|B2	SINGLE_EXACT_CARD	NO	NONE
SEM074	CHD+DY	UMSETZEN · SCHLUSS	2	PROC076|PROC094	dchedy|schedy|tchedy || dchdy	5	f81v|f82r|f83r	B1|B2|B3	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	gemeinsame zweireihige Figuren-/Beckenstation
SEM075	SH+K+CHD+DY	HALTEN · ZUDOSIEREN · UMSETZEN · SCHLUSS	1	PROC077	sshkchdy	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM076	SHED+DY	ABSETZEN · SCHLUSS	1	PROC078	cheedy|shedy|tedy	12	f81v|f82r|f83r	B1|B2|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM077	OL+CHD+DY	FORTSETZEN · UMSETZEN · SCHLUSS	1	PROC079	olchedy|qolchedy	3	f81v|f82r|f83r	B1|B2|B3	SINGLE_EXACT_CARD	NO	NONE
SEM078	OK+AIN	ANSETZEN · PORTION	1	PROC080	okain|qokain	7	f81v|f82r|f83r	B1|B2|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM079	R+AL	KUEHLEN · ZIEL	1	PROC081	ral	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM080	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	2	PROC082|PROC091	qokchdy || okchedy|qokchedy	5	f81v|f83r	B1|B3|B5	PROVISIONAL_SEMANTIC_MERGE__EXEMPLAR_CHOICE_REQUIRED	YES	gemeinsame zweireihige Figuren-/Beckenstation | unverbundener Zwischenbereich
SEM081	CHK+E+Y	WAERMEN · KURZ · DIES	1	PROC083	cheky	3	f81v|f83r	B1|B4	SINGLE_EXACT_CARD	NO	NONE
SEM082	LSH+O	WASCHEN · GANG	1	PROC084	lsho	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM083	OK+E+Y	ANSETZEN · KURZ · DIES	1	PROC085	okey|qokey	2	f81v|f82r	B1|B2	SINGLE_EXACT_CARD	NO	NONE
SEM084	LSH+E+DY	WASCHEN · KURZ · SCHLUSS	1	PROC086	lshedy	2	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM085	SOLK+Y	AUFFANGEN · DIES	1	PROC087	qolky	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM086	L+CHD+AL	WEITERLEITEN · UMSETZEN · ZIEL	1	PROC088	lchedal	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM087	OT+AR	DANACH · QUELLE	1	PROC089	otar	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM088	T+E+Y	EINTRAGEN · KURZ · DIES	1	PROC090	ytey	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM089	OK+EE+Y	ANSETZEN · LANG · DIES	1	PROC092	okeey|qokeey	7	f81v|f82r|f83r	B1|B2|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM090	E+OL	KURZ · FORTSETZEN	1	PROC093	teol	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM091	L+Y	WEITERLEITEN · DIES	1	PROC095	ly	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM092	SH+E+OL	HALTEN · KURZ · FORTSETZEN	1	PROC096	dsheol	1	f81v	B1	SINGLE_EXACT_CARD	NO	NONE
SEM093	O+IIN	GANG · STUFE	1	PROC097	oiiin|soiiin	2	f81v|f83r	B1|B3	SINGLE_EXACT_CARD	NO	NONE
SEM094	SOLK+EE+DY	AUFFANGEN · LANG · SCHLUSS	1	PROC098	olkeedy|solkeedy	3	f81v|f83r	B1|B3	SINGLE_EXACT_CARD	NO	NONE
SEM095	SH+CKH+E+DY	HALTEN · DURCHLASS · KURZ · SCHLUSS	1	PROC099	shckhedy	3	f81v|f83r	B1|B4	SINGLE_EXACT_CARD	NO	NONE
SEM096	OK+EE+DY	ANSETZEN · LANG · SCHLUSS	1	PROC100	qokeedy	10	f82r|f83r	B2|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM097	L+CKH+Y	WEITERLEITEN · DURCHLASS · DIES	1	PROC101	lcheckhy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM098	L+CHD	WEITERLEITEN · UMSETZEN	1	PROC102	lched	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM099	L+CKH+E+DY	WEITERLEITEN · DURCHLASS · KURZ · SCHLUSS	1	PROC103	lcheckhedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM100	OK+AL+Y	ANSETZEN · ZIEL · DIES	1	PROC104	qokaly	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM101	SOLK+AIIN	AUFFANGEN · MASS	1	PROC105	solkaiin	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM102	O+CTH+E+OL	GANG · BEREIT · KURZ · FORTSETZEN	1	PROC106	octheol	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM103	L+DY	WEITERLEITEN · SCHLUSS	1	PROC108	ldy	2	f82r|f83r	B2|B3	SINGLE_EXACT_CARD	NO	NONE
SEM104	OT+EE+Y	DANACH · LANG · DIES	1	PROC109	oteey	2	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM105	SH+E+CKH+Y	HALTEN · KURZ · DURCHLASS · DIES	1	PROC110	sheckhy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM106	SH+E+DY	HALTEN · KURZ · SCHLUSS	1	PROC111	dshedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM107	OT+AIIN	DANACH · MASS	1	PROC112	otaiin|sotaiin	3	f82r|f83r	B2|B3	SINGLE_EXACT_CARD	NO	NONE
SEM108	OK+AR	ANSETZEN · QUELLE	1	PROC113	qokar	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM109	OL+SH+E+DY	FORTSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC114	solshedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM110	L+CH+Y	WEITERLEITEN · ABNEHMEN · DIES	1	PROC116	lchy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM111	CTH+E+Y	BEREIT · KURZ · DIES	1	PROC117	qcthey|shcthey	2	f82r|f83r	B2|B3	SINGLE_EXACT_CARD	NO	NONE
SEM112	L+EE+Y	WEITERLEITEN · LANG · DIES	1	PROC118	lcheey	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM113	OK+EEE+DY	ANSETZEN · VOLL · SCHLUSS	1	PROC119	qokeeedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM114	L+CHD+DY	WEITERLEITEN · UMSETZEN · SCHLUSS	1	PROC120	lchedy	8	f82r|f83r	B2|B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM115	L+AR	WEITERLEITEN · QUELLE	1	PROC121	lar	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM116	SH+E+Y	HALTEN · KURZ · DIES	1	PROC122	tshey	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM117	L+CHD+AR	WEITERLEITEN · UMSETZEN · QUELLE	1	PROC123	lchedar	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM118	CH+E+S	ABNEHMEN · KURZ · TEILEN	1	PROC124	ches	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM119	P+CHD+DY	EINFUELLEN · UMSETZEN · SCHLUSS	1	PROC125	pchedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM120	R+SH+E+AL	KUEHLEN · HALTEN · KURZ · ZIEL	1	PROC126	rsheal	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM121	AL+DY	ZIEL · SCHLUSS	1	PROC127	daldy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM122	R+SHED+DY	KUEHLEN · ABSETZEN · SCHLUSS	1	PROC128	rshedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM123	OT+EE+DY	DANACH · LANG · SCHLUSS	1	PROC129	qoteedy	2	f82r|f83r	B2|B3	SINGLE_EXACT_CARD	NO	NONE
SEM124	L+O+CHD+DY	WEITERLEITEN · GANG · UMSETZEN · SCHLUSS	1	PROC130	lochedy	1	f82r	B2	SINGLE_EXACT_CARD	NO	NONE
SEM125	OT+AL	DANACH · ZIEL	1	PROC131	otal|qotal	3	f83r	B3|B4	SINGLE_EXACT_CARD	NO	NONE
SEM126	CHK+EE+DY	WAERMEN · LANG · SCHLUSS	1	PROC132	chkeedy	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM127	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIEL	1	PROC134	pchedal	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM128	OT+E+DY	DANACH · KURZ · SCHLUSS	1	PROC135	otedy	2	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM129	SH+E+CTH+CHD+Y	HALTEN · KURZ · BEREIT · UMSETZEN · DIES	1	PROC136	shecthedchy	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM130	AR+Y	QUELLE · DIES	1	PROC137	chary	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM131	OK+AIR	ANSETZEN · LAUF	1	PROC138	okair	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM132	SH+EE+DY	HALTEN · LANG · SCHLUSS	1	PROC139	sheedy	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM133	L+O	WEITERLEITEN · GANG	1	PROC140	lo	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM134	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ · SCHLUSS	1	PROC141	qokshedy	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM135	SHED+AL	ABSETZEN · ZIEL	1	PROC142	shedal	2	f83r	B3|B5	SINGLE_EXACT_CARD	NO	NONE
SEM136	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · DIES	1	PROC143	shecthy	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM137	AL+CHD+DY	ZIEL · UMSETZEN · SCHLUSS	1	PROC144	dalchdy	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM138	OT+CHD+DY	DANACH · UMSETZEN · SCHLUSS	2	PROC145|PROC166	otchedy|qotchedy || otchdy	3	f83r	B3|B5	SEMANTIC_MERGE__OWNER_RECORD_SUBFAMILIES	NO	NONE
SEM139	EE+AR	LANG · QUELLE	1	PROC146	cheedar	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM140	L+AIIN	WEITERLEITEN · MASS	1	PROC147	chldaiin	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM141	AL+R+OR	ZIEL · KUEHLEN · ANSATZ	1	PROC148	chealror	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM142	EEE+T+Y	VOLL · EINTRAGEN · DIES	1	PROC149	cheeety	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM143	CHD+AIR	UMSETZEN · LAUF	1	PROC150	schedair	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM144	CHD+AIN	UMSETZEN · PORTION	1	PROC151	chedain	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM145	OT+E+AIIN	DANACH · KURZ · MASS	1	PROC152	qotedaiin	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM146	OL+AL+Y	FORTSETZEN · ZIEL · DIES	1	PROC153	olsaly	1	f83r	B3	SINGLE_EXACT_CARD	NO	NONE
SEM147	OL+Y	FORTSETZEN · DIES	1	PROC154	qolchey	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM148	OK+Y+LD+DY	ANSETZEN · DIES · BEFESTIGEN · SCHLUSS	1	PROC155	qokylddy	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM149	AIN	PORTION	1	PROC156	dain	2	f83r	B4|B6	SINGLE_EXACT_CARD	NO	NONE
SEM150	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	1	PROC158	okeeol	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM151	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ · SCHLUSS	1	PROC159	lkedy	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM152	O+CKH+E+Y	GANG · DURCHLASS · KURZ · DIES	1	PROC161	qockhey	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM153	AIR+Y+DY	LAUF · DIES · SCHLUSS	1	PROC162	dairydy	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM154	CH+CKH+AL	ABNEHMEN · DURCHLASS · ZIEL	1	PROC163	chckhal	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM155	SOLK+E+Y	AUFFANGEN · KURZ · DIES	1	PROC164	solkey	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM156	K+AR	ZUDOSIEREN · QUELLE	1	PROC165	skar	1	f83r	B4	SINGLE_EXACT_CARD	NO	NONE
SEM157	L+OL	WEITERLEITEN · FORTSETZEN	1	PROC167	lol	1	f83r	B5	SINGLE_EXACT_CARD	NO	NONE
SEM158	CHD+AL	UMSETZEN · ZIEL	1	PROC168	chdal	1	f83r	B5	SINGLE_EXACT_CARD	NO	NONE
SEM159	DA+IIN	ZWEIT · STUFE	1	PROC169	daiiin	1	f83r	B5	SINGLE_EXACT_CARD	NO	NONE
SEM160	SOLK+EE+Y	AUFFANGEN · LANG · DIES	1	PROC170	solkeey	1	f83r	B6	SINGLE_EXACT_CARD	NO	NONE
SEM161	E+K+E+Y	KURZ · ZUDOSIEREN · KURZ · DIES	1	PROC171	qekey	1	f83r	B6	SINGLE_EXACT_CARD	NO	NONE
SEM162	R+AL+Y	KUEHLEN · ZIEL · DIES	1	PROC172	raly	1	f83r	B6	SINGLE_EXACT_CARD	NO	NONE
SEM163	L+AL+OR	WEITERLEITEN · ZIEL · ANSATZ	1	PROC173	ldalor	1	f83r	B6	SINGLE_EXACT_CARD	NO	NONE
