pair_id	scope_class	source_record_id	target_record_id	source_physical_page	target_physical_page	register	active_model_sequence	fluent_frame_class	contrast_frame_id	wildcard_component_frame	changed_flat_component_ordinal	component_a	component_b	source_surface_sequence	target_surface_sequence	source_component_trace_de	target_component_trace_de	source_fluent_reading_de	target_fluent_reading_de	source_fluent_names_normalized_de	target_fluent_names_normalized_de	phrase_edit_block_count	phrase_edit_token_count	phrase_change_signature_de	component_a_cue_visible	component_b_cue_visible	meaning_change_visible	same_register	same_active_model	same_readable_frame_class	same_event_boundary_shape	single_functional_component_delta	source_support_tier	target_support_tier	strict_pair_id
G486-P019	SAME_PAGE_OWNER	G475-R031	G475-R055	f72r	f72r	CELESTIAL	COORDINATE	COORDINATE_AFTER	G486-CF89254A6035	DANACH · * · POSTEN	2	ANTEIL	ZIELORT	otainy	otalshy	DANACH · ANTEIL · POSTEN	DANACH · ZIELORT · POSTEN	Danach führt die Adressspur vom Sektoranteil zum Positionsposten.	Danach führt die Adressspur von der Zielposition zum Positionsposten.	Danach führt die Adressspur vom Sektoranteil zum Positionsposten.	Danach führt die Adressspur von der Zielposition zum Positionsposten.	1	5	vom Sektoranteil=>von der Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	RECURRENT_STRICT_WHOLE_RECORD	G486-SP011
G486-P020	SAME_PAGE_OWNER	G475-R038	G475-R040	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	POSTEN	okalar	okaly	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · POSTEN	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	2	7	Eintrag=>Positionsposten || , ausgehend von der Ausgangsposition=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP012
G486-P021	SAME_PAGE_OWNER	G475-R038	G475-R048	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	POSTEN	okalar	okaly	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · POSTEN	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	2	7	Eintrag=>Positionsposten || , ausgehend von der Ausgangsposition=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP013
G486-P022	SAME_PAGE_OWNER	G475-R038	G475-R056	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	SCHLUSS	okalar	okaldy	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · SCHLUSS	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	1	9	, ausgehend von der Ausgangsposition=>und schließe den Schritt	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP014
G486-P023	SAME_PAGE_OWNER	G475-R054	G475-R039	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFEEA004BC2B	SETZEN · *	2	HIER	ZIELORT	okam	okal	SETZEN · HIER	SETZEN · ZIELORT	Setze den Eintrag an der bezeichneten Stelle.	Setze den Eintrag zur Zielposition.	Setze den Eintrag an der bezeichneten Stelle.	Setze den Eintrag zur Zielposition.	1	6	an der bezeichneten Stelle=>zur Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP015
G486-P024	SAME_PAGE_OWNER	G475-R040	G475-R056	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	POSTEN	SCHLUSS	okaly	okaldy	SETZEN · ZIELORT · POSTEN	SETZEN · ZIELORT · SCHLUSS	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	2	6	Positionsposten=>Eintrag || ∅=>und schließe den Schritt	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP016
G486-P025	SAME_PAGE_OWNER	G475-R077	G475-R040	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	POSTEN	okalar	okaly	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · POSTEN	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	2	7	Eintrag=>Positionsposten || , ausgehend von der Ausgangsposition=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP017
G486-P026	SAME_PAGE_OWNER	G475-R054	G475-R041	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFEEA004BC2B	SETZEN · *	2	HIER	ZIELORT	okam	okal	SETZEN · HIER	SETZEN · ZIELORT	Setze den Eintrag an der bezeichneten Stelle.	Setze den Eintrag zur Zielposition.	Setze den Eintrag an der bezeichneten Stelle.	Setze den Eintrag zur Zielposition.	1	6	an der bezeichneten Stelle=>zur Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP018
G486-P027	SAME_PAGE_OWNER	G475-R047	G475-R052	f72r	f72r	CELESTIAL	COORDINATE	COORDINATE_AFTER	G486-CFECBCD9B974	DANACH · *	2	AUSGANG	ZIELORT	otar	otal	DANACH · AUSGANG	DANACH · ZIELORT	Danach weist die Adressspur zur Ausgangsposition.	Danach weist die Adressspur zur Zielposition.	Danach weist die Adressspur zur Ausgangsposition.	Danach weist die Adressspur zur Zielposition.	1	2	Ausgangsposition=>Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP019
G486-P028	SAME_PAGE_OWNER	G475-R047	G475-R058	f72r	f72r	CELESTIAL	COORDINATE	COORDINATE_AFTER	G486-CFECBCD9B974	DANACH · *	2	AUSGANG	HIER	otar	otam	DANACH · AUSGANG	DANACH · HIER	Danach weist die Adressspur zur Ausgangsposition.	Danach weist die Adressspur zur bezeichneten Stelle.	Danach weist die Adressspur zur Ausgangsposition.	Danach weist die Adressspur zur bezeichneten Stelle.	1	3	Ausgangsposition=>bezeichneten Stelle	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	ALL_EVENTS_ROLE_RECURRENT	G486-SP020
G486-P029	SAME_PAGE_OWNER	G475-R048	G475-R056	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	POSTEN	SCHLUSS	okaly	okaldy	SETZEN · ZIELORT · POSTEN	SETZEN · ZIELORT · SCHLUSS	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	2	6	Positionsposten=>Eintrag || ∅=>und schließe den Schritt	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP021
G486-P030	SAME_PAGE_OWNER	G475-R077	G475-R048	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	POSTEN	okalar	okaly	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · POSTEN	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Positionsposten zur Zielposition.	2	7	Eintrag=>Positionsposten || , ausgehend von der Ausgangsposition=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP022
G486-P031	SAME_PAGE_OWNER	G475-R058	G475-R052	f72r	f72r	CELESTIAL	COORDINATE	COORDINATE_AFTER	G486-CFECBCD9B974	DANACH · *	2	HIER	ZIELORT	otam	otal	DANACH · HIER	DANACH · ZIELORT	Danach weist die Adressspur zur bezeichneten Stelle.	Danach weist die Adressspur zur Zielposition.	Danach weist die Adressspur zur bezeichneten Stelle.	Danach weist die Adressspur zur Zielposition.	1	3	bezeichneten Stelle=>Zielposition	YES	YES	YES	YES	YES	YES	YES	YES	ALL_EVENTS_ROLE_RECURRENT	RECURRENT_ROLE_WHOLE_RECORD	G486-SP023
G486-P032	SAME_PAGE_OWNER	G475-R059	G475-R053	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFF6632C9BCD	{N1} · ZIELORT · *	3	POSTEN	ZIELORT	ainaly	ralal	{N1} · ZIELORT · POSTEN	{N1} · ZIELORT · ZIELORT	Sternstelle »ain« mit Zielzuordnung und Postenangabe.	Sternstelle »r« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	2	3	∅=>zweifacher || und Postenangabe=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP024
G486-P033	SAME_PAGE_OWNER	G475-R071	G475-R053	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFD9E619A218	{N1} · * · ZIELORT	2	BAHN	ZIELORT	ytairal	ralal	{N1} · BAHN · ZIELORT	{N1} · ZIELORT · ZIELORT	Sternstelle »yt« mit Bahnvermerk und Zielzuordnung.	Sternstelle »r« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Bahnvermerk und Zielzuordnung.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	1	3	Bahnvermerk und=>zweifacher	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP025
G486-P034	SAME_PAGE_OWNER	G475-R077	G475-R056	f72r	f72r	CELESTIAL	INSTRUCTION	INSTRUCTION_SETZEN	G486-CFB0E5DEAFAB	SETZEN · ZIELORT · *	3	AUSGANG	SCHLUSS	okalar	okaldy	SETZEN · ZIELORT · AUSGANG	SETZEN · ZIELORT · SCHLUSS	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	Setze den Eintrag zur Zielposition, ausgehend von der Ausgangsposition.	Setze den Eintrag zur Zielposition und schließe den Schritt.	1	9	, ausgehend von der Ausgangsposition=>und schließe den Schritt	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_ROLE_WHOLE_RECORD	G486-SP026
G486-P035	SAME_PAGE_OWNER	G475-R057	G475-R067	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CF97F33A67C9	{N1} · *	2	AUSGANG	WERT	chosar	oeeodaiin	{N1} · AUSGANG	{N1} · WERT	Sternstelle »chos« mit Ausgangszuordnung.	Sternstelle »oeeo« mit Wertangabe.	Sternstelle »{NAME}« mit Ausgangszuordnung.	Sternstelle »{NAME}« mit Wertangabe.	1	2	Ausgangszuordnung=>Wertangabe	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP027
G486-P036	SAME_PAGE_OWNER	G475-R057	G475-R072	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CF97F33A67C9	{N1} · *	2	AUSGANG	WERT	chosar	oeeesaiin	{N1} · AUSGANG	{N1} · WERT	Sternstelle »chos« mit Ausgangszuordnung.	Sternstelle »oeees« mit Wertangabe.	Sternstelle »{NAME}« mit Ausgangszuordnung.	Sternstelle »{NAME}« mit Wertangabe.	1	2	Ausgangszuordnung=>Wertangabe	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP028
G486-P037	SAME_PAGE_OWNER	G475-R059	G475-R079	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFF6632C9BCD	{N1} · ZIELORT · *	3	POSTEN	ZIELORT	ainaly	opalal	{N1} · ZIELORT · POSTEN	{N1} · ZIELORT · ZIELORT	Sternstelle »ain« mit Zielzuordnung und Postenangabe.	Sternstelle »op« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Zielzuordnung und Postenangabe.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	2	3	∅=>zweifacher || und Postenangabe=>∅	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP029
G486-P038	SAME_PAGE_OWNER	G475-R061	G475-R081	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CF9C3A01AF2C	EINHEIT · {N1} · *	3	HIER	ZIELORT	oraiinam	oraiiral	EINHEIT · {N1} · HIER	EINHEIT · {N1} · ZIELORT	Sternstelle »aiin« mit Einheitsangabe und Hier-Vermerk.	Sternstelle »aiir« mit Einheitsangabe und Zielzuordnung.	Sternstelle »{NAME}« mit Einheitsangabe und Hier-Vermerk.	Sternstelle »{NAME}« mit Einheitsangabe und Zielzuordnung.	1	2	Hier-Vermerk=>Zielzuordnung	YES	YES	YES	YES	YES	YES	YES	YES	SAME_MODEL_COMPONENT_TILE	SAME_MODEL_COMPONENT_TILE	G486-SP030
G486-P039	SAME_PAGE_OWNER	G475-R071	G475-R079	f72r	f72r	CELESTIAL	CATALOGUE	CATALOGUE_ENTRY	G486-CFD9E619A218	{N1} · * · ZIELORT	2	BAHN	ZIELORT	ytairal	opalal	{N1} · BAHN · ZIELORT	{N1} · ZIELORT · ZIELORT	Sternstelle »yt« mit Bahnvermerk und Zielzuordnung.	Sternstelle »op« mit zweifacher Zielzuordnung.	Sternstelle »{NAME}« mit Bahnvermerk und Zielzuordnung.	Sternstelle »{NAME}« mit zweifacher Zielzuordnung.	1	3	Bahnvermerk und=>zweifacher	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_ROLE_WHOLE_RECORD	RECURRENT_STRICT_WHOLE_RECORD	G486-SP031
G486-P047	SAME_PAGE_OWNER	G475-R128	G475-R118	f89r	f89r	PHARMA	CATALOGUE	CATALOGUE_ENTRY	G486-CF97F33A67C9	{N1} · *	2	ANTEIL	HIER	oporain	opchosam	{N1} · ANTEIL	{N1} · HIER	Droge »opor« mit Anteilsangabe.	Droge »opchos« mit Hier-Vermerk.	Droge »{NAME}« mit Anteilsangabe.	Droge »{NAME}« mit Hier-Vermerk.	1	2	Anteilsangabe=>Hier-Vermerk	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	SAME_MODEL_COMPONENT_TILE	G486-SP032
G486-P048	SAME_PAGE_OWNER	G475-R131	G475-R118	f89r	f89r	PHARMA	CATALOGUE	CATALOGUE_ENTRY	G486-CF97F33A67C9	{N1} · *	2	ANTEIL	HIER	yorain	opchosam	{N1} · ANTEIL	{N1} · HIER	Droge »yor« mit Anteilsangabe.	Droge »opchos« mit Hier-Vermerk.	Droge »{NAME}« mit Anteilsangabe.	Droge »{NAME}« mit Hier-Vermerk.	1	2	Anteilsangabe=>Hier-Vermerk	YES	YES	YES	YES	YES	YES	YES	YES	RECURRENT_STRICT_WHOLE_RECORD	SAME_MODEL_COMPONENT_TILE	G486-SP033
