statement_id	page	record	events	card_sequence	surface_sequence	role_sequence	role_length	working_reading_de
H4-S002	f55v	H4	3	PROC009|PROC042|PROC043	daiin chedy talam	QUANTITY_STAGE>CURRENT_ITEM>WHOLE_COMMAND	3	Bei der breitblaettrigen rispigen Pflanze: Nach Mass den laufenden Posten umsetzen und anschliessend verwahren.
H4-S003	f55v	H4	4	PROC044|PROC045|PROC046|PROC047	ykaiin cheoar cheeky oldy	QUANTITY_STAGE>SOURCE>CURRENT_ITEM>CLOSE_STEP	4	Bei der breitblaettrigen rispigen Pflanze: Den laufenden Posten nach Mass zudosieren; dann kurz im Gang aus der Quelle abnehmen; dann ihn laenger erwaermen; dann fortsetzen; den Schritt schliessen.
H4-S004	f55v	H4	6	PROC009|PROC048|PROC049|PROC016|PROC019|PROC050	aiin okal oltchy or y orain	QUANTITY_STAGE>TARGET>CURRENT_ITEM>PREPARATION>CURRENT_ITEM>QUANTITY_STAGE	6	Bei der breitblaettrigen rispigen Pflanze: Nach Mass am Ziel ansetzen, den laufenden Posten weiter eintragen, als Ansatz beibehalten und als Ansatzportion fuehren.
H5-S001	f56r	H5	9	PROC051|PROC052|PROC053|PROC009|PROC052|PROC054|PROC020|PROC008|PROC055	chochor cho chodaly daiin sho kchol otchor choky dal	PREPARATION>OPEN_ACTION>CURRENT_ITEM>QUANTITY_STAGE>OPEN_ACTION>CONTINUE>PREPARATION>CURRENT_ITEM>TARGET	9	Bei der mehrkoepfigen stacheligen Pflanze: Eine Zutat fuer den Ansatz abnehmen, zum Ziel bringen und nach Mass weiter zudosieren; danach vom Ansatz abnehmen und den Posten am Ziel ansetzen.
H5-S002	f56r	H5	4	PROC034|PROC056|PROC008|PROC057	schol choy choky cheeckhody	WHOLE_COMMAND>CURRENT_ITEM>CURRENT_ITEM>CLOSE_STEP	4	Bei der mehrkoepfigen stacheligen Pflanze: Den vorigen Vorgang wiederaufnehmen, die Zutat als laufenden Posten fuehren und ansetzen; laenger im Gang durch den Durchlass abnehmen und schliessen.
H5-S003	f56r	H5	4	PROC058|PROC052|PROC059|PROC060	sh cho kchey qokokchy	OPEN_ACTION>OPEN_ACTION>CURRENT_ITEM>CURRENT_ITEM	4	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat halten, dem laufenden Posten kurz zudosieren und ihn zweimal ansetzen.
H5-S004	f56r	H5	3	PROC011|PROC061|PROC062	okchy chokcheo kchal	CURRENT_ITEM>OPEN_ACTION>TARGET	3	Bei der mehrkoepfigen stacheligen Pflanze: Den laufenden Posten ansetzen; dann kurz im Gang ansetzen und abnehmen; dann zum Ziel zudosieren.
H5-S005	f56r	H5	4	PROC052|PROC011|PROC063|PROC064	sho chokchy kchoar sotodan	OPEN_ACTION>CURRENT_ITEM>SOURCE>QUANTITY_STAGE	4	Bei der mehrkoepfigen stacheligen Pflanze: Die Zutat bereitstellen, den laufenden Posten ansetzen und die Zutat aus der Quelle zudosieren; danach eine Portion in den Gang nehmen.
H5-S006	f56r	H5	3	PROC065|PROC066|PROC009	otchey keol daiin	CURRENT_ITEM>CONTINUE>QUANTITY_STAGE	3	Bei der mehrkoepfigen stacheligen Pflanze: Danach den laufenden Posten kurz weiterdosieren, bis das Mass erreicht ist.
B1-S001	f81v	B1	1	PROC067	qokedy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen und den Schritt schliessen.
B1-S002	f81v	B1	19	PROC038|PROC068|PROC048|PROC003|PROC013|PROC069|PROC070|PROC055|PROC013|PROC071|PROC072|PROC022|PROC013|PROC073|PROC009|PROC074|PROC009|PROC075|PROC076	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	QUANTITY_STAGE>FLOW>TARGET>SOURCE>CONTINUE>QUANTITY_STAGE>QUANTITY_STAGE>TARGET>CONTINUE>CONTINUE>OPEN_ACTION>PREPARATION>CONTINUE>TARGET>QUANTITY_STAGE>TARGET>QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	19	Am gemeinsamen zweireihigen Becken: Nach Mass ansetzen und die laufende Fluessigkeit zudosieren. Am Ziel aus der Quelle weiterarbeiten: eine Portion und dann eine weitere Portion zudosieren, weiter kuehlen und weiterleiten. Den Ansatz fortsetzen, kurz am Durchlass dem Ziel halten, erneut nach Mass laenger ansetzen, den Posten durch den Durchlass umsetzen und schliessen.
B1-S003	f81v	B1	2	PROC013|PROC077	qol sshkchdy	CONTINUE>CLOSE_STEP	2	Am gemeinsamen zweireihigen Becken: Fortsetzen; dann halten, zudosieren und umsetzen; den Schritt schliessen.
B1-S004	f81v	B1	3	PROC042|PROC013|PROC078	chedy ol shedy	CURRENT_ITEM>CONTINUE>CLOSE_STEP	3	Am gemeinsamen zweireihigen Becken: Den laufenden Posten umsetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S005	f81v	B1	1	PROC079	qolchedy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Weiter umsetzen; den Schritt schliessen.
B1-S006	f81v	B1	4	PROC080|PROC075|PROC072|PROC081	qokain shckhy dl ral	QUANTITY_STAGE>CURRENT_ITEM>OPEN_ACTION>TARGET	4	Am gemeinsamen zweireihigen Becken: Als Portion ansetzen; dann den laufenden Posten durch den Durchlass; dann weiterleiten; dann zum Ziel kuehlen.
B1-S007	f81v	B1	1	PROC082	qokchdy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Ansetzen und umsetzen; den Schritt schliessen.
B1-S008	f81v	B1	5	PROC019|PROC013|PROC083|PROC013|PROC078	chey ol cheky ol shedy	CURRENT_ITEM>CONTINUE>CURRENT_ITEM>CONTINUE>CLOSE_STEP	5	Am gemeinsamen zweireihigen Becken: Den Posten beibehalten und fortsetzen, kurz erwaermen, weiterfuehren, absetzen lassen und den Schritt schliessen.
B1-S009	f81v	B1	1	PROC067	qokedy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S010	f81v	B1	1	PROC067	qokedy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Kurz ansetzen; den Schritt schliessen.
B1-S011	f81v	B1	2	PROC075|PROC008	chckhy qoky	CURRENT_ITEM>CURRENT_ITEM	2	Am gemeinsamen zweireihigen Becken: Den laufenden Posten durch den Durchlass; dann ihn ansetzen.
B1-S012	f81v	B1	3	PROC084|PROC085|PROC086	lsho qokey lshedy	OPEN_ACTION>CURRENT_ITEM>CLOSE_STEP	3	Am gemeinsamen zweireihigen Becken: Den Gang waschen, den Posten kurz ansetzen, nochmals kurz waschen und den Schritt schliessen.
B1-S013	f81v	B1	1	PROC086	lshedy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Kurz waschen und den Schritt schliessen.
B1-S014	f81v	B1	5	PROC042|PROC087|PROC088|PROC013|PROC089	chedy qolky lchedal qol otar	CURRENT_ITEM>CURRENT_ITEM>TARGET>CONTINUE>SOURCE	5	Am gemeinsamen zweireihigen Becken: Den Posten umsetzen und auffangen; zum Ziel weiterleiten und umsetzen, dort fortsetzen und danach zum Quelle wechseln.
B1-S015	f81v	B1	2	PROC090|PROC091	ytey okchedy	CURRENT_ITEM>CLOSE_STEP	2	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten eintragen; dann ansetzen und umsetzen; den Schritt schliessen.
B1-S016	f81v	B1	4	PROC048|PROC092|PROC013|PROC078	qokal okeey qol cheedy	TARGET>CURRENT_ITEM>CONTINUE>CLOSE_STEP	4	Am gemeinsamen zweireihigen Becken: Zum Ziel ansetzen; dann laenger den laufenden Posten ansetzen; dann fortsetzen; dann absetzen lassen; den Schritt schliessen.
B1-S017	f81v	B1	3	PROC055|PROC093|PROC094	sal teol dchdy	TARGET>CONTINUE>CLOSE_STEP	3	Am gemeinsamen zweireihigen Becken: Am Ziel kurz fortsetzen, umsetzen und den Schritt schliessen.
B1-S018	f81v	B1	4	PROC095|PROC096|PROC097|PROC098	ly dsheol oiiin olkeedy	CURRENT_ITEM>CONTINUE>QUANTITY_STAGE>CLOSE_STEP	4	Am gemeinsamen zweireihigen Becken: Den laufenden Posten weiterleiten; dann kurz weiter halten; dann im Gang bis zur Stufe; dann laenger auffangen; den Schritt schliessen.
B1-S019	f81v	B1	1	PROC078	tedy	CLOSE_STEP	1	Am gemeinsamen zweireihigen Becken: Absetzen lassen; den Schritt schliessen.
B1-S020	f81v	B1	2	PROC083|PROC099	cheky shckhedy	CURRENT_ITEM>CLOSE_STEP	2	Am gemeinsamen zweireihigen Becken: Kurz den laufenden Posten erwaermen; dann kurz durch den Durchlass halten; den Schritt schliessen.
B1-S021	f81v	B1	1	PROC055	chal	TARGET	1	Am gemeinsamen zweireihigen Becken: Das Ziel festlegen.
B2-S001	f82r	B2	1	PROC076	dchedy	CLOSE_STEP	1	An den oberen Paarbecken mit Zylinder: Umsetzen und den Schritt schliessen.
B2-S002	f82r	B2	1	PROC079	qolchedy	CLOSE_STEP	1	An den oberen Paarbecken mit Zylinder: Weiter umsetzen; den Schritt schliessen.
B2-S003	f82r	B2	3	PROC080|PROC019|PROC100	qokain dy qokeedy	QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	3	An den oberen Paarbecken mit Zylinder: Als Portion ansetzen; dann den laufenden Posten beibehalten; dann laenger ansetzen; den Schritt schliessen.
B2-S004	f82r	B2	5	PROC048|PROC101|PROC102|PROC092|PROC103	qokal lcheckhy lched qokeey lcheckhedy	TARGET>CURRENT_ITEM>OPEN_ACTION>CURRENT_ITEM>CLOSE_STEP	5	An den oberen Paarbecken mit Zylinder: Am Ziel ansetzen; den Posten durch den Durchlass weiterleiten und umsetzen, laenger ansetzen, danach kurz durch den Durchlass weiterleiten und schliessen.
B2-S005	f82r	B2	8	PROC104|PROC105|PROC075|PROC038|PROC038|PROC106|PROC107|PROC108	qokaly solkaiin chckhy qokaiin qokaiin octheol chkeey ldy	CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE>QUANTITY_STAGE>CONTINUE>CURRENT_ITEM>CLOSE_STEP	8	An den oberen Paarbecken mit Zylinder: Den Posten am Ziel ansetzen und nach Mass auffangen. Ihn durch den Durchlass fuehren, zweimal nach Mass ansetzen, im Gang kurz bis zur Bereitschaft fortsetzen, laenger erwaermen, weiterleiten und schliessen.
B2-S006	f82r	B2	4	PROC109|PROC048|PROC110|PROC008	oteey qokal sheckhy qoky	CURRENT_ITEM>TARGET>CURRENT_ITEM>CURRENT_ITEM	4	An den oberen Paarbecken mit Zylinder: Danach laenger den laufenden Posten; dann zum Ziel ansetzen; dann ihn kurz durch den Durchlass halten; dann ihn ansetzen.
B2-S007	f82r	B2	1	PROC111	dshedy	CLOSE_STEP	1	An der linken Mittelstation mit Zwischenknoten: Kurz halten; den Schritt schliessen.
B2-S008	f82r	B2	3	PROC112|PROC113|PROC078	sotaiin qokar shedy	QUANTITY_STAGE>SOURCE>CLOSE_STEP	3	An der linken Mittelstation mit Zwischenknoten: Danach nach Mass; dann aus der Quelle ansetzen; dann absetzen lassen; den Schritt schliessen.
B2-S009	f82r	B2	1	PROC114	solshedy	CLOSE_STEP	1	An der linken Mittelstation mit Zwischenknoten: Kurz weiter halten; den Schritt schliessen.
B2-S010	f82r	B2	4	PROC092|PROC008|PROC115|PROC031	qokeey qoky ls cheey	CURRENT_ITEM>CURRENT_ITEM>CONTINUE>CURRENT_ITEM	4	An der linken Mittelstation mit Zwischenknoten: Laenger den laufenden Posten ansetzen; dann ihn ansetzen; dann fortsetzen; dann ihn laenger halten.
B2-S011	f82r	B2	4	PROC080|PROC003|PROC080|PROC100	okain char okain qokeedy	QUANTITY_STAGE>SOURCE>QUANTITY_STAGE>CLOSE_STEP	4	An der rechten unklaren Mittelstation: Eine Portion ansetzen, aus der Quelle eine zweite Portion ansetzen, laenger ansetzen und schliessen.
B2-S012	f82r	B2	8	PROC116|PROC031|PROC117|PROC092|PROC118|PROC009|PROC019|PROC119	lchy cheey qcthey qokeey lcheey daiin chey qokeeedy	CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	8	An der rechten unklaren Mittelstation und am unteren gruenen Figurenbecken: Den Posten weiterleiten und abnehmen; laenger halten, kurz bereithalten, laenger ansetzen und laenger weiterleiten; nach Mass beibehalten, vollstaendig ansetzen und schliessen.
B2-S013	f82r	B2	1	PROC120	lchedy	CLOSE_STEP	1	Am unteren gruenen Figurenbecken: Weiterleiten und umsetzen; den Schritt schliessen.
B2-S014	f82r	B2	1	PROC121	lar	SOURCE	1	Am unteren gruenen Figurenbecken: Aus der Quelle weiterleiten.
B2-S015	f82r	B2	2	PROC122|PROC100	tshey qokeedy	CURRENT_ITEM>CLOSE_STEP	2	An den Randstationen des unteren Beckens: Kurz den laufenden Posten halten; dann laenger ansetzen; den Schritt schliessen.
B2-S016	f82r	B2	8	PROC055|PROC123|PROC124|PROC009|PROC109|PROC038|PROC085|PROC125	cheal lchedar ches aiin oteey qokaiin okey pchedy	TARGET>SOURCE>BOUND_RESULT>QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	8	An den Randstationen des unteren Beckens: Am Ziel aus der Quelle weiterleiten und umsetzen. Kurz abnehmen und teilen; nach Mass den naechsten Posten laenger fuehren, nach Mass und kurz ansetzen, einfuellen, umsetzen und schliessen.
B2-S017	f82r	B2	2	PROC126|PROC127	rsheal daldy	TARGET>CLOSE_STEP	2	An den Randstationen des unteren Beckens: Am Ziel kurz kuehlen und halten, dann den Zielschritt schliessen.
B2-S018	f82r	B2	1	PROC100	qokeedy	CLOSE_STEP	1	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.
B2-S019	f82r	B2	1	PROC128	rshedy	CLOSE_STEP	1	An den Randstationen des unteren Beckens: Kuehlen und absetzen lassen; den Schritt schliessen.
B2-S020	f82r	B2	1	PROC129	qoteedy	CLOSE_STEP	1	An den Randstationen des unteren Beckens: Danach laenger; den Schritt schliessen.
B2-S021	f82r	B2	1	PROC100	qokeedy	CLOSE_STEP	1	An den Randstationen des unteren Beckens: Laenger ansetzen; den Schritt schliessen.
B2-S022	f82r	B2	1	PROC130	lochedy	CLOSE_STEP	1	An den Randstationen des unteren Beckens: Im Gang weiterleiten und umsetzen; den Schritt schliessen.
B3-S001	f83r	B3	1	PROC098	olkeedy	CLOSE_STEP	1	An der oberen offenen Faecherstation: Laenger auffangen und den Schritt schliessen.
B3-S002	f83r	B3	2	PROC131|PROC132	qotal chkeedy	TARGET>CLOSE_STEP	2	An der oberen offenen Faecherstation: Danach zum Ziel; dann laenger erwaermen; den Schritt schliessen.
B3-S003	f83r	B3	4	PROC019|PROC009|PROC019|PROC120	chey daiin chey lchedy	CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	4	An der oberen offenen Faecherstation: Den laufenden Posten nach Mass beibehalten, anschliessend weiterleiten und umsetzen, dann schliessen.
B3-S004	f83r	B3	3	PROC038|PROC131|PROC003	qokaiin qotal dar	QUANTITY_STAGE>TARGET>SOURCE	3	An der oberen offenen Faecherstation: Nach Mass ansetzen; danach zum Ziel wechseln und aus der Quelle weiterarbeiten.
B3-S005	f83r	B3	1	PROC076	schedy	CLOSE_STEP	1	Am runden Mittelgefaess: Umsetzen; den Schritt schliessen.
B3-S006	f83r	B3	3	PROC133|PROC048|PROC079	chedchy qokal olchedy	CURRENT_ITEM>TARGET>CLOSE_STEP	3	Am runden Mittelgefaess: Den laufenden Posten umsetzen; dann zum Ziel ansetzen; dann weiter umsetzen; den Schritt schliessen.
B3-S007	f83r	B3	3	PROC038|PROC042|PROC100	qokaiin chedy qokeedy	QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	3	Am runden Mittelgefaess: Nach Mass ansetzen; dann den laufenden Posten umsetzen; dann laenger ansetzen; den Schritt schliessen.
B3-S008	f83r	B3	1	PROC120	lchedy	CLOSE_STEP	1	Am runden Mittelgefaess: Weiterleiten und umsetzen; den Schritt schliessen.
B3-S009	f83r	B3	1	PROC008	qoky	CURRENT_ITEM	1	Am runden Mittelgefaess: Den laufenden Posten ansetzen.
B3-S010	f83r	B3	2	PROC134|PROC135	pchedal otedy	TARGET>CLOSE_STEP	2	Am unteren Korbgefaess: Am Ziel einfuellen und umsetzen; danach den kurzen Folgeschritt schliessen.
B3-S011	f83r	B3	4	PROC136|PROC008|PROC042|PROC137	shecthedchy qoky chedy chary	CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM>CURRENT_ITEM	4	Am unteren Korbgefaess: Kurz bis bereit den laufenden Posten halten und umsetzen; dann ihn ansetzen; dann ihn umsetzen; dann ihn aus der Quelle.
B3-S012	f83r	B3	2	PROC016|PROC078	sor shedy	PREPARATION>CLOSE_STEP	2	Am unteren Korbgefaess: Den Ansatz absetzen lassen und den Schritt schliessen.
B3-S013	f83r	B3	4	PROC038|PROC069|PROC117|PROC067	qokaiin chkain shcthey qokedy	QUANTITY_STAGE>QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	4	Am unteren Korbgefaess: Nach Mass ansetzen; dann als Portion zudosieren; dann kurz den laufenden Posten bereithalten; dann kurz ansetzen; den Schritt schliessen.
B3-S014	f83r	B3	2	PROC138|PROC139	okair sheedy	FLOW>CLOSE_STEP	2	Am unteren Korbgefaess: Die laufende Fluessigkeit ansetzen; dann laenger halten; den Schritt schliessen.
B3-S015	f83r	B3	1	PROC120	lchedy	CLOSE_STEP	1	Am unteren Korbgefaess: Weiterleiten und umsetzen; den Schritt schliessen.
B3-S016	f83r	B3	2	PROC140|PROC091	lo qokchedy	OPEN_ACTION>CLOSE_STEP	2	Am unteren Korbgefaess und im bildlich unverbundenen Zwischenabschnitt: Im Gang weiterleiten; dann ansetzen und umsetzen; den Schritt schliessen.
B3-S017	f83r	B3	1	PROC100	qokeedy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Laenger ansetzen; den Schritt schliessen.
B3-S018	f83r	B3	1	PROC078	shedy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Absetzen lassen; den Schritt schliessen.
B3-S019	f83r	B3	1	PROC141	qokshedy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Kurz ansetzen und halten; den Schritt schliessen.
B3-S020	f83r	B3	2	PROC055|PROC120	dal lchedy	TARGET>CLOSE_STEP	2	Im bildlich unverbundenen Zwischenabschnitt: Am Ziel weiterleiten, umsetzen und den Schritt schliessen.
B3-S021	f83r	B3	11	PROC038|PROC014|PROC055|PROC019|PROC009|PROC142|PROC143|PROC019|PROC055|PROC014|PROC144	qokaiin shcthy dal sy saiin shedal shecthy chey tal shcthy dalchdy	QUANTITY_STAGE>CURRENT_ITEM>TARGET>CURRENT_ITEM>QUANTITY_STAGE>TARGET>CURRENT_ITEM>CURRENT_ITEM>TARGET>CURRENT_ITEM>CLOSE_STEP	11	Im bildlich unverbundenen Zwischenabschnitt: Nach Mass ansetzen und den Posten bereithalten. Am Ziel nach Mass absetzen und kurz bis zur Bereitschaft halten. Den Posten beibehalten, am Ziel erneut bereithalten, umsetzen und schliessen.
B3-S022	f83r	B3	1	PROC145	qotchedy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Danach umsetzen; den Schritt schliessen.
B3-S023	f83r	B3	1	PROC120	lchedy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Weiterleiten und umsetzen; den Schritt schliessen.
B3-S024	f83r	B3	1	PROC076	tchedy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Umsetzen; den Schritt schliessen.
B3-S025	f83r	B3	1	PROC082	qokchdy	CLOSE_STEP	1	Im bildlich unverbundenen Zwischenabschnitt: Ansetzen und umsetzen; den Schritt schliessen.
B3-S026	f83r	B3	7	PROC146|PROC147|PROC042|PROC080|PROC014|PROC148|PROC098	cheedar chldaiin chedy qokain checthy chealror solkeedy	SOURCE>QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>PREPARATION>CLOSE_STEP	7	Im bildlich unverbundenen Zwischenabschnitt und am durch den Bogen verbundenen Hauptpaar: Laenger aus der Quelle arbeiten; nach Mass weiterleiten, den Posten umsetzen, eine Portion ansetzen und bereithalten; den Ansatz am Ziel kuehlen, laenger auffangen und schliessen.
B3-S027	f83r	B3	1	PROC129	qoteedy	CLOSE_STEP	1	Am durch den Bogen verbundenen Hauptpaar: Danach laenger; den Schritt schliessen.
B3-S028	f83r	B3	2	PROC092|PROC067	qokeey qokedy	CURRENT_ITEM>CLOSE_STEP	2	Am durch den Bogen verbundenen Hauptpaar: Laenger den laufenden Posten ansetzen; dann kurz ansetzen; den Schritt schliessen.
B3-S029	f83r	B3	3	PROC013|PROC149|PROC067	sol cheeety qokedy	CONTINUE>CURRENT_ITEM>CLOSE_STEP	3	Am durch den Bogen verbundenen Hauptpaar: Fortsetzen; dann vollstaendig den laufenden Posten eintragen; dann kurz ansetzen; den Schritt schliessen.
B3-S030	f83r	B3	4	PROC008|PROC009|PROC150|PROC145	qoky saiin schedair otchedy	CURRENT_ITEM>QUANTITY_STAGE>FLOW>CLOSE_STEP	4	Am durch den Bogen verbundenen Hauptpaar: Den Posten nach Mass ansetzen, die laufende Fluessigkeit umsetzen; danach nochmals umsetzen und schliessen.
B3-S031	f83r	B3	1	PROC100	qokeedy	CLOSE_STEP	1	Am durch den Bogen verbundenen Hauptpaar: Laenger ansetzen; den Schritt schliessen.
B3-S032	f83r	B3	5	PROC151|PROC042|PROC152|PROC112|PROC135	chedain chedy qotedaiin otaiin otedy	QUANTITY_STAGE>CURRENT_ITEM>QUANTITY_STAGE>QUANTITY_STAGE>CLOSE_STEP	5	Am durch den Bogen verbundenen Hauptpaar: Eine Portion und dann den laufenden Posten umsetzen; danach kurz nach Mass, anschliessend nochmals nach Mass und den folgenden Kurzschritt schliessen.
B3-S033	f83r	B3	1	PROC108	ldy	CLOSE_STEP	1	Am durch den Bogen verbundenen Hauptpaar: Weiterleiten; den Schritt schliessen.
B3-S034	f83r	B3	6	PROC097|PROC014|PROC004|PROC112|PROC153|PROC078	soiiin checthy chety otaiin olsaly shedy	QUANTITY_STAGE>CURRENT_ITEM>CURRENT_ITEM>QUANTITY_STAGE>CURRENT_ITEM>CLOSE_STEP	6	Am durch den Bogen verbundenen Hauptpaar: Den Gang bis zur Stufe fuehren; den Posten bereithalten und eintragen; danach nach Mass am Ziel weiterfuehren, absetzen und schliessen.
B4-S001	f83r	B4	1	PROC100	qokeedy	CLOSE_STEP	1	Am zweiten durch den Bogen verbundenen Hauptpaar: Laenger ansetzen und den Schritt schliessen.
B4-S002	f83r	B4	3	PROC154|PROC092|PROC067	qolchey qokeey qokedy	CURRENT_ITEM>CURRENT_ITEM>CLOSE_STEP	3	Am zweiten durch den Bogen verbundenen Hauptpaar: Den laufenden Posten fortsetzen; dann ihn laenger ansetzen; dann kurz ansetzen; den Schritt schliessen.
