left_role	right_role	token_count	statement_count	record_count	page_count	recurrent	example_transitions
CONTINUE	TARGET	3	3	3	3	YES	H3-S001:tshol>schoal | B1-S002:ol>sheckhal | B5-S003:lol>chdal
CURRENT_ITEM	OPEN_ACTION	3	3	3	3	YES	H5-S004:okchy>chokcheo | B1-S006:shckhy>dl | B2-S004:lcheckhy>lched
PREPARATION	CONTINUE	3	2	2	2	YES	H2-S002:chor>otol | H2-S002:cholor>chol | B1-S002:olor>ol
PREPARATION	PREPARATION	3	2	1	1	YES	H2-S002:qotchor>chor | H2-S003:oykchor>shor | H2-S003:shor>chor
QUANTITY_STAGE	CONTINUE	3	3	3	2	YES	B2-S005:qokaiin>octheol | B5-S003:aiin>sol | B6-S001:daiin>ol
SOURCE	QUANTITY_STAGE	3	3	3	3	YES	H5-S005:kchoar>sotodan | B2-S011:char>okain | B3-S026:cheedar>chldaiin
TARGET	QUANTITY_STAGE	3	2	2	2	YES	B1-S002:sheckhal>daiin | B1-S002:qokeedal>daiin | B5-S003:chdal>aiin
CONTINUE	PREPARATION	2	2	2	2	YES	H2-S002:chol>cholor | H5-S001:kchol>otchor
CURRENT_ITEM	WHOLE_COMMAND	2	2	2	2	YES	H1-S001:chty>os | H4-S002:chedy>talam
FLOW	CLOSE_STEP	2	2	1	1	YES	B3-S014:okair>sheedy | B3-S030:schedair>otchedy
OPEN_ACTION	TARGET	2	2	2	2	YES	H5-S004:chokcheo>kchal | B1-S006:dl>ral
PREPARATION	CLOSE_STEP	2	2	1	1	YES	B3-S012:sor>shedy | B3-S026:chealror>solkeedy
QUANTITY_STAGE	FLOW	2	2	2	2	YES	B1-S002:okaiin>kair | B3-S030:saiin>schedair
SOURCE	CLOSE_STEP	2	2	2	2	YES	B2-S008:qokar>shedy | B4-S016:skar>shedy
SOURCE	CURRENT_ITEM	2	2	2	2	YES	H1-S001:char>chty | H4-S003:cheoar>cheeky
WHOLE_COMMAND	CURRENT_ITEM	2	2	2	2	YES	H3-S003:dchol>chy | H5-S002:schol>choy
BOUND_RESULT	QUANTITY_STAGE	1	1	1	1	NO	B2-S016:ches>aiin
CONTINUE	OPEN_ACTION	1	1	1	1	NO	B1-S002:rol>dl
CONTINUE	SOURCE	1	1	1	1	NO	B1-S014:qol>otar
CURRENT_ITEM	SOURCE	1	1	1	1	NO	H5-S005:chokchy>kchoar
FLOW	CONTINUE	1	1	1	1	NO	H1-S001:chair>otytchol
FLOW	TARGET	1	1	1	1	NO	B1-S002:kair>okal
OPEN_ACTION	CLOSE_STEP	1	1	1	1	NO	B3-S016:lo>qokchedy
OPEN_ACTION	CONTINUE	1	1	1	1	NO	H5-S001:sho>kchol
OPEN_ACTION	OPEN_ACTION	1	1	1	1	NO	H5-S003:sh>cho
OPEN_ACTION	PREPARATION	1	1	1	1	NO	B1-S002:dl>olor
PREPARATION	OPEN_ACTION	1	1	1	1	NO	H5-S001:chochor>cho
PREPARATION	QUANTITY_STAGE	1	1	1	1	NO	H2-S001:chor>cthaiin
PREPARATION	SOURCE	1	1	1	1	NO	H1-S001:cthoor>char
QUANTITY_STAGE	OPEN_ACTION	1	1	1	1	NO	H5-S001:daiin>sho
SOURCE	BOUND_RESULT	1	1	1	1	NO	B2-S016:lchedar>ches
SOURCE	CONTINUE	1	1	1	1	NO	B1-S002:sar>ol
TARGET	TARGET	1	1	1	1	NO	B5-S003:shedal>dal
WHOLE_COMMAND	FLOW	1	1	1	1	NO	H1-S001:os>chair
