separated_occurrence_id	event_id	physical_page	statement_id	surface	full_component_recipe	triple_start_atom_ordinal	direct_red_pair	separator_focus	observed_triple_recipe	triple_factor_gate_status	triple_portable_factor_rules	triple_amber_factor_rules	triple_blocked_factor_rules	full_event_factor_gate_status	direct_pair_promoted
G444-O13	G407-E1425	f75r	P1009-S072	kchedykary	K+CHD+Y+K+AR+Y	2	CHD>K	Y	CHD+Y+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:CHD<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O14	G407-E1437	f75r	P1009-S074	chedykar	CHD+Y+K+AR	1	CHD>K	Y	CHD+Y+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:CHD<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O15	G407-E1469	f75r	P1009-S077	pcheykeeor	P+Y+K+EE+OR	1	P>K	Y	P+Y+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:P<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O16	G407-E1573	f75r	P1009-S105	shepchy	SH+E+P+Y	1	SH>P	E	SH+E+P	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O17	G407-E1630	f75r	P1009-S109	chedyqokam	CHD+Y+OK+AM_ADDR	1	CHD>OK	Y	CHD+Y+OK	FACTOR_GREEN_CROSS_PAGE	FOCUS:CHD<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O18	G407-E1963	f76r	P1009-S210	chorshedy	CH+OR+SH+E+DY	1	CH>SH	OR	CH+OR+SH	FACTOR_GREEN_CROSS_PAGE	FOCUS:CH<-OR	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O19	G407-E2755	f81r	G404-S015	eses	E+S+E+S	2	S>S	E	S+E+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:S<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O20	G407-E2760	f81r	G404-S015	dshees	D_ADDR+SH+EE+S	2	SH>S	EE	SH+EE+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-EE	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O21	G407-E3697	f83r	P1009-S569	salchedy	S+AL+CHD+Y	1	S>CHD	AL	S+AL+CHD	FACTOR_GREEN_CROSS_PAGE	FOCUS:S<-AL	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O22	G407-E3849	f88r	P1009-S592	salsaly	S+AL+S+AL+Y	1	S>S	AL	S+AL+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:S<-AL	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O23	G407-E3867	f88r	P1009-S592	chosals	CH+O+S+AL+S	3	S>S	AL	S+AL+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:S<-AL	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O24	G407-E3971	f88v	P1009-S599	opykey	O+P+Y+K+E+Y	2	P>K	Y	P+Y+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:P<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O25	G407-E4412	f95v	G404-S063	chdyty	CHD+Y+T+Y	1	CHD>T	Y	CHD+Y+T	FACTOR_GREEN_CROSS_PAGE	FOCUS:CHD<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O26	G407-E4456	f95v	G404-S066	chdykain	CHD+Y+K+AIN	1	CHD>K	Y	CHD+Y+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:CHD<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O27	G407-E4486	f95v	G404-S070	chcthykedy	CH+CH+T+Y+K+E+DY	3	T>K	Y	T+Y+K	FACTOR_GREEN_CROSS_PAGE	FOCUS:T<-Y	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
G444-O28	G407-E4560	f95v	G404-S086	tshes	T+SH+E+S	2	SH>S	E	SH+E+S	FACTOR_GREEN_CROSS_PAGE	FOCUS:SH<-E	NONE	NONE	FACTOR_GREEN_CROSS_PAGE	NO
