mode	sequence	slot_sequence	count	recurrent
DIRECT_TRIGRAM	Diesposten → Stelle → Bereit	ARGUMENT_ITEM → ARGUMENT_TARGET → STATE	1	NO
DIRECT_TRIGRAM	Fortsetzung → Fortsetzungsansatz → Fortsetzung	CONTINUATION → CONTINUATION_ITEM → CONTINUATION	1	NO
DIRECT_TRIGRAM	Fortsetzung → Sollmaß → Fortsetzung	CONTINUATION → ARGUMENT_MEASURE → CONTINUATION	1	NO
DIRECT_TRIGRAM	Fortsetzung → Sollmaß → Gleichvorrat	CONTINUATION → ARGUMENT_MEASURE → ARGUMENT_SOURCE	1	NO
DIRECT_TRIGRAM	Fortsetzungsansatz → Fortsetzung → Sollmaß	CONTINUATION_ITEM → CONTINUATION → ARGUMENT_MEASURE	1	NO
DIRECT_TRIGRAM	Sollstellung → Bereit → Stelle	ENTRY_CONTROL → STATE → ARGUMENT_TARGET	1	NO
DIRECT_TRIGRAM	Stelle → Diesposten → Sollmaß	ARGUMENT_TARGET → ARGUMENT_ITEM → ARGUMENT_MEASURE	1	NO
DIRECT_TRIGRAM	Zieleinsatz → Gleichvorrat → Fortsetzung	ENTRY_CONTROL → ARGUMENT_SOURCE → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Ansatz → Diesposten	ENTRY_ITEM → ARGUMENT_ITEM	4	YES
SHARED_SKELETON_BIGRAM	Diesposten → Sollmaß	ARGUMENT_ITEM → ARGUMENT_MEASURE	4	YES
SHARED_SKELETON_BIGRAM	Fortsetzung → Sollmaß	CONTINUATION → ARGUMENT_MEASURE	4	YES
SHARED_SKELETON_BIGRAM	Sollmaß → Diesposten	ARGUMENT_MEASURE → ARGUMENT_ITEM	4	YES
SHARED_SKELETON_BIGRAM	Diesposten → Diesposten	ARGUMENT_ITEM → ARGUMENT_ITEM	3	YES
SHARED_SKELETON_BIGRAM	Umsetzen → Fortsetzung	ACTION → CONTINUATION	3	YES
SHARED_SKELETON_BIGRAM	Einsetzen → Sollmaß	ACTION → ARGUMENT_MEASURE	2	YES
SHARED_SKELETON_BIGRAM	Fortsetzung → Fortsetzungsansatz	CONTINUATION → CONTINUATION_ITEM	2	YES
SHARED_SKELETON_BIGRAM	Fortsetzungsansatz → Fortsetzung	CONTINUATION_ITEM → CONTINUATION	2	YES
SHARED_SKELETON_BIGRAM	Sollmaß → Fortsetzung	ARGUMENT_MEASURE → CONTINUATION	2	YES
SHARED_SKELETON_BIGRAM	Sollmaß → Umsetzen	ARGUMENT_MEASURE → ACTION	2	YES
SHARED_SKELETON_BIGRAM	Stelle → Fortsetzung	ARGUMENT_TARGET → CONTINUATION	2	YES
SHARED_SKELETON_BIGRAM	Ansatz → Ansatz	ENTRY_ITEM → ENTRY_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Ansatz → Fortsetzung	ENTRY_ITEM → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Bereit → Ansatz	STATE → ENTRY_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Bereit → Diesposten	STATE → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Bereit → Stelle	STATE → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_BIGRAM	Bereit → Zerkleinern	STATE → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Diesposten → Fortsetzung	ARGUMENT_ITEM → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Diesposten → Stelle	ARGUMENT_ITEM → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_BIGRAM	Einsetzen → Fortsetzung	ACTION → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Einsetzen → Klarauszug	ACTION → ARGUMENT_PRODUCT	1	NO
SHARED_SKELETON_BIGRAM	Einsetzen → Stelle	ACTION → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_BIGRAM	Einsetzen → Umsetzen	ACTION → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Folgeposten → Einsetzen	ENTRY_ITEM → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Folgeposten → Sollmaß	ENTRY_ITEM → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_BIGRAM	Fortsetzung → Bereit	CONTINUATION → STATE	1	NO
SHARED_SKELETON_BIGRAM	Fortsetzung → Diesposten	CONTINUATION → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Fortsetzung → Fortsetzung	CONTINUATION → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Fortsetzung → Stelle	CONTINUATION → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_BIGRAM	Fortsetzung → Umsetzen	CONTINUATION → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Gleichvorrat → Fortsetzung	ARGUMENT_SOURCE → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Gleichvorrat → Zerkleinern	ARGUMENT_SOURCE → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Klarauszug → Sollmaß	ARGUMENT_PRODUCT → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_BIGRAM	Langwärme → Fortschluss	ACTION_STATE → CLOSE	1	NO
SHARED_SKELETON_BIGRAM	Sollmaß → Einsetzen	ARGUMENT_MEASURE → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Sollmaß → Gleichvorrat	ARGUMENT_MEASURE → ARGUMENT_SOURCE	1	NO
SHARED_SKELETON_BIGRAM	Sollmaß → Langwärme	ARGUMENT_MEASURE → ACTION_STATE	1	NO
SHARED_SKELETON_BIGRAM	Sollmaß → Sollmaß	ARGUMENT_MEASURE → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_BIGRAM	Sollmaß → Sollstellung	ARGUMENT_MEASURE → ENTRY_CONTROL	1	NO
SHARED_SKELETON_BIGRAM	Sollmaß → Zieleinsatz	ARGUMENT_MEASURE → ENTRY_CONTROL	1	NO
SHARED_SKELETON_BIGRAM	Sollstellung → Bereit	ENTRY_CONTROL → STATE	1	NO
SHARED_SKELETON_BIGRAM	Sollstellung → Gleichvorrat	ENTRY_CONTROL → ARGUMENT_SOURCE	1	NO
SHARED_SKELETON_BIGRAM	Sollstellung → Sollmaß	ENTRY_CONTROL → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_BIGRAM	Sollstellung → Sollstellung	ENTRY_CONTROL → ENTRY_CONTROL	1	NO
SHARED_SKELETON_BIGRAM	Sollstellung → Umsetzen	ENTRY_CONTROL → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Sollstellung → Zieleinsatz	ENTRY_CONTROL → ENTRY_CONTROL	1	NO
SHARED_SKELETON_BIGRAM	Stelle → Bereit	ARGUMENT_TARGET → STATE	1	NO
SHARED_SKELETON_BIGRAM	Stelle → Diesposten	ARGUMENT_TARGET → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Stelle → Sollmaß	ARGUMENT_TARGET → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_BIGRAM	Umsetzen → Bereit	ACTION → STATE	1	NO
SHARED_SKELETON_BIGRAM	Umsetzen → Folgeposten	ACTION → ENTRY_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Zerkleinern → Einsetzen	ACTION → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Zieleinsatz → Ansatz	ENTRY_CONTROL → ENTRY_ITEM	1	NO
SHARED_SKELETON_BIGRAM	Zieleinsatz → Einsetzen	ENTRY_CONTROL → ACTION	1	NO
SHARED_SKELETON_BIGRAM	Zieleinsatz → Fortsetzung	ENTRY_CONTROL → CONTINUATION	1	NO
SHARED_SKELETON_BIGRAM	Zieleinsatz → Gleichvorrat	ENTRY_CONTROL → ARGUMENT_SOURCE	1	NO
SHARED_SKELETON_TRIGRAM	Diesposten → Sollmaß → Diesposten	ARGUMENT_ITEM → ARGUMENT_MEASURE → ARGUMENT_ITEM	3	YES
SHARED_SKELETON_TRIGRAM	Ansatz → Diesposten → Diesposten	ENTRY_ITEM → ARGUMENT_ITEM → ARGUMENT_ITEM	2	YES
SHARED_SKELETON_TRIGRAM	Diesposten → Diesposten → Sollmaß	ARGUMENT_ITEM → ARGUMENT_ITEM → ARGUMENT_MEASURE	2	YES
SHARED_SKELETON_TRIGRAM	Fortsetzung → Fortsetzungsansatz → Fortsetzung	CONTINUATION → CONTINUATION_ITEM → CONTINUATION	2	YES
SHARED_SKELETON_TRIGRAM	Fortsetzung → Sollmaß → Fortsetzung	CONTINUATION → ARGUMENT_MEASURE → CONTINUATION	2	YES
SHARED_SKELETON_TRIGRAM	Fortsetzungsansatz → Fortsetzung → Sollmaß	CONTINUATION_ITEM → CONTINUATION → ARGUMENT_MEASURE	2	YES
SHARED_SKELETON_TRIGRAM	Ansatz → Ansatz → Diesposten	ENTRY_ITEM → ENTRY_ITEM → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Ansatz → Fortsetzung → Fortsetzungsansatz	ENTRY_ITEM → CONTINUATION → CONTINUATION_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Bereit → Ansatz → Diesposten	STATE → ENTRY_ITEM → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Bereit → Stelle → Diesposten	STATE → ARGUMENT_TARGET → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Diesposten → Fortsetzung → Fortsetzung	ARGUMENT_ITEM → CONTINUATION → CONTINUATION	1	NO
SHARED_SKELETON_TRIGRAM	Diesposten → Stelle → Bereit	ARGUMENT_ITEM → ARGUMENT_TARGET → STATE	1	NO
SHARED_SKELETON_TRIGRAM	Folgeposten → Einsetzen → Fortsetzung	ENTRY_ITEM → ACTION → CONTINUATION	1	NO
SHARED_SKELETON_TRIGRAM	Fortsetzung → Sollmaß → Gleichvorrat	CONTINUATION → ARGUMENT_MEASURE → ARGUMENT_SOURCE	1	NO
SHARED_SKELETON_TRIGRAM	Fortsetzung → Sollmaß → Sollmaß	CONTINUATION → ARGUMENT_MEASURE → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_TRIGRAM	Fortsetzung → Stelle → Fortsetzung	CONTINUATION → ARGUMENT_TARGET → CONTINUATION	1	NO
SHARED_SKELETON_TRIGRAM	Gleichvorrat → Fortsetzung → Stelle	ARGUMENT_SOURCE → CONTINUATION → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_TRIGRAM	Gleichvorrat → Zerkleinern → Einsetzen	ARGUMENT_SOURCE → ACTION → ACTION	1	NO
SHARED_SKELETON_TRIGRAM	Klarauszug → Sollmaß → Diesposten	ARGUMENT_PRODUCT → ARGUMENT_MEASURE → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Sollmaß → Diesposten → Stelle	ARGUMENT_MEASURE → ARGUMENT_ITEM → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_TRIGRAM	Sollmaß → Einsetzen → Stelle	ARGUMENT_MEASURE → ACTION → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_TRIGRAM	Sollmaß → Fortsetzung → Diesposten	ARGUMENT_MEASURE → CONTINUATION → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Sollmaß → Fortsetzung → Umsetzen	ARGUMENT_MEASURE → CONTINUATION → ACTION	1	NO
SHARED_SKELETON_TRIGRAM	Sollmaß → Umsetzen → Fortsetzung	ARGUMENT_MEASURE → ACTION → CONTINUATION	1	NO
SHARED_SKELETON_TRIGRAM	Sollmaß → Zieleinsatz → Ansatz	ARGUMENT_MEASURE → ENTRY_CONTROL → ENTRY_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Sollstellung → Bereit → Stelle	ENTRY_CONTROL → STATE → ARGUMENT_TARGET	1	NO
SHARED_SKELETON_TRIGRAM	Sollstellung → Zieleinsatz → Gleichvorrat	ENTRY_CONTROL → ENTRY_CONTROL → ARGUMENT_SOURCE	1	NO
SHARED_SKELETON_TRIGRAM	Stelle → Diesposten → Sollmaß	ARGUMENT_TARGET → ARGUMENT_ITEM → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_TRIGRAM	Stelle → Fortsetzung → Fortsetzungsansatz	ARGUMENT_TARGET → CONTINUATION → CONTINUATION_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Stelle → Fortsetzung → Sollmaß	ARGUMENT_TARGET → CONTINUATION → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_TRIGRAM	Stelle → Sollmaß → Sollstellung	ARGUMENT_TARGET → ARGUMENT_MEASURE → ENTRY_CONTROL	1	NO
SHARED_SKELETON_TRIGRAM	Umsetzen → Folgeposten → Einsetzen	ACTION → ENTRY_ITEM → ACTION	1	NO
SHARED_SKELETON_TRIGRAM	Zerkleinern → Einsetzen → Sollmaß	ACTION → ACTION → ARGUMENT_MEASURE	1	NO
SHARED_SKELETON_TRIGRAM	Zieleinsatz → Ansatz → Diesposten	ENTRY_CONTROL → ENTRY_ITEM → ARGUMENT_ITEM	1	NO
SHARED_SKELETON_TRIGRAM	Zieleinsatz → Gleichvorrat → Fortsetzung	ENTRY_CONTROL → ARGUMENT_SOURCE → CONTINUATION	1	NO
