family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	surface_status
OTOL_32_CARRIER_GRID	kchol	k+ch+ol	heiß-trockener Drogenstoff	24	20	19	19	OBSERVED
OTOL_32_CARRIER_GRID	kchor	k+ch+or	heiß-trockener Drogenteil	19	19	18	18	OBSERVED
OTOL_32_CARRIER_GRID	kol	k+ol	heißer Drogenstoff	30	27	20	20	OBSERVED
OTOL_32_CARRIER_GRID	kor	k+or	heißer Drogenteil	20	20	13	13	OBSERVED
OTOL_32_CARRIER_GRID	okchol	o+k+ch+ol	heiß-trockener Drogenstoff im Ansatz	10	8	9	9	OBSERVED
OTOL_32_CARRIER_GRID	okchor	o+k+ch+or	heiß-trockener Drogenteil im Ansatz	15	13	12	12	OBSERVED
OTOL_32_CARRIER_GRID	okol	o+k+ol	heißer Drogenstoff im Ansatz	53	41	50	50	OBSERVED
OTOL_32_CARRIER_GRID	okor	o+k+or	heißer Drogenteil im Ansatz	24	20	16	16	OBSERVED
OTOL_32_CARRIER_GRID	otchol	o+t+ch+ol	kalt-trockener Drogenstoff im Ansatz	27	25	24	24	OBSERVED
OTOL_32_CARRIER_GRID	otchor	o+t+ch+or	kalt-trockener Drogenteil im Ansatz	16	14	16	16	OBSERVED
OTOL_32_CARRIER_GRID	otol	o+t+ol	kalter Drogenstoff im Ansatz	58	48	56	56	TARGET
OTOL_32_CARRIER_GRID	otor	o+t+or	kalter Drogenteil im Ansatz	33	29	24	24	OBSERVED
OTOL_32_CARRIER_GRID	qokchol	qo+k+ch+ol	heiß-trockener Drogenstoff in der Zubereitung	15	11	15	15	OBSERVED
OTOL_32_CARRIER_GRID	qokchor	qo+k+ch+or	heiß-trockener Drogenteil in der Zubereitung	8	7	7	8	OBSERVED
OTOL_32_CARRIER_GRID	qokol	qo+k+ol	heißer Drogenstoff in der Zubereitung	88	51	82	82	OBSERVED
OTOL_32_CARRIER_GRID	qokor	qo+k+or	heißer Drogenteil in der Zubereitung	29	25	21	21	OBSERVED
OTOL_32_CARRIER_GRID	qotchol	qo+t+ch+ol	kalt-trockener Drogenstoff in der Zubereitung	13	11	13	13	OBSERVED
OTOL_32_CARRIER_GRID	qotchor	qo+t+ch+or	kalt-trockener Drogenteil in der Zubereitung	11	10	11	11	OBSERVED
OTOL_32_CARRIER_GRID	qotol	qo+t+ol	kalter Drogenstoff in der Zubereitung	43	31	40	40	OBSERVED
OTOL_32_CARRIER_GRID	qotor	qo+t+or	kalter Drogenteil in der Zubereitung	26	22	22	22	OBSERVED
OTOL_32_CARRIER_GRID	tchol	t+ch+ol	kalt-trockener Drogenstoff	16	14	11	11	OBSERVED
OTOL_32_CARRIER_GRID	tchor	t+ch+or	kalt-trockener Drogenteil	21	18	17	17	OBSERVED
OTOL_32_CARRIER_GRID	tol	t+ol	kalter Drogenstoff	34	25	27	27	OBSERVED
OTOL_32_CARRIER_GRID	tor	t+or	kalter Drogenteil	17	17	12	12	OBSERVED
OTOL_32_CARRIER_GRID	ykchol	y+k+ch+ol	heiß-trockener Drogenstoff dieser Droge	6	5	5	5	OBSERVED
OTOL_32_CARRIER_GRID	ykchor	y+k+ch+or	heiß-trockener Drogenteil dieser Droge	5	4	4	4	OBSERVED
OTOL_32_CARRIER_GRID	ykol	y+k+ol	heißer Drogenstoff dieser Droge	12	12	9	10	OBSERVED
OTOL_32_CARRIER_GRID	ykor	y+k+or	heißer Drogenteil dieser Droge	5	5	4	4	OBSERVED
OTOL_32_CARRIER_GRID	ytchol	y+t+ch+ol	kalt-trockener Drogenstoff dieser Droge	5	5	4	4	OBSERVED
OTOL_32_CARRIER_GRID	ytchor	y+t+ch+or	kalt-trockener Drogenteil dieser Droge	8	7	8	8	OBSERVED
OTOL_32_CARRIER_GRID	ytol	y+t+ol	kalter Drogenstoff dieser Droge	14	13	11	11	OBSERVED
OTOL_32_CARRIER_GRID	ytor	y+t+or	kalter Drogenteil dieser Droge	13	13	12	12	OBSERVED
