card_no	joint_tuple_id	surfaces	events	event_ids	records	origin_deck	origin_drawer	union_drawer	small_value_de
BIOC012	dec401773c1f0347793d	olor	1	E113	B1	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	weiterer Ansatz
BIOC013	4eab1841ed655c20a348	sheckhal	1	E115	B1	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz an der Durchlassstelle
BIOC014	2f1c5e56e8f0ff459065	aiin|daiin|saiin	11	E116|E118|E207|E217|E233|E274|E299|E332|E338|E369|E377	B1|B2|B3|B4|B5|B6	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Mass
BIOC015	93f69c38fdedee1598e9	qokeedal	1	E117	B1	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger an der Stelle halten
BIOC016	2cc8bb3c2af19607888f	chckhy|shckhy	4	E119|E128|E139|E179	B1|B2	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	durchführen
BIOC017	259b2b3b0bf859882e2c	dchedy|schedy|tchedy	4	E120|E167|E239|E283	B1|B2|B3	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	überführen; Schluss
BIOC018	54e32e9c1414b20640e9	sshkchdy	1	E122	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	gebuendelt umsetzen; Schluss
BIOC019	6f7ff8287eddf4da9fdb	chdy|chedy	10	E123|E145|E244|E252|E287|E304|E319|E328|E342|E372	B1|B3|B4|B5	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies umsetzen
BIOC020	bc4f1f5c006c74a4d26d	cheedy|shedy|tedy	12	E125|E136|E155|E163|E192|E255|E266|E314|E325|E336|E347|E361	B1|B2|B3|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz absetzen; Schluss
BIOC021	28ffbc88b97772a75f1e	olchedy|qolchedy	3	E126|E168|E242	B1|B2|B3	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	weiterführen; Schluss
BIOC022	1645e612504fcef59ced	okain|qokain	7	E127|E169|E198|E200|E288|E341|E352	B1|B2|B3|B4	B1	PORTABLE_RECURRENT_WHOLE_CARD	PORTABLE_LEARNED_WHOLE_CARD	eine Portion zugeben
BIOC023	4da0f0f7b5fc7ac20067	ral	1	E130	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	an der Stelle abkuehlen
BIOC024	87411f84689b4f93a303	qokchdy	3	E131|E284|E363	B1|B3|B5	B1	PORTABLE_RECURRENT_WHOLE_CARD	PORTABLE_LEARNED_WHOLE_CARD	Ansatz umsetzen; Schluss
BIOC025	b921a237be883a820352	chey|dy|sy	9	E132|E170|E208|E232|E234|E273|E277|E349|E380	B1|B2|B3|B4|B6	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies
BIOC026	d904bf7b044dd3922781	cheky	3	E134|E164|E339	B1|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz wärmen
BIOC027	276a7c2d74d1143446f4	qoky	7	E140|E188|E195|E247|E251|E298|E323	B1|B2|B3|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	verwende dies
BIOC028	be0974b366c981dc1eef	lsho	1	E141	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	Waschgang
BIOC029	08bd5ca0c2ad137a056d	okey|qokey	2	E142|E220	B1|B2	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz ansetzen
BIOC030	2e7e89e0bd12b999c280	lshedy	2	E143|E144	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	Waschgang; Schluss
BIOC031	c205570c49d4d93c23d3	qolky	1	E146	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	dies auffangen
BIOC032	433713294b25b0a12f66	lchedal	1	E147	B1	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	zum Auslass führen
BIOC033	b6b654722e55729cc947	otar	1	E149	B1	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	danach von dort
BIOC034	a7af89ab31ce5e247395	ytey	1	E150	B1	B1	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	fuellen
BIOC035	07913ef9b1fb773cd325	okchedy|qokchedy	2	E151|E264	B1|B3	B1	PORTABLE_RECURRENT_WHOLE_CARD	PORTABLE_LEARNED_WHOLE_CARD	Ansatz umsetzen; Schluss
BIOC036	0275fbf14e07935b0a45	okeey|qokeey	7	E153|E175|E194|E205|E293|E317|E322	B1|B2|B3|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger ansetzen
BIOC037	a06244ef1f2b37ca44c1	teol	1	E157	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	kurz fortsetzen
BIOC038	d225b7a7b95da7aee437	dchdy	1	E158	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	umsetzen; Schluss
BIOC039	b38d70daefd663d74625	ly	1	E159	B1	B1	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	dies fuehren
BIOC040	74c76d589d44120f647b	dsheol	1	E160	B1	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz halten
BIOC041	2c82523794dcb7d2b343	oiiin|soiiin	2	E161|E309	B1|B3	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Sollstand
BIOC042	3b70942557b3a40e8030	olkeedy|solkeedy	3	E162|E229|E291	B1|B3	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger auffangen; Schluss
BIOC043	d68bc8de3bcee09db23c	shckhedy	3	E165|E330|E331	B1|B4	B1	PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	seihen; Schluss
BIOC044	7d25241b0e56c836372a	qokeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	B2|B3|B4	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger ansetzen; Schluss
BIOC045	f329f2051370174e9a38	lcheckhy	1	E173	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies zum Durchlass führen
BIOC046	ba8142680851f24c9ff2	lched	1	E174	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	hinausführen
BIOC047	c1db6b0a28d5cbb5d3d2	lcheckhedy	1	E176	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	hinaus seihen; Schluss
BIOC048	4a7a6326ac95a8809302	qokaly	1	E177	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies an die Stelle setzen
BIOC049	2d2e37ccb2dacc53ee5a	solkaiin	1	E178	B2	B2	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	Auffangmass
BIOC050	a8f891de626fc00028e9	octheol	1	E182	B2	B2	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	gleich einstellen
BIOC051	f0db6d30cd34f4cb2a4d	chkeey	1	E183	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies länger wärmen
BIOC052	04a3877f0fc81b7597c9	ldy	2	E184|E308	B2|B3	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	abführen; Schluss
BIOC053	5d5e0b288cf36864ed9d	oteey	2	E185|E218	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	nächsten Posten länger halten
BIOC054	c1913ec4ff84148da6d3	sheckhy	1	E187	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies kurz durchführen
BIOC055	cbb42a4fe68068325d6b	dshedy	1	E189	B2	B2	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	kurz halten; Schluss
BIOC056	54d0e228ca346110af05	otaiin|sotaiin	3	E190|E306|E312	B2|B3	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	nächstes Maß
BIOC057	3ae9a121ba0045b913e8	qokar	1	E191	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	von dort einsetzen
BIOC058	daa1347f456415fe8737	solshedy	1	E193	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	mit dem Vorigen kurz absetzen; Schluss
BIOC059	5eff216ba51fbfb21f22	ls	1	E196	B2	B2	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	abfuehren
BIOC060	b5df9126607030b95175	cheey|shey	3	E197|E203|E353	B2|B4	B2	PORTABLE_RECURRENT_WHOLE_CARD	PORTABLE_LEARNED_WHOLE_CARD	Klarauszug
BIOC061	0ab57b7166de99db3a55	lchy	1	E202	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies abziehen
BIOC062	6b89d6dd70635bc60fe0	qcthey|shcthey	2	E204|E258	B2|B3	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies kurz bereithalten
BIOC063	5fca8fc3dee57e1d8c1f	lcheey	1	E206	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies länger abziehen
BIOC064	d25110e0d8488927278f	qokeeedy	1	E209	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	vollständig ansetzen; Schluss
BIOC065	de7321bface5628e35d6	lchedy	8	E210|E235|E246|E262|E269|E282|E345|E357	B2|B3|B4	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	hinausführen; Schluss
BIOC066	29e0eb222ef2fb99523a	lar	1	E211	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	von dort abführen
BIOC067	d4a31dbcf1ed6d9e5aa9	tshey	1	E212	B2	B2	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	dies kurz halten
BIOC068	0f15effeca7ab10bb026	lchedar	1	E215	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	von dort hinausführen
BIOC069	db729b598e89e11452e0	ches	1	E216	B2	B2	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	teilen
BIOC070	65df3cd9e59060042d47	pchedy	1	E221	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	hineinführen; Schluss
BIOC071	98bdc4244c84cbef3321	rsheal	1	E222	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Waschflüssigkeit an die Stelle
BIOC072	78b3b3140714da19090d	daldy	1	E223	B2	B2	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	an der Stelle schliessen
BIOC073	7f68f60279efe6b28cd7	rshedy	1	E225	B2	B2	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	abkuehlen und absetzen; Schluss
BIOC074	ff178343c18e287ce3b7	qoteedy	2	E226|E292	B2|B3	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	nächsten Schritt länger halten; Schluss
BIOC075	f2af6326898fb5b490a4	lochedy	1	E228	B2	B2	B2_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	hinausführen; Schluss
BIOC076	90bcf0a9ec0ef56399e6	otal|qotal	3	E230|E237|E320	B3|B4	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Folgestelle
BIOC077	a84fbe3ad380df345b97	chkeedy	1	E231	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger wärmen; Schluss
BIOC078	5e8441397e7c0faf042b	chedchy	1	E240	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies überführen
BIOC079	ba540da978ea132f6da5	pchedal	1	E248	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	an der Stelle hineinführen
BIOC080	c45ebac60774620561e2	otedy	2	E249|E307	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurzer Folgeschritt; Schluss
BIOC081	348e81ba084c5acdb32b	shecthedchy	1	E250	B3	B3	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	aufstreichen
BIOC082	0bdc8b6db811b4e67a63	chary	1	E253	B3	B3	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	dies aus der Quelle nehmen
BIOC083	7a4bb8136330ee4e6e56	or|sor	2	E254|E348	B3|B4	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Ansatz
BIOC084	7d2404c835b10a2c06af	okair	1	E260	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Laufflüssigkeit in Gang setzen
BIOC085	03626ca94cb17800d767	sheedy	1	E261	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger absetzen; Schluss
BIOC086	2b7fa918d1b2f5c656e3	lo	1	E263	B3	B3	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	hinausfuehren
BIOC087	db167f8e9b53eefb58f8	qokshedy	1	E267	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz absetzen; Schluss
BIOC088	e0b630cb1b5df5e7105b	checthy|shcthy	4	E271|E279|E289|E310	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	bereit
BIOC089	abb23e5e6936b4147f76	shedal	2	E275|E364	B3|B5	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	an der Stelle absetzen
BIOC090	cb57b696b815fdef9cb7	shecthy	1	E276	B3	B3	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	dies kurz bereit halten
BIOC091	2bc2ed2630dbdaaa6b59	dalchdy	1	E280	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	an der Stelle überführen; Schluss
BIOC092	4de12cf322dfb76ded1e	otchedy|qotchedy	2	E281|E301	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Folgeüberführung; Schluss
BIOC093	342c3f0777337648f4b3	cheedar	1	E285	B3	B3	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	laenger aus der Quelle fuehren
BIOC094	d72f71baff01cd0a0406	chldaiin	1	E286	B3	B3	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	Abfuehrmass
BIOC095	d788d8d72d41b25a3c71	chealror	1	E290	B3	B3	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	Ansatz an der Stelle auffangen
BIOC096	9247e38d29c79a0d2fa5	cheeety	1	E296	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	voll spülen
BIOC097	b154ff779abe5f196c80	schedair	1	E300	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Laufflüssigkeit weiterführen
BIOC098	d784b2abcaf1a3703de2	chedain	1	E303	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	eine Portion überführen
BIOC099	1779decef17481ec2853	qotedaiin	1	E305	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurzes Folgemaß
BIOC100	80ebbbbf238eee9f0aef	chety	1	E311	B3	B3	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	zerkleinern
BIOC101	7811a7daff25d476e28d	olsaly	1	E313	B3	B3	B3_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies an der Stelle fortsetzen
BIOC102	e2eb77ca9d9e1a8ba29a	qolchey	1	E316	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies weiterführen
BIOC103	faf321940aed922846a9	otchey	1	E321	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	nächster Posten
BIOC104	eb2e4bc143f623ee03ac	qokylddy	1	E326	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies befestigen; Schluss
BIOC105	53cd0637c6820ba5e91f	dain	2	E327|E379	B4|B6	B4	B4_LOCAL_WHOLE_CARD	PORTABLE_LEARNED_WHOLE_CARD	Tuch
BIOC106	2c1a5fd92b9e3c762242	cheeky	1	E333	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies länger wärmen
BIOC107	92e43836d82f98bf02d3	sheey	1	E334	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies länger halten
BIOC108	1b1ffdd869fb1429ad03	oldy	1	E337	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	fortsetzen; Schluss
BIOC109	daf32e6db9e04413ce7f	okeeol	1	E340	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	länger fortsetzen
BIOC110	b958a512ca6a3559e86e	lkedy	1	E344	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz abführen; Schluss
BIOC111	232195d6ff2f326322f7	qokol	1	E346	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Fortsetzung einsetzen
BIOC112	ecce30bc8dcc400bf2c8	qockhey	1	E350	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies kurz durchführen
BIOC113	8aedd154964a78e555d6	dairydy	1	E351	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Laufflüssigkeit abschließen
BIOC114	21ed2873b71e57269c08	chckhal	1	E355	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Durchlassstelle
BIOC115	42cdc187d5b9ffc60063	solkey	1	E356	B4	B4	B4_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	kurz auffangen
BIOC116	883a6708116c342cb10b	skar	1	E360	B4	B4	PASS448_PRODUCTIVE_REANALYSIS	PRODUCTIVE_COMPOSITION	aus dem Vorrat zufuehren
BIOC117	601b77449028deed39de	otchdy	1	E362	B5	B56	B5_B6_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	danach umsetzen; Schluss
BIOC118	8c97dfde96fbc78e3355	lol	1	E367	B5	B56	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	warm
BIOC119	00d8ebe3c68294eeac39	chdal	1	E368	B5	B56	B5_B6_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	an der Stelle umsetzen
BIOC120	fcc1deda9e24ec268eb0	daiiin	1	E371	B5	B56	B5_B6_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	zweite Stufe
BIOC121	1bfd786e6b8b63734a59	solkeey	1	E373	B6	B56	B5_B6_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	laenger auffangen
BIOC122	43eb9aa12959b4d5cdc9	qekey	1	E374	B6	B56	PASS448_COMPACT_WHOLE_CARD	RECORD_LOCAL_LEARNED_WHOLE_CARD	roh
BIOC123	3e9c7f217843b588489d	raly	1	E375	B6	B56	B5_B6_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	dies abkuehlen
BIOC124	97ddca78c9ebcc956d04	ldalor	1	E381	B6	B56	B5_B6_PRODUCTIVE_COMPOSITION	PRODUCTIVE_COMPOSITION	Ansatz zur Stelle fuehren
