microstep_id	statement_id	record_unit_id	page	event_ordinals	event_ids	surfaces	atomic_chain	mode_chain	visible_event_count	source_operation_count	workstep_role	concrete_reading_de	crosses_physical_line	crosses_field_boundary	owner_reset_at_start	owner_resets_inside	read_once_pair
B2-S016-M01	B2-S016	B2	f82r	1-4	E214|E215|E216|E217	al lchedar ches aiin	dorthin → Quellabführung → teilen → Sollmaß	LOCAL_CONTROL>DISCHARGE>MEASURE>MEASURE	4	4	QUELLE_TEILEN_MESSEN	Führe von der Quelle dorthin ab, teile den Posten und stelle das Sollmaß ein.	NO	NO	NO	NONE	NONE
B2-S016-M02	B2-S016	B2	f82r	5-8	E218|E219|E220|E221	oteey qokaiin qokey pchedy	Langfolge → bemessen → Kurzkontakt → Zuführung	LOCAL_CONTROL>MEASURE>TREAT>CHARGE	4	4	FOLGE_KONTAKT_ZUFUEHRUNG	Führe lange weiter, bemesse, berühre kurz und führe zu.	YES	YES	NO	NONE	NONE
B3-S021-M01	B3-S021	B3	f83r	1-4	E270|E271|E272|E273	qokaiin checthy dal dy	bemessen → bereit → dorthin → dies	MEASURE>LOCAL_CONTROL>LOCAL_CONTROL>LOCAL_CONTROL	4	4	POSTEN_BEMESSEN_BEREITSTELLEN	Messe diesen Posten ab und stelle ihn dort bereit.	NO	NO	NO	NONE	NONE
B3-S021-M02	B3-S021	B3	f83r	5-6	E274|E275	saiin shedal	Sollmaß → Zielabsetzung	MEASURE>SETTLE	2	2	AM_ZIEL_BIS_SOLL_ABSETZEN	Setze ihn am Ziel bis zum Sollmaß ab.	NO	NO	NO	NONE	NONE
B3-S021-M03	B3-S021	B3	f83r	7-11	E276|E277|E278|E279|E280	shecthy dy dal checthy dalchdy	Kurzvorbereitung → dies → dorthin → bereit → Zieltransfer	LOCAL_CONTROL>LOCAL_CONTROL>LOCAL_CONTROL>LOCAL_CONTROL>CHARGE	5	5	KURZ_VORBEREITEN_ZIELTRANSFER	Bereite diesen Posten kurz vor, stelle ihn dort bereit und überführe ihn ans Ziel.	NO	NO	NO	NONE	NONE
B3-S026-M01	B3-S026	B3	f83r	1-2	E285|E286	cheedar chldaiin	Quelltransfer → Sollabsetzung	CHARGE>SETTLE	2	2	QUELLTRANSFER_SOLL_ABSETZEN	Überführe von der Quelle und setze bis zum Sollstand ab.	NO	NO	NO	NONE	NONE
B3-S026-M02	B3-S026	B3	f83r	3-6	E287|E288|E289|E290	chedy okain checthy chealror	überführen → Zugabe → bereit → Zielbereitung	CHARGE>CHARGE>LOCAL_CONTROL>LOCAL_CONTROL	4	4	ZUSATZ_AM_ZIEL_BEREITEN	Überführe, gib den Zusatz zu und stelle die Zubereitung am Ziel bereit.	NO	NO	NO	NONE	NONE
B3-S026-M03	B3-S026	B3	f83r	7-7	E291	solkeedy	Langsammlung	SETTLE	1	1	LANG_SAMMELN	Sammle den neuen Stationsposten lange.	NO	NO	YES	NONE	NONE
B3-S034-M01	B3-S034	B3	f83r	1-3	E309|E310|E311	soiiin checthy chety	Arbeitsstufe → bereit → Teil	MEASURE>LOCAL_CONTROL>LOCAL_CONTROL	3	3	ARBEITSSTUFE_TEIL_BEREIT	Stelle die Arbeitsstufe ein und halte den bezeichneten Teil bereit.	NO	NO	NO	NONE	NONE
B3-S034-M02	B3-S034	B3	f83r	4-6	E312|E313|E314	otaiin olsaly tedy	Folgemaß → Zwischenziel → Kurzabsetzung	MEASURE>LOCAL_CONTROL>SETTLE	3	3	FOLGEMASS_ZWISCHENZIEL_ABSETZEN	Stelle das Folgemaß ein, führe zum Zwischenziel und setze kurz ab.	NO	NO	NO	NONE	NONE
B4-S003-M01	B4-S003	B4	f83r	1-2	E319|E320	chedy otal	überführen → Folgeziel	CHARGE>LOCAL_CONTROL	2	2	ZUM_FOLGEZIEL_UEBERFUEHREN	Überführe zum folgenden Ziel.	NO	NO	NO	NONE	NONE
B4-S003-M02	B4-S003	B4	f83r	3-7	E321|E322|E323|E324|E325	otchey okeey choky cheol cheedy	Folgeposten → Langkontakt → einsetzen → weiter → Kurzabsetzung	LOCAL_CONTROL>TREAT>CHARGE>LOCAL_CONTROL>SETTLE	5	5	FOLGEPOSTEN_BEHANDELN_ABSETZEN	Behandle den Folgeposten lange, setze ihn ein, führe weiter und setze kurz ab.	NO	NO	NO	NONE	NONE
B4-S011-M01	B4-S011	B4	f83r	1-3	E338|E339|E340	saiin cheky okeeol	Sollmaß → Kurzwärme → Langfortsetzung	MEASURE>TREAT>LOCAL_CONTROL	3	3	SOLL_KURZ_WAERMEN_LANG_FORTSETZEN	Wärme bis zum Soll kurz an und führe den Gang lange fort.	NO	NO	YES	NONE	NONE
B4-S011-M02	B4-S011	B4	f83r	4-7	E341|E342|E343|E344	okain chedy sol lkedy	Zugabe → überführen → weiter → Weiterabzug	CHARGE>CHARGE>LOCAL_CONTROL>DISCHARGE	4	4	ZUGABE_UEBERFUEHREN_ABZIEHEN	Gib die Portion zu, überführe sie, führe weiter und ziehe weiter ab.	YES	YES	NO	NONE	NONE
B4-S015-M01	B4-S015	B4	f83r	1-4	E352|E353|E354|E355	okain cheey chkain chckhal	Zugabe → Klarlauf → Portion → Zielpassage	CHARGE>PASS_FILTER>CHARGE>PASS_FILTER	4	4	KLARLAUFPORTION_DURCH_ZIELPASSAGE	Gib eine Portion des Klarlaufs zu und führe sie durch die Zielpassage.	NO	NO	NO	NONE	NONE
B4-S015-M02	B4-S015	B4	f83r	5-6	E356|E357	solkey lchedy	Kurzsammlung → abführen	LOCAL_CONTROL>DISCHARGE	2	2	KURZ_SAMMELN_ABFUEHREN	Sammle an der neuen Station kurz und führe ab.	NO	NO	YES	NONE	NONE
B5-S003-M01	B5-S003	B5	f83r	1-4	E364|E365|E366|E367	shedal sal sol lol	Zielabsetzung → dorthin → weiter → Weiterabzug	SETTLE>LOCAL_CONTROL>LOCAL_CONTROL>DISCHARGE	4	4	AM_ZIEL_ABSETZEN_WEITER_ABZIEHEN	Setze am Ziel ab und ziehe dort weiter ab.	YES	YES	NO	NONE	NONE
B5-S003-M02	B5-S003	B5	f83r	5-6	E368|E369	chdal saiin	Zieltransfer → Sollmaß	CHARGE>MEASURE	2	2	ZIELTRANSFER_BIS_SOLL	Überführe ans Ziel bis zum Sollmaß.	NO	NO	NO	NONE	NONE
B5-S003-M03	B5-S003	B5	f83r	7-9	E370|E371|E372	sol daiiin chdy	weiter → Endstufe → überführen	LOCAL_CONTROL>MEASURE>CHARGE	3	3	ENDSTUFE_UEBERFUEHREN	Führe zur Endstufe weiter und überführe.	NO	NO	NO	NONE	NONE
B6-S001-M01	B6-S001	B6	f83r	1-4	E373|E374|E375|E376	solkeey qekey raly sol	Langsammlung → Kurzbearbeitung → Endposten → weiter	LOCAL_CONTROL>TREAT>LOCAL_CONTROL>LOCAL_CONTROL	4	4	LANG_SAMMELN_ENDPOSTEN	Sammle lange, bearbeite kurz und führe den Endposten weiter.	NO	NO	YES	NONE	NONE
B6-S001-M02	B6-S001	B6	f83r	5-9	E377|E378|E379|E380|E381	saiin sol dain sy ldalor	Sollmaß → weiter → Einlage → dies → Endziel	MEASURE>LOCAL_CONTROL>CHARGE>LOCAL_CONTROL>LOCAL_CONTROL	5	5	EINLAGE_AM_ENDZIEL	Stelle das Sollmaß ein, führe weiter und lege diesen Posten am Endziel ein.	NO	NO	NO	NONE	NONE
