body	occurrence_total	concrete_body_role_de	family	confidence	positive_evidence	counterevidence	scope	head_occupancy	opaque_heads	bare_body_occurrences	literal_lexeme_confidence	renderer_license	component_export_credit	export_rule
araiin	7	Teil-/Fraktionsstufe I: Wert III	PART_VALUE	HIGH	VALUE_LADDER+TWO_HEADED_WHOLES_AGREE+7_MULTIHEAD	AMOUNT_VS_CLASS	HELD_WHOLES_ONLY	2	H2|H3	9	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
daiin	7	Dosis-/Wertslot III	DOSE_VALUE	HIGH	GDT626_COMPLETE_D_LADDER+721_BARE+7_MULTIHEAD	DOSE_VS_AMOUNT_VS_CLASS	HELD_WHOLES_ONLY	2	H1|H4	721	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
dar	7	abgemessener Anteil, Stufe I	DOSED_PART	HIGH	V99_WHOLE+PART_VALUE_FAMILY+7_MULTIHEAD	ACTION_VS_RESULT	HELD_WHOLES_ONLY	2	H1|H4	245	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
kal	7	erhitztes Material, Stufe I	HEATED_MATERIAL	MEDIUM_HIGH	V99_WHOLE+HEAT_MATERIAL_FAMILY+7_MULTIHEAD	DIMENSION_OPEN+PATIENT_OPEN	HELD_WHOLES_ONLY	3	H2|H3|H4	25	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
om	7	Zubereitungsmaß	PREPARATION_MEASURE	MEDIUM	V99_CONTEXT_WHOLES+7_MULTIHEAD	HANDFUL_NOT_GROUNDED+UNIT_OPEN	HELD_WHOLES_ONLY	3	H2|H3|H4	20	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
sheody	7	feucht aufbereitetes Ergebnis, Grundform	MOIST_PREP_RESULT	MEDIUM_HIGH	GDT736_ODY_FAMILY+V99_WHOLE+7_MULTIHEAD	MOIST_VS_SOAKED+COMPOSITION_NOT_EXPORTABLE	HELD_WHOLES_ONLY	2	H1|H4	34	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
aly	6	Rohstoff-/Materialstufe I, Grundform	MATERIAL_SERIES	HIGH	V99_WHOLE+GDT736_AL_FAMILY+6_MULTIHEAD	RAW_VS_GENERIC_MATERIAL	HELD_WHOLES_ONLY	2	H2|H3	18	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chedal	6	abgemessenes Trockenmaterial, Stufe I/Form I	DRY_DOSED_MATERIAL	MEDIUM_HIGH	V99_WHOLE+DRY_MATERIAL_VALUE_FAMILY+6_MULTIHEAD	MEASURE_VS_STATE	HELD_WHOLES_ONLY	2	H1|H4	22	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cheody	6	trocken aufbereitetes Ergebnis, Form I	DRY_PREP_RESULT	HIGH	GDT736_ODY_FAMILY+V99_WHOLE+69_BARE+6_MULTIHEAD	MASS_VS_PREPARATION	HELD_WHOLES_ONLY	2	H1|H4	69	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cheor	6	trockener Teil-/Portionsträger	DRY_PART	HIGH	V99_WHOLE+DRY_PLUS_PART_FAMILY+71_BARE+6_MULTIHEAD	PART_VS_PORTION	HELD_WHOLES_ONLY	2	H1|H4	71	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
kchdy	6	erhitzt-trockenes Ergebnis, Grundform	HOT_DRY_RESULT	HIGH	GDT626_QUALITY_GRID+V99_WHOLE+6_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	2	H2|H4	17	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
keeody	6	vollständig erhitztes Zubereitungsergebnis	HEATED_PREP_RESULT	MEDIUM_HIGH	V99_WHOLE+HEAT_RESULT_FAMILY+6_MULTIHEAD	BOILED_TOO_SPECIFIC+EXACT_TIER_OPEN	HELD_WHOLES_ONLY	2	H2|H4	8	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olkeey	6	erhitztes Material, Form II	HEATED_MATERIAL	HIGH	V99_WHOLES+STATE_LATTICE+6_MULTIHEAD	OLD_PATIENT_REMOVED	HELD_WHOLES_ONLY	3	H1|H2|H3	35	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
aiiin	5	Ordinal-/Wertstufe IV	VALUE_LADDER	HIGH	GDT626_LADDER+42_BARE+5_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY	3	H2|H3|H4	42	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
aram	5	Teil-/Fraktionsstufe I, Eintragsabschluss	PART_CLOSE	MEDIUM_HIGH	V99_WHOLE+GDT736_AM_FINALITY+5_MULTIHEAD	MEASURE_RIVAL	HELD_WHOLES_ONLY	3	H2|H3|H4	8	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chdaiin	5	Trockenresultat: Dosis oder Wert III	DRY_DOSE_VALUE	MEDIUM_HIGH	D_LADDER+DRY_RESULT_FAMILY+16_BARE+5_MULTIHEAD	NO_EXACT_BODY_WHOLE+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H4	16	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
odar	5	Zubereitungsanteil oder Dosisstufe I	PREP_DOSED_PART	MEDIUM_HIGH	V99_WHOLE+PART_VALUE_FAMILY+5_MULTIHEAD	ACTION_VS_RESULT	HELD_WHOLES_ONLY	3	H1|H2|H4	21	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oiiin	5	Zubereitungsform: Index IV	PREPARATION_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+5_MULTIHEAD	FORM_VS_AMOUNT	HELD_WHOLES_ONLY	3	H2|H3|H4	11	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
okeedy	5	erhitztes Zubereitungsergebnis, Form II	HEATED_PREP_RESULT	HIGH	STATE_RESULT_LATTICE+V99_WHOLE+94_BARE+5_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	3	H2|H3|H4	94	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olkaiin	5	erhitztes Material: Index III	HEATED_MATERIAL_VALUE	MEDIUM_HIGH	VALUE_LADDER+V99_WHOLES+5_MULTIHEAD	DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H2|H4	28	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olkeedy	5	erhitztes Materialergebnis, Form II	HEATED_MATERIAL_RESULT	HIGH	STATE_RESULT_LATTICE+V99_WHOLES+5_MULTIHEAD	OLD_PATIENT_REMOVED	HELD_WHOLES_ONLY	3	H1|H2|H3	42	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olshedy	5	angefeuchtetes Materialergebnis, Form I	MOIST_MATERIAL_RESULT	HIGH	MOIST_RESULT_LATTICE+V99_WHOLE+5_MULTIHEAD	SOAKED_VS_MOIST	HELD_WHOLES_ONLY	2	H2|H4	17	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oty	5	kalte oder abgekühlte Zubereitung, Grundform	COLD_PREPARATION	MEDIUM_HIGH	V99_WHOLE+TEMPERATURE_FAMILY+101_BARE+5_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	2	H2|H4	101	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shdy	5	angefeuchtetes Ergebnis, Grundform	MOIST_RESULT	HIGH	STATE_RESULT_LATTICE+V99_WHOLE+5_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY	3	H1|H3|H4	40	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
a	4	Gleichanteilsfeld	EQUAL_PART_FIELD	LOW	V99_EXACT_WHOLE+4_MULTIHEAD	SINGLE_SIGN+NESTED_STRUCTURE+PORTABILITY_OPEN	HELD_WHOLES_ONLY	2	H2|H3	9	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
aiir	4	Teil-/Anteilswert III	PART_VALUE	MEDIUM	V99_WHOLE+THREE_HEADED_WHOLES_AGREE+4_MULTIHEAD	NOT_MINIM_N_LADDER+DIMENSION_OPEN	HELD_WHOLES_ONLY	3	H1|H2|H3	20	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
aral	4	Rohstoff-/Materialfraktion I	MATERIAL_PART	HIGH	V99_WHOLE+EXACT_BOS_EOS_FRAME+4_MULTIHEAD	RAW_VS_GENERIC_MATERIAL	HELD_WHOLES_ONLY	2	H2|H3	15	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cheam	4	Trockenform, Eintragsabschluss I	DRY_ENTRY_CLOSE	MEDIUM_HIGH	GDT736_AM_FINALITY+3_OF_4_CACHE_H4_FORMS_LINE_FINAL+4_MULTIHEAD	MEASURE_RIVAL+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	5	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
cheos	4	Trockenansatz-Posten	DRY_PREPARATION_ITEM	MEDIUM_HIGH	V99_WHOLE+DRY_PREP_FAMILY+4_MULTIHEAD	BATCH_VS_ITEM	HELD_WHOLES_ONLY	2	H1|H4	28	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ches	4	trockene Form I oder Mittelstufe	DRY_STATE	MEDIUM	V99_WHOLE+DRY_STATE_FAMILY+4_MULTIHEAD	EXACT_TIER_OPEN	HELD_WHOLES_ONLY	3	H1|H2|H3	31	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chodain	4	trockene Zubereitung: Dosis oder Wert II	DRY_PREP_VALUE	HIGH	FOUR_HEADED_WHOLES_AGREE+MINIM_II+4_MULTIHEAD	ABSOLUTE_TWO_UNSUPPORTED+DIMENSION_OPEN	HELD_WHOLES_ONLY	2	H1|H2	7	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
l	4	verschachtelter H4-Kopf oder gebundenes Feld	NESTED_HEAD	STRUCTURE_ONLY	SINGLE_OPAQUE_HEAD_AS_BODY+4_MULTIHEAD	SEGMENTATION_OPEN+NO_BODY_SEMANTICS	STRUCTURE_ONLY	2	H2|H3	163	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
okeey	4	erhitzte Zubereitung, Form II	HEATED_PREPARATION	HIGH	STATE_LATTICE+V99_WHOLE+138_BARE+4_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	3	H1|H2|H4	138	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
olchey	4	getrocknetes Material, Form I	DRY_MATERIAL	HIGH	DRY_MATERIAL_LATTICE+V99_WHOLES+4_MULTIHEAD	OLD_PATIENT_REMOVED	HELD_WHOLES_ONLY	3	H1|H2|H3	20	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oldy	4	fertig aufbereitetes Materialergebnis	MATERIAL_RESULT	HIGH	GDT736_DY_RESULT+V99_WHOLE+4_MULTIHEAD	STRAINED_EXTRACT_TOO_SPECIFIC	HELD_WHOLES_ONLY	3	H1|H2|H4	25	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ols	4	Materialposten	MATERIAL_ITEM	HIGH	V99_WHOLE+ITEM_ROLE+4_MULTIHEAD	BATCH_VS_ITEM	HELD_WHOLES_ONLY	2	H2|H4	17	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
orain	4	Teil-/Portionsträger: Wert II	PART_VALUE	HIGH	VALUE_LADDER+V99_WHOLE+4_MULTIHEAD	AMOUNT_VS_CLASS	HELD_WHOLES_ONLY	3	H1|H2|H4	16	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shed	4	Einweich-/Feuchtergebnis, Mittel-/Schlussform	MOIST_RESULT	MEDIUM_HIGH	V99_WHOLE+MOIST_RESULT_FAMILY+4_MULTIHEAD	NO_TERMINAL_Y+EXACT_TIER_OPEN	HELD_WHOLES_ONLY	2	H3|H4	18	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shol	4	Feuchtmaterial	MOIST_MATERIAL	HIGH	MOIST_PLUS_MATERIAL_FAMILY+V99_WHOLE+163_BARE+4_MULTIHEAD	STATE_VS_CARRIER	HELD_WHOLES_ONLY	2	H1|H4	163	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
shy	4	feuchte oder angeweichte Grundform	MOIST_STATE	HIGH	STATE_LATTICE+V99_WHOLE+95_BARE+4_MULTIHEAD	MOIST_VS_SOAKED	HELD_WHOLES_ONLY	2	H1|H4	95	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ag	3	opaker Eintragsabschluss G	ENTRY_CLOSE	STRUCTURE_ONLY	3_OF_3_CACHE_FORMS_LINE_FINAL	NO_PHARMACEUTICAL_IDENTITY+NO_EXACT_BODY_ROLE	STRUCTURE_ONLY	2	H3|H4	1	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chdal	3	abgemessenes Trockenmaterial, Stufe I/Grundform	DRY_DOSED_MATERIAL	MEDIUM_HIGH	V99_WHOLE+DRY_MATERIAL_VALUE_FAMILY+3_MULTIHEAD	MEASURE_VS_STATE+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	19	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chdol	3	Trockenmaterial-Maßslot	DRY_MATERIAL_MEASURE	MEDIUM	DRY_PLUS_MATERIAL_MEASURE_FAMILY+3_MULTIHEAD+KNOWN_NEIGHBORS	NO_EXACT_BODY_ROLE+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	2	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chear	3	trockene Teil-/Fraktionsstufe I, Form I	DRY_PART	MEDIUM_HIGH	V99_WHOLE+DRY_PART_FAMILY+44_BARE+3_MULTIHEAD	CHAR_VS_CHEAR_DISTINCTION_OPEN	HELD_WHOLES_ONLY	2	H1|H4	44	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chl	3	gebundenes Trockenfeld	DRY_BOUND_FIELD	LOW	V99_WHOLE+DRY_FAMILY+3_MULTIHEAD	ACTION_RIVAL+SHORT_FORM_SEGMENTATION	HELD_WHOLES_ONLY	2	H3|H4	28	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
chs	3	trockene Grundform oder Trockenposten	DRY_STATE	MEDIUM	V99_WHOLE+DRY_FAMILY+3_MULTIHEAD	SHORT_FORM_SEGMENTATION	HELD_WHOLES_ONLY	2	H3|H4	13	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
dol	3	Materialmaß oder Materialwert	MATERIAL_MEASURE	MEDIUM	V99_WHOLE+76_BARE+3_MULTIHEAD	UNIT_OPEN+ACTION_VS_FIELD	HELD_WHOLES_ONLY	2	H1|H4	76	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
oar	3	Zubereitungsanteil, Stufe I	PREPARATION_PART	MEDIUM_HIGH	V99_WHOLE+PART_FAMILY+3_MULTIHEAD	PATIENT_OPEN+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	10	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
ochedy	3	Zubereitung aus Trockenresultat, Form I	DRY_PREP_RESULT	HIGH	V99_WHOLE+GDT736_CHEDY_FAMILY+3_MULTIHEAD	COMPOSITION_NOT_EXPORTABLE+LOW_N	HELD_WHOLES_ONLY	2	H1|H4	8	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
od	3	Abmess- oder Entnahmeschritt am Ansatz	MEASURE_PROCESS_WHOLE	MEDIUM_HIGH	V99_W2_EXACT_WHOLE+THREE_INTERNAL_OR_FINAL_FORMS	ACTION_VS_VALUE_FIELD	WHOLE_ONLY	2	H3|H4	8	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
okar	3	erhitzte Zubereitungsfraktion I	HEATED_PREP_PART	HIGH	V99_WHOLE+HEAT_PART_FAMILY+119_BARE+3_MULTIHEAD	STATE_VS_PROCESS	HELD_WHOLES_ONLY	3	H1|H2|H4	119	ZERO	0	0	EXPLORATORY_CANDIDATE_ONLY__NO_FREE_OR_HEADED_COMPONENT_EXPORT
