family	role	surface	occurrences	lines	pages	reader_exact_occurrences	split_normalized_occurrences	v36_meaning_de	v36_source	gdt660_default_de	claim_scope
KCHOR_HOT_DRY_PORTION	VISIBLE_ANCHOR	kor	20	20	20	13	13	heiße Drogenportion	GDT654:NEW_EXACT_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
KCHOR_HOT_DRY_PORTION	VISIBLE_ANCHOR	qotchor	11	11	10	11	11	kalt-trockene Drogenportion	GDT639:ROUND_01	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
KCHOR_HOT_DRY_PORTION	VISIBLE_ANCHOR	qokchor	8	8	7	7	8	OPEN	OPEN	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OPCHAR_POWDER_FRACTION	TARGET	opchar	2	2	2	2	2	OPEN	OPEN	trockene Pulverfraktion I im Ansatz	exact observed surface; structural comparison only; no glyph identity or substring export
OPCHAR_POWDER_FRACTION	VISIBLE_ANCHOR	par	6	6	6	4	4	Pulverfraktion I	V13:SCOPED_RESIDUAL_HEAD_FORM	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OPCHAR_POWDER_FRACTION	VISIBLE_ANCHOR	opal	6	6	5	6	6	Ansatz aus Pulverrohstoff, Form I	GDT652:STRONG_MATERIA_COMPOUND	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OPCHAR_POWDER_FRACTION	VISIBLE_ANCHOR	pchar	4	4	4	2	2	OPEN	OPEN	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OPCHAR_POWDER_FRACTION	VISIBLE_ANCHOR	qopchar	2	2	2	1	1	OPEN	OPEN	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
SOLKCHY_SEED_MATERIAL	TARGET	solkchy	1	1	1	1	1	OPEN	OPEN	Saatgut, heiß-trocken am Gradanfang	exact observed surface; structural comparison only; no glyph identity or substring export
SOLKCHY_SEED_MATERIAL	VISIBLE_ANCHOR	sol	57	57	37	49	51	Samenmaterial/Saatgut	V13:SCOPED_CONCRETE_HEAD_FORM	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
SOLKCHY_SEED_MATERIAL	VISIBLE_ANCHOR	kchy	31	30	26	21	21	heiß und trocken am Anfang des Grades	GDT647:FAMILY_MIGRATION	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
LSHCTHY_WOOD_MOIST_FORM	TARGET	lshcthy	1	1	1	1	1	OPEN	OPEN	feuchtes CTH-Drogenholz	exact observed surface; structural comparison only; no glyph identity or substring export
LSHCTHY_WOOD_MOIST_FORM	VISIBLE_ANCHOR	shcthy	29	29	17	26	26	feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut	V13:MOIST_CTH_MATERIAL	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
LSHCTHY_WOOD_MOIST_FORM	VISIBLE_ANCHOR	lsheey	6	6	5	6	6	eingeweichtes Drogenholz, Form II	GDT648:STRICT_WHOLE_COMPLETION	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OCHEDAR_MEASURED_DRY_FRACTION	TARGET	ochedar	1	1	1	1	1	OPEN	OPEN	trockener Ansatz in der Gradmitte, abgemessene Fraktion I	exact observed surface; structural comparison only; no glyph identity or substring export
OCHEDAR_MEASURED_DRY_FRACTION	VISIBLE_ANCHOR	dar	245	234	110	195	195	abgemessene Fraktion I	GDT649:STRONG_FAMILY_DEFAULT	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OCHEDAR_MEASURED_DRY_FRACTION	VISIBLE_ANCHOR	chedar	31	31	20	16	16	OPEN	OPEN	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
OCHEDAR_MEASURED_DRY_FRACTION	VISIBLE_ANCHOR	odal	14	14	14	11	11	abgemessene Rohstoffmenge I im Ansatz	GDT655:NEW_EXACT_WHOLE	ANCHOR_ONLY	exact observed surface; structural comparison only; no glyph identity or substring export
