occurrence_id	page	locus	ordinal	surface	position	reader_exact	split_normalized	all_present_exact	zl3b_line	it2a_line	rf1b_line	semantic_scope	claim_boundary
G660-T016	f103r	f103r.14	8	s	MEDIAL	1	1	0	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain shekain chedy qokeechy qoky shey lol s aiin chey eekain chcthy qoky	okain shekain che y qokeechy qoky shey lol s aiin chey chkain chcthy qoky	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T017	f103r	f103r.3	3	cheoty	MEDIAL	1	1	0	yshdain sheek cheoty eeokal chedy chckhy or orol okaiin eeal ot kar otar chal	yshdain sheek cheoty chokal chedy chckhy or orol okain chal ot kar ot chym	yshdain eek cheoty chokal che y chckhy or rol okaiin chal ot shkar otar chal	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T018	f103r	f103r.41	9	s	MEDIAL	0	0	0	cheol sheeey qotey oteeal oteedy shet sho keeo s shey qokeedy qokal dal	cheol sheeey qotey oteeal oteedy shetsho keeos shey qokeedy qokal dal	cheol sheeey qotey oteeal oteedy etsho keeosshey qokee y qokal dal	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T019	f103r	f103r.9	13	dy	MEDIAL	0	0	0	oteeos ar cheal okeey shey lkaiin shey lkeor otaiin shedy otey l dy okeedaram	oteeos ar cheal okeey shey lkaiin shey lkeor otain shedy otey l ledy okeedaram	oteeos ar cheal okeey shey lkaiin shey lkear otaiin she y otey l eedy okeedaram	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T020	f103v	f103v.1	5	dy	MEDIAL	1	1	0	pol dar olfchey qoky dy qokeey qokeey daiin okeedaky qoteiir shedy dal	pol dar olfchey qoky dy qokeey qokeey daiin okeedaky qotear shedy dal	poldar olfchey qoky dy qokeey qokeey daiin okeedaky qoteiir shedy dal	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T021	f104r	f104r.13	2	qodain	MEDIAL	1	1	0	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	olcheol qodain chokar okcho lkain okar cheody okeeody qodam chdy	ol cheol qodain chokar okcho lkain okar cheody okeeody qo am chdy	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T022	f104r	f104r.2	7	s	MEDIAL	0	0	0	o ar aiin yteeody cheedaiin cheodar s aiin chey tair os aiin chcthedy teedaram	oar aiin yteeody cheodaiin cheodar saiin chey tair osaiiin chcthedy teedaram	oar aiin yteeody cheedaiin cheo ar s aiin chey tair os aiin chcthedy teedaram	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T023	f104r	f104r.22	8	opchar	MEDIAL	1	1	0	tshedar chllo rl shed kchedy chokor cheedy opchar cheor chckhey taiin dam	tshedar chllo rl shed kchedy chokor cheedy opchar cheor chckhey taiin dam	tshedar chllo rl shed kche y chokor cheed opchar cheor chckhey taiin am	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T024	f104r	f104r.28	11	s	MEDIAL	0	0	0	olcheear chedar or aror sheey olkeechy or char cheeo l s or or aiin atam	olcheear chedar or arorsheey olkeechy or char cheeol sor or aiin otam	olcheear chedar or aror eey olkeechy or char cheeol s or or aiin tam	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T025	f104r	f104r.42	3	cholkar	EOS	1	1	0	y lshedy cholkar	y lshedy cholkar	y ledy cholkar	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T026	f104r	f104r.45	4	s	MEDIAL	1	1	0	daiin olcheeo l s aiin otain ar chedy qokaiin otaiin otaiin	daiin olcheeo l s aiin otain ar chedy qokaiin otaiin otain	daiin olcheeo l s aiin otain ar ched qokaiin otaiin otaiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T027	f104r	f104r.7	5	qodain	MEDIAL	1	1	1	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T028	f104r	f104r.7	8	qodain	MEDIAL	1	1	1	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	dchodees sheos odaiin otchedy qodain shedy chedy qodain okar ar okaim	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T029	f104v	f104v.14	4	s	MEDIAL	1	1	0	ytedy qokeeo lcheolshedy s aiin cheky daindl	ytchedy qokeeo lcheolshedy s aiin cheky daindl	ytchedy qokeeo lcheolshedy s aiin cheky aindl	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T030	f104v	f104v.17	4	s	MEDIAL	0	0	0	ycheechy cheey cheos s otkchedy cholkchy qotchdy qotol sheedy or ain cheol	ycheechy cheey cheos air otkchedy cholkchy qotchdy qotol sheedy orain cheol	ycheechy cheey cheos s otkchedy chol chy qotchdy qotol sheedy or ain cheol	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T031	f104v	f104v.5	4	s	MEDIAL	0	0	0	dcheol chdeey oeeodain s airol chedal	dcheol chdeey oeeodain sairol chedal	dcheol ch eey oeeodain s airol chedal	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T032	f105r	f105r.12	3	dy	MEDIAL	0	0	0	yaiir yteeo dy qoeeody qoeedy kchedy qotchdy otcheey chey teeor ykedy ry	yaiir yteeody qoeeody qoeedy kchedy qotchdy otcheey chey teeor ykedy ry	aiir yteeody qoeeody qoeedy kchedy qotchdy otchee che teeor yke y ry	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T033	f105r	f105r.18	9	cheoty	MEDIAL	1	1	0	sheoy oleedy daiin al chedy okeeey chdaiin otedy cheoty oteedy oteey chdy	sheoy oleedy daiin al chedy okeeey chdaiin otedy cheoty oteedy oteey chdy	sheoy oleedy daiin al chedy okeeey ch aiin otedy cheoty oteedy oteey chdy	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T034	f105r	f105r.20	1	s	BOS	0	0	0	s aiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	saiin chey teol ykair paiir olkaiin olfaiin odar al airody al teedar dam	s aiin chey teol ykair paiir olkaiin olfaiin o ar al airo y al teedar dam	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T035	f105v	f105v.10	11	s	MEDIAL	0	0	0	ykeey ky che oiiin dal kaiin okairo l kair chedy s odar air al oral odam	ykeey ky che oiiin dal kaiin okairo lkair chedy sodar air al oral odam	ykeey ky che oiiin dal kaiin otairo l kair chedy s odar air al oral odaj	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T036	f105v	f105v.30	10	s	MEDIAL	1	1	0	dchedy cheey qokor otaiin otair otair okeedy kaiin aiin s aiin sy	dchedy cheey qokor otaiin otair otair okeedy taiin aiin s aiin sy	dchedy cheey qokor otaiin otair otair okee y taiin aiin s aiin sy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T037	f105v	f105v.36	8	dy	MEDIAL	0	0	0	laiin sheod okeeody qoaiin ytaiin otair chdal dy daim chdaiin oy	laiin sheod okeeody qoaiin ytaiin otair chdal dydaim chdaiin ockhhy	laiin sheod okeeody qoaiin ytaiin otair chdal dydaim chdaiin oy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T038	f106r	f106r.28	3	lcho	MEDIAL	1	1	0	okaiin ol lcho rcheo raiin qokaiin chey chokaiin chear ar ol raralchl	okaiin ol lcho rcheo raiin qokaiin chey chokaiin chear ar ol rarolchl	okaiin ol lcho rche raiin qokaiin chey chokaiin chear ar l raralchl	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T039	f106v	f106v.7	3	dy	MEDIAL	0	0	0	soy shealsho dy chain shol kain shokaiin qotaiin chodar ail dal dar loror	soy sheolshody chain shol kain shokaiin qotaiin chodar ail dal dar loror	soy she lsho dy chain shol kain okaiin qotaiin chodar ail al dar loror	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T040	f107r	f107r.19	8	dy	MEDIAL	1	1	0	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin aldy	oaiin ol rar sheey ylar aiin cholal dy cheeody okeeey cheodaiin al y	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T041	f107v	f107v.49	7	dy	MEDIAL	1	1	0	ycheosaiin oekey chey qokeey y cheey dy qoy	ycheo saiin oekey chey qokeey ycheey dy qoy	ycheosaiin oekey chey qokeey ycheey dy qoy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T042	f108v	f108v.18	13	s	MEDIAL	0	0	0	okeey l keedy okeal okey cheykedy qoeedy lo rair cheey ol l s aiin am	okeey lkeedy okeal okey cheykedy qeeedy lo rair cheey ol lsaiin am	okeey lkeedy okeal okey cheykedy qeeedy lo r air cheey ol ls aiin am	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T043	f10r	f10r.3	10	dy	MEDIAL	1	1	0	qotor o tchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T044	f10r	f10r.3	11	dy	EOS	1	1	0	qotor o tchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	qotor otchy daiin chocthy qotchy chol or yty dy dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T045	f10r	f10r.6	6	dy	MEDIAL	1	1	1	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T046	f10r	f10r.9	6	dy	MEDIAL	1	1	1	oykchor shor chor chy kaiiin dy chodaiin	oykchor shor chor chy kaiiin dy chodaiin	oykchor shor chor chy kaiiin dy chodaiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T047	f10v	f10v.3	7	dy	EOS	1	1	0	dsho ytey kchol ol ty chol dy	dsho ytey kchol olty chol dy	dsho ytey kchol olty chol dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T048	f111r	f111r.25	7	s	MEDIAL	0	0	0	so sheor okeedy oteeey qokeey qokeeo s chedar alal oy oxar aiin odaiin chody	so sheor okeedy oteeey qokeey qokeeos chedar alal oikhy oxar aiin odaiin chody	so shear okee y oteeey qokeey qokeeo s che ar alal oy oxar aiin odaiin chod	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T049	f111r	f111r.33	2	s	MEDIAL	1	1	0	qoeeeo s ain ar ol keey lkair cheda chkal keeodal eees chody qokeedy dl	qoeeeo s oin ar olkeey lkair cheda chkal keeodal eees chody qokeedy dl	qoeeeo s ain ar olkeey lkain cheda chkal keeodal eees eeo y qokee y l	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T050	f111v	f111v.15	15	s	EOS	0	0	0	sar shey l otain qokaiin al kain chedy otal lchedy qokain chtal otain l s	rain sheo l otain qokaiin al kain chedy otal lchedy qokain chtal otain l ls	sar she l otain qokaiin al kain che y otal lche y qokain chtal otain l ls	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T051	f111v	f111v.37	6	dy	MEDIAL	1	1	0	polchey lkarshar ykain qokain shalky dy tor chey keedy lteedy r aldl	polchey lkarshar okain qokain shalkl dy tor chey keedy lteedy raldl	polchey lkar shar kain qokain shalky dy tor chey keedy ltee y r aldl	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T052	f112r	f112r.10	4	qodain	MEDIAL	1	1	0	dair al chedy qodain dam	dair al chedy qodain dam	air al chedy qodain dam	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T053	f112r	f112r.13	10	dy	EOS	0	0	0	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	sor aiin chdy ches qokeey okeey otaiin chcthy oteey dy	sor aiin ch y ches qokeey okeey otaiin chcthy oteey y	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T054	f112r	f112r.32	5	s	MEDIAL	1	1	0	sor ar al ar s alkeeor ol shedy okeechy qoiiin oteey ched alam	sor ar al ar s alkeear alshedy okeechy qoiiin oteey ched al am	sor ar al ar s alkeeor alshe y okeechy qoiiin oteey ched al am	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T055	f112v	f112v.19	1	s	BOS	0	0	0	s arain ain al qoeeey qoteo ar aiiinol chalor	sarain ain al qoeeey qoteo or aiiin ol chalor	sarain ain al qoeeey qoteo ar aiiinol chalor	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T056	f113r	f113r.15	3	s	MEDIAL	1	1	0	chol chs s aiin chaiiin	chol chr s aiin chaiiin	chol chr s aiin chaiiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T057	f113r	f113r.35	3	s	MEDIAL	0	0	0	y sh s sheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchdy qosain	yshs sheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchedy qosain	yshssheeo lkeeos aiin qokeees okchedy qotaiin otar okar ockhy rchedy qosain	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T058	f113r	f113r.43	6	s	MEDIAL	1	1	0	ykcheor sheeod lkar ar al s aiin cheeey ol chedy lchey lkar am chedam	ykcheor cseeod lkar ar al s aiin cheeey ol chedy lchey lkar am chedam	ykcheor eeod lkar ar al s aiin cheeey ol chedy lchey lkar am che am	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T059	f113r	f113r.49	9	lcho	MEDIAL	0	0	0	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lcho r aiin otain al	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lchor aiin otain al	sain cheeey cheo kcheey qokeey lkeeey okeeey lkchey lchoraiin otain al	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T060	f113v	f113v.30	1	ysheey	BOS	0	0	0	ysheey qoeey or aiiin okeeo l otain ar ol okaiiin aiin shody otcham	ysheey qoeey or aiiin okeeol otain ar al okaiiin aiin shody otcham	yeey qoeey or aiiin okeeo l oteiin ar al okaiiin aiin shody otcham	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T061	f113v	f113v.42	3	dy	MEDIAL	1	1	0	pol keeo dy qoeees aiin or aiin oteol fchedy otchey dar otakeol ol	pol keeo dy qoeees aiin oraiin oteol fchedy oteeey dar otakeol ol	pol keeo dy qoeees aiin or aiin oteol fche y oteeey dar otakeol ol	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T062	f113v	f113v.48	12	dy	EOS	1	1	0	y cheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	ycheol cheey qol lsheedy qokaiin chedy kain qokeeedy lkaiin okal dy	y cheol cheey qol lshee y qokaiin che y kain qokeee y lkaiin okal dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T063	f114r	f114r.16	8	cheoty	MEDIAL	1	1	0	cheoal sheedo l kol dair dair chdair cheoty otal cheo dair chekar otol chedy	cheoal sheedo lkol dair dair chdair cheoty otal cheo dair chekor otol chedy	cheoal sheedo l kol dair air chdair cheoty otal cheo dair chek r otol chedy	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T064	f114r	f114r.23	8	s	MEDIAL	1	1	0	or cheo al taiin qokedaiin oeain al s ain ches	orcheo al taiin qokedaiin oeain al s ain ches	or cheo al taiin qokedaiin oeain al s ain ches	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T065	f114v	f114v.13	3	s	MEDIAL	0	0	0	sheedy qoteeo s oiiin chcthain	sheedy qoteeo soiiin chcthain	sheedy qoteeosoiiin chcthain	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T066	f114v	f114v.26	4	s	MEDIAL	0	0	0	pcheodal chopcheod qoto s araiin qota l cheo pchdal qoeedy chcthey	pcheodal cheopcheod qotos araiin qotolcheo pchdal qoeedy chcthey	pcheodal cheopcheod qotos ar aiin qot lcheo pchdal qoeedy chcthey	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T067	f114v	f114v.7	5	s	MEDIAL	1	1	0	ytedshedy otaiin cheedar cheey s aiin chedky chedaiin shod chokchedy	ytedshedy otaiin cheedar cheey s aiin chedky chedaiiin shod chokchedy	ytedshe otaiin chee ar cheey s aiin che ky che aiin shod cho kchedy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T068	f115r	f115r.23	6	s	MEDIAL	0	0	0	dchey keey qokeod chody qokcho s checthy qokeeey keeey lol chedy qokchedy ldy	dchey keey qokeod chody qokchor checkhy qokeeey keeey lol chedy qokchedy ldy	dchey keey qokeod chody qokcho s checkhy qokeeey keeey lol che y qokchedy ldy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T069	f115r	f115r.26	4	s	MEDIAL	0	0	0	ksheoary otchey qoteeo s ar aiiin chotchdy qodair sheol pchedy dal dalom	ksheoary otchey qoteeos ar aiiin chotchdy qodair sheol pchedy dal dalom	sheoary otchey qoteeo s ar aiiin chotch y qodair sheol pchedy dal dalom	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T070	f115r	f115r.35	12	dy	EOS	1	1	0	posheos aral chaiin shkchedy otais chsi chpchar ar al odaiin chcphy dy	posheos aral chaiin shkchedy otais chs chpchar ar al odaiin chcfhy dy	posheos aral chaiin shkchedy otais chsi chpchar ar al daiin chcphy dy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T071	f115r	f115r.36	5	qodain	MEDIAL	1	1	0	daiin cheey qoek chody qodain sheey dar oranol	dain cheey qoek chody qodain sheey dar oranol	daiin cheey qoek chody qodain sheey dar oran l	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T072	f115r	f115r.39	4	qodain	MEDIAL	1	1	0	y chey keey qodain cheody qokor	ychey keey qodain cheody qokor	ychey keey qodain cheody qok r	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T073	f115r	f115r.4	6	kchor	MEDIAL	1	1	0	dchedain qokeedy olkeechdy chor chey kchor orchedar otar sheod qoteedy dardyr	dchedain qokeedy olkeechdy chor chey kchor orchedar otar sheod qoteedy dardyr	dchedain qokeedy olkeech y chor chey kchor orche ar otar sheod qoteedy dardyr	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T074	f115r	f115r.5	5	qodain	MEDIAL	1	1	0	ycheedy chedar olkees sheed qodain qoteedy qokedy qokeed lchedar qotchedy ro	ycheedy chedar olkees sheed qodain qoteedy qokedy qokeed lchedar qotchedy ro	ycheedy chedar olkees sheed qodain qoteedy qoked qokeed lchedar qotche y ro	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T075	f115v	f115v.17	4	lcho	MEDIAL	1	1	0	okai chey keey lcho racthy	okain chey keey lcho raithy	okain chey keey lcho r ay	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T076	f115v	f115v.20	1	ysheey	BOS	1	1	1	ysheey qoteey lkeey raiin cheo lor otal otchedy	ysheey qoteey lkeey raiin cheo lor otal otchedy	ysheey qoteey lkeey raiin cheo lor otal otchedy	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T077	f115v	f115v.28	3	lcho	MEDIAL	1	1	0	y chey lcho lor chedy chol chedy chdy	ychey lcho lor chedy chol chedy chdy	ychey lcho l or chedy chol chedy chdy	EXACT_WHOLE	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T078	f115v	f115v.40	4	s	MEDIAL	0	0	0	ycheeol kaiin shedain s cho r okas cheos qokchy	ycheealkaiin shedain or chor okas cheos qokchy	ycheeol kaiin shedain r chor okas cheos qokeey	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T079	f116r	f116r.14	6	s	MEDIAL	1	1	0	sain cheychear ain chl l s oleedy	sain chey chear ain chll s oleedy	sain chey chear ain chll s oleedy	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T080	f116r	f116r.44	1	s	BOS	0	0	0	s okeedy qokain shckhy ol lcheor chky raiin chey qol okam	syokeedy qokain shckhy ol lcheor chky raiin chey qol okam	sq oteedy qokain shckhy ol lcheor chky raiin chey qol kam	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
G660-T081	f11r	f11r.4	4	dy	MEDIAL	1	1	1	dchol chy kchy dy daiin	dchol chy kchy dy daiin	dchol chy kchy dy daiin	CONTEXT_SCOPED	reader agreement conditions confidence only; it does not identify glyphs or plaintext
