unified_serial	section	page	unit_id	local_statement_or_locus	local_event_id	surface_display_only	reader_layer	portable_or_local_value_de	silent_owner_or_namespace	complete_local_instruction_de	section_role	handoff_status	exact_source_binding
18	HERBAL	f10r	H2	H2-S001	E018	cthaiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	bereit · Maß	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
19	HERBAL	f10r	H2	H2-S001	E019	qoctholy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Gang · bereit · fort · dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
20	HERBAL	f10r	H2	H2-S001	E020	dy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
21	HERBAL	f10r	H2	H2-S001	E021	chy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
22	HERBAL	f10r	H2	H2-S001	E022	taiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Maß	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
23	HERBAL	f10r	H2	H2-S001	E023	shy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: bereit · dies | Ansatz | bereit · Maß | Gang · bereit · fort · dies | dies | dies | Maß | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
24	HERBAL	f10r	H2	H2-S002	E024	qotchor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	danach · ziehe ab · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
25	HERBAL	f10r	H2	H2-S002	E025	chor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
26	HERBAL	f10r	H2	H2-S002	E026	otol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	danach · fort	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
27	HERBAL	f10r	H2	H2-S002	E027	chol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	fort	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
28	HERBAL	f10r	H2	H2-S002	E028	cholor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	fort · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
29	HERBAL	f10r	H2	H2-S002	E029	chol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	fort	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
30	HERBAL	f10r	H2	H2-S002	E030	daiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Maß	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
31	HERBAL	f10r	H2	H2-S002	E031	dar	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	davon	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: abziehen. Angaben: Ansatz | danach · fort | fort | fort · Ansatz | fort | Maß | davon.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
32	HERBAL	f10r	H2	H2-S003	E032	oykchor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Gang · dies · gib zu · Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
33	HERBAL	f10r	H2	H2-S003	E033	shor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
34	HERBAL	f10r	H2	H2-S003	E034	chor	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Ansatz	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
35	HERBAL	f10r	H2	H2-S003	E035	chy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
36	HERBAL	f10r	H2	H2-S003	E036	kaiiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	gib zu · Grad	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
37	HERBAL	f10r	H2	H2-S003	E037	dy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
38	HERBAL	f10r	H2	H2-S003	E038	chodaiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	ziehe ab · Gang · Maß	abgebildete breit gezähnte radialblütige Pflanze	Bildbesitzer: abgebildete breit gezähnte radialblütige Pflanze. Folge: zugeben → zugeben → abziehen. Angaben: Ansatz | Ansatz | dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
39	HERBAL	f11r	H3	H3-S001	E039	tshol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	trage ein · halte · fort	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
40	HERBAL	f11r	H3	H3-S001	E040	schoal	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	halte · Gang · dorthin	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
41	HERBAL	f11r	H3	H3-S001	E041	cfhy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	wringe aus · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
42	HERBAL	f11r	H3	H3-S001	E042	shfydaiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	halte · dies · Maß	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
43	HERBAL	f11r	H3	H3-S001	E043	cphy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	gib hinein · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
44	HERBAL	f11r	H3	H3-S001	E044	shey	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	halte · länger · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
45	HERBAL	f11r	H3	H3-S001	E045	tchody	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	trage ein · ziehe ab · Gang · schließe	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: eintragen + halten → an Ort halten → auswringen → ziehen lassen → hineingeben → ziehen lassen → abschließend eintragen + abziehen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
46	HERBAL	f11r	H3	H3-S002	E046	shoyty	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	halte · Gang · dies · trage ein · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: halten + eintragen.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
47	HERBAL	f11r	H3	H3-S003	E047	dchol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	fort	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
48	HERBAL	f11r	H3	H3-S003	E048	chy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
49	HERBAL	f11r	H3	H3-S003	E049	kchy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	gib zu · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
50	HERBAL	f11r	H3	H3-S003	E050	dy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
51	HERBAL	f11r	H3	H3-S003	E051	daiin	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	Maß	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: zugeben. Angaben: fort | dies | dies | Maß.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
52	HERBAL	f11r	H3	H3-S004	E052	qotchy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	danach · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
53	HERBAL	f11r	H3	H3-S004	E053	okchol	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	setze an · fort	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
54	HERBAL	f11r	H3	H3-S004	E054	cthy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	bereit · dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
55	HERBAL	f11r	H3	H3-S004	E055	dy	SHARED_COMPOSITIONAL_PROSE_GRAMMAR	dies	abgebildete dicht blau blühende Kronenpflanze	Bildbesitzer: abgebildete dicht blau blühende Kronenpflanze. Folge: weiter beschicken. Angaben: danach · dies | bereit · dies | dies.	WHAT_MATERIAL_AND_PREPARATION	WORKSHOP_MEMORY_ONLY__NO_WRITTEN_CROSS_POINTER	PASS587_EVENT_INDEX
