visible_surface	master_card_id	master_form	card_value_de	teaching_layer	syntactic_type
dchedy	MC025	dchedy	überführen; Schluss	SHARED_DECK	TERMINAL_ACTION
schedy	MC025	dchedy	überführen; Schluss	SHARED_DECK	TERMINAL_ACTION
tchedy	MC025	dchedy	überführen; Schluss	SHARED_DECK	TERMINAL_ACTION
choky	MC026	choky	einsetzen	SHARED_DECK	ACTION
oky	MC026	choky	einsetzen	SHARED_DECK	ACTION
qoky	MC026	choky	einsetzen	SHARED_DECK	ACTION
oykchor	MC027	oykchor	Arbeitsansatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
olchedy	MC028	olchedy	weiterführen; Schluss	SHARED_DECK	TERMINAL_ACTION
qolchedy	MC028	olchedy	weiterführen; Schluss	SHARED_DECK	TERMINAL_ACTION
lar	MC029	lar	Quellabzug	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
lo	MC030	lo	Abzug	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
dalchdy	MC031	dalchdy	Zieltransfer; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
cheeky	MC032	cheeky	länger bearbeiten	SHARED_DECK	DURATIVE_ACTION
oiiin	MC033	oiiin	Arbeitsstufe	SHARED_DECK	STAGE_OBJECT
soiiin	MC033	oiiin	Arbeitsstufe	SHARED_DECK	STAGE_OBJECT
cho	MC034	cho	weitere Zutat	SHARED_DECK	OBJECT
sho	MC034	cho	weitere Zutat	SHARED_DECK	OBJECT
chckhy	MC035	chckhy	durchleiten	SHARED_DECK	ACTION
shckhy	MC035	chckhy	durchleiten	SHARED_DECK	ACTION
solkaiin	MC036	solkaiin	Sollsammlung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
tchody	MC037	tchody	Endzugabe; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
lshedy	MC038	lshedy	Waschgang; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
aiin	MC039	aiin	Sollmaß	SHARED_DECK	QUANTITY
chaiin	MC039	aiin	Sollmaß	SHARED_DECK	QUANTITY
daiin	MC039	aiin	Sollmaß	SHARED_DECK	QUANTITY
saiin	MC039	aiin	Sollmaß	SHARED_DECK	QUANTITY
taiin	MC039	aiin	Sollmaß	SHARED_DECK	QUANTITY
okal	MC040	okal	dorthin einsetzen	SHARED_DECK	TARGET_ACTION
qokal	MC040	okal	dorthin einsetzen	SHARED_DECK	TARGET_ACTION
okchol	MC041	okchol	Weiterverarbeitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
cheedar	MC042	cheedar	Quelltransfer	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
shecthedchy	MC043	shecthedchy	Vorbereitungstransfer	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
qokar	MC044	qokar	Quelleinsatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
olkeedy	MC045	olkeedy	lange sammeln; Schluss	SHARED_DECK	TERMINAL_ACTION
solkeedy	MC045	olkeedy	lange sammeln; Schluss	SHARED_DECK	TERMINAL_ACTION
raly	MC046	raly	Endposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
ykain	MC047	ykain	erste Portion	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
kaiiin	MC048	kaiiin	Arbeitsstufe	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
schoal	MC049	schoal	Sudansatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
solkey	MC050	solkey	Kurzsammlung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
lchedal	MC051	lchedal	Zielabführung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
qekey	MC052	qekey	Kurzbearbeitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
otol	MC053	otol	Fortgang	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
qokaly	MC054	qokaly	Zieleinsatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
char	MC055	char	davon	SHARED_DECK	SOURCE_ANAPHOR
dar	MC055	char	davon	SHARED_DECK	SOURCE_ANAPHOR
sar	MC055	char	davon	SHARED_DECK	SOURCE_ANAPHOR
ral	MC056	ral	Zielmarke	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
otchedy	MC057	otchedy	Folgetransfer; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
qotchedy	MC057	otchedy	Folgetransfer; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
sheckhal	MC058	sheckhal	Kurze Zielpassage	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
dain	MC059	dain	Einlage	SHARED_DECK	INSERT_OBJECT
otaiin	MC060	otaiin	Folgemaß	SHARED_DECK	ORDERED_QUANTITY
sotaiin	MC060	otaiin	Folgemaß	SHARED_DECK	ORDERED_QUANTITY
sshkchdy	MC061	sshkchdy	Haltetransfer; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
shoyty	MC062	shoyty	Zugabeteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
oteey	MC063	oteey	Langfolge	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chedchy	MC064	chedchy	Postentransfer	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
ls	MC065	ls	Auslass	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
lcheey	MC066	lcheey	Klarabzug	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
otchdy	MC067	otchdy	Nachtransfer; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
sotodan	MC068	sotodan	Folgeanwendung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_APPLICATION_ACTION
otytchol	MC069	otytchol	Folgeteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
pchedy	MC070	pchedy	Zuführung; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
dchey	MC071	dchey	Grundteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
orain	MC072	orain	Bereitungsanteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
qcthey	MC073	qcthey	kurz vorbereiten	SHARED_DECK	SHORT_PREPARATION_ACTION
shcthey	MC073	qcthey	kurz vorbereiten	SHARED_DECK	SHORT_PREPARATION_ACTION
chdy	MC074	chdy	überführen	SHARED_DECK	ACTION
chedy	MC074	chdy	überführen	SHARED_DECK	ACTION
ycheor	MC075	ycheor	Auszugsansatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
dsheol	MC076	dsheol	Kurzhalt	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
kchal	MC077	kchal	Zielbearbeitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
olsaly	MC078	olsaly	Zwischenziel	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
daldy	MC079	daldy	Zielschluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
chor	MC080	chor	Ansatz	SHARED_DECK	OBJECT
or	MC080	chor	Ansatz	SHARED_DECK	OBJECT
shor	MC080	chor	Ansatz	SHARED_DECK	OBJECT
sor	MC080	chor	Ansatz	SHARED_DECK	OBJECT
okair	MC081	okair	Laufeinsatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
qokeedy	MC082	qokeedy	lange einwirken; Schluss	SHARED_DECK	TERMINAL_ACTION
qokedy	MC083	qokedy	kurz einwirken; Schluss	SHARED_DECK	TERMINAL_ACTION
rshedy	MC084	rshedy	Waschschluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
cheoar	MC085	cheoar	Quellauszug	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
chety	MC086	chety	Anteil	SHARED_DECK	QUANTITY_OBJECT
chty	MC086	chety	Anteil	SHARED_DECK	QUANTITY_OBJECT
chodaiin	MC087	chodaiin	Zugabemaß	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
qokchdy	MC088	qokchdy	einführen; Schluss	SHARED_DECK	TERMINAL_ACTION
skar	MC089	skar	Quellausguss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
kchol	MC090	kchol	Weiterverarbeitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
dairydy	MC091	dairydy	Laufschluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
lol	MC092	lol	Weiterabzug	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
otal	MC093	otal	danach dorthin	SHARED_DECK	TARGET_ANAPHOR
qotal	MC093	otal	danach dorthin	SHARED_DECK	TARGET_ANAPHOR
cheeety	MC094	cheeety	Vollteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
sheey	MC095	sheey	Langhalt	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
qokeedal	MC096	qokeedal	Langer Zieleinsatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
olkain	MC097	olkain	weiterer Anteil	SHARED_DECK	CONTINUED_QUANTITY_OBJECT
qolkain	MC097	olkain	weiterer Anteil	SHARED_DECK	CONTINUED_QUANTITY_OBJECT
tshol	MC098	tshol	Kochgut	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
cheeckhody	MC099	cheeckhody	Langpassage; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
ody	MC100	ody	Abkühlen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
ldalor	MC101	ldalor	Endziel	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
rsheal	MC102	rsheal	Kurzhalt am Ziel	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chokchy	MC103	chokchy	weiterbearbeiten	SHARED_DECK	ACTION
okchy	MC103	chokchy	weiterbearbeiten	SHARED_DECK	ACTION
qokchy	MC103	chokchy	weiterbearbeiten	SHARED_DECK	ACTION
keol	MC104	keol	Kurzfortsetzung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chkain	MC105	chkain	Anteil	SHARED_DECK	QUANTITY_OBJECT
kain	MC105	chkain	Anteil	SHARED_DECK	QUANTITY_OBJECT
teol	MC106	teol	Kurzfortsetzung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
qotchy	MC107	qotchy	Folgeposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
etyd	MC108	etyd	Kurzteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
ytey	MC109	ytey	Kurzteil	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chkeedy	MC110	chkeedy	Langwärmen; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
shfydaiin	MC111	shfydaiin	Stehzeit	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
octheol	MC112	octheol	Fortsetzung vorbereiten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
shedal	MC113	shedal	am Ziel absetzen	SHARED_DECK	TARGET_STATE_ACTION
sh	MC114	sh	Halten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
qoctholy	MC115	qoctholy	Folgeposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
schedair	MC116	schedair	Weiterlauf	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
kchy	MC117	kchy	Bearbeiten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_LOCAL_ACTION
ly	MC118	ly	Abführposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
cheey	MC119	cheey	Klarauszug	SHARED_DECK	PRODUCT_OBJECT
shey	MC119	cheey	Klarauszug	SHARED_DECK	PRODUCT_OBJECT
okaiin	MC120	okaiin	bemessen	SHARED_DECK	QUANTITY_ACTION
qokaiin	MC120	okaiin	bemessen	SHARED_DECK	QUANTITY_ACTION
otar	MC121	otar	Folgequelle	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
kchey	MC122	kchey	Kurzbearbeitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chey	MC123	chey	dies	SHARED_DECK	ITEM_ANAPHOR
chy	MC123	chey	dies	SHARED_DECK	ITEM_ANAPHOR
dy	MC123	chey	dies	SHARED_DECK	ITEM_ANAPHOR
shy	MC123	chey	dies	SHARED_DECK	ITEM_ANAPHOR
sy	MC123	chey	dies	SHARED_DECK	ITEM_ANAPHOR
y	MC123	chey	dies	SHARED_DECK	ITEM_ANAPHOR
lkedy	MC124	lkedy	Kurzabzug; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chochor	MC125	chochor	Zugabeansatz	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
pchedal	MC126	pchedal	Zielzuführung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
lched	MC127	lched	Abführung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
cheedy	MC128	cheedy	kurz absetzen; Schluss	SHARED_DECK	TERMINAL_ACTION
shedy	MC128	cheedy	kurz absetzen; Schluss	SHARED_DECK	TERMINAL_ACTION
tedy	MC128	cheedy	kurz absetzen; Schluss	SHARED_DECK	TERMINAL_ACTION
cfhy	MC129	cfhy	Auswringen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
lsho	MC130	lsho	Waschgang	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
choy	MC131	choy	Zugabeposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
sheckhy	MC132	sheckhy	Kurzpassage	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
lcheckhedy	MC133	lcheckhedy	Trennabzug; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
qolky	MC134	qolky	Weitergang	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
otedy	MC135	otedy	Kurzfolge; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
kchoar	MC136	kchoar	Quellauszug	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
shecthy	MC137	shecthy	Kurzvorbereitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
dshedy	MC138	dshedy	Kurzabsetzen; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
dchdy	MC139	dchdy	Transfer; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
qokeeedy	MC140	qokeeedy	Volleinsatz; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
tshey	MC141	tshey	Klarlauf	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
dchol	MC142	dchol	vom vorigen	SHARED_DECK	SOURCE_ANAPHOR
schol	MC142	dchol	vom vorigen	SHARED_DECK	SOURCE_ANAPHOR
shckhedy	MC143	shckhedy	durchlassen; Schluss	SHARED_DECK	TERMINAL_ACTION
chldaiin	MC144	chldaiin	Sollabsetzung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
chedain	MC145	chedain	Anteilstransfer	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
chealror	MC146	chealror	Zielbereitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
cheky	MC147	cheky	kurz wärmen	SHARED_DECK	ACTION
ykan	MC148	ykan	zweite Portion	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
solshedy	MC149	solshedy	Folgeabsetzen; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
okeeol	MC150	okeeol	Langfortsetzung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
qokshedy	MC151	qokshedy	Einsatzabsetzen; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
ches	MC152	ches	Teilen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_LOCAL_ACTION
cheol	MC153	cheol	weiter	SHARED_DECK	CONTINUATION_LINK
chol	MC153	cheol	weiter	SHARED_DECK	CONTINUATION_LINK
ol	MC153	cheol	weiter	SHARED_DECK	CONTINUATION_LINK
qol	MC153	cheol	weiter	SHARED_DECK	CONTINUATION_LINK
sol	MC153	cheol	weiter	SHARED_DECK	CONTINUATION_LINK
tol	MC153	cheol	weiter	SHARED_DECK	CONTINUATION_LINK
al	MC154	al	dorthin	SHARED_DECK	TARGET_ANAPHOR
chal	MC154	al	dorthin	SHARED_DECK	TARGET_ANAPHOR
cheal	MC154	al	dorthin	SHARED_DECK	TARGET_ANAPHOR
dal	MC154	al	dorthin	SHARED_DECK	TARGET_ANAPHOR
sal	MC154	al	dorthin	SHARED_DECK	TARGET_ANAPHOR
tal	MC154	al	dorthin	SHARED_DECK	TARGET_ANAPHOR
lchedy	MC155	lchedy	abführen; Schluss	SHARED_DECK	TERMINAL_ACTION
cphy	MC156	cphy	Nachseihen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
cholor	MC157	cholor	derselbe Ansatz	SHARED_DECK	CARRIED_PREPARATION
olor	MC157	cholor	derselbe Ansatz	SHARED_DECK	CARRIED_PREPARATION
cthoor	MC158	cthoor	Vorbereitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
os	MC159	os	Aufnahmegefäß	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_OBJECT
talam	MC160	talam	Verwahrort	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
checthy	MC161	checthy	bereit	SHARED_DECK	STATE
cthy	MC161	checthy	bereit	SHARED_DECK	STATE
shcthy	MC161	checthy	bereit	SHARED_DECK	STATE
qolchey	MC162	qolchey	Weiterposten	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
qotchol	MC163	qotchol	Weitergang	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_ORDER_OR_LINK
qokylddy	MC164	qokylddy	Festsetzen; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_APPLICATION_ACTION
qockhey	MC165	qockhey	Kurzdurchgang	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
chkeey	MC166	chkeey	Langwärmen	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
lochedy	MC167	lochedy	Abführung; Schluss	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_TRANSFER_OR_ADDRESS
lcheckhy	MC168	lcheckhy	Abführpassage	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_PATH
cthaiin	MC169	cthaiin	Sollvorbereitung	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_PROCESS_OR_STATE
ykaiin	MC170	ykaiin	Sollportion	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
otchey	MC171	otchey	das nächste	SHARED_DECK	ORDER_ANAPHOR
daiiin	MC172	daiiin	Endstufe	ATOMIC_LOCAL_NOMENCLATOR	LEARNED_QUANTITY_OR_STAGE
qoteedy	MC173	qoteedy	lange Folgestufe; Schluss	SHARED_DECK	TERMINAL_ORDERED_STATE
