final_recipe	master_card_id	canonical_form	canonical_value_de	event_support	choice_context	writer_rule
E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=LONG_WARMING]	MC166	chkeey	Langwärmen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y+CKH[GRADE=E_SHORT]	MC132	sheckhy	Kurzpassage	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y+CTH[GRADE=E_SHORT][SUBTYPE=LOCAL_CTH_ALLOGRAPH][OWNER=UNPICTURED_TRANSITION_ZONE]	MC137	shecthy	Kurzvorbereitung	1	OWNER=UNPICTURED_TRANSITION_ZONE	WRITE_FULL_CARRIER_CARD
E_GRADE+Y+SOLK	MC020	solkeey	Langsammlung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
E_GRADE+Y+SOLK[GRADE=E_SHORT]	MC050	solkey	Kurzsammlung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
IIN+K_BINDER	MC048	kaiiin	die Arbeitsstufe setzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
IIN[SUBTYPE=END_STAGE]	MC172	daiiin	Endstufe	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
K_BINDER[SUBTYPE=CONTINUATION_BINDER]	MC090	kchol	weiter bearbeiten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
K_BINDER[SUBTYPE=SHORT_CONTINUATION_BINDER]	MC104	keol	kurz weiterbearbeiten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
K_BINDER[SUBTYPE=SOURCE_EXTRACT_BINDER]	MC136	kchoar	bearbeiteter Quellauszug	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
K_BINDER[SUBTYPE=TARGET_BINDER]	MC077	kchal	an der Zielstelle bearbeiten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+CHED_TRANSFER	MC127	lched	Abführung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+CKHE[LICENSED_CLOSE=YES]	MC133	lcheckhedy	Trennabzug; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+DY+CHED_TRANSFER+O_WITHDRAW	MC167	lochedy	Abführung; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+O_WITHDRAW	MC030	lo	Abzug	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+Y	MC008	lchy	Abführgut	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L+Y+CKH	MC168	lcheckhy	Abführpassage	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
LSH	MC130	lsho	Waschgang	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L[SUBTYPE=CLEAR_WITHDRAWAL]	MC066	lcheey	Klarabzug	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
L[SUBTYPE=OUTLET]	MC065	ls	Auslass	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK	MC041	okchol	die Fortsetzung einsetzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AIR	MC081	okair	Laufeinsatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AL+E_GRADE	MC096	qokeedal	Langer Zieleinsatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AL+Y	MC054	qokaly	Zieleinsatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+AR	MC044	qokar	Quelleinsatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+CHEO	MC006	chokcheo	Auszug einsetzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+DY+SHED	MC151	qokshedy	Einsatzabsetzen; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+E_GRADE+DY[GRADE=EEE_FULL]	MC140	qokeeedy	Volleinsatz; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+E_GRADE+Y+CKH[GRADE=E_SHORT]	MC165	qockhey	Kurzdurchgang	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+OL	MC024	qokol	Weiter einsetzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+OL+E_GRADE[GRADE=EE_LONG]	MC150	okeeol	Langfortsetzung	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OK+Y[REPEAT=YES]	MC015	qokokchy	denselben Posten erneut einsetzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+CTH	MC112	octheol	Fortsetzung vorbereiten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+DY+SHED	MC149	solshedy	Folgeabsetzen; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+E_GRADE[GRADE=E_SHORT][SUBTYPE=SHORT_CONTINUATION]	MC106	teol	kurz weiterführen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+E_GRADE[GRADE=E_SHORT][SUBTYPE=SHORT_HOLD]	MC076	dsheol	Kurzhalt	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+L	MC092	lol	Weiterabzug	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+OT+Y	MC115	qoctholy	danach mit diesem Posten weiter	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+OT[SUBTYPE=CONTINUE_SAME_PROCESS]	MC053	otol	danach im selben Gang weiter	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+OT[SUBTYPE=SWITCH_TO_FOLLOWING_PROCESS]	MC163	qotchol	zum Folgegang wechseln	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+Y	MC162	qolchey	Weiterposten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL+Y+TCH_PREPARATION	MC021	oltchy	die laufende Bereitung fortsetzen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL[SUBTYPE=CONNECTION_CONTINUATION]	MC016	rol	Anschluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OL[SUBTYPE=PATH_CONTINUATION]	MC134	qolky	Weiterweg	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OR+CHEO	MC075	ycheor	aktueller Auszugsansatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OR+CHO_INPUT	MC125	chochor	Zugabeansatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OR+CTH	MC158	cthoor	den Ansatz bereitstellen	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OR+OYK_VESSEL	MC027	oykchor	Gefäß für den Ansatz	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OS_RECEIVER	MC159	os	AUFNAHMEFELD_ODER_UMSCHLUSS	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+AIIN+E_GRADE[GRADE=E_SHORT]	MC018	qotedaiin	Kurzsoll	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+AR	MC121	otar	Folgequelle	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+DY+CHED_TRANSFER[SUBTYPE=LOCAL_OT_TRANSFER_ALLOGRAPH][DOCUMENT=COMPACT_TECHNICAL_ADDENDUM]	MC067	otchdy	Nachtransfer; Schluss	1	DOCUMENT=COMPACT_TECHNICAL_ADDENDUM	WRITE_SHORT_CHD_FORM
OT+YTY_PART	MC069	otytchol	Folgeteil	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
OT+Y[SUBTYPE=SWITCH_TO_NEXT_PROCESS]	MC107	qotchy	zum nächsten Posten wechseln	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
P+CHED_TRANSFER[LICENSED_CLOSE=YES]	MC070	pchedy	Zuführung; Schluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CHED_TRANSFER+CTH	MC043	shecthedchy	Vorbereitungstransfer	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CHED_TRANSFER[SUBTYPE=EXPANDED_TRANSFER_FORM]	MC064	chedchy	Postentransfer	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CHO_INPUT[SUBTYPE=CURRENT_INPUT]	MC131	choy	aktuelle Zutat	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+CHO_INPUT[SUBTYPE=CURRENT_INPUT_AT_TARGET]	MC010	chodaly	Zugabe am aktuellen Ziel	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+DY+AIR	MC091	dairydy	Laufschluss	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+K_BINDER[SUBTYPE=PROCESS_CURRENT_ITEM]	MC117	kchy	den laufenden Posten bearbeiten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
Y+K_BINDER[SUBTYPE=SHORT_PROCESS_CURRENT_ITEM]	MC122	kchey	den laufenden Posten kurz bearbeiten	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
YTY_PART	MC062	shoyty	Zugabeteil	1	SEMANTIC_RECIPE_ONLY	WRITE_REGISTERED_CANONICAL_CARD
