pseudo_pair_id	target_pair_id	deck_half	positive_target_surface	negative_target_surface	positive_control_rank	negative_control_rank_requested	negative_control_rank_used	collision_advances	positive_control_surface	negative_control_surface	positive_individual_covariate_distance	negative_individual_covariate_distance	pool_variant	membership_universe	line_mask	added_feature_quarantine	view_id	semantic_credit	surface_pair_key	surface_pair_multiplicity	surface_pair_duplicate_ordinal	surface_pair_first_id	unique_surface_pair_first_occurrence	positive_gdt800_l_occurrences	negative_gdt800_l_occurrences	positive_guarded_all_token_occurrences	negative_guarded_all_token_occurrences	positive_guarded_parity	negative_guarded_parity
G807-P01-K11	G807-P01	ALIGNED_RANK	cheol	otal	11	11	12	1	okeol	chol	2.63858014658	2.58460534332	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okeol|chol	okeol|chol	STABLE_PAIRED	0	okeol::chol	2	1	G807-P01-K11	1	44	343	44	343	1	1
G807-P01-K12	G807-P01	ALIGNED_RANK	cheol	otal	12	12	12	0	cthol	chol	2.77986732601	2.58460534332	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|cthol|chol	cthol|chol	STABLE_PAIRED	0	cthol::chol	1	1	G807-P01-K12	1	51	343	51	343	1	1
G807-P01-K13	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	1	2	2	0	shol	sheol	0.865104201592	1.02215214745	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|shol|sheol	shol|sheol	STABLE_PAIRED	0	shol::sheol	1	1	G807-P01-K13	1	163	90	163	90	1	1
G807-P01-K14	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	2	3	4	1	al	dol	1.02924636852	1.09019229174	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|al|dol	al|dol	STABLE_PAIRED	0	al::dol	1	1	G807-P01-K14	1	204	76	204	76	1	1
G807-P01-K15	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	3	4	4	0	sheol	dol	1.05835932921	1.09019229174	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sheol|dol	sheol|dol	STABLE_PAIRED	0	sheol::dol	1	1	G807-P01-K15	1	90	76	90	76	1	1
G807-P01-K16	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	4	5	5	0	qokal	dal	1.11601819864	1.42128082004	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qokal|dal	qokal|dal	STABLE_PAIRED	0	qokal::dal	1	1	G807-P01-K16	1	180	191	180	191	1	1
G807-P01-K17	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	5	6	6	0	dal	shol	1.11769441857	1.51610756652	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dal|shol	dal|shol	STABLE_PAIRED	0	dal::shol	2	2	G807-P01-K05	0	191	163	191	163	1	1
G807-P01-K18	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	6	7	7	0	dol	okol	1.47888722421	1.80385600524	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dol|okol	dol|okol	STABLE_PAIRED	0	dol::okol	1	1	G807-P01-K18	1	76	53	76	53	1	1
G807-P01-K19	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	7	8	8	0	chol	sol	2.02760704163	2.12307379771	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|chol|sol	chol|sol	STABLE_PAIRED	0	chol::sol	1	1	G807-P01-K19	1	343	57	343	57	1	1
G807-P01-K20	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	8	9	9	0	okol	qotol	2.11955386891	2.22161679918	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okol|qotol	okol|qotol	STABLE_PAIRED	0	okol::qotol	1	1	G807-P01-K20	1	53	43	53	43	1	1
G807-P01-K21	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	9	10	10	0	sol	cthol	2.12771829756	2.35814969595	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sol|cthol	sol|cthol	STABLE_PAIRED	0	sol::cthol	1	1	G807-P01-K21	1	57	51	57	51	1	1
G807-P01-K22	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	10	11	11	0	qotol	okeol	2.431118131	2.47950880422	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qotol|okeol	qotol|okeol	STABLE_PAIRED	0	qotol::okeol	1	1	G807-P01-K22	1	43	44	43	44	1	1
G807-P01-K23	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	11	12	12	0	okeol	chol	2.63858014658	2.58460534332	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okeol|chol	okeol|chol	STABLE_PAIRED	0	okeol::chol	2	2	G807-P01-K11	0	44	343	44	343	1	1
G807-P01-K24	G807-P01	NEXT_CYCLIC_NEGATIVE_RANK	cheol	otal	12	1	1	0	cthol	qokal	2.77986732601	0.981155263191	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|cthol|qokal	cthol|qokal	STABLE_PAIRED	0	cthol::qokal	1	1	G807-P01-K24	1	51	180	51	180	1	1
G807-P02-K01	G807-P02	ALIGNED_RANK	qokol	qotal	1	1	1	0	sheol	sol	0.451119816604	0.6757910541	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sheol|sol	sheol|sol	STABLE_PAIRED	0	sheol::sol	1	1	G807-P02-K01	1	90	57	90	57	1	1
G807-P02-K02	G807-P02	ALIGNED_RANK	qokol	qotal	2	2	2	0	dol	okol	0.707977608264	1.00754532702	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dol|okol	dol|okol	STABLE_PAIRED	0	dol::okol	1	1	G807-P02-K02	1	76	53	76	53	1	1
G807-P02-K03	G807-P02	ALIGNED_RANK	qokol	qotal	3	3	3	0	okol	qotol	1.12424700666	1.05097435016	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okol|qotol	okol|qotol	STABLE_PAIRED	0	okol::qotol	1	1	G807-P02-K03	1	53	43	53	43	1	1
G807-P02-K04	G807-P02	ALIGNED_RANK	qokol	qotal	4	4	4	0	sol	sal	1.32299126892	1.1174035423	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sol|sal	sol|sal	STABLE_PAIRED	0	sol::sal	1	1	G807-P02-K04	1	57	37	57	37	1	1
G807-P02-K05	G807-P02	ALIGNED_RANK	qokol	qotal	5	5	5	0	qokal	okeol	1.37352588576	1.27127494165	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qokal|okeol	qokal|okeol	STABLE_PAIRED	0	qokal::okeol	1	1	G807-P02-K05	1	180	44	180	44	1	1
G807-P02-K06	G807-P02	ALIGNED_RANK	qokol	qotal	6	6	6	0	qotol	cthol	1.53192072496	1.27622425148	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qotol|cthol	qotol|cthol	STABLE_PAIRED	0	qotol::cthol	1	1	G807-P02-K06	1	43	51	43	51	1	1
G807-P02-K07	G807-P02	ALIGNED_RANK	qokol	qotal	7	7	7	0	shol	sheol	1.57172546765	1.29984897641	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|shol|sheol	shol|sheol	STABLE_PAIRED	0	shol::sheol	1	1	G807-P02-K07	1	163	90	163	90	1	1
G807-P02-K08	G807-P02	ALIGNED_RANK	qokol	qotal	8	8	8	0	dal	dol	1.76454990876	1.3381506671	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dal|dol	dal|dol	STABLE_PAIRED	0	dal::dol	1	1	G807-P02-K08	1	191	76	191	76	1	1
G807-P02-K09	G807-P02	ALIGNED_RANK	qokol	qotal	9	9	9	0	al	lol	1.80939265333	1.42307136241	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|al|lol	al|lol	STABLE_PAIRED	0	al::lol	1	1	G807-P02-K09	1	204	35	204	35	1	1
G807-P02-K10	G807-P02	ALIGNED_RANK	qokol	qotal	10	10	10	0	cthol	tol	1.91925087509	1.57979454865	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|cthol|tol	cthol|tol	STABLE_PAIRED	0	cthol::tol	1	1	G807-P02-K10	1	51	34	51	34	1	1
G807-P02-K11	G807-P02	ALIGNED_RANK	qokol	qotal	11	11	11	0	tol	chl	1.9720237241	1.81342736726	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|tol|chl	tol|chl	STABLE_PAIRED	0	tol::chl	1	1	G807-P02-K11	1	34	28	34	28	1	1
G807-P02-K12	G807-P02	ALIGNED_RANK	qokol	qotal	12	12	12	0	okeol	kal	2.00012106052	1.81906403707	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okeol|kal	okeol|kal	STABLE_PAIRED	0	okeol::kal	1	1	G807-P02-K12	1	44	25	44	25	1	1
G807-P02-K13	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	1	2	2	0	sheol	okol	0.451119816604	1.00754532702	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sheol|okol	sheol|okol	STABLE_PAIRED	0	sheol::okol	1	1	G807-P02-K13	1	90	53	90	53	1	1
G807-P02-K14	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	2	3	3	0	dol	qotol	0.707977608264	1.05097435016	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dol|qotol	dol|qotol	STABLE_PAIRED	0	dol::qotol	1	1	G807-P02-K14	1	76	43	76	43	1	1
G807-P02-K15	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	3	4	4	0	okol	sal	1.12424700666	1.1174035423	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okol|sal	okol|sal	STABLE_PAIRED	0	okol::sal	1	1	G807-P02-K15	1	53	37	53	37	1	1
G807-P02-K16	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	4	5	5	0	sol	okeol	1.32299126892	1.27127494165	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sol|okeol	sol|okeol	STABLE_PAIRED	0	sol::okeol	1	1	G807-P02-K16	1	57	44	57	44	1	1
G807-P02-K17	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	5	6	6	0	qokal	cthol	1.37352588576	1.27622425148	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qokal|cthol	qokal|cthol	STABLE_PAIRED	0	qokal::cthol	1	1	G807-P02-K17	1	180	51	180	51	1	1
G807-P02-K18	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	6	7	7	0	qotol	sheol	1.53192072496	1.29984897641	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qotol|sheol	qotol|sheol	STABLE_PAIRED	0	qotol::sheol	1	1	G807-P02-K18	1	43	90	43	90	1	1
G807-P02-K19	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	7	8	8	0	shol	dol	1.57172546765	1.3381506671	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|shol|dol	shol|dol	STABLE_PAIRED	0	shol::dol	1	1	G807-P02-K19	1	163	76	163	76	1	1
G807-P02-K20	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	8	9	9	0	dal	lol	1.76454990876	1.42307136241	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|dal|lol	dal|lol	STABLE_PAIRED	0	dal::lol	1	1	G807-P02-K20	1	191	35	191	35	1	1
G807-P02-K21	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	9	10	10	0	al	tol	1.80939265333	1.57979454865	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|al|tol	al|tol	STABLE_PAIRED	0	al::tol	1	1	G807-P02-K21	1	204	34	204	34	1	1
G807-P02-K22	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	10	11	11	0	cthol	chl	1.91925087509	1.81342736726	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|cthol|chl	cthol|chl	STABLE_PAIRED	0	cthol::chl	1	1	G807-P02-K22	1	51	28	51	28	1	1
G807-P02-K23	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	11	12	12	0	tol	kal	1.9720237241	1.81906403707	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|tol|kal	tol|kal	STABLE_PAIRED	0	tol::kal	1	1	G807-P02-K23	1	34	25	34	25	1	1
G807-P02-K24	G807-P02	NEXT_CYCLIC_NEGATIVE_RANK	qokol	qotal	12	1	1	0	okeol	sol	2.00012106052	0.6757910541	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okeol|sol	okeol|sol	STABLE_PAIRED	0	okeol::sol	1	1	G807-P02-K24	1	44	57	44	57	1	1
G807-P03-K01	G807-P03	ALIGNED_RANK	qokeol	qokol	1	1	1	0	okeol	sheol	0.506339214455	0.451119816604	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okeol|sheol	okeol|sheol	STABLE_PAIRED	0	okeol::sheol	1	1	G807-P03-K01	1	44	90	44	90	1	1
G807-P03-K02	G807-P03	ALIGNED_RANK	qokeol	qokol	2	2	2	0	qotol	dol	0.973020784876	0.707977608264	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qotol|dol	qotol|dol	STABLE_PAIRED	0	qotol::dol	1	1	G807-P03-K02	1	43	76	43	76	1	1
G807-P03-K03	G807-P03	ALIGNED_RANK	qokeol	qokol	3	3	3	0	tol	okol	0.986505506429	1.12424700666	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|tol|okol	tol|okol	STABLE_PAIRED	0	tol::okol	1	1	G807-P03-K03	1	34	53	34	53	1	1
G807-P03-K04	G807-P03	ALIGNED_RANK	qokeol	qokol	4	4	4	0	sal	sol	0.993854129472	1.32299126892	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sal|sol	sal|sol	STABLE_PAIRED	0	sal::sol	1	1	G807-P03-K04	1	37	57	37	57	1	1
G807-P03-K05	G807-P03	ALIGNED_RANK	qokeol	qokol	5	5	5	0	oteol	qokal	0.995644654887	1.37352588576	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|oteol|qokal	oteol|qokal	STABLE_PAIRED	0	oteol::qokal	1	1	G807-P03-K05	1	26	180	26	180	1	1
G807-P03-K06	G807-P03	ALIGNED_RANK	qokeol	qokol	6	6	6	0	kol	qotol	1.19895220149	1.53192072496	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|kol|qotol	kol|qotol	STABLE_PAIRED	0	kol::qotol	1	1	G807-P03-K06	1	30	43	30	43	1	1
G807-P03-K07	G807-P03	ALIGNED_RANK	qokeol	qokol	7	7	7	0	chl	shol	1.32747680699	1.57172546765	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|chl|shol	chl|shol	STABLE_PAIRED	0	chl::shol	1	1	G807-P03-K07	1	28	163	28	163	1	1
G807-P03-K08	G807-P03	ALIGNED_RANK	qokeol	qokol	8	8	8	0	okol	dal	1.33168093447	1.76454990876	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okol|dal	okol|dal	STABLE_PAIRED	0	okol::dal	1	1	G807-P03-K08	1	53	191	53	191	1	1
G807-P03-K09	G807-P03	ALIGNED_RANK	qokeol	qokol	9	9	9	0	lol	al	1.3330336612	1.80939265333	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|lol|al	lol|al	STABLE_PAIRED	0	lol::al	1	1	G807-P03-K09	1	35	204	35	204	1	1
G807-P03-K10	G807-P03	ALIGNED_RANK	qokeol	qokol	10	10	10	0	kal	cthol	1.46121835438	1.91925087509	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|kal|cthol	kal|cthol	STABLE_PAIRED	0	kal::cthol	1	1	G807-P03-K10	1	25	51	25	51	1	1
G807-P03-K11	G807-P03	ALIGNED_RANK	qokeol	qokol	11	11	11	0	otchol	tol	1.49697937449	1.9720237241	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|otchol|tol	otchol|tol	STABLE_PAIRED	0	otchol::tol	1	1	G807-P03-K11	1	27	34	27	34	1	1
G807-P03-K12	G807-P03	ALIGNED_RANK	qokeol	qokol	12	12	12	0	cthol	okeol	1.57164921561	2.00012106052	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|cthol|okeol	cthol|okeol	STABLE_PAIRED	0	cthol::okeol	1	1	G807-P03-K12	1	51	44	51	44	1	1
G807-P03-K13	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	1	2	2	0	okeol	dol	0.506339214455	0.707977608264	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okeol|dol	okeol|dol	STABLE_PAIRED	0	okeol::dol	1	1	G807-P03-K13	1	44	76	44	76	1	1
G807-P03-K14	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	2	3	3	0	qotol	okol	0.973020784876	1.12424700666	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|qotol|okol	qotol|okol	STABLE_PAIRED	0	qotol::okol	1	1	G807-P03-K14	1	43	53	43	53	1	1
G807-P03-K15	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	3	4	4	0	tol	sol	0.986505506429	1.32299126892	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|tol|sol	tol|sol	STABLE_PAIRED	0	tol::sol	1	1	G807-P03-K15	1	34	57	34	57	1	1
G807-P03-K16	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	4	5	5	0	sal	qokal	0.993854129472	1.37352588576	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|sal|qokal	sal|qokal	STABLE_PAIRED	0	sal::qokal	1	1	G807-P03-K16	1	37	180	37	180	1	1
G807-P03-K17	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	5	6	6	0	oteol	qotol	0.995644654887	1.53192072496	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|oteol|qotol	oteol|qotol	STABLE_PAIRED	0	oteol::qotol	1	1	G807-P03-K17	1	26	43	26	43	1	1
G807-P03-K18	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	6	7	7	0	kol	shol	1.19895220149	1.57172546765	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|kol|shol	kol|shol	STABLE_PAIRED	0	kol::shol	1	1	G807-P03-K18	1	30	163	30	163	1	1
G807-P03-K19	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	7	8	8	0	chl	dal	1.32747680699	1.76454990876	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|chl|dal	chl|dal	STABLE_PAIRED	0	chl::dal	1	1	G807-P03-K19	1	28	191	28	191	1	1
G807-P03-K20	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	8	9	9	0	okol	al	1.33168093447	1.80939265333	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|okol|al	okol|al	STABLE_PAIRED	0	okol::al	1	1	G807-P03-K20	1	53	204	53	204	1	1
G807-P03-K21	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	9	10	10	0	lol	cthol	1.3330336612	1.91925087509	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|lol|cthol	lol|cthol	STABLE_PAIRED	0	lol::cthol	1	1	G807-P03-K21	1	35	51	35	51	1	1
G807-P03-K22	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	10	11	11	0	kal	tol	1.46121835438	1.9720237241	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|kal|tol	kal|tol	STABLE_PAIRED	0	kal::tol	1	1	G807-P03-K22	1	25	34	25	34	1	1
G807-P03-K23	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	11	12	12	0	otchol	okeol	1.49697937449	2.00012106052	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|otchol|okeol	otchol|okeol	STABLE_PAIRED	0	otchol::okeol	1	1	G807-P03-K23	1	27	44	27	44	1	1
G807-P03-K24	G807-P03	NEXT_CYCLIC_NEGATIVE_RANK	qokeol	qokol	12	1	1	0	cthol	sheol	1.57164921561	0.451119816604	PRIMARY_K12	GDT800_TERMINAL_L_ONLY	cheol|otal|okal|ol|qokeol|qokol|qotal|cthol|sheol	cthol|sheol	STABLE_PAIRED	0	cthol::sheol	1	1	G807-P03-K24	1	51	90	51	90	1	1
