paragraph_id	paragraph_ordinal	page	physical_folio	paragraph_ordinal_on_page	start_locus	end_locus	start_line_number	end_line_number	section	language	hand	source_line_count	source_token_count	common_masked_line_count	common_masked_loci	surviving_line_count	surviving_loci	basis_retained_token_count	basis_nonempty_retained_lines	post_mask_length_bin	basis_eligible_12_tokens_2_lines	exact_feature_token_count	exact_feature_type_count	exact_feature_counts	ed1_feature_token_count	ed1_feature_type_count	ed1_feature_counts	raw_target_memberships	stable_target_memberships	lcs_audit_target_memberships	raw_target_membership_count	stable_target_membership_count	lcs_audit_target_membership_count	semantic_credit
G807-P0011	11	f4r	f4r	1	f4r.1	f4r.4	1	4	H	A	1	4	31	1	f4r.1	3	f4r.2|f4r.3|f4r.4	22	3	4	1	22	18	chaiin=2|chol=1|chom=1|choraiin=1|chy=2|cthol=1|cthy=1|daiin=2|dchor=1|okaiin=1|otchol=1|qotaiin=1|qotchol=1|s=1|shain=1|shol=2|shtchy=1|yty=1	21	17	chaiin=2|chom=1|choraiin=1|chy=2|cthol=1|cthy=1|daiin=2|dchor=1|okaiin=1|otchol=1|qotaiin=1|qotchol=1|s=1|shain=1|shol=2|shtchy=1|yty=1	ol	ol	ol	1	1	1	0
G807-P0012	12	f4r	f4r	2	f4r.5	f4r.13	5	13	H	A	1	9	33	0	NONE	9	f4r.5|f4r.6|f4r.7|f4r.8|f4r.9|f4r.10|f4r.11|f4r.12|f4r.13	33	9	5	1	33	28	aiin=1|chaiin=2|chor=1|ckhochy=1|cphaiin=1|cpholdy=1|cthey=1|cthol=1|cthom=1|cthy=1|daiin=3|dy=1|dytcheey=1|kor=1|odal=1|pydaiin=1|qotaiin=1|qotchoiin=1|qotchy=1|qoty=1|sheor=1|shol=2|shor=2|shyshol=1|shytchy=1|soiin=1|tchy=1|tydy=1	32	27	aiin=1|chaiin=2|chor=1|ckhochy=1|cphaiin=1|cpholdy=1|cthey=1|cthol=1|cthom=1|cthy=1|daiin=3|dy=1|dytcheey=1|kor=1|pydaiin=1|qotaiin=1|qotchoiin=1|qotchy=1|qoty=1|sheor=1|shol=2|shor=2|shyshol=1|shytchy=1|soiin=1|tchy=1|tydy=1	NONE	NONE	NONE	0	0	0	0
G807-P0013	13	f4v	f4v	1	f4v.1	f4v.6	1	6	H	A	1	6	37	1	f4v.2	5	f4v.1|f4v.3|f4v.4|f4v.5|f4v.6	29	5	4	1	29	27	aram=1|chaiin=1|choaiin=1|chodain=1|chopchy=1|choteol=1|cphody=1|cthey=1|daiin=2|dlod=1|dolds=1|kchoy=1|ksheo=1|o=1|otoiin=1|pchooiin=1|qocthy=1|qodaiin=1|qokshy=1|qotchoiin=1|shaiin=1|sheey=1|shey=1|sho=2|shokchy=1|shor=1|ytchoy=1	28	26	aram=1|chaiin=1|choaiin=1|chodain=1|chopchy=1|choteol=1|cphody=1|cthey=1|daiin=2|dlod=1|dolds=1|kchoy=1|ksheo=1|otoiin=1|pchooiin=1|qocthy=1|qodaiin=1|qokshy=1|qotchoiin=1|shaiin=1|sheey=1|shey=1|sho=2|shokchy=1|shor=1|ytchoy=1	ol	ol	ol	1	1	1	0
G807-P0014	14	f4v	f4v	2	f4v.7	f4v.14	7	14	H	A	1	8	46	0	NONE	8	f4v.7|f4v.8|f4v.9|f4v.10|f4v.11|f4v.12|f4v.13|f4v.14	46	8	5	1	46	40	char=1|chcthy=1|cheog=1|cheor=1|chokchy=1|chokeody=1|chokody=1|chol=1|chor=2|chtody=1|chy=1|cphydy=1|cthol=1|cthory=1|daiin=2|iiin=1|kcheor=1|keey=1|key=1|ochody=1|ody=1|okeody=1|okeol=1|oleeeb=1|otaiin=1|otor=1|qokey=1|qooko=1|qotol=1|qoty=1|s=2|shar=1|sheeor=1|sheo=1|sho=3|shodaiin=1|shody=2|shoky=1|shtaiin=1|torchy=1	41	35	char=1|chcthy=1|chokchy=1|chokeody=1|chokody=1|chor=2|chtody=1|chy=1|cphydy=1|cthol=1|cthory=1|daiin=2|iiin=1|kcheor=1|keey=1|key=1|ochody=1|ody=1|okeody=1|oleeeb=1|otaiin=1|otor=1|qokey=1|qooko=1|qoty=1|s=2|shar=1|sheeor=1|sheo=1|sho=3|shodaiin=1|shody=2|shoky=1|shtaiin=1|torchy=1	NONE	NONE	NONE	0	0	0	0
G807-P0015	15	f5r	f5r	1	f5r.1	f5r.4	1	4	H	A	1	4	32	0	NONE	4	f5r.1|f5r.2|f5r.3|f5r.4	32	4	5	1	32	31	chan=1|cheor=1|chey=1|chkoy=1|chocthy=2|chody=1|chy=1|ckhoy=1|cthey=1|daiin=1|dkshy=1|dy=1|fchoy=1|kchody=1|oaiin=1|oar=1|ochey=1|okas=1|okey=1|olsy=1|otain=1|otan=1|otchy=1|oteeeb=1|otol=1|qoaiin=1|qokaiin=1|qotchody=1|s=1|sheody=1|sho=1	28	27	chan=1|chey=1|chkoy=1|chocthy=2|chody=1|chy=1|ckhoy=1|cthey=1|daiin=1|dkshy=1|dy=1|fchoy=1|kchody=1|oaiin=1|oar=1|ochey=1|okey=1|olsy=1|otain=1|otchy=1|oteeeb=1|qoaiin=1|qokaiin=1|qotchody=1|s=1|sheody=1|sho=1	NONE	NONE	NONE	0	0	0	0
G807-P0016	16	f5r	f5r	2	f5r.5	f5r.7	5	7	H	A	1	3	22	0	NONE	3	f5r.5|f5r.6|f5r.7	22	3	4	1	22	20	cheo=1|cheor=1|chey=1|cholols=1|cthy=1|daiin=1|dy=1|kchy=1|keey=1|qoaiin=1|qoeeey=1|qoeor=1|qotcheo=1|qotoeey=1|qoykeeey=1|sho=2|shodaiin=1|shody=2|shotshy=1|tchy=1	20	18	chey=1|cholols=1|cthy=1|daiin=1|dy=1|kchy=1|keey=1|qoaiin=1|qoeeey=1|qoeor=1|qotcheo=1|qotoeey=1|qoykeeey=1|sho=2|shodaiin=1|shody=2|shotshy=1|tchy=1	NONE	NONE	NONE	0	0	0	0
G807-P0017	17	f5v	f5v	1	f5v.1	f5v.6	1	6	H	A	1	6	47	0	NONE	6	f5v.1|f5v.2|f5v.3|f5v.4|f5v.5|f5v.6	47	6	5	1	47	37	cheor=1|cheotol=1|chodaiin=1|chol=3|chols=1|chor=2|chotaiin=1|chots=1|cthor=2|daiin=6|dain=1|dairodg=1|dal=1|darchor=1|dchol=1|do=1|k=1|o=1|okch=1|otaiin=1|otchol=1|otchor=1|otol=2|pshod=1|qo=1|qotcho=1|qotor=1|shees=1|shokeeol=1|shol=1|taiin=1|y=1|ychopordg=1|ykoiin=1|ytchey=1|ytoiiin=1|ytor=1	40	33	cheotol=1|chodaiin=1|chols=1|chor=2|chotaiin=1|chots=1|cthor=2|daiin=6|dain=1|dairodg=1|dal=1|darchor=1|dchol=1|do=1|k=1|okch=1|otaiin=1|otchol=1|otchor=1|pshod=1|qo=1|qotcho=1|qotor=1|shees=1|shokeeol=1|shol=1|taiin=1|y=1|ychopordg=1|ykoiin=1|ytchey=1|ytoiiin=1|ytor=1	NONE	NONE	NONE	0	0	0	0
G807-P0018	18	f6r	f6r	1	f6r.1	f6r.14	1	14	H	A	1	14	86	1	f6r.11	13	f6r.1|f6r.2|f6r.3|f6r.4|f6r.5|f6r.6|f6r.7|f6r.8|f6r.9|f6r.10|f6r.12|f6r.13|f6r.14	82	13	6	1	82	64	al=1|ch=1|chckhy=1|cheoeees=1|cho=2|choky=1|chol=1|cholor=1|chopchol=1|chor=4|chory=1|chotols=1|choy=1|chy=2|ckhaiin=1|ckham=1|ckhor=1|cphol=1|cthaiin=2|ctheod=1|cthom=1|cthor=1|cthy=3|daiin=3|dam=1|dar=2|foar=1|foeear=1|kaiim=1|kar=1|kshor=1|od=2|odam=1|okaiin=1|okoiin=1|okom=1|or=2|os=1|otaiin=1|otcham=2|pchar=1|qocthol=1|qodaiin=1|s=3|she=1|shees=1|sheo=1|sheol=1|sheor=1|shol=2|shor=1|skaiiodar=1|taiin=1|tar=1|tchor=1|y=2|yaiir=1|ychol=1|ydaiin=1|ykeor=1|yodaiin=1|ysho=1|ytaiin=1|ytaly=1	74	58	ch=1|chckhy=1|cheoeees=1|cho=2|choky=1|cholor=1|chopchol=1|chor=4|chory=1|chotols=1|choy=1|chy=2|ckhaiin=1|ckham=1|ckhor=1|cphol=1|cthaiin=2|ctheod=1|cthom=1|cthor=1|cthy=3|daiin=3|dam=1|dar=2|foar=1|foeear=1|kaiim=1|kar=1|kshor=1|odam=1|okaiin=1|okoiin=1|okom=1|otaiin=1|otcham=2|pchar=1|qocthol=1|qodaiin=1|s=3|she=1|shees=1|sheo=1|sheor=1|shol=2|shor=1|skaiiodar=1|taiin=1|tar=1|tchor=1|y=2|yaiir=1|ychol=1|ydaiin=1|ykeor=1|yodaiin=1|ysho=1|ytaiin=1|ytaly=1	ol	ol	ol	1	1	1	0
G807-P0019	19	f6v	f6v	1	f6v.1	f6v.5	1	5	H	A	1	5	44	0	NONE	5	f6v.1|f6v.2|f6v.3|f6v.4|f6v.5	44	5	5	1	44	40	chaiin=1|chapchy=1|char=1|chckhy=1|chear=1|cheas=1|cheekar=1|chekchoy=1|chodam=1|chol=1|chor=2|ckhy=2|dair=1|dam=1|dchy=1|dey=1|doldom=1|jajy=1|kchey=1|koary=1|odaiiin=1|oechockhy=1|oees=1|okody=1|okol=1|okor=1|os=1|otchy=1|oty=1|qoair=1|qoekchar=1|qoor=1|rychos=1|s=2|sar=1|shckhy=1|shor=1|y=2|ytchoy=1|ytody=1	41	37	chaiin=1|chapchy=1|char=1|chckhy=1|chear=1|cheas=1|cheekar=1|chekchoy=1|chodam=1|chor=2|ckhy=2|dair=1|dam=1|dchy=1|dey=1|doldom=1|jajy=1|kchey=1|koary=1|odaiiin=1|oechockhy=1|oees=1|okody=1|okor=1|otchy=1|oty=1|qoair=1|qoekchar=1|qoor=1|rychos=1|s=2|sar=1|shckhy=1|shor=1|y=2|ytchoy=1|ytody=1	NONE	NONE	NONE	0	0	0	0
G807-P0020	20	f6v	f6v	2	f6v.6	f6v.21	6	21	H	A	1	16	71	0	NONE	16	f6v.6|f6v.7|f6v.8|f6v.9|f6v.10|f6v.11|f6v.12|f6v.13|f6v.14|f6v.15|f6v.16|f6v.17|f6v.18|f6v.19|f6v.20|f6v.21	71	16	6	1	69	53	ain=1|ar=1|chaies=1|char=1|ches=1|chockhy=1|chol=1|choldar=1|chor=4|choy=1|chy=2|ckhal=1|cthar=2|ctho=1|cthodam=1|cthol=2|cthom=1|cthy=3|daiin=2|dal=1|dchor=1|dol=1|dor=1|dy=2|kchdy=1|kchos=1|lor=1|m=1|ocholy=1|ochy=1|octham=1|oeeo=1|oees=1|okchey=1|okol=1|or=3|qokam=1|qokchod=1|qokor=1|s=5|shocthol=1|shy=1|tchalody=1|tchody=1|y=1|ychear=1|ycheor=1|ychol=1|ychor=1|ychos=1|yodaiin=1|ytchocthol=1|ytchos=1	62	48	ain=1|ar=1|chaies=1|char=1|ches=1|chockhy=1|choldar=1|chor=4|choy=1|chy=2|ckhal=1|cthar=2|ctho=1|cthodam=1|cthol=2|cthom=1|cthy=3|daiin=2|dal=1|dchor=1|dor=1|dy=2|kchdy=1|kchos=1|lor=1|m=1|ocholy=1|ochy=1|octham=1|oeeo=1|oees=1|okchey=1|qokam=1|qokchod=1|s=5|shocthol=1|shy=1|tchalody=1|tchody=1|y=1|ychear=1|ycheor=1|ychol=1|ychor=1|ychos=1|yodaiin=1|ytchocthol=1|ytchos=1	NONE	NONE	NONE	0	0	0	0
G807-P0021	21	f7r	f7r	1	f7r.1	f7r.5	1	5	H	A	1	5	31	0	NONE	5	f7r.1|f7r.2|f7r.3|f7r.4|f7r.5	31	5	4	1	31	30	chald=1|charochy=1|cheodaiin=1|cheody=1|cho=1|daiin=1|dcheey=1|dchey=1|dold=1|fchodaiin=1|kchey=1|kchos=1|keo=1|lochey=1|oaiir=1|odaiin=1|oeeees=1|otaiin=1|otchy=1|qko=1|qokcho=1|qoos=1|qotchy=1|r=1|sheey=2|shey=1|shopchey=1|shor=1|ychey=1|ytcheey=1	31	30	chald=1|charochy=1|cheodaiin=1|cheody=1|cho=1|daiin=1|dcheey=1|dchey=1|dold=1|fchodaiin=1|kchey=1|kchos=1|keo=1|lochey=1|oaiir=1|odaiin=1|oeeees=1|otaiin=1|otchy=1|qko=1|qokcho=1|qoos=1|qotchy=1|r=1|sheey=2|shey=1|shopchey=1|shor=1|ychey=1|ytcheey=1	NONE	NONE	NONE	0	0	0	0
G807-P0022	22	f7r	f7r	2	f7r.6	f7r.10	6	10	H	A	1	5	35	1	f7r.9	4	f7r.6|f7r.7|f7r.8|f7r.10	27	4	4	1	27	24	chain=1|chckhy=1|chey=1|chkoldy=1|choaiin=1|chol=1|chor=1|chotchy=1|choty=2|cthol=1|daiin=1|dain=2|deeeese=1|dshoy=1|keey=1|ksholo=1|okchey=1|otchol=1|otchor=1|qokchy=1|qotoees=1|s=1|shody=1|shol=2	26	23	chain=1|chckhy=1|chey=1|chkoldy=1|choaiin=1|chor=1|chotchy=1|choty=2|cthol=1|daiin=1|dain=2|deeeese=1|dshoy=1|keey=1|ksholo=1|okchey=1|otchol=1|otchor=1|qokchy=1|qotoees=1|s=1|shody=1|shol=2	ol	NONE	NONE	1	0	0	0
G807-P0023	23	f7v	f7v	1	f7v.1	f7v.5	1	5	H	A	1	5	42	1	f7v.3	4	f7v.1|f7v.2|f7v.4|f7v.5	30	4	4	1	30	27	cheey=1|chochy=1|choschy=1|choteeeb=1|chy=1|cthd=1|cthol=1|cthy=2|daiin=3|dain=1|dchodaiin=1|deees=1|dol=1|dy=1|kshy=1|oeear=1|otshol=1|polyshy=1|qoky=1|qopchy=1|qotchy=1|shey=1|sho=1|shol=1|tcheey=1|tchody=1|tshodody=1	29	26	cheey=1|chochy=1|choschy=1|choteeeb=1|chy=1|cthd=1|cthol=1|cthy=2|daiin=3|dain=1|dchodaiin=1|deees=1|dy=1|kshy=1|oeear=1|otshol=1|polyshy=1|qoky=1|qopchy=1|qotchy=1|shey=1|sho=1|shol=1|tcheey=1|tchody=1|tshodody=1	cheol	NONE	NONE	1	0	0	0
G807-P0024	24	f7v	f7v	2	f7v.6	f7v.9	6	9	H	A	1	4	36	0	NONE	4	f7v.6|f7v.7|f7v.8|f7v.9	36	4	5	1	36	29	aiin=1|cheeody=1|cho=1|chokchy=1|chorcheor=1|daiin=3|daiir=1|dair=1|deol=1|dol=3|dor=2|dy=1|kcho=1|kchor=1|keeo=1|lshol=1|o=1|odaiin=1|oksho=1|okshodeeeb=1|qos=1|qotchey=1|qoteeeo=1|r=2|sheod=1|sheodaiin=1|sho=2|shotcho=1|tey=1	32	27	aiin=1|cheeody=1|cho=1|chokchy=1|chorcheor=1|daiin=3|daiir=1|dair=1|deol=1|dor=2|dy=1|kcho=1|kchor=1|keeo=1|lshol=1|odaiin=1|oksho=1|okshodeeeb=1|qos=1|qotchey=1|qoteeeo=1|r=2|sheod=1|sheodaiin=1|sho=2|shotcho=1|tey=1	NONE	NONE	NONE	0	0	0	0
G807-P0025	25	f8r	f8r	1	f8r.1	f8r.8	1	8	H	A	1	8	58	0	NONE	8	f8r.1|f8r.2|f8r.3|f8r.4|f8r.5|f8r.6|f8r.7|f8r.8	58	8	5	1	58	48	al=1|cfhodar=1|cheeey=1|cheeody=1|cheey=1|chky=1|chodaiin=1|chodar=1|chody=1|choety=1|chof=1|choor=1|chopy=1|chor=4|choto=1|chy=2|cphol=1|dain=3|dam=1|dcho=1|dchol=1|dchy=1|do=2|dy=2|kcheals=1|kchoan=1|koltoldy=1|ky=1|okche=1|okchey=1|ooaiin=1|otshal=1|pshol=1|qotor=1|r=1|scho=1|sh=1|sheey=1|shesed=1|sho=1|shokchy=1|shor=1|shy=3|sol=1|sy=1|taiin=1|tchty=1|tosh=1	56	46	cfhodar=1|cheeey=1|cheeody=1|cheey=1|chky=1|chodaiin=1|chodar=1|chody=1|choety=1|chof=1|choor=1|chopy=1|chor=4|choto=1|chy=2|cphol=1|dain=3|dam=1|dcho=1|dchol=1|dchy=1|do=2|dy=2|kcheals=1|kchoan=1|koltoldy=1|ky=1|okche=1|okchey=1|ooaiin=1|otshal=1|pshol=1|qotor=1|r=1|scho=1|sh=1|sheey=1|shesed=1|sho=1|shokchy=1|shor=1|shy=3|sy=1|taiin=1|tchty=1|tosh=1	NONE	NONE	NONE	0	0	0	0
G807-P0026	26	f8r	f8r	2	f8r.9	f8r.13	9	13	H	A	1	5	30	0	NONE	5	f8r.9|f8r.10|f8r.11|f8r.12|f8r.13	30	5	4	1	30	29	cheey=1|cheocthy=1|cheodaiin=1|chodaiin=1|chot=1|chotol=1|choty=1|daiin=2|dairg=1|do=1|dol=1|dsheey=1|dy=1|ofchey=1|okokchodg=1|oksheo=1|otariin=1|pcheey=1|pchey=1|qo=1|sho=1|shol=1|sholdaiin=1|shor=1|shotokody=1|tchody=1|tchoep=1|teeodan=1|y=1	29	28	cheey=1|cheocthy=1|cheodaiin=1|chodaiin=1|chot=1|chotol=1|choty=1|daiin=2|dairg=1|do=1|dsheey=1|dy=1|ofchey=1|okokchodg=1|oksheo=1|otariin=1|pcheey=1|pchey=1|qo=1|sho=1|shol=1|sholdaiin=1|shor=1|shotokody=1|tchody=1|tchoep=1|teeodan=1|y=1	NONE	NONE	NONE	0	0	0	0
