hypothesis_id	status	claim	independent_evidence	predeclared_falsifier	held_data	result
IL011	COMPLETE_EXCEEDS_FIXED_TIMM_CONTROL	IL010's cross-Currier directional relation may exceed the fixed Timm local self-citation process under the identical source-excluded oriented-minus-unordered conditional test	64 Timm seeds 101--164 relaid into exact manual ZL prose geometry after five disclosed development seeds	validation/integrity/coverage failure or the conservative held union tail exceeds 0.05	64 fixed generated controls scored once after frozen validation; 62 passed eligibility	exact ZL +0.01692 and 80.6% positive; 0/62 eligible controls matched either statistic, conservative plus-one p=0.01587; fixed generator insufficient but no general language claim
IL014	COMPLETE_FINAL_NONCONFIRMATION	human-authored tentative Voynich plant names may preserve the folio order of an independently indexed Dioscoridean illustrated-herbal family	cached voynich.nu human catalogue plus source-only Purdue textual inventories for Morgan Vienna and Naples; five AI-list pages excluded	no witness has at least 10 unique anchors or the max-witness permutation gate fails the frozen score fraction magnitude and family p thresholds	all nonexcluded human catalogue herbal pages scored once against three frozen witness orders	Morgan/Vienna/Naples ceilings 29/26/28 but ordered scores only 9/7/9 (fractions .310/.269/.321); max-family p=.625484, so no ordered source bridge or entry-text license
IL015	COMPLETE_FINAL_NONCONFIRMATION	nonexcluded exact plant-name tokens in the human Voynich catalogue may preserve the physical order of the independently indexed BnF Latin 6823 herbal	new source-only Biblissima index of 495 flora records with exact human aliases and compound-scene descriptors removed	fewer than 10 unique anchors or failure of the frozen score fraction magnitude permutation and null-margin gates	all nonexcluded human catalogue herbal pages scored once against the frozen BnF folio order	ceiling 18 but ordered score 7 (.389), null median 6, tail 62015/131072 and plus-one p=.473141; no BnF source-entry or lexical bridge
IL016	COMPLETE_FINAL_NONCONFIRMATION	exact human plant-name order may match one of all sufficiently indexed untested historical herbals in a frozen Biblissima atlas	new source-only atlas of 8507 flora records across 64 manuscripts with one global source-selection correction	no witness has ceiling 10 or the best witness fails the frozen score fraction max-permutation and null-margin gates	all nonexcluded human catalogue herbal pages scored once against every powered untested atlas witness	17 witnesses powered; best was BnF Latin 6822 at ceiling 12, score 5 (.417), null median 5; global tail 130994/131072 and plus-one p=.999405, so no atlas entry-text bridge
IL017	COMPLETE_FINAL_NONCONFIRMATION	literal Voynich root-rate profiles may predict independently human-indexed broad medicinal uses of exact human-catalogue plant candidates across held contiguous folio blocks	corrected born-digital Dioscorides human indexes plus manual catalogue names and manual ZL/IT/RF prose only	fewer than 30 mapped pages, no eligible axis, integrity failure, or failure of any frozen ZL family/materiality/fold and IT/RF robustness gate	five contiguous page folds with one 131072-permutation joint max-axis score after frozen validation	84 pages and 8 axes were powered; WOUND_SKIN gain +.536 was dominated by one block, rho .220, 1/5 positive folds, family p=.302335; IT/RF had only 2/5 and 1/5 positive folds, so no medicinal field or meaning
IL018	COMPLETE_FINAL_NONCONFIRMATION	first and second paragraph interiors may carry a shared ordered herbal-record profile across pages	manual ZL paragraph boundaries and manual ZL/IT/RF prose only; all opening and closing lines removed	fewer than 55 pages or failure of any frozen max-view gain, paired-accuracy, fold-consistency, and alternate-reading gate	62 exact two-paragraph herbal pages in five contiguous held page folds with one 131072 paired-swap family score	FORM selected but ZL gain -.7994, accuracy .565, 0/5 positive folds, family p=.661753; ROOT gain -.8353 and 0/5; IT/RF also had 0/5 gains, so no transferable additive ROOT/FORM profile in exact two-paragraph interiors; boundary-coded or explicit construction-level ordinal relations were not tested
IL019	COMPLETE_FINAL_POWERED_NONCONFIRMATION	first and second complete herbal paragraphs may differ in a shared confirmed-construction profile, with body/order information potentially adding beyond boundary grammar	manual paragraph/line order, manual ZL/IT/RF prose, 21 frozen confirmed structural channels, and the already confirmed content/directional coordinates	fewer than 55 pages or failure of the frozen max-view gain, paired-accuracy, fold-consistency, alternate-reading, or secondary sequence-increment gates	62 exact two-paragraph herbal pages in five contiguous held page folds with one 131072 paired-swap BOUNDARY/FULL family score	BOUNDARY selected with ZL gain -.3131, accuracy .694, only 1/5 positive folds and family p=.081397; IT/RF gains -.6060/-.4540 on 0/5; FULL gain -.3527 and FULL-minus-BOUNDARY -.0397, so no transferable complete-paragraph construction ordinal profile at this resolution
IL022	COMPLETE_FINAL_NONCONFIRMATION	cross-Currier physical direction may contain transferable non-additive cycle structure beyond the best additive D-root plus C-root directional potential	manual physical D/C adjacency, Currier exclusion, and a weighted Hodge projection orthogonal to all root-side propensities under the exact IL006 null	validation power/integrity/source-exclusion/cycle-rank failure or held cycle increment below any frozen magnitude, page, conditional-family, coverage, or alternate-reading gate	bucket 1 validated the instrument; fixed bucket 0 was scored once	ZL +.00457 bit/edge on 72.2% of 36/44 pages with p=.130649 missed both the +.005 magnitude and p<=.05 gates; IT/RF were positive but weaker, so no transferable non-additive cycle residual is confirmed; IL023 subsequently found the complementary scalar term positive but below its own frozen materiality gate
IL023	COMPLETE_FINAL_POWERED_NONCONFIRMATION	one additive scalar value per D/C root may predict physical orientation across mutually excluded Currier A/B pages after the IL022 cycle residual failed	manual physical adjacency, exact Currier source exclusion, weighted additive log-odds projection, exact IL006 null, and two-component sequential correction	validation failure or the real scalar statistic misses any frozen magnitude, family, page, coverage, bidirectional-Currier, alternate-reading, or integrity gate	all A pages were predicted only from B and all B only from A; one frozen final score after validation	ZL was consistently positive at +.00272 bit/edge on 55.4% of 157/197 pages with raw p=.00830 and two-component p=.01659, but missed the frozen +.005 materiality gate; IT/RF were positive at +.00239/+.00202, so no material transferable scalar root coordinate is confirmed
IL024	COMPLETE_FINAL_NONCONFIRMATION	human-catalogued prose, star-entry, label, radial, and circular units may occupy different validated broad construction classes rather than one forced manuscript-wide class	manual common-locus ZL/IT/RF hierarchy plus a fully external native-boundary benchmark that passed untouched uniform and mixed-source validation	insufficient eligible units, envelope coverage below .70, cross-reading panel concordance below .80, mixture gain below +.20 bits/panel, or fewer than two concordant broad classes	20 fixed 64-record items in nine common-locus panels; literal-word ranks use records 1--32 locally and score records 33--64 once	mixture gain was stable at +.418/+.403/+.439 bits/panel, but only .10/.15/.20 of ZL/IT/RF items lay inside a winning reference envelope and only circular text had one concordant class; no reliable global or section-specific system-class profile
IL025	VALIDATION_FAILED_NO_VOYNICH_SCORE	native medieval prose lines, recipe records, map inscriptions, and declared generated controls may form a separable compact-reference instrument in both full and size/shape-excluded dynamic views	human-edited CoReMA recipe units, Menota diplomatic physical lines, Virtual Mappa inscription annotations, and fixed declared generators selected and split before features	either development view fails any frozen source, recall, mixed-accuracy, or gain gate; or either untouched-validation view fails any frozen source, recall, correct-in-envelope, mixed-accuracy, or gain gate	SHA-256 source-id-held external sources: five prose, four recipe, three map, plus fixed held generator seeds; no Voynich score in this hypothesis	full validation passed all gates, but the mandatory dynamic view had only .250 held recipe correct-in-envelope versus the frozen .500 gate; stopped before every Voynich feature and score
CC001	COMPLETE_INVALID_EXACT_AIIN_BRIDGE_STRICT_MINIM_NONCONFIRMATION	circularly enriched literal l|o and y|o edges may divide rings into internal segments that recover the confirmed relative AII+N-before-AI+N line order	manual C-locus geometry, frozen strict minim parser, confirmed prose minim order, and prior corrected circular-role enrichment	fewer than six held ZL rings or eight held AI events, effect below +.10, maxT p above .05, fewer than four active rings, nonpositive leave-one-out or alternate-reading effects, or failed controls	60 ZL and 60 RF C loci outside the frozen 24-locus discovery set plus 58 available IT loci; cyclic edge-mask rotations with 32767 fixed permutations	exact aiin is root aii/BARE and zero exact occurrences are strict AII+N, invalidating the intended bridge; the separate strict-minim diagnostic also fails with only 5/7/7 eligible ZL rings, 5/7/7 AI events, effects +.3718/+.1338/+.2882, and maxT p .1965/.6435/.2837
CC002	COMPLETE_FINAL_EXPOSURE_NONCONFIRMATION_OLD_ANCHOR_RETRACTED	the five reported circular-role anchors may remain enriched per valid token or boundary opportunity after the binary-presence length advantage is removed; exact aiin may be a circular-associated realization within root aii	manual cached ZL/IT/RF interlinear, exact editorial C role, complete exclusion of the old direct panel, page-clustered opportunity rates, and the existing bare-aiin/root-aii distinction	fewer than eight informative ZL pages or failure of any frozen Holm, direction, rate-ratio, leave-one-page-out, alternate-reading, control, hash, or reconstruction gate	24 eligible held C and 102 same-page non-C ZL loci outside the 1192-row direct inventory on 10 pages; six frozen opportunity outcomes and cyclic/listed-linear edge topologies	all six outcomes fail; ZL l|o rate ratio 1.175 Holm p 1, y|o 1.037 p .656, exact aiin .757, root aii .764, root ol .598, and aiin given root aii 44.0% versus 43.5%; old binary circular-marker interpretation is exposure-confounded
CC003	COMPLETE_FINAL_WHOLE_CONSTRUCTION_NONCONFIRMATION	discovery circular loci may define a root-free cyclic formal-role transition construction that transfers to held rings beyond each ring's exact shell multiset and in section C exceeds equal-length metadata-matched confirmed-prose windows	manual role sequences and editorial geometry only; 24 fixed discovery C loci, 60 ZL/58 IT/60 RF held C loci, exact analytic multiset null, and corrected 24/22/24 section-C matched rings	failure of either frozen held-transfer or section-C prose-specificity family gate, any control/hash/split/rotation/reconstruction failure, or insufficient page coverage	O1 scores all held rings on page-clustered joint shell/boundary-role gain; O2 scores 32 deterministic equal-length confirmed-prose windows for eligible section-C rings only	O1 ZL gain +.001856 bit/edge on 13/23 positive pages Holm p .6776 with section Z negative; O2 is -.040399 on only 2/9 positive section-C pages Holm p .3594; validated 4137 checks, so no transferable first-order role-shell circular grammar or section-C prose specificity
EAS001	COMPLETE_CONFIRMED_GRAPHICAL_SLOT_RECORD_BOUNDARY	explicit repeated graphical slots may behave as separate grammatical records at registered between-slot transitions	text-blind high-confidence human graphical-array inventory, frozen slot topology, manual ZL/IT/RF text, and the previously validated root-free canonical-form line-boundary score	coverage, calibration, planted/negative control, hash, exact-inference, materiality, folio-consistency, family-robustness, alternate-reading, leave-one-folio-out, or independent-reconstruction failure	46 arrays, 391 slots, and 374 transitions on 13 complete folios; one exact 8192 synchronous folio-swap score after controls	minimum alternate-reading effect +.294219 physical-line resets with exact p=.005859; ZL 10/13 positive folios and 4/5 positive family diagnostics; minimum leave-one-folio-out +.245405; independent 53468-check reconstruction passes, confirming aggregate slot-as-record boundaries but no object ownership or lexical meaning
EAS002	COMPLETE_FINAL_NONCONFIRMATION	explicit graphical records may have a transferable formal-role order beyond ordinary loci with the same section kind scope and word/unit skeleton	confirmed EAS001 slot boundaries, manual cached role sequences, exact non-array nuisance skeletons, exact role-multiset conditioning, and a frozen discovery/held physical-folio split	coverage, parser, source-exclusion, planted/negative-control, hash, exact-inference, +.010-bit materiality, 5/7 folio, 4/5 family, alternate-reading, leave-one-folio-out, or independent-reconstruction failure	36 discovery slots on f70/f88/f100 with every model input outside held folios; 71 untouched slots on f67/f71/f73/f77/f89/f99/f102; one frozen 128-sign held score after controls	minimum alternate-reading effect -.092083 bit/unit with p=.90625; ZL/IT/RF -.054365/-.092083/-.044639, only 3/7 positive ZL folios and 1/5 positive ZL families; independent 19854-check reconstruction passes, so no single transferable array-interior first/middle/last role order is established
EAS003	COMPLETE_FINAL_POSITIVE_NONCONFIRMATION	registered neighboring graphical records may follow a transferable root-free state sequence beyond the exact state multiset in each array	confirmed EAS001 record boundaries, text-blind registered graphical order, five fixed endpoint/length transition channels, exact within-array permutation conditioning, and a frozen discovery/held folio split	coverage, parser, topology, source-exclusion, planted/negative-control, hash, exact-inference, +.010-bit materiality, 5/7 folio, 4/5 family, both-topology, alternate-reading, leave-one-folio-out, or independent-reconstruction failure	25 discovery groups/221 edges on f68/f70/f72/f88/f100; 21 held groups/147 edges on f67/f71/f73/f77/f89/f99/f102; one frozen 128-sign score after controls	minimum alternate-reading +.030338 bit/edge with p=.1015625; all readings positive, 4/5 ZL families, 2/2 topologies and positive leave-one-out, but only 4/7 ZL folios and exact-p gate fail; independent 29-check reconstruction confirms a genuine near-miss but no transferable sequence
EAS004	COMPLETE_FINAL_NONCONFIRMATION	EAS001-confirmed graphical records may use a transferable order-free formal word-shell inventory distinct from exact same-page non-array text	confirmed EAS001 record units, root-free word shells, exact same-page section/kind/scope and word/unit-skeleton controls, discovery/held folios, and a three-test sequential correction	coverage, parser, source-exclusion, matching, planted/negative-control, hash, adjusted-p, +.050-bit materiality, 5/7 folio, 4/5 family, both-topology, alternate-reading, leave-one-out, or independent-reconstruction failure	44 discovery slots in 10 groups on f67/f72/f88/f100; 74 held slots in 15 groups on f68/f70/f73/f77/f89/f99/f102; one frozen 128-sign score after controls	minimum alternate-reading -.361844 bit/word with raw p=.6875 and adjusted p=1; ZL/IT/RF -.282637/-.361844/+.296366, only 2/7 ZL folios, 2/5 families and 0/2 topologies positive; independent 26-check reconstruction passes, so no transferable order-free formal word-shell register is established
EAS005	COMPLETE_CONFIRMED	records belonging to the same EAS001 graphical array may share parsed literal-root atoms beyond leave-array-out page vocabulary and exact same-page skeleton-matched non-array record pairs	confirmed EAS001 membership, binary parsed-root-atom fingerprints, IL002 weighted-Jaccard formula, leave-array-out page IDF, exact page/metadata/word-unit-skeleton controls, and a four-test reused-corpus correction	coverage, parser, source-exclusion, matching, partial-root plant, negative/duplicate-only controls, hash, adjusted-p, +.005 and relative materiality, 6/8 folio, 4/5 family, both-topology, alternate-reading, leave-one-out, duplicate-robustness, or independent-reconstruction failure	318 physical record pairs in 13 groups on f67/f72/f73/f77/f88/f89/f99/f100; one frozen 256-sign target score after controls	minimum alternate-reading +.072032 weighted Jaccard with adjusted p=.015625; 7/8 ZL folios 4/5 families and both topologies positive; duplicate veto retains 306 pairs/all eight folios at minimum +.062976; independent 24-check reconstruction reproduces every artifact and gate, confirming anonymous within-array root coherence only
EAS006	FINAL_VALIDATED_SUPPORT_STOP	EAS005's pairwise coherence may be carried by a stable strict-majority root core that predicts a held array record rather than different pair-specific overlaps	confirmed EAS005 groups, leave-one-record-out strict-majority cores, leave-array-out page IDF, exact EAS004 controls, a common-reading support gate, duplicate veto, and five-test correction	coverage, support, parser, source-exclusion, majority target-exclusion, stable-core plant, diffuse-pairwise negative, other negative controls, hash, adjusted-p, +.050 and relative magnitude, 6/7 folio, 4/5 family, both-topology, alternate-reading, leave-one-out, duplicate robustness, or independent reconstruction failure	90 physical records in 12 groups on f67/f72/f73/f77/f88/f99/f100; frozen support retained only 14 targets in three groups and therefore no effect score was computed	STOP CONFIRMED: independent reconstruction passes 27 checks and rejects a widespread stable majority core without weakening EAS005 pairwise coherence
EAS007	FINAL_VALIDATED_NONCONFIRMATION	EAS005's skeleton-controlled excess root sharing may be stronger between explicitly registered graphical neighbours than between non-neighbour records in the same array	confirmed EAS005 pair effects plus the independent EAS003 registered edge graph, nested group/folio aggregation, six-test correction, duplicate veto, and single-pair leverage veto	coverage, edge provenance, exact join, anonymous local plant, order-free/skeleton/null/concentration/disagreement/duplicate/leverage negatives, hash, adjusted-p, +.010 magnitude, 6/8 folio, 4/5 family, both-topology, alternate-reading, leave-one-out, duplicate robustness, pair leverage, or independent reconstruction failure	318 physical pairs in 13 groups on eight folios; 63 registered neighbours and 255 non-neighbours; one frozen target run consumed	NONCONFIRMED: independent reconstruction passes 47 checks; minimum -.021682 raw p .5625 adjusted p 1 with one of nine gates passing
EAS008	FINAL_VALIDATED_NONCONFIRMATION	literal-root identities conditioned on formal role may distinguish explicit-array records from exact same-page same-kind/scope/skeleton non-array records when the complete target folio is excluded from training	118 slots/25 groups/11 folds, all-root role-conditioned class-equal-mass models, exact controls, seven-test correction, support and global single-slot vetoes	coverage, parser, source exclusion, no-filter disclosure, role-conditioned equal mass, OTHER zero, target-folio exclusion, transferable plant, page/role/shape/unseen/concentration/disagreement/leakage/leverage negatives, hash, support, adjusted-p, +.050 magnitude, 8/11 folio, 4/5 family, both-topology, alternate-reading, folio and slot deletion, or independent reconstruction failure	11 physical folios cross-fitted once each; frozen target consumed and independently reconstructed in 41 checks	NONCONFIRMED: support passes but minimum reading +.001459 bit/event raw p=.131348 adjusted p=.919434; folio LOO and global deletion veto fail, only 4/8 gates pass, and every target artifact reproduces byte-for-byte
EAS009	FINAL_VALIDATED_NONCONFIRMATION	EAS005-shared group-local roots may recur in the same exact formal roles beyond each pair's fixed root and role marginals and exact same-page controls	318 EAS005 pairs/13 groups/eight folios, exact page IDF, marginal-preserving collision residual, all distinct controls, eight-test correction, duplicate and pair-deletion vetoes	coverage, parser, source exclusion, exact expectation, anonymous plant and negatives, hash, adjusted p, +.005 magnitude, 6/8 folio, 4/5 family, both-topology, alternate-reading, folio leave-one-out, duplicate robustness, pair deletion, or independent reconstruction failure	one frozen 954-row aggregate target consumed and independently reconstructed in 53 checks; no root/role/pair identity output	NONCONFIRMED: ZL/IT/RF +.002207/+.002955/+.004748, raw p=.5 adjusted p=1, only 1/8 positive ZL folios and 1/5 families, negative folio and pair-deletion minima, and 1/9 gates passed; all four artifacts reproduce byte-for-byte
EAS010	FINAL_VALIDATED_NONCONFIRMATION	actual author-visible graphical group membership may predict literal-root coherence beyond generic same-page array style under exact complete-record reassignment cells	192 consensus-skeleton slots/695 pairs/29 groups/nine folios, same-page family topology skeleton cells, exact registered low-N page IDF, complete-record assignment expectations, ninth-test correction, duplicate and group-deletion vetoes	coverage, numeric order, parser, cell freedom, exact expectation, distributed plant and generic/page/concentration/disagreement/duplicate negatives, low-baseline arithmetic, hash, adjusted p, +.005 magnitude, 7/9 folio, 3/4 family, both topology, alternate reading, folio LOO, duplicate robustness, group deletion, or independent reconstruction failure	one corrected aggregate target consumed after a transparent pre-score N<6 implementation stop, 30-file replacement freeze, and independent 51-check reconstruction; no pair/root/cell identity output	NONCONFIRMED: ZL/IT/RF -.000714/-.002217/-.002540, raw p=.558594 adjusted p=1, 1/9 gates; duplicate robustness and all deletion requirements fail, all four artifacts reproduce byte-for-byte, and the actual minimum page baseline is N=2 rather than the frozen amendment's claimed N=0
EAS011	FINAL_VALIDATED_NONCONFIRMATION	literal roots in same-shaped explicit graphical records may retain the identical word/unit coordinate beyond fixed root inventories and fixed root-by-role inventories	222 primary pairs/33 groups and 114 all-reading role-flexible pairs/24 groups on the same ten folios with all five families/both topologies; exact unrestricted and within-role expectations, equal-folio inference, mandatory conjunction, tenth-test correction	coverage, parser, exact K2/K3 expectations, distributed plant and order-free/role-only/group-vocabulary/shape/shift/concentration/disagreement/duplicate negatives, hashes, adjusted conjunction p, +.025/+.020 magnitudes, 7/10 folios, 4/5 families, both topologies, alternate readings, folio LOO, duplicate robustness, pair/group deletions, or independent reconstruction failure	one frozen 666-row aggregate target consumed and independently reconstructed in 48 checks; no pair/root/coordinate/role-root identity output	NONCONFIRMED: primary ZL/IT/RF +.008377/+.013001/+.020185 and nested +.002684/+.012202/+.015597, max raw p=.335938 adjusted p=1, only complete support passes, duplicate and all 255 deletion requirements fail, and all four artifacts reproduce byte-for-byte
S97	FINAL_VALIDATED_QUALIFIED_NONCONFIRMATION	the complete Stolfi-1997 human-separated label panel may recur in cross-page confirmed prose more than distinct nonlabel strings matched on token count flat length manuscript ecology literal glyph distance and formal grammar	77 unique stable primary label surface types each paired one-to-one with a distinct nonlabel control; synchronous ZL3b IT2a RF1b exact joined-window and token-sequence search on identical page opportunities	coverage below 60 pairs joined mean log-page delta below .10 Holm p above .05 net wins below 8 negative exact-token direction or any frozen length ecology or leave-section-out robustness failure	77 target-control pairs frozen before recurrence scoring under inventory hash 944d6061d89d0b066f25b1200336e4c05fe393f05d4f094b3585eb871ed2de72	NONCONFIRMED AND INDEPENDENTLY RECONSTRUCTED: joined mean -1.132804 with 9 wins 49 losses 19 ties and Holm p 1; all gates but coverage fail; corrected S97-only section provenance changes no decision; result rejects enrichment over prose-derived controls only not rare reference reuse
S98	FINAL_VALIDATED_QUALIFIED_NONCONFIRMATION	stable human-labelled pharmaceutical-fragment forms may transfer selectively into Herbal prose relative to matched astronomical and zodiac label forms after Currier-A control	Stolfi-1997 manual label locations crosswalked to Stolfi-1998 P versus A/Z classes; 55 one-to-one stable exact-length pairs; synchronous three-reading cross-page confirmed prose	coverage below 30 pairs fewer than 15 target H hits specificity mean below .30 Holm p above .05 H-page mean below .10 net wins below 6 negative exact-token direction or frozen length or source-page robustness failure	55 score-blind target-control pairs under inventory hash c10f2944baedf6c0471505641a63c18b1bcad55c07e3d873bcbeeb3967da42ac	NONCONFIRMED AND INDEPENDENTLY RECONSTRUCTED: joined specificity +.046414 raw p .378981 Holm p 1; 14 H-hit targets, H-count delta -.113343, 11 wins/11 losses, six of nine gates fail; seven targets are container/container? and matching is deterministic maximum-cardinality but not global minimum-cost, so this closes only the frozen complete-form panel
S99	FINAL_VALIDATED_QUALIFIED_NONCONFIRMATION	literal roots in four individually mapped pharmaceutical plant labels may recover the independently human-identified same-plant Herbal page among the four possible Herbal pages	four unhedged repeated-plant relations with distinct Herbal pages and distinct local plant-label loci, two with explicit attachment and two with curated row-order/proximity ownership; exhaustive 24-assignment test; separate ZL3b IT2a RF1b conjunction	any reading lacks the unique-best primary or rare assignment at p 1/24 has fewer than 3/4 individual tops has primary mean margin below .05 lacks a rare root in any label or has Jaccard diagonal at or below the assignment median	four score-blind pairs under inventory hash a673f3aa4ee29da06646fbd4aec59cdfe8a666a8c7ed545075dda775065fe590	NONCONFIRMED AND INDEPENDENTLY RECONSTRUCTED: primary exact assignment p ZL/IT .916667 and RF .666667 with 0/4 individual true tops and all mean margins negative; rare roots absent from every ZL/IT label and retained in one RF label only; closes plus-delimited atom/full-page assignment conditional on the curated mappings, not intact compositions paragraph locality paraphrase or meanings
S102	STOPPED_UNSCORED_COVERAGE	the externally human-classified same-drawing Herbal pair f39r/f95r2 may have unusually parallel full-page parsed root-atom profiles in the complete cross-hand Herbal-B grid	one externally selected GOOD_HERBAL_HERBAL relation; complete 20 by 6 grid; all-root TF-IDF cosine; exact hand section Currier role-shell atom-count paragraph-state carrier-state conditional shuffles; crossed residual and alternate-reading minimum	coverage below 70 percent in either target page/reading; fixture or integrity failure; target not unique rank 1/120; cross-reading T below 2.5; any nonpositive reading residual; row or column top failure; distributed concentration or deletion failure; independent reconstruction failure	one external target among 120 cells; target textual score remains unopened under inventory hash 787a2aca689750431600aee80be1675a674f64635ab85c67abb47cdcdf940955	STOPPED BEFORE LEXICAL SCORING: f39r strong donor coverage passes at .750/.738/.787 but f95r2 reaches only .416/.500/.553 against the frozen .70 gate; no root identity overlap or similarity was opened and no semantic nonconfirmation follows
S103	FINAL_NUMERICALLY_UNSTABLE_STOP	five new human-noted Herbal drawing/component relations may recover their true five-way partner assignment through distributed page-wide parsed root-atom material	five externally selected relations over ten distinct H Currier-A hand-1 confirmed-prose pages; all-root TF-IDF; exact grammar-slot calibration from the fixed 95-page universe; exhaustive 120 fixed-page assignments	any endpoint/reading has below 70 percent exact-key donor coverage; integrity or stability failure; true assignment not unique rank 1/120 jointly and in every reading; robust score below 2 or margin below .25; mean diagonal Z below .5; pair/root/locus deletion or independent reconstruction failure	one fixed five-pair panel under inventory hash 42e1e39627330b5d9272699b2a19bceb15c0e180e3457f95d1ffb3f099f92da4	independent 48-check reconstruction confirms PRIMARY_SPLIT_DECISION_OR_CELL_Z_INSTABILITY with zero discrepancies: pooled rank 15/120, reading ranks 18/14/18, all primary gates false, pair-deletion rank 11/24, and maximum half-Z difference .126562 above .10; no root diagnostics ablation grammar meaning or translation opened
