group_serial	diagram_id	page	locus	event_index	opaque_local_id	surface	visible_owner	local_namespace	transfer_status	exact_prose_joint_tuple_id	selected_component_parse	candidate_workshop_value_de	parse_alternatives	owner_and_namespace_preserved	cross_instrument_join	previous_candidate_value_de	atomic_common_root_value_de	common_root_revision	ambiguity_resolution_rule	label_frame_resolution_rule	address_core_resolution_rule	nomenclator_resolution	previous_atomic_value_de	common_action_revision
25	A1	f67r2	f67r2.11	2	A1:G025	chykchs	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+CH+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + entnehmen + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + abziehen + Sternbezug	YES
26	A1	f67r2	f67r2.11	3	A1:G026	chy	A1_RIGHT_SECTOR_SLOT_11	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies	NO
27	A1	f67r2	f67r2.12	1	A1:G027	ykees	A1_RIGHT_SECTOR_SLOT_12	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+EE+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + laenger + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + laenger + Sternbezug	NO
28	A1	f67r2	f67r2.12	2	A1:G028	ykchos	A1_RIGHT_SECTOR_SLOT_12	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	Y+K+HO+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + zufuehren + Gabe + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	dies + zufuehren + Gabe + Sternbezug	NO
29	A1	f67r2	f67r2.13	1	A1:G029	opodchol	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+O+OL	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NONE	YES	NONE	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + hinein + Arbeitsgang + fortsetzen	NO
30	A1	f67r2	f67r2.13	2	A1:G030	s	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	Sternbezug	NO
31	A1	f67r2	f67r2.13	3	A1:G031	ain	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIN	Portion	NONE	YES	NONE	Portion	Portion	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Portion	NO
32	A1	f67r2	f67r2.13	4	A1:G032	aldy	A1_RIGHT_RING_BAND_01	A67_RIGHT_CELESTIAL_WHEEL	POSITION_RESOLVED_COMPONENT_SEQUENCE	NONE	AL+DY	ASTRO_LOCAL_LABEL_PENDING_CHOICE	AL+DY || AL+Y	YES	NONE	ASTRO_LOCAL_LABEL_PENDING_CHOICE	Stelle + Schluss	NO	LOCUS_FINAL_OR_SINGLETON_TAKES_LICENSED_ENDPOINT	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Stelle + Schluss	NO
33	A1	f67r2	f67r2.14	1	A1:G033	soeey	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	S_ADDR+O+EE+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug + Arbeitsgang + laenger + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Sternbezug + Arbeitsgang + laenger + dies	NO
34	A1	f67r2	f67r2.14	2	A1:G034	doiin	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+O+IIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + Arbeitsgang + Sollstufe	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Teiladresse + Arbeitsgang + Sollstufe	NO
35	A1	f67r2	f67r2.14	3	A1:G035	oldy	A1_RIGHT_RING_BAND_02	A67_RIGHT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	1b1ffdd869fb1429ad03	OL+DY	fortsetzen; Schluss	NONE	YES	NONE	fortsetzen; Schluss	fortsetzen; Schluss	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	fortsetzen; Schluss	NO
36	A1	f67r2	f67r2.15	1	A1:G036	dolchsody	A1_LEFT_LOCAL_FIELD_15	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	D_ADDR+OL+CH+S_ADDR+O+DY	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Teiladresse + fortsetzen + entnehmen + Sternbezug + Arbeitsgang + Schluss	NO	NOT_REQUIRED	NOT_APPLIED	LOCUS_ENDPOINT	NOT_REQUIRED	Teiladresse + fortsetzen + abziehen + Sternbezug + Arbeitsgang + Schluss	YES
37	A1	f67r2	f67r2.16	1	A1:G037	odaeiin	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	O+D_ADDR+A_ADDR+E+IIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Arbeitsgang + Teiladresse + Nebenadresse + kurz + Sollstufe	NO
38	A1	f67r2	f67r2.16	2	A1:G038	okoes	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	ASTRO_LABEL_FRAME_RESOLVED_COMPONENT_SEQUENCE	NONE	OK+O+E+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	ansetzen + Arbeitsgang + kurz + Sternbezug	NO	NOT_REQUIRED	UNIQUE_CORE_AFTER_LABEL_FRAME_REMOVAL	NOT_APPLIED	NOT_REQUIRED	ansetzen + Arbeitsgang + kurz + Sternbezug	NO
39	A1	f67r2	f67r2.16	3	A1:G039	oekain	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+E+K+AIN	Arbeitsgang + kurz + zufuehren + Portion	NONE	YES	NONE	Arbeitsgang + kurz + zufuehren + Portion	Arbeitsgang + kurz + zufuehren + Portion	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + kurz + zufuehren + Portion	NO
40	A1	f67r2	f67r2.16	4	A1:G040	y	A1_LEFT_LOCAL_FIELD_16	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies	NO
41	A1	f67r2	f67r2.17	1	A1:G041	otchey	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	faf321940aed922846a9	OT+Y	nächster Posten	NONE	YES	NONE	nächster Posten	nächster Posten	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	nächster Posten	NO
42	A1	f67r2	f67r2.17	2	A1:G042	soraiir	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	ASTRO_COUNT_SECTION_RESOLVED_SEQUENCE	NONE	OR+A_ADDR+I_COUNT+I_COUNT+R	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + senken	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NEW_RECURRENT_CORE	Ansatz + Nebenadresse + Zaehlstrich + Zaehlstrich + abkuehlen	YES
43	A1	f67r2	f67r2.17	3	A1:G043	dy	A1_LEFT_LOCAL_FIELD_17	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	b921a237be883a820352	Y	dies	NONE	YES	NONE	dies	dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	dies	NO
44	A1	f67r2	f67r2.18	1	A1:G044	qopchy	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	O+P+Y	Arbeitsgang + hinein + dies	NONE	YES	NONE	Arbeitsgang + hinein + dies	Arbeitsgang + hinein + dies	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Arbeitsgang + hinein + dies	NO
45	A1	f67r2	f67r2.18	2	A1:G045	daiin	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	2f1c5e56e8f0ff459065	AIIN	Mass	NONE	YES	NONE	Mass	Mass	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Mass	NO
46	A1	f67r2	f67r2.18	3	A1:G046	dal	A1_LEFT_LOCAL_FIELD_18	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	dd0ecaf5e27d81befffc	AL	Stelle	NONE	YES	NONE	Stelle	Stelle	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Stelle	NO
47	A1	f67r2	f67r2.19	1	A1:G047	ydchos	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	Y+D_ADDR+HO+S_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	dies + Teiladresse + Gabe + Sternbezug	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	dies + Teiladresse + Gabe + Sternbezug	NO
48	A1	f67r2	f67r2.19	2	A1:G048	ain	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AIN	Portion	NONE	YES	NONE	Portion	Portion	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	Portion	NO
49	A1	f67r2	f67r2.19	3	A1:G049	ar	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort	NO
50	A1	f67r2	f67r2.19	4	A1:G050	amy	A1_LEFT_LOCAL_FIELD_19	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AM_ADDR+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gegenfeld + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gegenfeld + dies	NO
51	A1	f67r2	f67r2.20	1	A1:G051	chocfhy	A1_LEFT_LOCAL_FIELD_20	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	HO+CFH_CLASS+Y	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gabe + Sternhaufen + dies	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gabe + Sternhaufen + dies	NO
52	A1	f67r2	f67r2.20	2	A1:G052	saral	A1_LEFT_LOCAL_FIELD_20	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR+AL	von dort + Stelle	NONE	YES	NONE	von dort + Stelle	von dort + Stelle	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort + Stelle	NO
53	A1	f67r2	f67r2.21	1	A1:G053	sain	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	S_ADDR+AIN	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Sternbezug + Portion	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Sternbezug + Portion	NO
54	A1	f67r2	f67r2.21	2	A1:G054	am	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	ASTRO_ADDRESS_CORE_RESOLVED_SEQUENCE	NONE	AM_ADDR	ASTRO_LOCAL_LABEL	NONE	YES	NONE	ASTRO_LOCAL_LABEL	Gegenfeld	NO	NOT_REQUIRED	NOT_APPLIED	UNIQUE_SHORTEST_ASTRO_ADDRESS_PARSE	NOT_REQUIRED	Gegenfeld	NO
55	A1	f67r2	f67r2.21	3	A1:G055	ar	A1_LEFT_LOCAL_FIELD_21	A67_LEFT_CELESTIAL_WHEEL	UNIQUE_COMPONENT_SEQUENCE	NONE	AR	von dort	NONE	YES	NONE	von dort	von dort	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	von dort	NO
56	A1	f67r2	f67r2.22	1	A1:G056	okal	A1_LEFT_LOCAL_FIELD_22	A67_LEFT_CELESTIAL_WHEEL	EXACT_PROSE_SURFACE	308e8ea2d5d190c498e8	OK+AL	an die Stelle setzen	NONE	YES	NONE	an die Stelle setzen	an die Stelle setzen	NO	NOT_REQUIRED	NOT_APPLIED	NOT_APPLIED	NOT_REQUIRED	an die Stelle setzen	NO
