rank	page	locus	surface	working_default_de	practical_render_de	card_type	composition	strongest_rival_de	strength	zl3b_line	v38_translation_de	v39_translation_de	status
11	f113v	f113v.41	a	je, zu gleichen Teilen	je zu gleichen Teilen	LEARNED_FUNCTION_WORD	LEARNED_EQUAL_PARTS_SIGN	davon/mit als Mengenanschluss	MEDIUM_EXACT_WHOLE	dair aiin okain a r aiin cheody	abgemessene Fraktion II; Menge III; heiß im Zubereitungsrahmen, Grad II; [a:?]; Wurzel: Menge III; getrockneter Ansatz	abgemessene Fraktion II; Menge III; heiß im Zubereitungsrahmen, Grad II; je zu gleichen Teilen; Wurzel; Menge III; getrockneter Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
12	f115v	f115v.10	oteeo	zweiter Kaltansatz	zweiter Kaltansatz	PRODUCTIVE_COMPOUND	O_PREP+T_COLD+EE_STAGE_II+O_MEDIUM	kalte Zubereitung am Gradende	MEDIUM_EXACT_WHOLE	saiin sho sheody okaiin dalchedy oteeo chedy	Samen/Saatgut, Typ/Charge III; feuchter Ansatz; angefeuchteter Ansatz, abgeschlossen; heiß, Grad III, im Ansatzrahmen; abgemessener Rohstoff I, trocken in der Gradmitte, abgeschlossen; [oteeo:?]; trocken in der Mitte des Grades, abgeschlossen	Samen/Saatgut, Typ/Charge III; feuchter Ansatz; angefeuchteter Ansatz, abgeschlossen; heiß, Grad III, im Ansatzrahmen; abgemessener Rohstoff I, trocken in der Gradmitte, abgeschlossen; zweiter Kaltansatz; trocken in der Mitte des Grades, abgeschlossen	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
13	f116r	f116r.6	lain	Drogenholz, Charge II	Drogenholz, Charge II	PRODUCTIVE_COMPOUND	L_WOOD+A_VALUE+IN_II	Flüssigkeit oder Auszug, Klasse II	STRONG_PRACTICAL_OR_COMPOSITIONAL	sain ol lchedy chedy otey chedy lain otedy oteey	Saatgut, Typ/Charge II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; getrocknetes Drogenholz; trocken in der Mitte des Grades, abgeschlossen; kalter Ansatz in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; [lain:?]; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalter Ansatz am Ende des Grades	Saatgut, Typ/Charge II; Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; getrocknetes Drogenholz; trocken in der Mitte des Grades, abgeschlossen; kalter Ansatz in der Mitte des Grades; trocken in der Mitte des Grades, abgeschlossen; Drogenholz, Charge II; kalter Ansatz in der Mitte des Grades, abgeschlossen; kalter Ansatz am Ende des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
14	f11v	f11v.2	dchy	Dosis Trockendroge, Grundform	Dosis Trockendroge, Grundform	PRODUCTIVE_COMPOUND	D_DOSE+CHY_DRY_BASE	bloßes Trockenmaß	STRONG_PRACTICAL_OR_COMPOSITIONAL	shol dy chckhy shcthy daiin dam ykchy dain dchy	feucht; nominal feuchtes Gut/Material; Arzneikompositum: trocken, Gradanfang; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; Menge/Portion III; Dosis I; hierzu: heiß-trocken am Gradanfang; Grad-/Maßwert II; [dchy:?]	feucht; nominal feuchtes Gut/Material; Arzneikompositum: trocken, Gradanfang; feuchte CTH-Materialform; im Herbal feuchtes Blatt-/Krautgut; Menge/Portion III; Dosis I; Eintrag/Bezug: heiß-trocken am Gradanfang; Grad-/Maßwert II; Dosis Trockendroge, Grundform	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
15	f15v	f15v.2	oro	Ansatzportion	Ansatzportion	HYBRID_EXACT	OR_PORTION+O_PREP	zweite Portion	MEDIUM_EXACT_WHOLE	chor or oro r aiin cthy ain dar	Pflanzen-/Reproduktionsteil; Drogenportion; [oro:?]; Wurzel: Menge III; CTH-Drogenmaterial; Menge-/Klassenwert II; abgemessene Fraktion I	Pflanzen-/Reproduktionsteil; Drogenportion; Ansatzportion; Wurzel; Menge III; CTH-Drogenmaterial; Menge-/Klassenwert II; abgemessene Fraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
16	f15v	f15v.6	choty	kalter Trockenansatz	kalter Trockenansatz	PRODUCTIVE_COMPOUND	CH_DRY+O_PREP+T_COLD+Y_BASE	nur kalt-trockener Zustand	STRONG_PRACTICAL_OR_COMPOSITIONAL	qotchey choty kaiin otchy r aiin	kalt und trocken in der Mitte des Grades; [choty:?]; heiß, Grad III; kalt-trockener Ansatz am Anfang des Grades; Wurzel: Menge III	kalt und trocken in der Mitte des Grades; kalter Trockenansatz; heiß, Grad III; kalt-trockener Ansatz am Anfang des Grades; Wurzel; Menge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
17	f17v	f17v.6	oekor	erwärmte Ansatzportion	erwärmte Ansatzportion	PRODUCTIVE_COMPOUND	O_PREP+E_BOUND+K_HOT+OR_PORTION	heißer Drogenteil	MEDIUM_EXACT_WHOLE	oekor or okaiin or otaiin d	[oekor:?]; Drogenportion; heiß, Grad III, im Ansatzrahmen; Drogenportion; kalt im Zubereitungsrahmen, Grad III; Dosisvermerk.	erwärmte Ansatzportion; Drogenportion; heiß, Grad III, im Ansatzrahmen; Drogenportion; kalt im Zubereitungsrahmen, Grad III; Dosis	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
18	f19v	f19v.7	ycho	Eintrag: Trockenansatz	Eintrag: Trockenansatz	PRODUCTIVE_COMPOUND	Y_ENTRY+CHO_DRY_PREP	Y-Grenze vor CHO	MEDIUM_EXACT_WHOLE	ycho r chaiin cthor	[ycho:?]; Wurzel; trocken, Grad III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	Eintrag: Trockenansatz; Wurzel; trocken, Grad III; Drogenteil/-portion; im Herbal Portion Blatt-/Krautdroge	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
19	f20r	f20r.8	schodain	trockener Samenansatz, Dosis II	trockener Samenansatz, Dosis II	PRODUCTIVE_COMPOUND	S_SEED+CHO_DRY_PREP+DAIN_DOSE_II	Salzansatz, Grad II	MEDIUM_EXACT_WHOLE	schodain cheo r cheody	[schodain:?]; trocken angesetzte Zubereitung; Wurzel; getrockneter Ansatz	trockener Samenansatz, Dosis II; trocken angesetzte Zubereitung; Wurzel; getrockneter Ansatz	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
20	f20v	f20v.8	choraly	roher Pflanzenteil, Klasse I	roher Pflanzenteil, Klasse I	PRODUCTIVE_COMPOUND	CHOR_PLANT_PART+AL_RAW_I+Y_BASE	Blütenteil, Klasse I	LOW_EXPLORATORY	shain choraly sho ar chy daiin d s	feucht, Grad II; [choraly:?]; feuchter Ansatz; Drogenfraktion I; trocken am Anfang des Grades; Grad-/Maßwert III; Dosis; Samen-/Saatgutposten.	feucht, Grad II; roher Pflanzenteil, Klasse I; feuchter Ansatz; Drogenfraktion I; trocken am Anfang des Grades; Grad-/Maßwert III; Dosis; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
21	f21r	f21r.10	totchy	kalter Ansatz aus kalt-trockener Droge	kalter Ansatz aus kalt-trockener Droge	PRODUCTIVE_COMPOUND	T_COLD+O_PREP+TCH_COLD_DRY+Y_BASE	doppelt kalt markierter Ansatz	LOW_EXPLORATORY	totchy keor chy ky qotaiin qotchol ty ctheey otaiin	[totchy:?]; heiße Drogenportion; trocken am Anfang des Grades; heiß am Anfang des Grades; kalt, Grad III; Material: kalt und trocken; kalt am Anfang des Grades; CTH-Drogenmaterial, Form II; kalt im Zubereitungsrahmen, Grad III	kalter Ansatz aus kalt-trockener Droge; heiße Drogenportion; trocken am Anfang des Grades; heiß am Anfang des Grades; kalt, Grad III; Material: kalt und trocken; kalt am Anfang des Grades; CTH-Drogenmaterial, Form II; kalt im Zubereitungsrahmen, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
22	f22v	f22v.8	qokol	erhitzen	erhitze	PRODUCTIVE_COMPOUND	QO_COMMAND+KOL_HOT_MATERIAL	heißes Drogenmaterial	STRONG_PRACTICAL_OR_COMPOSITIONAL	qotchy cthy qokol daiin dam	kalt und trocken am Anfang des Grades; CTH-Drogenmaterial; [qokol:?]; Qualitätsgrad III; Dosis I.	kalt und trocken am Anfang des Grades; CTH-Drogenmaterial; erhitze bis Grad III; Dosis I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
23	f24r	f24r.16	sham	ein Maß Flüssigkeit	ein Maß Flüssigkeit	PRODUCTIVE_COMPOUND	SH_MOIST+AM_UNIT_I	ein Maß angefeuchteter Droge	STRONG_PRACTICAL_OR_COMPOSITIONAL	sham okeal dal dam dal	[sham:?]; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; abgemessene Rohstoffmenge I; Dosis I; abgemessene Rohstoffmenge I	ein Maß Flüssigkeit; Rohstoffklasse I im Ansatz, heiß in der Gradmitte; abgemessene Rohstoffmenge I; Dosis I; abgemessene Rohstoffmenge I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
24	f24v	f24v.8	kochky	heißer Trockenansatz, Grundform	heißer Trockenansatz, Grundform	PRODUCTIVE_COMPOUND	K_HOT+O_PREP+CHK_DRY_HOT+Y_BASE	Arzneikompositumform	LOW_EXPLORATORY	kochky chcthy shol sain	[kochky:?]; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; feucht; nominal feuchtes Gut/Material; Saatgut, Typ/Charge II	heißer Trockenansatz, Grundform; trockene CTH-Materialform; im Herbal trockenes Blatt-/Krautgut; feucht; nominal feuchtes Gut/Material; Saatgut, Typ/Charge II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
25	f28r	f28r.7	otoldy	fertiger Kaltansatz	fertiger Kaltansatz	PRODUCTIVE_COMPOUND	O_PREP+TOL_COLD_MATERIAL+DY_FINISHED	kaltes Materialfeld, geschlossen	STRONG_PRACTICAL_OR_COMPOSITIONAL	sho otor shockhy shocthy otoldy dshor dol dar	feuchter Ansatz; kalte Drogenportion im Ansatz; Arzneikompositum im Feuchtansatz am Gradanfang; feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; [otoldy:?]; abgemessene Blüten-/Fruchtdroge; Materialmaß; abgemessene Fraktion I	feuchter Ansatz; kalte Drogenportion im Ansatz; Arzneikompositum im Feuchtansatz am Gradanfang; feuchte CTH-Drogenzubereitung; im Herbal feuchte Blatt-/Krautzubereitung; fertiger Kaltansatz; abgemessene Blüten-/Fruchtdroge; Materialmaß; abgemessene Fraktion I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
26	f32r	f32r.8	qo	nehmen	nimm Folgendes:	LEARNED_FUNCTION_WORD	LEARNED_RECIPE_COMMAND	Rezept- oder Qualitätsrahmen	STRONG_PRACTICAL_OR_COMPOSITIONAL	qo ar daiin dam	[qo:?]; Drogenfraktion I; Grad-/Maßwert III; Dosis I.	nimm Folgendes: Drogenfraktion I; Grad-/Maßwert III; Dosis I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
27	f32v	f32v.8	ctho	Krautansatz	Krautansatz	PRODUCTIVE_COMPOUND	CTH_LEAF_HERB+O_PREP	Blattansatz	STRONG_PRACTICAL_OR_COMPOSITIONAL	otchol daiin daiin ctho daiin qotaiin otchy d shan	kalt-trockener Zubereitungsstoff; Qualitätsgrad III; Grad-/Maßwert III; [ctho:?]; Grad-/Maßwert III; kalt, Grad III; kalt-trockener Ansatz am Anfang des Grades; Dosis; feucht, Grad I	kalt-trockener Zubereitungsstoff; Qualitätsgrad III; Grad-/Maßwert III; Krautansatz; Grad-/Maßwert III; kalt, Grad III; kalt-trockener Ansatz am Anfang des Grades; Dosis; feucht, Grad I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
28	f35v	f35v.12	dchaiin	abgemessene Trockendroge, Grad III	abgemessene Trockendroge, Grad III	PRODUCTIVE_COMPOUND	D_MEASURED+CH_DRY+A_VALUE+IIN_III	Trockenheitsgrad III	MEDIUM_EXACT_WHOLE	dchaiin d aiin d aiin dal s	[dchaiin:?]; davon/Dosis: Menge III; davon/Dosis: Menge III; abgemessene Rohstoffmenge I; Samen-/Saatgutposten.	abgemessene Trockendroge, Grad III; Dosis; Menge III; Dosis; Menge III; abgemessene Rohstoffmenge I; Samen-/Saatgutposten.	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
29	f35v	f35v.16	ydaiin	davon drei Maße	davon drei Maße	PRODUCTIVE_COMPOUND	Y_REFERENCE+DAIIN_DOSE_III	Bezugsdosis III	STRONG_PRACTICAL_OR_COMPOSITIONAL	ydaiin okeey d aiin	[ydaiin:?]; heißer Ansatz am Ende des Grades; davon/Dosis: Menge III	davon drei Maße; heißer Ansatz am Ende des Grades; Dosis; Menge III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
30	f37v	f37v.4	dytory	als kalte Portion abteilen	teile als kalte Portion ab	HYBRID_EXACT	DY_FINISHED+T_COLD+OR_PORTION+Y	abgeschlossener kalter Teilwert	MEDIUM_EXACT_WHOLE	dshor dytory dshor daiin	abgemessene Blüten-/Fruchtdroge; [dytory:?]; abgemessene Blüten-/Fruchtdroge; Menge/Portion III	abgemessene Blüten-/Fruchtdroge; teile als kalte Portion ab; abgemessene Blüten-/Fruchtdroge; Menge/Portion III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
31	f42r	f42r.23	kolschees	heiß getrocknete Arzneispecies	heiß getrocknete Arzneispecies	HYBRID_EXACT	KOL_HOT_MATERIAL+S+CHEES_DRY_II	heißes Material plus trockene Species	MEDIUM_EXACT_WHOLE	okchol shol kolschees	heißer Ansatz aus Trockengut; feucht; nominal feuchtes Gut/Material; [kolschees:?]	heißer Ansatz aus Trockengut; feucht; nominal feuchtes Gut/Material; heiß getrocknete Arzneispecies	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
32	f47r	f47r.10	tchol	kalt-trockenes Drogenmaterial	kalt-trockenes Drogenmaterial	PRODUCTIVE_COMPOUND	T_COLD+CHOL_DRY_MATERIAL	reine Qualitätsangabe	STRONG_PRACTICAL_OR_COMPOSITIONAL	shy otcho keey tor chey otchy tchol dain dam	feucht am Anfang des Grades; kalt-trockene Zubereitung; heiß am Ende des Grades; kalte Drogenportion; trocken in der Mitte des Grades; kalt-trockener Ansatz am Anfang des Grades; [tchol:?]; Qualitätsgrad II; Dosis I.	feucht am Anfang des Grades; kalt-trockene Zubereitung; heiß am Ende des Grades; kalte Drogenportion; trocken in der Mitte des Grades; kalt-trockener Ansatz am Anfang des Grades; kalt-trockenes Drogenmaterial; Qualitätsgrad II; Dosis I	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
33	f49r	f49r.13	cthodd	fertiger Krautabsud	fertiger Krautabsud	HYBRID_EXACT	CTH_LEAF_HERB+O_PREP+DD_FINISHED	fertiger Blattabsud	LOW_EXPLORATORY	d chol y tcheol daiin cthodd	Dosis; trocken; nominal trockenes Gut/Material; kalt-trockener Drogenstoff; Qualitätsgrad III; [cthodd:?]	Dosis; trocken; nominal trockenes Gut/Material; kalt-trockener Drogenstoff; Qualitätsgrad III; fertiger Krautabsud	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
34	f49r	f49r.6	sheoty	kalt angesetzte Feuchtzubereitung	kalt angesetzte Feuchtzubereitung	PRODUCTIVE_COMPOUND	SHEO_MOIST_PREP+T_COLD+Y_BASE	feucht-kalte Qualitätsform	MEDIUM_EXACT_WHOLE	ol or shes sheoty choldaiin	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Drogenportion; feuchtes Drogenmaterial, Mittelstufe; [sheoty:?]; trocken, Grad III	Eigenschafts-/Zustands-/Materialträger; als nacktes Wort Gut/Ansatz; Drogenportion; feuchtes Drogenmaterial, Mittelstufe; kalt angesetzte Feuchtzubereitung; trocken, Grad III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
35	f49v	f49v.52	ykchokeo	Eintrag: heiß-trockener Auszug	Eintrag: heiß-trockener Auszug	PRODUCTIVE_COMPOUND	Y_ENTRY+KCH_HOT_DRY+O_PREP+KEO	verschachtelte Qualitätsform	LOW_EXPLORATORY	ykchokeo r cheey daiin	[ykchokeo:?]; Wurzel; trocken am Ende des Grades; Grad-/Maßwert III	Eintrag: heiß-trockener Auszug; Wurzel; trocken am Ende des Grades; Grad-/Maßwert III	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
36	f51v	f51v.12	ochockhy	Trockenansatz eines Arzneikompositums	Trockenansatz eines Arzneikompositums	HYBRID_EXACT	O_PREP+CHO_DRY+CKH_COMPOSITE+Y	heiß-trockener CTH-Ansatz	LOW_EXPLORATORY	ochockhy daiin cho ckhey	[ochockhy:?]; Grad-/Maßwert III; Trockenansatz; Arzneikompositum in der Gradmitte	Trockenansatz eines Arzneikompositums; Grad-/Maßwert III; Trockenansatz; Arzneikompositum in der Gradmitte	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
37	f54v	f54v.7	qoctheol	Krautgrundstoff	Krautgrundstoff	PRODUCTIVE_COMPOUND	QO_FRAME+CTH_LEAF_HERB+E+OL_MATERIAL	Blattgrundstoff	LOW_EXPLORATORY	daiin sheody qoctheol s aiin qotchy	Grad-/Maßwert III; angefeuchteter Ansatz, abgeschlossen; [qoctheol:?]; Samen-/Saatgutposten; Menge III; kalt und trocken am Anfang des Grades	Grad-/Maßwert III; angefeuchteter Ansatz, abgeschlossen; Krautgrundstoff; Samen-/Saatgutposten; Menge III; kalt und trocken am Anfang des Grades	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
38	f56v	f56v.12	kcheeytain	heiß-trocken bis Endstufe, danach kalt Grad II	heiß-trocken bis Endstufe, danach kalt Grad II	PRODUCTIVE_COMPOUND	K_HOT+CHEEY_DRY_END+TAIN_COLD_II	Zustandsliste ohne Folge	LOW_EXPLORATORY	qokchey ctheey lkeey kcheeytain	heiß und trocken in der Mitte des Grades; CTH-Drogenmaterial, Form II; Drogenholz, heiß am Gradende; [kcheeytain:?]	heiß und trocken in der Mitte des Grades; CTH-Drogenmaterial, Form II; Drogenholz, heiß am Gradende; heiß-trocken bis Endstufe, danach kalt Grad II	COMPLETE_WITH_PROVISIONAL_CONCRETE_DEFAULT
