clause_id	physical_page	register	start_event	end_event	events	phase_blocks	phase_sequence	end_reason	scribe_style_translation_de
P915-C011	f55v	HERBAL	P912-E0237	P912-E0258	22	11	EXECUTE>PREPARE>EXECUTE>TRANSFER>SELECT>PREPARE>SELECT>PREPARE>EXECUTE>PREPARE>EXECUTE	LICENSED_DY_CLOSE	Arbeitsgang — bearbeiten. Vorbereitung — ansetzen, bearbeiten, zugeben und auswählen und ansetzen. Arbeitsgang — bearbeiten. Weitergabe — umsetzen. Auswahl — auswählen. Vorbereitung — zugeben und ansetzen. Auswahl — entnehmen. Vorbereitung — zugeben. Arbeitsgang — bearbeiten und umsetzen. Vorbereitung — ansetzen. Arbeitsgang — bearbeiten. Damit ist dieser Arbeitszug beendet.
P915-C012	f55v	HERBAL	P912-E0259	P912-E0263	5	4	PREPARE>SELECT>PREPARE>EXECUTE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Auswahl — entnehmen. Vorbereitung — zweimal zugeben. Arbeitsgang — bearbeiten. Damit ist dieser Arbeitszug beendet.
P915-C013	f55v	HERBAL	P912-E0264	P912-E0319	56	22	TRANSFER>EXECUTE>PREPARE>CONDITION>PREPARE>CONDITION>SELECT>PREPARE>CONDITION>EXECUTE>TRANSFER>PREPARE>EXECUTE>PREPARE>EXECUTE>SELECT>PREPARE>EXECUTE>PREPARE>SELECT>CONDITION>CONTEXT	LICENSED_DY_CLOSE	Weitergabe — umsetzen. Arbeitsgang — einstellen. Vorbereitung — zweimal zugeben. Zustand — behandeln. Vorbereitung — ansetzen, umsetzen und zugeben. Zustand — halten und ansetzen. Auswahl — entnehmen. Vorbereitung — zugeben, umsetzen und einsetzen und entnehmen. Zustand — markieren. Arbeitsgang — einstellen. Weitergabe — umsetzen. Vorbereitung — zweimal ansetzen. Arbeitsgang — einstellen und bearbeiten. Vorbereitung — ansetzen und zugeben, zugeben, in drei Stufen ansetzen und zweimal zugeben. Arbeitsgang — bearbeiten. Auswahl — auswählen. Vorbereitung — zweimal ansetzen. Arbeitsgang — einstellen. Vorbereitung — dreimal zugeben. Auswahl — entnehmen und bearbeiten. Zustand — behandeln. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Damit ist dieser Arbeitszug beendet.
P915-C014	f55v	HERBAL	P912-E0320	P912-E0334	15	6	PREPARE>EXECUTE>CONDITION>PREPARE>SELECT>CONTEXT	PAGE_END_OPEN	Vorbereitung — ansetzen. Arbeitsgang — einstellen. Zustand — behandeln. Vorbereitung — zugeben und einen Anteil entnehmen. Auswahl — auswählen. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Der Arbeitszug wird im nächsten Eintrag fortgesetzt.
P915-C015	f56r	HERBAL	P912-E0335	P912-E0340	6	2	EXECUTE>SELECT	LICENSED_DY_CLOSE	Arbeitsgang — bearbeiten. Auswahl — dreimal entnehmen und zweimal auswählen. Damit ist dieser Arbeitszug beendet.
P915-C016	f56r	HERBAL	P912-E0341	P912-E0385	45	19	SELECT>PREPARE>SELECT>CONDITION>PREPARE>SELECT>PREPARE>CONDITION>PREPARE>TRANSFER>SELECT>PREPARE>SELECT>PREPARE>CONDITION>PREPARE>SELECT>PREPARE>SELECT	LICENSED_DY_CLOSE	Auswahl — entnehmen und bearbeiten, umleiten und zweimal entnehmen. Vorbereitung — ansetzen und entnehmen und zugeben und einen Anteil entnehmen. Auswahl — entnehmen und zugeben und einen Anteil entnehmen. Zustand — halten und ansetzen. Vorbereitung — ansetzen und zugeben, in drei Stufen ansetzen und auswählen. Auswahl — zweimal entnehmen. Vorbereitung — ansetzen. Zustand — behandeln. Vorbereitung — ansetzen. Weitergabe — umsetzen. Auswahl — entnehmen. Vorbereitung — zugeben und einen Anteil entnehmen und bearbeiten. Auswahl — entnehmen. Vorbereitung — zugeben. Zustand — halten und bearbeiten. Vorbereitung — zugeben. Auswahl — entnehmen. Vorbereitung — zweimal ansetzen. Auswahl — entnehmen und bearbeiten. Damit ist dieser Arbeitszug beendet.
P915-C017	f56r	HERBAL	P912-E0386	P912-E0439	54	27	EXECUTE>PREPARE>CONDITION>SELECT>EXECUTE>SELECT>PREPARE>EXECUTE>CONDITION>PREPARE>CONDITION>SELECT>PREPARE>CONDITION>PREPARE>SELECT>EXECUTE>CONDITION>SELECT>CONDITION>PREPARE>SELECT>CONDITION>PREPARE>SELECT>PREPARE>CONTEXT	PAGE_END_OPEN	Arbeitsgang — einstellen und ansetzen. Vorbereitung — zugeben. Zustand — halten. Auswahl — zweimal entnehmen. Arbeitsgang — zweimal einstellen. Auswahl — zweimal entnehmen. Vorbereitung — ansetzen. Arbeitsgang — einstellen. Zustand — markieren. Vorbereitung — ansetzen und zugeben und entnehmen. Zustand — bis bereit führen. Auswahl — entnehmen und bearbeiten und auswählen. Vorbereitung — ansetzen. Zustand — halten. Vorbereitung — zugeben und einen Anteil entnehmen, zweimal ansetzen, entnehmen, zweimal ansetzen und zugeben und einen Anteil entnehmen. Auswahl — auswählen und entnehmen. Arbeitsgang — einstellen, entnehmen und bearbeiten und einstellen. Zustand — bis bereit führen. Auswahl — entnehmen und bearbeiten. Zustand — bis bereit führen, bearbeiten und markieren. Vorbereitung — zugeben und einen Anteil entnehmen, zweimal ansetzen und entnehmen. Auswahl — auswählen und entnehmen. Zustand — halten und bearbeiten. Vorbereitung — ansetzen und entnehmen, zugeben und einen Anteil entnehmen und bearbeiten. Auswahl — auswählen und bearbeiten. Vorbereitung — zugeben. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Der Arbeitszug wird im nächsten Eintrag fortgesetzt.
P915-C018	f75r	BIOLOGICAL	P912-E0440	P912-E0446	7	3	PREPARE>TRANSFER>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — zugeben, umsetzen, zugeben, zweimal ansetzen und zugeben. Weitergabe — umsetzen. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C019	f75r	BIOLOGICAL	P912-E0447	P912-E0451	5	3	CONDITION>SELECT>CONTEXT	LICENSED_DY_CLOSE	Zustand — halten. Auswahl — auswählen und halten. Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Damit ist dieser Arbeitszug beendet.
P915-C020	f75r	BIOLOGICAL	P912-E0452	P912-E0453	2	2	TRANSFER>CONDITION	LICENSED_DY_CLOSE	Weitergabe — umsetzen und zugeben. Zustand — behandeln. Damit ist dieser Arbeitszug beendet.
P915-C021	f75r	BIOLOGICAL	P912-E0454	P912-E0473	20	14	CONDITION>PREPARE>SELECT>PREPARE>CONDITION>EXECUTE>TRANSFER>PREPARE>CONDITION>PREPARE>CONDITION>PREPARE>CONDITION>PREPARE	LICENSED_DY_CLOSE	Zustand — markieren. Vorbereitung — ansetzen. Auswahl — entnehmen. Vorbereitung — zugeben. Zustand — halten und anschließend zugeben. Arbeitsgang — einstellen. Weitergabe — auffangen. Vorbereitung — zugeben, bearbeiten und zugeben. Zustand — halten. Vorbereitung — zugeben. Zustand — halten. Vorbereitung — ansetzen. Zustand — halten. Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C022	f75r	BIOLOGICAL	P912-E0474	P912-E0481	8	3	CONDITION>PREPARE>CONDITION	LICENSED_DY_CLOSE	Zustand — halten. Vorbereitung — zugeben. Zustand — markieren und halten. Damit ist dieser Arbeitszug beendet.
P915-C023	f75r	BIOLOGICAL	P912-E0482	P912-E0490	9	5	PREPARE>TRANSFER>PREPARE>SELECT>PREPARE	LICENSED_DY_CLOSE	Vorbereitung — zweimal ansetzen, einsetzen und zugeben. Weitergabe — auffangen. Vorbereitung — zweimal ansetzen. Auswahl — entnehmen und bis bereit führen. Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C024	f75r	BIOLOGICAL	P912-E0491	P912-E0492	2	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen, einsetzen und umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C025	f75r	BIOLOGICAL	P912-E0493	P912-E0493	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen und halten. Damit ist dieser Arbeitszug beendet.
P915-C026	f75r	BIOLOGICAL	P912-E0494	P912-E0503	10	7	EXECUTE>TRANSFER>PREPARE>TRANSFER>PREPARE>SELECT>PREPARE	LICENSED_DY_CLOSE	Arbeitsgang — einstellen. Weitergabe — umsetzen. Vorbereitung — ansetzen. Weitergabe — umsetzen. Vorbereitung — ansetzen. Auswahl — auswählen. Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C027	f75r	BIOLOGICAL	P912-E0504	P912-E0507	4	3	CONDITION>PREPARE>TRANSFER	LICENSED_DY_CLOSE	Zustand — halten. Vorbereitung — ansetzen. Weitergabe — spülen. Damit ist dieser Arbeitszug beendet.
P915-C028	f75r	BIOLOGICAL	P912-E0508	P912-E0508	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C029	f75r	BIOLOGICAL	P912-E0509	P912-E0509	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen und umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C030	f75r	BIOLOGICAL	P912-E0510	P912-E0512	3	3	SELECT>EXECUTE>PREPARE	LICENSED_DY_CLOSE	Auswahl — entnehmen und bis bereit führen. Arbeitsgang — bearbeiten. Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C031	f75r	BIOLOGICAL	P912-E0513	P912-E0516	4	4	PREPARE>SELECT>PREPARE>TRANSFER	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Auswahl — entnehmen. Vorbereitung — ansetzen. Weitergabe — umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C032	f75r	BIOLOGICAL	P912-E0517	P912-E0526	10	6	SELECT>CONDITION>TRANSFER>CONDITION>PREPARE>EXECUTE	LICENSED_DY_CLOSE	Auswahl — auswählen. Zustand — halten. Weitergabe — umsetzen. Zustand — halten. Vorbereitung — ansetzen. Arbeitsgang — einstellen. Damit ist dieser Arbeitszug beendet.
P915-C033	f75r	BIOLOGICAL	P912-E0527	P912-E0527	1	1	TRANSFER	LICENSED_DY_CLOSE	Weitergabe — umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C034	f75r	BIOLOGICAL	P912-E0528	P912-E0528	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C035	f75r	BIOLOGICAL	P912-E0529	P912-E0531	3	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — zweimal ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C036	f75r	BIOLOGICAL	P912-E0532	P912-E0535	4	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — zweimal ansetzen. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C037	f75r	BIOLOGICAL	P912-E0536	P912-E0547	12	4	CONDITION>SELECT>PREPARE>CONDITION	LICENSED_DY_CLOSE	Zustand — behandeln. Auswahl — auswählen und halten. Vorbereitung — ansetzen. Zustand — halten, markieren und dreimal halten. Damit ist dieser Arbeitszug beendet.
P915-C038	f75r	BIOLOGICAL	P912-E0548	P912-E0549	2	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen, einsetzen und umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C039	f75r	BIOLOGICAL	P912-E0550	P912-E0550	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — zugeben. Damit ist dieser Arbeitszug beendet.
P915-C040	f75r	BIOLOGICAL	P912-E0551	P912-E0551	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C041	f75r	BIOLOGICAL	P912-E0552	P912-E0552	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C042	f75r	BIOLOGICAL	P912-E0553	P912-E0553	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C043	f75r	BIOLOGICAL	P912-E0554	P912-E0554	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C044	f75r	BIOLOGICAL	P912-E0555	P912-E0556	2	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Zustand — halten. Damit ist dieser Arbeitszug beendet.
P915-C045	f75r	BIOLOGICAL	P912-E0557	P912-E0562	6	3	SELECT>PREPARE>CONDITION	LICENSED_DY_CLOSE	Auswahl — auswählen. Vorbereitung — zugeben, halten und ansetzen. Zustand — halten. Damit ist dieser Arbeitszug beendet.
P915-C046	f75r	BIOLOGICAL	P912-E0563	P912-E0575	13	7	PREPARE>SELECT>PREPARE>TRANSFER>SELECT>TRANSFER>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — zweimal ansetzen. Auswahl — auswählen. Vorbereitung — ansetzen. Weitergabe — auffangen. Auswahl — auswählen. Weitergabe — umsetzen. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C047	f75r	BIOLOGICAL	P912-E0576	P912-E0576	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen und umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C048	f75r	BIOLOGICAL	P912-E0577	P912-E0578	2	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Zustand — halten. Damit ist dieser Arbeitszug beendet.
P915-C049	f75r	BIOLOGICAL	P912-E0579	P912-E0580	2	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Zustand — halten. Damit ist dieser Arbeitszug beendet.
P915-C050	f75r	BIOLOGICAL	P912-E0581	P912-E0584	4	3	SELECT>CONDITION>PREPARE	LICENSED_DY_CLOSE	Auswahl — entnehmen. Zustand — halten und ansetzen. Vorbereitung — ansetzen und halten. Damit ist dieser Arbeitszug beendet.
P915-C051	f75r	BIOLOGICAL	P912-E0585	P912-E0594	10	6	PREPARE>TRANSFER>PREPARE>CONDITION>PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Weitergabe — umsetzen. Vorbereitung — einsetzen und umsetzen. Zustand — halten, einsetzen und zweimal halten. Vorbereitung — zugeben. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C052	f75r	BIOLOGICAL	P912-E0595	P912-E0597	3	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Zustand — halten. Damit ist dieser Arbeitszug beendet.
P915-C053	f75r	BIOLOGICAL	P912-E0598	P912-E0599	2	1	CONDITION	LICENSED_DY_CLOSE	Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C054	f75r	BIOLOGICAL	P912-E0600	P912-E0605	6	2	SELECT>PREPARE	LICENSED_DY_CLOSE	Auswahl — auswählen. Vorbereitung — ansetzen und halten. Damit ist dieser Arbeitszug beendet.
P915-C055	f75r	BIOLOGICAL	P912-E0606	P912-E0655	50	28	CONDITION>PREPARE>CONDITION>PREPARE>CONDITION>EXECUTE>CONDITION>PREPARE>EXECUTE>CONDITION>EXECUTE>CONDITION>PREPARE>TRANSFER>CONDITION>PREPARE>TRANSFER>SELECT>PREPARE>SELECT>TRANSFER>PREPARE>TRANSFER>SELECT>CONDITION>SELECT>CONDITION>PREPARE	LICENSED_DY_CLOSE	Zustand — halten. Vorbereitung — ansetzen. Zustand — halten. Vorbereitung — ansetzen. Zustand — markieren und halten. Arbeitsgang — bearbeiten. Zustand — halten. Vorbereitung — ansetzen. Arbeitsgang — bearbeiten und ansetzen. Zustand — halten. Arbeitsgang — bearbeiten. Zustand — halten. Vorbereitung — ansetzen. Weitergabe — umsetzen. Zustand — halten. Vorbereitung — zugeben. Weitergabe — umsetzen. Auswahl — auswählen. Vorbereitung — einsetzen, zugeben, halten und zweimal ansetzen. Auswahl — auswählen und halten. Weitergabe — umsetzen und dort ansetzen. Vorbereitung — ansetzen. Weitergabe — zweimal auffangen. Auswahl — auswählen. Zustand — bis bereit führen. Auswahl — auswählen. Zustand — halten. Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C056	f75r	BIOLOGICAL	P912-E0656	P912-E0658	3	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C057	f75r	BIOLOGICAL	P912-E0659	P912-E0659	1	1	TRANSFER	LICENSED_DY_CLOSE	Weitergabe — umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C058	f75r	BIOLOGICAL	P912-E0660	P912-E0673	14	5	CONDITION>PREPARE>CONDITION>PREPARE>CONDITION	LICENSED_DY_CLOSE	Zustand — markieren und halten. Vorbereitung — einsetzen und halten. Zustand — halten und einstellen. Vorbereitung — einsetzen und halten. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C059	f75r	BIOLOGICAL	P912-E0674	P912-E0674	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C060	f75r	BIOLOGICAL	P912-E0675	P912-E0677	3	1	EXECUTE	LICENSED_DY_CLOSE	Arbeitsgang — bearbeiten. Damit ist dieser Arbeitszug beendet.
P915-C061	f75r	BIOLOGICAL	P912-E0678	P912-E0681	4	3	CONDITION>EXECUTE>PREPARE	LICENSED_DY_CLOSE	Zustand — markieren. Arbeitsgang — einstellen und umsetzen. Vorbereitung — einsetzen und umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C062	f75r	BIOLOGICAL	P912-E0682	P912-E0688	7	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Zustand — halten, bis bereit führen und halten. Damit ist dieser Arbeitszug beendet.
P915-C063	f75r	BIOLOGICAL	P912-E0689	P912-E0689	1	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C064	f75r	BIOLOGICAL	P912-E0690	P912-E0690	1	1	TRANSFER	LICENSED_DY_CLOSE	Weitergabe — umsetzen. Damit ist dieser Arbeitszug beendet.
P915-C065	f75r	BIOLOGICAL	P912-E0691	P912-E0700	10	3	CONDITION>EXECUTE>PREPARE	LICENSED_DY_CLOSE	Zustand — behandeln. Arbeitsgang — bearbeiten. Vorbereitung — zugeben und zweimal ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C066	f75r	BIOLOGICAL	P912-E0701	P912-E0714	14	10	TRANSFER>EXECUTE>CONDITION>PREPARE>CONDITION>PREPARE>TRANSFER>EXECUTE>PREPARE>CONDITION	LICENSED_DY_CLOSE	Weitergabe — umsetzen. Arbeitsgang — bearbeiten. Zustand — behandeln. Vorbereitung — zweimal ansetzen. Zustand — behandeln. Vorbereitung — ansetzen. Weitergabe — umsetzen. Arbeitsgang — bearbeiten. Vorbereitung — zugeben. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C067	f75r	BIOLOGICAL	P912-E0715	P912-E0717	3	3	PREPARE>EXECUTE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — ansetzen. Arbeitsgang — bearbeiten. Zustand — halten. Damit ist dieser Arbeitszug beendet.
P915-C068	f75r	BIOLOGICAL	P912-E0718	P912-E0721	4	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — zweimal ansetzen. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
P915-C069	f75r	BIOLOGICAL	P912-E0722	P912-E0724	3	1	PREPARE	LICENSED_DY_CLOSE	Vorbereitung — zweimal ansetzen. Damit ist dieser Arbeitszug beendet.
P915-C070	f75r	BIOLOGICAL	P912-E0725	P912-E0725	1	1	CONTEXT	LICENSED_DY_CLOSE	Örtlicher Bezug — mit dem angegebenen Posten weiterarbeiten. Damit ist dieser Arbeitszug beendet.
P915-C071	f75r	BIOLOGICAL	P912-E0726	P912-E0728	3	2	PREPARE>CONDITION	LICENSED_DY_CLOSE	Vorbereitung — einsetzen und halten. Zustand — absetzen lassen. Damit ist dieser Arbeitszug beendet.
