transition_no	record_unit_id	page	left_event_id	left_locus	left_surface	left_joint_tuple_id	left_statement_id	left_microcycle	left_slot	left_owner	right_event_id	right_locus	right_surface	right_joint_tuple_id	right_statement_id	right_microcycle	right_slot	right_owner	same_exact_card	same_owner	same_statement	same_microcycle	slot_descent	decision	source_tokens_for_visible_pair	explanation_de
25	B2	f82r	E220	f82r.26	okey	08bd5ca0c2ad137a056d	B2-S016	4	S4_DAUER_ZUSTAND	B2_LOWER_POOL_EDGE_STATIONS	E221	f82r.27	pchedy	65df3cd9e59060042d47	B2-S016	5	S3_PROZESS_TRANSFER	B2_LOWER_POOL_EDGE_STATIONS	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
26	B3	f83r	E238	f83r.3	dar	4d4559019a961b834aa1	B3-S004	2	S1_BEZUG_FOLGE	B3_UPPER_MARGIN_OPEN_FAN_STATION	E239	f83r.6	schedy	259b2b3b0bf859882e2c	B3-S005	1	S3_PROZESS_TRANSFER	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	NO	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
27	B3	f83r	E247	f83r.6	qoky	276a7c2d74d1143446f4	B3-S009	1	S5_ZIEL_ANWENDUNG	B3_MIDDLE_MARGIN_ROUND_VESSEL_STATION	E248	f83r.8	pchedal	ba540da978ea132f6da5	B3-S010	1	S3_PROZESS_TRANSFER	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	NO	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
28	B3	f83r	E253	f83r.8	chary	0bdc8b6db811b4e67a63	B3-S011	3	S1_BEZUG_FOLGE	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	E254	f83r.11	sor	7a4bb8136330ee4e6e56	B3-S012	1	S1_BEZUG_FOLGE	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
29	B3	f83r	E263	f83r.11	lo	2b7fa918d1b2f5c656e3	B3-S016	1	S3_PROZESS_TRANSFER	B3_LOWER_MARGIN_BASKET_VESSEL_STATION	E264	f83r.14	qokchedy	07913ef9b1fb773cd325	B3-S016	1	S3_PROZESS_TRANSFER	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
30	B3	f83r	E273	f83r.14	sy	b921a237be883a820352	B3-S021	3	S1_BEZUG_FOLGE	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	E274	f83r.15	saiin	2f1c5e56e8f0ff459065	B3-S021	3	S2_MATERIAL_MASS	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	YES	YES	YES	NO	CONTINUE_ACROSS_LINE	2	Gleicher Besitzer und Mikrogang, verschiedene Karten, vorwärts laufender Slot.
31	B3	f83r	E282	f83r.15	lchedy	de7321bface5628e35d6	B3-S023	1	S3_PROZESS_TRANSFER	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	E283	f83r.16	tchedy	259b2b3b0bf859882e2c	B3-S024	1	S3_PROZESS_TRANSFER	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	NO	YES	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
32	B3	f83r	E290	f83r.16	chealror	d788d8d72d41b25a3c71	B3-S026	3	S5_ZIEL_ANWENDUNG	B3_MARGIN_TO_MAIN_GAP_UNRESOLVED	E291	f83r.20	solkeedy	3b70942557b3a40e8030	B3-S026	4	S3_PROZESS_TRANSFER	B3_MAIN_ARCH_LINKED_PAIR	NO	NO	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
33	B3	f83r	E299	f83r.20	saiin	2f1c5e56e8f0ff459065	B3-S030	2	S2_MATERIAL_MASS	B3_MAIN_ARCH_LINKED_PAIR	E300	f83r.22	schedair	b154ff779abe5f196c80	B3-S030	3	S1_BEZUG_FOLGE	B3_MAIN_ARCH_LINKED_PAIR	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
34	B3	f83r	E308	f83r.22	ldy	04a3877f0fc81b7597c9	B3-S033	1	S3_PROZESS_TRANSFER	B3_MAIN_ARCH_LINKED_PAIR	E309	f83r.24	soiiin	2c82523794dcb7d2b343	B3-S034	1	S2_MATERIAL_MASS	B3_MAIN_ARCH_LINKED_PAIR	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
35	B4	f83r	E320	f83r.25	otal	90bcf0a9ec0ef56399e6	B4-S003	1	S5_ZIEL_ANWENDUNG	B4_MAIN_ARCH_LINKED_PAIR	E321	f83r.26	otchey	faf321940aed922846a9	B4-S003	2	S1_BEZUG_FOLGE	B4_MAIN_ARCH_LINKED_PAIR	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
36	B4	f83r	E326	f83r.26	qokylddy	eb2e4bc143f623ee03ac	B4-S004	1	S6_BEREIT_ABSCHLUSS	B4_MAIN_ARCH_LINKED_PAIR	E327	f83r.27	dain	53cd0637c6820ba5e91f	B4-S005	1	S2_MATERIAL_MASS	B4_MAIN_ARCH_LINKED_PAIR	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
37	B4	f83r	E331	f83r.27	shckhedy	d68bc8de3bcee09db23c	B4-S007	1	S3_PROZESS_TRANSFER	B4_MAIN_ARCH_LINKED_PAIR	E332	f83r.28	saiin	2f1c5e56e8f0ff459065	B4-S008	1	S2_MATERIAL_MASS	B4_MAIN_ARCH_LINKED_PAIR	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
38	B4	f83r	E337	f83r.28	oldy	1b1ffdd869fb1429ad03	B4-S010	1	S1_BEZUG_FOLGE	B4_MAIN_ARCH_LINKED_PAIR	E338	f83r.35	saiin	2f1c5e56e8f0ff459065	B4-S011	1	S2_MATERIAL_MASS	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	NO	NO	NO	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
39	B4	f83r	E342	f83r.35	chdy	6f7ff8287eddf4da9fdb	B4-S011	2	S3_PROZESS_TRANSFER	B4_MAIN_LEFT_OPEN_FRINGE_STATION	E343	f83r.37	sol	dcda95c81a5460feb191	B4-S011	3	S1_BEZUG_FOLGE	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
40	B4	f83r	E347	f83r.37	shedy	bc4f1f5c006c74a4d26d	B4-S013	2	S3_PROZESS_TRANSFER	B4_MAIN_LEFT_OPEN_FRINGE_STATION	E348	f83r.38	or	7a4bb8136330ee4e6e56	B4-S014	1	S1_BEZUG_FOLGE	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
41	B4	f83r	E351	f83r.38	dairydy	8aedd154964a78e555d6	B4-S014	1	S3_PROZESS_TRANSFER	B4_MAIN_LEFT_OPEN_FRINGE_STATION	E352	f83r.39	qokain	1645e612504fcef59ced	B4-S015	1	S2_MATERIAL_MASS	B4_MAIN_LEFT_OPEN_FRINGE_STATION	NO	YES	NO	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
42	B4	f83r	E355	f83r.39	chckhal	21ed2873b71e57269c08	B4-S015	2	S3_PROZESS_TRANSFER	B4_MAIN_LEFT_OPEN_FRINGE_STATION	E356	f83r.41	solkey	42cdc187d5b9ffc60063	B4-S015	2	S3_PROZESS_TRANSFER	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	NO	NO	YES	YES	NO	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
43	B4	f83r	E359	f83r.41	dal	dd0ecaf5e27d81befffc	B4-S016	1	S5_ZIEL_ANWENDUNG	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	E360	f83r.44	skar	883a6708116c342cb10b	B4-S016	2	S3_PROZESS_TRANSFER	B4_MAIN_RIGHT_S_RUN_MULTIPORT_STATION	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
44	B5	f83r	E364	f83r.47	shedal	abb23e5e6936b4147f76	B5-S003	1	S3_PROZESS_TRANSFER	B5_LEFT_OPEN_FRINGE_STATION	E365	f83r.48	dal	dd0ecaf5e27d81befffc	B5-S003	1	S5_ZIEL_ANWENDUNG	B5_LEFT_OPEN_FRINGE_STATION	NO	YES	YES	YES	NO	CONTINUE_ACROSS_LINE	2	Gleicher Besitzer und Mikrogang, verschiedene Karten, vorwärts laufender Slot.
45	B5	f83r	E369	f83r.48	aiin	2f1c5e56e8f0ff459065	B5-S003	3	S2_MATERIAL_MASS	B5_LEFT_OPEN_FRINGE_STATION	E370	f83r.49	sol	dcda95c81a5460feb191	B5-S003	4	S1_BEZUG_FOLGE	B5_LEFT_OPEN_FRINGE_STATION	NO	YES	YES	NO	YES	REAL_CYCLE_OR_OWNER_RESET	2	Besitzer-, Aussage- oder Mikrogangwechsel beziehungsweise Slotabstieg eröffnet neu.
46	B6	f83r	E376	f83r.52	ol	dcda95c81a5460feb191	B6-S001	2	S1_BEZUG_FOLGE	B6_RIGHT_S_RUN_MULTIPORT_STATION	E377	f83r.54	daiin	2f1c5e56e8f0ff459065	B6-S001	2	S2_MATERIAL_MASS	B6_RIGHT_S_RUN_MULTIPORT_STATION	NO	YES	YES	YES	NO	CONTINUE_ACROSS_LINE	2	Gleicher Besitzer und Mikrogang, verschiedene Karten, vorwärts laufender Slot.
