formula_card_id	component_recipe	short_value_de	old10_events	new4_events	old10_pages	new4_pages	bridge_status
F046	K+AR	VON DER ENTNAHMESTELLE ZUGEBEN	3	2	f55v|f81v|f83r	f75r	BRIDGES_BOTH
F047	K+OL	WEITER ZUGEBEN	3	2	f11r|f56r	f13r|f75r	BRIDGES_BOTH
F048	S+OR	ZUBEREITUNGSVARIANTE	4	1	f10r|f67r2|f83r	f75r	BRIDGES_BOTH
F049	SOLK+EE+DY	LÄNGER AUFFANGEN; ENDE	4	1	f81v|f83r	f75r	BRIDGES_BOTH
F050	SOLK+EE+Y	DIESEN POSTEN LÄNGER AUFFANGEN	3	2	f81v|f83r	f75r|f88r	BRIDGES_BOTH
F051	OK+SH+E+DY	ANSETZEN, KURZ HALTEN; ENDE	3	2	f81v|f83r	f75r	BRIDGES_BOTH
F052	P+CHD+DY	EINSETZEN, UMSETZEN; ENDE	2	3	f81v|f82r	f75r	BRIDGES_BOTH
F053	Y+T+Y	DIESEN POSTEN EINSTELLEN	3	2	f10r|f11r	f13r	BRIDGES_BOTH
F054	O+CKH+E+Y	DIESEN POSTEN KURZ DURCHFÜHREN	3	1	f82r|f83r	f88r	BRIDGES_BOTH
F055	OL+SH+E+DY	WEITER KURZ HALTEN; ENDE	1	3	f82r	f75r	BRIDGES_BOTH
F056	OT+CH+OL	DANACH TEIL ENTNEHMEN UND WEITER	1	3	f10r	f13r|f88r	BRIDGES_BOTH
F057	T+CHD+Y	DIESEN POSTEN UMSTELLEN	3	1	f83r	f75r	BRIDGES_BOTH
F058	CH+E+CKH+Y	DIESEN TEIL KURZ DURCHFÜHREN	2	1	f81v|f83r	f75r	BRIDGES_BOTH
F059	CH+O+D_ADDR+Y	DEN BEZEICHNETEN TEIL BEARBEITEN	2	1	f11r|f56r	f88r	BRIDGES_BOTH
F060	CH+O+S	TEIL BEARBEITEN UND VARIANTE WÄHLEN	3	0	f56r|f67r2	NONE	OLD10_ONLY
F061	D_ADDR+CHD+Y	DEN BEZEICHNETEN TEIL UMSETZEN	2	1	f81v|f82r	f75r	BRIDGES_BOTH
F062	L+K+E+DY	AM WEG KURZ ZUGEBEN; ENDE	3	0	f82r|f83r	NONE	OLD10_ONLY
F063	OT+CH+OR	DANACH TEIL FÜR DEN ANSATZ ENTNEHMEN	2	1	f10r|f56r	f13r	BRIDGES_BOTH
F064	SH+CKH+E+DY	KURZ IM DURCHLASS HALTEN; ENDE	3	0	f81v|f83r	NONE	OLD10_ONLY
F065	Y+K+EE+Y	DIESEN POSTEN LÄNGER ZUGEBEN	2	1	f81v|f82r	f75r	BRIDGES_BOTH
F066	Y+K+OR	DIESEN POSTEN DEM ANSATZ ZUGEBEN	2	1	f67r2|f68r1	f13r	BRIDGES_BOTH
