surface	occurrence_count	physical_pages	truth_recipe	candidate_count_capped	gdt518_rank	gdt518_top1	gdt519_rank	gdt519_top1	gdt519_top5	truth_base_score	truth_anchor_cost	truth_selected_score	truth_alignment_trace	top1_base_score	top1_anchor_cost	top1_selected_score	top1_alignment_trace	decision_change_class	working_policy
dyky	1	f66r	D_ADDR+Y+K+Y	8	3	Y+K+Y	2	DY+K+Y	DY+K+Y | D_ADDR+Y+K+Y | Y+K+Y | D_ADDR+Y+K+Y+CH | CHD+Y+K+Y	2.572449924	0.000000000	2.572449924	d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.044238128	0.000000000	2.044238128	dy=>dy~DY@edit0+alias0.000 | k=>k~K@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	ERROR_CHANGED_STILL_WRONG	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
kchody	1	f66r	K+CH+O+D_ADDR+Y	44	2	K+CH+O+DY	2	K+CH+O+DY	K+CH+O+DY | K+CH+O+D_ADDR+Y | K+LOCAL_C+O+DY | K+O+DY | K+CH+O+Y	3.453837643	0.000000000	3.453837643	k=>k~K@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.506842909	0.000000000	2.506842909	k=>k~K@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
kechody	1	f66r	K+E+CH+O+D_ADDR+Y	46	3	K+E+CH+O+DY	3	K+E+CH+O+DY	K+E+CH+O+DY | K+E+LOCAL_C+O+DY | K+E+CH+O+D_ADDR+Y | K+E+CH+SH+O+DY | K+E+LOCAL_C+SH+O+DY	4.705333226	0.000000000	4.705333226	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	3.182627990	0.000000000	3.182627990	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | ch=>ch~CH@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
keeol	1	f31r	K+EE+O+L	14	3	K+EE+OL	2	K+EE+OL	K+EE+OL | K+EE+O+L | K+E+E+OL | OL+K+EE | K+EE+O+AL	5.981818523	0.000000000	5.981818523	k=>k~K@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | l=>l~L@edit0+alias0.000	1.497583684	0.000000000	1.497583684	k=>k~K@edit0+alias0.000 | ee=>ee~EE@edit0+alias0.000 | ol=>ol~OL@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
keody	3	f20v|f66r	K+E+O+D_ADDR+Y	11	2	K+E+O+DY	2	K+E+O+DY	K+E+O+DY | K+E+O+D_ADDR+Y | K+E+O+Y | OK+E+DY | O+D_ADDR+Y	3.278045839	0.000000000	3.278045839	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	2.115005182	0.000000000	2.115005182	k=>k~K@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
ld	1	f66r	L+D_ADDR	6	3	L	2	L	L | L+D_ADDR | AL | AL+D_ADDR | L+CHD	2.691980572	0.000000000	2.691980572	l=>l~L@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000	0.591102988	0.266705408	0.857808397	ld=>ld~L@edit0+alias0.267	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
okedals	1	f66r	OK+AL+S	100	1	OK+AL+S	3	OK+E+D_ADDR+AL+S	OK+E+D_ADDR+AL+S | OK+E+AL+S | OK+AL+S | OK+E+AL | OK+E+DA+L	3.311212547	1.272516172	4.583728718	ok=>ok~OK@edit0+alias0.000 | edal=>dal~AL@edit1+alias0.273 | s=>s~S@edit0+alias0.000	3.462749117	0.000000000	3.462749117	ok=>ok~OK@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | al=>al~AL@edit0+alias0.000 | s=>s~S@edit0+alias0.000	GDT518_CORRECT_LOST	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
qef	1	f31r	E+LOCAL_CHAR_F	4	3	CARRIER_Q+E+LOCAL_CHAR_F	2	CARRIER_Q+E+LOCAL_CHAR_F	CARRIER_Q+E+LOCAL_CHAR_F | E+LOCAL_CHAR_F | CARRIER_Q+D_ADDR | CARRIER_Q+CH+E+LOCAL_CHAR_F	3.243960321	1.000000000	4.243960321	qe=>e~E@edit1+alias0.000 | f=>f~LOCAL_CHAR_F@edit0+alias0.000	2.161535792	0.000000000	2.161535792	q=>q~CARRIER_Q@edit0+alias0.000 | e=>e~E@edit0+alias0.000 | f=>f~LOCAL_CHAR_F@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
qocthedy	1	f66r	CARRIER_Q+O+CH+T+E+Y	93	3	CARRIER_Q+O+CH+T+E+DY	3	CARRIER_Q+O+CH+T+E+DY	CARRIER_Q+O+CH+T+E+DY | O+CH+T+E+DY | CARRIER_Q+O+CH+T+E+Y | CARRIER_Q+O+CH+T+E+D_ADDR+Y | CARRIER_Q+O+LOCAL_C+T+E+DY	4.239503922	1.508031070	5.747534992	q=>q~CARRIER_Q@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | cth=>cth~CH+T@edit0+alias0.508 | e=>e~E@edit0+alias0.000 | dy=>y~Y@edit1+alias0.000	2.479477162	0.508031070	2.987508232	q=>q~CARRIER_Q@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | cth=>cth~CH+T@edit0+alias0.508 | e=>e~E@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
saiis	1	f31r	S+IIN+S	64	1	S+IIN+S	2	S+A_ADDR+IIN+S	S+A_ADDR+IIN+S | S+IIN+S | S+AIIN+S | S+LOCAL_CHAR_I+S | S+A_ADDR+LOCAL_CHAR_I+S	3.041763798	2.000000000	5.041763798	s=>s~S@edit0+alias0.000 | aii=>iin~IIN@edit2+alias0.000 | s=>s~S@edit0+alias0.000	3.045798749	1.533647224	4.579445972	s=>s~S@edit0+alias0.000 | a=>a~A_ADDR@edit0+alias0.000 | ii=>in~IIN@edit1+alias0.534 | s=>s~S@edit0+alias0.000	GDT518_CORRECT_LOST	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
shckheody	1	f66r	SH+CH+K+E+O+DY	100	2	SH+CH+K+E+O+D_ADDR+Y	2	SH+CH+K+E+O+D_ADDR+Y	SH+CH+K+E+O+D_ADDR+Y | SH+CH+K+E+O+DY | SH+CH+K+E+O+Y | S+SH+CH+K+E+O+DY | SH+CH+K+E+O+R	2.870221937	0.500000000	3.370221937	shckh=>shckh~SH+CH+K@edit0+alias0.500 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | dy=>dy~DY@edit0+alias0.000	2.789811826	0.500000000	3.289811826	shckh=>shckh~SH+CH+K@edit0+alias0.500 | e=>e~E@edit0+alias0.000 | o=>o~O@edit0+alias0.000 | d=>d~D_ADDR@edit0+alias0.000 | y=>y~Y@edit0+alias0.000	GDT518_ERROR_UNCHANGED	KNOWN_EVENT_OR_SURFACE_RECIPE_STILL_WINS__ANCHOR_RERANKS_ONLY_FINITE_UNKNOWN_CANDIDATES
