template_replay_ordinal	event_id	statement_id	physical_page	register	surface	recipe	state_marker_sequence	state_frame_role	sentence_prefix_de	sentence_suffix_de	base_mode	effective_action_roots	action_topology	generated_action_chain_de	effective_argument_roots	argument_topology	generated_argument_phrase_de	modifier_atoms	modifier_type_sequence	generated_modifier_phrase_de	outer_template_signature	structural_template_signature	generated_microphrase_de	source_microphrase_de	exact_replay	replay_status	written_atom_alignment	guard	outer_template_id	structural_template_id
12	G407-E0074	G407-S005	f1r	SOURCE_SECTION_T	ols	OL+S	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	S	A	wähle den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: wähle den Wert.	Weiter: wähle den Wert.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:S=wählen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
13	G407-E0082	G407-S005	f1r	SOURCE_SECTION_T	otairin	OT+AIR+IIN	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	AIR+IIN	RELATION+FORMAL_CONTROL	entlang der Bahn; auf der Stufe	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || RELATION+FORMAL_CONTROL	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	Danach: halte den Posten; entlang der Bahn; auf der Stufe.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:AIR=entlang der Bahn | 3:IIN=auf der Stufe	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T141
14	G407-E0083	G407-S005	f1r	SOURCE_SECTION_T	oteol	OT+E+OL	OT+OL	ADVANCE_THEN_CONTINUE	Danach	weiterführen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	OT+OL || ACTION_CHAIN || A || SINGLE || GRADE	Danach: halte den Posten; auf Grad I; weiterführen.	Danach: halte den Posten; auf Grad I; weiterführen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:E=auf Grad I | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O04	GDT565-T164
15	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte den Anteil.	Weiter: halte den Anteil.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter | 2:AIN=den Anteil	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
16	G407-E0099	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte den Anteil.	Weiter: halte den Anteil.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
17	G407-E0113	G407-S005	f1r	SOURCE_SECTION_T	kol	K+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_SOURCE_REPLAY	1:K=geben | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
18	G407-E0114	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
19	G407-E0115	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: gib den Posten.	Weiter: gib den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
20	G407-E0119	G407-S005	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte die Einheit	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte die Einheit.	Weiter: halte die Einheit.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
21	G407-E0132	G407-S005	f1r	SOURCE_SECTION_T	pshol	P+SH+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	P|SH	A+A	setze den Anteil ein und halte den Anteil	AIN	SINGLE	den Anteil	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A+A || SINGLE || NONE	Weiter: setze den Anteil ein und halte den Anteil.	Weiter: setze den Anteil ein und halte den Anteil.	YES	EXACT_SOURCE_REPLAY	1:P=einsetzen | 2:SH=halten | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T094
22	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	D_LABEL	LOCAL_OR_CLASS_SIGN	hier	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || LOCAL_OR_CLASS_SIGN	Halte den Posten; hier; abschließen.	Halte den Posten; hier; abschließen.	YES	EXACT_SOURCE_REPLAY	1:Y=den Posten | 2:DY=abschließen | 3:D_LABEL=hier	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T016
23	G407-E0137	G407-S005	f1r	SOURCE_SECTION_T	shol	SH+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: halte den Posten.	Weiter: halte den Posten.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
24	G407-E0150	G407-S005	f1r	SOURCE_SECTION_T	tol	T+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	T	A	stelle den Posten ein	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: stelle den Posten ein.	Weiter: stelle den Posten ein.	YES	EXACT_SOURCE_REPLAY	1:T=einstellen | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
25	G407-E0151	G407-S005	f1r	SOURCE_SECTION_T	cthols	CH+T+OL+S	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	CH|T|S	A+A+A	nimm den Posten und stelle den Posten ein und wähle den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A+A+A || SINGLE || NONE	Weiter: nimm den Posten und stelle den Posten ein und wähle den Posten.	Weiter: nimm den Posten und stelle den Posten ein und wähle den Posten.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:S=wählen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T099
26	G407-E0158	G407-S005	f1r	SOURCE_SECTION_T	otol	OT+OL	OT+OL	ADVANCE_THEN_CONTINUE	Danach	weiterführen	ACTION_CHAIN	K	A	gib den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	OT+OL || ACTION_CHAIN || A || SINGLE || NONE	Danach: gib den Posten; weiterführen.	Danach: gib den Posten; weiterführen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O06	GDT565-T167
27	G407-E0163	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	CH	A	nimm den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: nimm den Posten.	Weiter: nimm den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
28	G407-E0171	G407-S006	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	R	A	markiere den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: markiere den Posten.	Weiter: markiere den Posten.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
29	G407-E0184	G407-S006	f1r	SOURCE_SECTION_T	okol	OK+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: setze den Wert.	Weiter: setze den Wert.	YES	EXACT_SOURCE_REPLAY	1:OK=setzen | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
30	G407-E0187	G407-S006	f1r	SOURCE_SECTION_T	cthol	CH+T+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	CH|T	A+A	nimm den Wert und stelle den Wert ein	AIIN	SINGLE	den Wert	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A+A || SINGLE || NONE	Weiter: nimm den Wert und stelle den Wert ein.	Weiter: nimm den Wert und stelle den Wert ein.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T094
31	G407-E0189	G407-S006	f1r	SOURCE_SECTION_T	ctholdar	CH+T+OL+D_ADDR+AR	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	CH|T	A+A	nimm den Wert und stelle den Wert ein	AIIN	SINGLE	den Wert	D_ADDR+AR	LOCAL_OR_CLASS_SIGN+RELATION	hier; vom Ausgang	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A+A || SINGLE || LOCAL_OR_CLASS_SIGN+RELATION	Weiter: nimm den Wert und stelle den Wert ein; hier; vom Ausgang.	Weiter: nimm den Wert und stelle den Wert ein; hier; vom Ausgang.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:T=einstellen | 3:OL=weiter | 4:D_ADDR=hier | 5:AR=vom Ausgang	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T093
32	G407-E0196	G407-S006	f1r	SOURCE_SECTION_T	ochol	O+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	OK	A	setze den Wert	AIIN	SINGLE	den Wert	O	FORMAL_CONTROL	zur Ausführung	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL	Weiter: setze den Wert; zur Ausführung.	Weiter: setze den Wert; zur Ausführung.	YES	EXACT_SOURCE_REPLAY	1:O=zur Ausführung | 2:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T058
33	G407-E0200	G407-S006	f1r	SOURCE_SECTION_T	shody	SH+O+DY	DY	CLOSE_CURRENT_OPERATION	NONE	abschließen	ACTION_CHAIN	SH	A	halte den Posten	Y	SINGLE	den Posten	O	FORMAL_CONTROL	zur Ausführung	NO_PREFIX__ACTION_CHAIN__MODIFIER__SUFFIX	DY || ACTION_CHAIN || A || SINGLE || FORMAL_CONTROL	Halte den Posten; zur Ausführung; abschließen.	Halte den Posten; zur Ausführung; abschließen.	YES	EXACT_SOURCE_REPLAY	1:SH=halten | 2:O=zur Ausführung | 3:DY=abschließen	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O01	GDT565-T006
34	G407-E0210	G407-S007	f1r	SOURCE_SECTION_T	chol	OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	T	A	stelle die Einheit ein	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A || SINGLE || NONE	Weiter: stelle die Einheit ein.	Weiter: stelle die Einheit ein.	YES	EXACT_SOURCE_REPLAY	1:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T072
35	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	choty	CH+OT+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	CH	A	nimm den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || NONE	Danach: nimm den Posten.	Danach: nimm den Posten.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:OT=danach | 3:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T139
36	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	CH	A	nimm den Posten	Y	SINGLE	den Posten	E	GRADE	auf Grad I	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || GRADE	Danach: nimm den Posten; auf Grad I.	Danach: nimm den Posten; auf Grad I.	YES	EXACT_SOURCE_REPLAY	1:CH=nehmen | 2:OT=danach | 3:E=auf Grad I | 4:Y=den Posten	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T127
37	G407-E0219	G407-S008	f10r	HERBAL	pchodol	P+CH+O+D_ADDR+OL	OL	CONTINUE_CURRENT_OPERATION	Weiter	NONE	ACTION_CHAIN	P|CH	A+A	setze den Posten ein und nimm den Posten	Y	SINGLE	den Posten	O+D_ADDR	FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	zur Ausführung; hier	PREFIX__ACTION_CHAIN__MODIFIER__NO_SUFFIX	OL || ACTION_CHAIN || A+A || SINGLE || FORMAL_CONTROL+LOCAL_OR_CLASS_SIGN	Weiter: setze den Posten ein und nimm den Posten; zur Ausführung; hier.	Weiter: setze den Posten ein und nimm den Posten; zur Ausführung; hier.	YES	EXACT_SOURCE_REPLAY	1:P=einsetzen | 2:CH=nehmen | 3:O=zur Ausführung | 4:D_ADDR=hier | 5:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O03	GDT565-T083
38	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	OT+OL	ADVANCE_THEN_CONTINUE	Danach	weiterführen	ACTION_CHAIN	T|CH	A+A	stelle den Posten ein und nimm den Posten	Y	SINGLE	den Posten	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__SUFFIX	OT+OL || ACTION_CHAIN || A+A || SINGLE || NONE	Danach: stelle den Posten ein und nimm den Posten; weiterführen.	Danach: stelle den Posten ein und nimm den Posten; weiterführen.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:Y=den Posten | 3:T=einstellen | 4:CH=nehmen | 5:OL=weiter	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O06	GDT565-T168
39	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	OT	ADVANCE_TO_NEXT_OPERATION	Danach	NONE	ACTION_CHAIN	T	A	stelle die Einheit ein	OR	SINGLE	die Einheit	NONE	NONE	NONE	PREFIX__ACTION_CHAIN__NO_MODIFIER__NO_SUFFIX	OT || ACTION_CHAIN || A || SINGLE || NONE	Danach: stelle die Einheit ein.	Danach: stelle die Einheit ein.	YES	EXACT_SOURCE_REPLAY	1:OT=danach | 2:OR=die Einheit	ATOMIC_TEMPLATE_REPLAY__NO_LEARNED_LONG_PHRASE	GDT565-O05	GDT565-T139
