renderer_card_ordinal	renderer_card_id	card_class	selector	source_atoms	template_no_object_de	template_with_object_de	prefix_de	suffix_de	render_rule	usage_count	guard
27	GDT565-R27	MODIFIER_FRAGMENT	auf Grad II	EE	auf Grad II	auf Grad II	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	234	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
28	GDT565-R28	MODIFIER_FRAGMENT	auf Grad III	EEE	auf Grad III	auf Grad III	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	10	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
29	GDT565-R29	MODIFIER_FRAGMENT	auf der Stufe	IIN	auf der Stufe	auf der Stufe	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	8	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
30	GDT565-R30	MODIFIER_FRAGMENT	auf der zweiten Stufe	DA	auf der zweiten Stufe	auf der zweiten Stufe	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	3	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
31	GDT565-R31	MODIFIER_FRAGMENT	entlang der Bahn	AIR	entlang der Bahn	entlang der Bahn	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	6	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
32	GDT565-R32	MODIFIER_FRAGMENT	hier	AM_ADDR+A_ADDR+D_ADDR+D_LABEL+LOCAL_CHAR_F+M_LOCAL+S_ADDR	hier	hier	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	129	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
33	GDT565-R33	MODIFIER_FRAGMENT	vom Ausgang	AR	vom Ausgang	vom Ausgang	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	58	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
34	GDT565-R34	MODIFIER_FRAGMENT	zum Zielort	AL	zum Zielort	zum Zielort	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	60	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
35	GDT565-R35	MODIFIER_FRAGMENT	zur Ausführung	O	zur Ausführung	zur Ausführung	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	146	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
36	GDT565-R36	MODIFIER_FRAGMENT	über die Verbindung	L	über die Verbindung	über die Verbindung	NONE	NONE	RETAIN_WRITTEN_MODIFIER_ORDER	92	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
37	GDT565-R37	COMBINATOR	ARGUMENT_COORDINATION	NONE	NONE	NONE	NONE	NONE	join multiple argument phrases with comma and final und	1585	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
38	GDT565-R38	COMBINATOR	DOUBLE_POSTEN	NONE	NONE	NONE	NONE	NONE	Y|Y becomes die beiden Posten	5	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
39	GDT565-R39	COMBINATOR	ACTION_CHAIN	NONE	NONE	NONE	NONE	NONE	join ordered action units with und	1643	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
40	GDT565-R40	COMBINATOR	ADJACENT_ACTION_REPEAT	NONE	NONE	NONE	NONE	NONE	compress only adjacent identical action atoms with zweimal	7	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
41	GDT565-R41	COMBINATOR	MODIFIER_SEQUENCE	NONE	NONE	NONE	NONE	NONE	join ordered modifier fragments with semicolon	1042	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
42	GDT565-R42	COMBINATOR	SENTENCE_ASSEMBLY	NONE	NONE	NONE	NONE	NONE	prefix colon plus base/modifier/suffix semicolons, initial capital and final period	1656	SMALL_RENDER_CARD__ROOT_VALUES_UNCHANGED
