recipe_context_cell_ordinal	recipe_context_cell_id	gdt564_source_cell_id	recipe	portable_route	event_count	effective_action_signatures	effective_argument_signatures	state_marker_sequence	base_mode	action_topology	argument_topology	modifier_atoms	modifier_type_sequence	outer_template_id	structural_template_id	generated_owner_free_microphrase_de	source_microphrases_de	event_ids	physical_page_count	physical_pages	register_count	registers	exact_replay_event_count	normalized_event_count	all_events_accounted	guard
11	GDT565-C0011	GDT564-C0007	AR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	K	OR	OL	ACTION_CHAIN	A	SINGLE	AR	RELATION	GDT565-O03	GDT565-T073	Weiter: gib die Einheit; vom Ausgang.	Weiter: gib die Einheit; vom Ausgang.	G407-E1093	1	f71v	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
12	GDT565-C0012	GDT564-C0010	AR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	SH	AIN	OL	ACTION_CHAIN	A	SINGLE	AR	RELATION	GDT565-O03	GDT565-T073	Weiter: halte den Anteil; vom Ausgang.	Weiter: halte den Anteil; vom Ausgang.	G407-E2801	1	f81r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
13	GDT565-C0013	GDT564-C0008	AR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	P	Y	OL	ACTION_CHAIN	A	SINGLE	AR	RELATION	GDT565-O03	GDT565-T073	Weiter: setze den Posten ein; vom Ausgang.	Weiter: setze den Posten ein; vom Ausgang.	G407-E4115	1	f89r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
14	GDT565-C0014	GDT564-C0009	AR+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	S	AIN	OL	ACTION_CHAIN	A	SINGLE	AR	RELATION	GDT565-O03	GDT565-T073	Weiter: wähle den Anteil; vom Ausgang.	Weiter: wähle den Anteil; vom Ausgang.	G407-E2660	1	f77r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
15	GDT565-C0015	FIXED_RECIPE	AR+OL+Y	FIXED_RECIPE	1	S	Y	OL	ACTION_CHAIN	A	SINGLE	AR	RELATION	GDT565-O03	GDT565-T073	Weiter: wähle den Posten; vom Ausgang.	Weiter: wähle den Posten; vom Ausgang.	G407-E1207	1	f72r	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
16	GDT565-C0016	FIXED_RECIPE	CARRIER_Q+E+DY	FIXED_RECIPE	1	OK	Y	DY	ACTION_CHAIN	A	SINGLE	CARRIER_Q+E	FORMAL_CONTROL+GRADE	GDT565-O01	GDT565-T009	Setze den Posten; am Beginn; auf Grad I; abschließen.	Setze den Posten; am Beginn; auf Grad I; abschließen.	G407-E3575	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
17	GDT565-C0017	GDT564-C0012	CARRIER_Q+O+CH+K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	2	CH|K	Y	OL	ACTION_CHAIN	A+A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T080	Weiter: nimm den Posten und gib den Posten; am Beginn; zur Ausführung.	Weiter: nimm den Posten und gib den Posten; am Beginn; zur Ausführung.	G407-E3559 || G407-E3989	2	f83r || f88v	2	BIOLOGICAL || PHARMA	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
18	GDT565-C0018	GDT564-C0011	CARRIER_Q+O+CH+K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|K	AIIN	OL	ACTION_CHAIN	A+A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T080	Weiter: nimm den Wert und gib den Wert; am Beginn; zur Ausführung.	Weiter: nimm den Wert und gib den Wert; am Beginn; zur Ausführung.	G407-E3855	1	f88r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
19	GDT565-C0019	FIXED_RECIPE	CARRIER_Q+O+CH+T+OL+Y	FIXED_RECIPE	2	CH|T	Y	OL	ACTION_CHAIN	A+A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T080	Weiter: nimm den Posten und stelle den Posten ein; am Beginn; zur Ausführung.	Weiter: nimm den Posten und stelle den Posten ein; am Beginn; zur Ausführung.	G407-E0262 || G407-E4063	2	f10r || f89r	2	HERBAL || PHARMA	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
20	GDT565-C0020	GDT564-C0014	CARRIER_Q+O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	SH	Y	DY	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O01	GDT565-T007	Halte den Posten; am Beginn; zur Ausführung; abschließen.	Halte den Posten; am Beginn; zur Ausführung; abschließen.	G407-E3699	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
21	GDT565-C0021	GDT564-C0013	CARRIER_Q+O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	CH	Y	DY	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O01	GDT565-T007	Nimm den Posten; am Beginn; zur Ausführung; abschließen.	Nimm den Posten; am Beginn; zur Ausführung; abschließen.	G407-E4224	1	f89r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
22	GDT565-C0022	GDT564-C0015	CARRIER_Q+O+DY	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	T	Y	DY	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O01	GDT565-T007	Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.	Stelle den Posten ein; am Beginn; zur Ausführung; abschließen.	G407-E0486	1	f17r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
23	GDT565-C0023	FIXED_RECIPE	CARRIER_Q+O+E+K+E+DY	FIXED_RECIPE	1	K	OR	DY	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O+E+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	GDT565-O01	GDT565-T008	Gib die Einheit; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.	Gib die Einheit; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.	G515-E0239	1	f31r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
24	GDT565-C0024	FIXED_RECIPE	CARRIER_Q+O+E+K+OL	FIXED_RECIPE	2	K	AIIN	OL	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE	GDT565-O03	GDT565-T060	Weiter: gib den Wert; am Beginn; zur Ausführung; auf Grad I.	Weiter: gib den Wert; am Beginn; zur Ausführung; auf Grad I.	G407-E3853 || G407-E3854	1	f88r	1	PHARMA	2	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
25	GDT565-C0025	FIXED_RECIPE	CARRIER_Q+O+E+S+E+DY	FIXED_RECIPE	1	S	Y	DY	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O+E+E	FORMAL_CONTROL+FORMAL_CONTROL+GRADE+GRADE	GDT565-O01	GDT565-T008	Wähle den Posten; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.	Wähle den Posten; am Beginn; zur Ausführung; auf Grad I; auf Grad I; abschließen.	G407-E3377	1	f82r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
26	GDT565-C0026	GDT564-C0017	CARRIER_Q+O+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	SH	Y	OL	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T059	Weiter: halte den Posten; am Beginn; zur Ausführung.	Weiter: halte den Posten; am Beginn; zur Ausführung.	G407-E1937	1	f76r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
27	GDT565-C0027	GDT564-C0016	CARRIER_Q+O+OL	OPEN_FRAME__SELECT_ACTION_ARGUMENT	1	OK	AIN	OL	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T059	Weiter: setze den Anteil; am Beginn; zur Ausführung.	Weiter: setze den Anteil; am Beginn; zur Ausführung.	G407-E0705	1	f55v	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
28	GDT565-C0028	FIXED_RECIPE	CARRIER_Q+O+P+CH+OL	FIXED_RECIPE	1	P|CH	NONE	OL	ACTION_CHAIN	A+A	NONE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T075	Weiter: setze ein und nimm; am Beginn; zur Ausführung.	Weiter: setze ein und nimm; am Beginn; zur Ausführung.	G407-E2809	1	f81r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
29	GDT565-C0029	FIXED_RECIPE	CARRIER_Q+O+P+OL	FIXED_RECIPE	1	P	Y	OL	ACTION_CHAIN	A	SINGLE	CARRIER_Q+O	FORMAL_CONTROL+FORMAL_CONTROL	GDT565-O03	GDT565-T059	Weiter: setze den Posten ein; am Beginn; zur Ausführung.	Weiter: setze den Posten ein; am Beginn; zur Ausführung.	G407-E3251	1	f82r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
30	GDT565-C0030	FIXED_RECIPE	CH+A_ADDR+DY	FIXED_RECIPE	1	CH	NONE	DY	ACTION_CHAIN	A	NONE	A_ADDR	LOCAL_OR_CLASS_SIGN	GDT565-O01	GDT565-T003	Nimm; hier; abschließen.	Nimm; hier; abschließen.	G515-E0319	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
31	GDT565-C0031	FIXED_RECIPE	CH+CH+K+E+DY	FIXED_RECIPE	1	CH|CH|K	Y	DY	ACTION_CHAIN	Ax2+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T045	Nimm den Posten zweimal und gib den Posten; auf Grad I; abschließen.	Nimm den Posten zweimal und gib den Posten; auf Grad I; abschließen.	G515-E0516	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
32	GDT565-C0032	FIXED_RECIPE	CH+CH+P+E+DY	FIXED_RECIPE	1	CH|CH|P	AIN	DY	ACTION_CHAIN	Ax2+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T045	Nimm den Anteil zweimal und setze den Anteil ein; auf Grad I; abschließen.	Nimm den Anteil zweimal und setze den Anteil ein; auf Grad I; abschließen.	G407-E1914	1	f76r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
33	GDT565-C0033	GDT564-C0018	CH+CH+T+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|CH|T	AIN	DY	ACTION_CHAIN	Ax2+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T045	Nimm den Anteil zweimal und stelle den Anteil ein; auf Grad I; abschließen.	Nimm den Anteil zweimal und stelle den Anteil ein; auf Grad I; abschließen.	G407-E1728	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
34	GDT565-C0034	GDT564-C0019	CH+CH+T+E+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|CH|T	Y	DY	ACTION_CHAIN	Ax2+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T045	Nimm den Posten zweimal und stelle den Posten ein; auf Grad I; abschließen.	Nimm den Posten zweimal und stelle den Posten ein; auf Grad I; abschließen.	G515-E0496	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
35	GDT565-C0035	FIXED_RECIPE	CH+CH+T+OL	FIXED_RECIPE	1	CH|CH|T	OR	OL	ACTION_CHAIN	Ax2+A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T102	Weiter: nimm die Einheit zweimal und stelle die Einheit ein.	Weiter: nimm die Einheit zweimal und stelle die Einheit ein.	G407-E3803	1	f88r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
36	GDT565-C0036	FIXED_RECIPE	CH+CH+T+Y+K+E+DY	FIXED_RECIPE	1	CH|CH|T|K	Y	DY	ACTION_CHAIN	Ax2+A+A	SINGLE	E	GRADE	GDT565-O01	GDT565-T047	Nimm den Posten zweimal und stelle den Posten ein und gib den Posten; auf Grad I; abschließen.	Nimm den Posten zweimal und stelle den Posten ein und gib den Posten; auf Grad I; abschließen.	G407-E4486	1	f95v	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
37	GDT565-C0037	FIXED_RECIPE	CH+E+CH+P+E+DY	FIXED_RECIPE	1	CH|CH|P	OR	DY	ACTION_CHAIN	A+A+A	SINGLE	E+E	GRADE+GRADE	GDT565-O01	GDT565-T043	Nimm die Einheit und nimm die Einheit und setze die Einheit ein; auf Grad I; auf Grad I; abschließen.	Nimm die Einheit und nimm die Einheit und setze die Einheit ein; auf Grad I; auf Grad I; abschließen.	G407-E3528	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
38	GDT565-C0038	FIXED_RECIPE	CH+E+O+R+OL	FIXED_RECIPE	1	CH|R	Y	OL	ACTION_CHAIN	A+A	SINGLE	E+O	GRADE+FORMAL_CONTROL	GDT565-O03	GDT565-T086	Weiter: nimm den Posten und markiere den Posten; auf Grad I; zur Ausführung.	Weiter: nimm den Posten und markiere den Posten; auf Grad I; zur Ausführung.	G407-E3966	1	f88v	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
39	GDT565-C0039	FIXED_RECIPE	CH+E+OL+CH+E+Y	FIXED_RECIPE	1	CH|CH	Y	OL	ACTION_CHAIN	A+A	SINGLE	E+E	GRADE+GRADE	GDT565-O03	GDT565-T087	Weiter: nimm den Posten und nimm den Posten; auf Grad I; auf Grad I.	Weiter: nimm den Posten und nimm den Posten; auf Grad I; auf Grad I.	G407-E2115	1	f76r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
40	GDT565-C0040	FIXED_RECIPE	CH+E+OL+T+AR	FIXED_RECIPE	1	CH|T	Y	OL	ACTION_CHAIN	A+A	SINGLE	E+AR	GRADE+RELATION	GDT565-O03	GDT565-T089	Weiter: nimm den Posten und stelle den Posten ein; auf Grad I; vom Ausgang.	Weiter: nimm den Posten und stelle den Posten ein; auf Grad I; vom Ausgang.	G407-E3162	1	f81v	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
41	GDT565-C0041	FIXED_RECIPE	CH+E+P+OL	FIXED_RECIPE	1	CH|P	Y	OL	ACTION_CHAIN	A+A	SINGLE	E	GRADE	GDT565-O03	GDT565-T085	Weiter: nimm den Posten und setze den Posten ein; auf Grad I.	Weiter: nimm den Posten und setze den Posten ein; auf Grad I.	G407-E3458	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
42	GDT565-C0042	FIXED_RECIPE	CH+EE+CH+K+O+DY	FIXED_RECIPE	1	CH|CH|K	Y	DY	ACTION_CHAIN	A+A+A	SINGLE	EE+O	GRADE+FORMAL_CONTROL	GDT565-O01	GDT565-T042	Nimm den Posten und nimm den Posten und gib den Posten; auf Grad II; zur Ausführung; abschließen.	Nimm den Posten und nimm den Posten und gib den Posten; auf Grad II; zur Ausführung; abschließen.	G407-E0847	1	f56r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
43	GDT565-C0043	FIXED_RECIPE	CH+K+CH+Y+K+OL+Y	FIXED_RECIPE	1	CH|K|CH|K	Y|Y	OL	ACTION_CHAIN	A+A+A+A	DOUBLE_Y	NONE	NONE	GDT565-O05	GDT565-T101	Weiter: nimm die beiden Posten und gib die beiden Posten und nimm die beiden Posten und gib die beiden Posten.	Weiter: nimm die beiden Posten und gib die beiden Posten und nimm die beiden Posten und gib die beiden Posten.	G407-E1058	1	f68r1	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
44	GDT565-C0044	FIXED_RECIPE	CH+K+E+O+DY	FIXED_RECIPE	1	CH|K	Y	DY	ACTION_CHAIN	A+A	SINGLE	E+O	GRADE+FORMAL_CONTROL	GDT565-O01	GDT565-T035	Nimm den Posten und gib den Posten; auf Grad I; zur Ausführung; abschließen.	Nimm den Posten und gib den Posten; auf Grad I; zur Ausführung; abschließen.	G515-E0350	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
45	GDT565-C0045	FIXED_RECIPE	CH+K+E+OL	FIXED_RECIPE	1	CH|K	AIIN	OL	ACTION_CHAIN	A+A	SINGLE	E	GRADE	GDT565-O03	GDT565-T085	Weiter: nimm den Wert und gib den Wert; auf Grad I.	Weiter: nimm den Wert und gib den Wert; auf Grad I.	G407-E1161	1	f72r	1	CELESTIAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
46	GDT565-C0046	GDT564-C0021	CH+K+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|K	Y	DY	ACTION_CHAIN	A+A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T034	Nimm den Posten und gib den Posten; auf Grad II; abschließen.	Nimm den Posten und gib den Posten; auf Grad II; abschließen.	G407-E1438	1	f75r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
47	GDT565-C0047	GDT564-C0020	CH+K+EE+DY	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|K	OR	DY	ACTION_CHAIN	A+A	SINGLE	EE	GRADE	GDT565-O01	GDT565-T034	Nimm die Einheit und gib die Einheit; auf Grad II; abschließen.	Nimm die Einheit und gib die Einheit; auf Grad II; abschließen.	G407-E3475	1	f83r	1	BIOLOGICAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
48	GDT565-C0048	FIXED_RECIPE	CH+K+O+DY	FIXED_RECIPE	1	CH|K	Y	DY	ACTION_CHAIN	A+A	SINGLE	O	FORMAL_CONTROL	GDT565-O01	GDT565-T032	Nimm den Posten und gib den Posten; zur Ausführung; abschließen.	Nimm den Posten und gib den Posten; zur Ausführung; abschließen.	G407-E0457	1	f17r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
49	GDT565-C0049	GDT564-C0024	CH+K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	3	CH|K	Y	OL	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T094	Weiter: nimm den Posten und gib den Posten.	Weiter: nimm den Posten und gib den Posten.	G407-E0588 || G407-E1415 || G407-E3967	3	f18r || f72r || f88v	3	CELESTIAL || HERBAL || PHARMA	3	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
50	GDT565-C0050	GDT564-C0022	CH+K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|K	AIIN	OL	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T094	Weiter: nimm den Wert und gib den Wert.	Weiter: nimm den Wert und gib den Wert.	G407-E4095	1	f89r	1	PHARMA	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
51	GDT565-C0051	GDT564-C0023	CH+K+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH|K	OR	OL	ACTION_CHAIN	A+A	SINGLE	NONE	NONE	GDT565-O05	GDT565-T094	Weiter: nimm die Einheit und gib die Einheit.	Weiter: nimm die Einheit und gib die Einheit.	G407-E0572	1	f18r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
52	GDT565-C0052	GDT564-C0026	CH+LOCAL_CHAR_F+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH	Y	OL	ACTION_CHAIN	A	SINGLE	LOCAL_CHAR_F	LOCAL_OR_CLASS_SIGN	GDT565-O03	GDT565-T068	Weiter: nimm den Posten; hier.	Weiter: nimm den Posten; hier.	G515-E0452	1	f66r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
53	GDT565-C0053	GDT564-C0025	CH+LOCAL_CHAR_F+OL	WRITTEN_ACTION__SELECT_ARGUMENT	1	CH	AIIN	OL	ACTION_CHAIN	A	SINGLE	LOCAL_CHAR_F	LOCAL_OR_CLASS_SIGN	GDT565-O03	GDT565-T068	Weiter: nimm den Wert; hier.	Weiter: nimm den Wert; hier.	G407-E0067	1	f1r	1	SOURCE_SECTION_T	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
54	GDT565-C0054	FIXED_RECIPE	CH+LOCAL_CHAR_F+OL+DY	FIXED_RECIPE	1	CH	Y	OL+DY	ACTION_CHAIN	A	SINGLE	LOCAL_CHAR_F	LOCAL_OR_CLASS_SIGN	GDT565-O04	GDT565-T109	Weiter: nimm den Posten; hier; abschließen.	Weiter: nimm den Posten; hier; abschließen.	G407-E0407	1	f13r	1	HERBAL	1	0	YES	RECIPE_CONTEXT_CELL_GENERATED_FROM_RENDERER_CARDS
