surface_form	joint_tuple_id	occurrences	event_ids	records	pages	formal_role	selected_parse	root_value_de	left_hull_value_de	right_argument_or_terminal	short_default_gloss_de	confidence	counterexample_or_limit
otchedy	4de12cf322dfb76ded1e	1	E301	B3	f83r	TERMINAL__CLOSE_FRAME_OT	OT+CHED+TERMINAL_Y	umsetzen	OT=danach oder nächster	umhüllte DY-Abschlusskonstruktion	danach oder erneut umsetzen; Schluss	MEDIUM_HIGH	Die alte Lesung gleichteilig mischen enthält keinen sichtbaren Gleichheits- oder Mengenanteil.
pchedal	ba540da978ea132f6da5	1	E248	B3	f83r	NONCLOSE__ARG_AL	P+CHED+AL	umsetzen	P=ein oder zum Empfänger; provisorisch	AL=Stelle	Einfüll- oder Transferstelle	LOW	Einzelbeleg; P ist nur durch den Gegensatz Einfüllen versus Abziehen eingegrenzt.
pchedy	65df3cd9e59060042d47	1	E221	B2	f82r	TERMINAL__CLOSE_OPAQUE	P+CHED+TERMINAL_Y	umsetzen	P=ein oder zum Empfänger; provisorisch	umhüllte DY-Abschlusskonstruktion	in den Empfänger überführen; Schluss	LOW	Einzelbeleg; die alte Lesung abziehen widerspricht der alten PCHEDAL-Lesung Gefäß füllen und entscheidet P nicht.
qokchdy	87411f84689b4f93a303	3	E131|E284|E363	B1|B3|B5	f81v|f83r	TERMINAL__CLOSE_OPAQUE	RENDERER_Q+OK+CHD+TERMINAL_Y	umsetzen	Q ohne Semantik; OK=in Gang setzen oder anwenden	umhüllte DY-Abschlusskonstruktion	Ansatz umsetzen; Schluss	MEDIUM	Drei Wiederholungen stützen die Identität, aber nicht die alte Zusatzbedeutung einmal erhitzen; kein sichtbares Element bedeutet sicher Hitze.
qokchedy	07913ef9b1fb773cd325	1	E264	B3	f83r	TERMINAL__CLOSE_OPAQUE	RENDERER_Q+OK+CHED+TERMINAL_Y	umsetzen	Q ohne Semantik; OK=in Gang setzen oder anwenden	umhüllte DY-Abschlusskonstruktion	Ansatz umsetzen; Schluss	MEDIUM	Gleiche exakte Karte wie okchedy; die E-Differenz gegen qokchdy trägt weder sicher warm noch kalt.
qolchedy	28ffbc88b97772a75f1e	2	E126|E168	B1|B2	f81v|f82r	TERMINAL__CLOSE_OPAQUE	RENDERER_Q+OL+CHED+TERMINAL_Y	umsetzen	Q ohne Semantik; OL=weiter oder mit Vorigem	umhüllte DY-Abschlusskonstruktion	weiterführen; Schluss	MEDIUM_HIGH	Gleiche exakte Karte wie olchedy; beiseitestellen ist nur eine lokale Konkretisierung.
qotchedy	4de12cf322dfb76ded1e	1	E281	B3	f83r	TERMINAL__CLOSE_FRAME_OT	RENDERER_Q+OT+CHED+TERMINAL_Y	umsetzen	Q ohne Semantik; OT=danach oder nächster	umhüllte DY-Abschlusskonstruktion	danach oder erneut umsetzen; Schluss	MEDIUM_HIGH	Gleiche exakte Karte wie otchedy; gleichteilig mischen wird mangels sichtbarer Gleichheitskomponente verworfen.
schedair	b154ff779abe5f196c80	1	E300	B3	f83r	NONCLOSE__ARG_AIR	RENDERER_S+CHED+AIR	umsetzen	S ohne nachgewiesene Semantik	AIR=fließende Flüssigkeit	Flüssigkeitsstrom führen oder abziehen	MEDIUM	Einzelbeleg; klar ist nicht eigens sichtbar, aber AIR macht eine Flusslesung innerhalb der Arbeitstheorie plausibel.
schedy	259b2b3b0bf859882e2c	2	E120|E239	B1|B3	f81v|f83r	TERMINAL__CLOSE_OPAQUE	RENDERER_S+CHED+TERMINAL_Y	umsetzen	D/S/T sind wertgleiche Oberflächenhüllen	umhüllte DY-Abschlusskonstruktion	Arbeitsbewegung abschließen	HIGH_STRUCTURE__LOW_MEANING	Gleiche exakte Karte wie dchedy und tchedy; ausspülen kann lokale Konkretisierung sein, aber nicht aus S gelesen werden.
sshkchdy	54e32e9c1414b20640e9	1	E122	B1	f81v	TERMINAL__CLOSE_OPAQUE	SSHK+CHD+TERMINAL_Y	umsetzen	SSHK unbestimmt	umhüllte DY-Abschlusskonstruktion	unter besonderer Bedingung umsetzen; Schluss	LOW	Einzelbeleg; warm halten ist nicht kompositionell aus SSHK ableitbar.
tchedy	259b2b3b0bf859882e2c	1	E283	B3	f83r	TERMINAL__CLOSE_OPAQUE	RENDERER_T+CHED+TERMINAL_Y	umsetzen	D/S/T sind wertgleiche Oberflächenhüllen	umhüllte DY-Abschlusskonstruktion	Arbeitsbewegung abschließen	HIGH_STRUCTURE__LOW_MEANING	Gleiche exakte Karte wie dchedy und schedy; T besitzt hier keinen nachweisbaren eigenen Bedeutungsbeitrag.
