joint_tuple_id	surface_family	visible_events	event_ids	records	pages	statement_initial	statement_final	selected_parse	ok_contribution	argument_contribution	new_default_reading_de	composition_status	old_gloss_revision	local_context_audit	unresolved_counterexample
9ad66e67803a12e745de	chokchy|okchy|qokchy	3	E011|E091|E095	H1|H5	f10r|f56r	2	0	OK+CHY[Y]	IN_DEN_ARBEITSGANG_SETZEN	aktueller Ansatz	aktuellen Ansatz in Arbeit nehmen oder anwenden	CLOSED_RENDERER_PAIR	frischer Auszug verliert frisch	CHY ist sichtbare Variante derselben selbständigen Y-Karte; alle drei Herbal-Kontexte erlauben Ansatzanwendung	Unterschied zur zweiten exakten OKY-Karte kann register- oder nomenklatorlokal sein
7db18b2f0fb7ed0fcfd3	qokedy	8	E101|E137|E138|E259|E294|E297|E318|E335	B1|B3|B4	f81v|f83r	3	8	OK+E+DY	IN_DEN_ARBEITSGANG_SETZEN	kurzer Kontaktgrad plus Abschluss	kurz anwenden oder spülen; abschließen	TRANSPARENT_SCALE_PROVISIONAL	spülen bleibt enger Default, nicht alleinige OK-Bedeutung	Alle acht Belege aussagefinal; drei sind selbständige Aussagen	E kann Kontaktart statt Dauer oder Grad sein
93f69c38fdedee1598e9	qokeedal	1	E117	B1	f81v	0	0	OK+EE?+DAL[AL]	IN_DEN_ARBEITSGANG_SETZEN	verlängerter Kontakt plus Zielstelle	verlängert an der Stelle anwenden	PARTIAL_COMPOSITION	eingetauchter Teil als Substantiv gestrichen	Zwischen zwei DAIIN-Maßkarten; actionale Zielanwendung ist möglich	Mittleres EE/D und genaue Kontaktart offen
7d25241b0e56c836372a	qokeedy	10	E171|E201|E213|E224|E227|E245|E265|E302|E315|E329	B2|B3|B4	f82r|f83r	5	10	OK+EE+DY	IN_DEN_ARBEITSGANG_SETZEN	längerer Kontaktgrad plus Abschluss	länger in Kontakt halten; baden oder einweichen; abschließen	TRANSPARENT_SCALE_PROVISIONAL	baden bleibt natürliche Ausführung, nicht globale EE-Bedeutung	Alle zehn Belege aussagefinal; fünf sind selbständige Aussagen	E-Länge könnte Intensität, Dauer oder anderer Kontaktmodus sein
d25110e0d8488927278f	qokeeedy	1	E209	B2	f82r	0	1	OK+EEE+DY	IN_DEN_ARBEITSGANG_SETZEN	maximaler Kontaktgrad plus Abschluss	vollständig durchtränken; abschließen	TRANSPARENT_SCALE_PROVISIONAL	vollständig benetzen wird als oberer Skalendefault beibehalten	Aussagefinal nach CHEY; fügt sich in E/EE/EEE-Reihe	Nur ein oberer Skalenbeleg
08bd5ca0c2ad137a056d	okey|qokey	2	E142|E220	B1|B2	f81v|f82r	0	0	OK+EY?	IN_DEN_ARBEITSGANG_SETZEN	Flüssigkeit oder Medium unsicher	Flüssigkeit oder Medium anwenden	TRANSPARENT_OUTER_PROVISIONAL	Wasser zugeben verliert zwingendes Wasser und Wärme	Einmal zwischen LSHO und LSHEDY, einmal zwischen OKAIIN und PCHEDY; Flüssigkeitskontakt passt	EY ist kein sauber unabhängig geschlossener Wasserstamm
1322bc176443fc2a8a86	qokokchy	1	E090	H5	f56r	0	1	OK+OK+CHY[Y]?	IN_DEN_ARBEITSGANG_SETZEN	zweiter Aktivierungsaufruf plus aktueller Ansatz	Ansatz erneut oder kräftig in Arbeit nehmen	PARTIAL_COMPOSITION	trocken verwahren gestrichen	Nach Pflanzenkarte und KCHey am Ende der Aussage; erneuter Arbeitsschritt möglich	Doppel-OK kann Wiederholung, Nachdruck oder gelernter Ganzwert sein
232195d6ff2f326322f7	qokol	1	E346	B4	f83r	1	0	OK+OL	IN_DEN_ARBEITSGANG_SETZEN	mit Vorigem fortsetzen	vorigen Arbeitsgang weiterführen	CLOSED_RENDERER_PAIR	einlaufen lassen wird nur mögliche lokale Ausführung	Aussagebeginn vor SHEDY; Weiterführung plus Ruheabschluss ist kompakt	Spezifischer Einlauf bleibt kontextuell möglich, aber nicht lexikalisiert
db167f8e9b53eefb58f8	qokshedy	1	E267	B3	f83r	1	1	OK+SHEDY	IN_DEN_ARBEITSGANG_SETZEN	Ruhe- oder Absetzgang plus Abschluss	Ansatz zur Ruhe bringen oder absetzen lassen; abschließen	TRANSPARENT_OUTER_STRONG	Badezusatz erwärmen gestrichen	Selbständige Abschlussaussage; SHEDY existiert wiederholt unabhängig als Ruheabschluss	Ob Ruhe und Absetzen getrennte Unterwerte sind bleibt offen
eb2e4bc143f623ee03ac	qokylddy	1	E326	B4	f83r	1	1	OK+Y+LDDY?	IN_DEN_ARBEITSGANG_SETZEN	aktueller Ansatz; LDDY unbekannt	Ansatz auflegen oder anwenden; Schritt schließen	OPAQUE_INNER_WITH_OUTER_OK	warmes Tuch auflegen bleibt nur lokale Gesamtlesung	Selbständige Abschlussaussage nach einem Wärme-/Ansatzfeld	LDDY besitzt keinen unabhängigen Beleg; Gesamtkomposition nicht vorhersagbar
