statement_id	record_unit_id	page	shared_card_count	shared_master_cards	shared_surface_skeleton	source_phrase_expansion_de	current_statement_reading_de
H4-S002	H4	f55v	2	MC039 MC074	aiin chdy	nach Sollmaß den Posten umsetzen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Wringe den Ansatz durch Tuch aus, sammle den klaren Anteil und verwende ihn frisch als Waschung.
H4-S003	H4	f55v	2	MC032 MC019	cheeky oldy	den Posten länger wärmen weiterführen und schließen	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Nimm den Pflanzenrest, gib Bindestoff zu und bearbeite ihn bis zum gebundenen Zustand.
H4-S004	H4	f55v	4	MC039 MC040 MC080 MC123	aiin okal chor chey	nach Sollmaß am Ziel ansetzen den Ansatz diesen Posten	Bei der Bildpflanze, dem geklärten Blattauszug und dem gebundenen Rest: Teile eine Portion der gebundenen Bereitung ab, bringe sie an die örtliche Stelle und verwende sie als gebundene Anwendung.
H5-S001	H5	f56r	3	MC039 MC026 MC154	aiin choky al	nach Sollmaß den Posten ansetzen zum Ziel	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm frisches Kraut, setze es mit Wasser kurz an und bereite daraus eine Waschung.
H5-S002	H5	f56r	1	MC026	choky	den Posten ansetzen	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Nimm vom selben nassen Pflanzenstoff einen zweiten Teil und verwende ihn als gebundene Anwendung.
H5-S003	H5	f56r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Halte den übrigen Pflanzenstoff zurück und beginne damit eine zweite Zubereitung.
H5-S004	H5	f56r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Auszugsflüssigkeit zu, führe den Ansatz durch Tuch und trenne den Auszug ab.
H5-S005	H5	f56r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Gib Bindestoff zum abgetrennten Pflanzenstoff und führe ihn bis zur gebundenen Stufe weiter.
H5-S006	H5	f56r	2	MC171 MC039	otchey aiin	danach den nächsten Posten nach Sollmaß	Bei der Bildpflanze, dem frischen Kraut und den zwei getrennten Zubereitungen: Bemiss eine örtliche Portion des zweiten Auszugs und gebrauche sie als dosiertes Mittel.
B1-S001	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S002	B1	f81v	10	MC120 MC040 MC055 MC153 MC154 MC153 MC157 MC153 MC039 MC039	okaiin okal char cheol al cheol cholor cheol aiin aiin	das Sollmaß einstellen am Ziel ansetzen aus der Quelle weiterführen zum Ziel weiterführen den vorigen Ansatz weiterführen weiterführen nach Sollmaß nach Sollmaß	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Sollmaß ein, setze den Posten dort an, gib die weiteren Portionen und den Zusatz zu, führe den Ansatz weiter, leite kurz zur Zielstelle durch, stelle das Sollmaß ein, halte dort länger, leite durch, setze um und schließe.
B1-S003	B1	f81v	1	MC153	cheol	weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Führe weiter, schwenke den Posten und schließe
B1-S004	B1	f81v	2	MC074 MC153	chdy cheol	den Posten umsetzen weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, lass absetzen und schließe
B1-S005	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten weiter und schließe
B1-S006	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Gib eine Portion und den Zusatz zu, leite durch, führe zur Zielstelle und übergib an den folgenden Umsetzschritt.
B1-S007	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Setze die abgekühlte Badmischung um und schließe
B1-S008	B1	f81v	3	MC123 MC153 MC153	chey cheol cheol	diesen Posten weiterführen weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Führe den aktuellen Posten weiter, wärme kurz, lass absetzen und schließe
B1-S009	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S010	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Setze kurz an und schließe
B1-S011	B1	f81v	1	MC026	choky	den Posten ansetzen	Im gemeinsamen zweireihigen Figurenbecken: Leite durch und setze den Posten an
B1-S012	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Beginne mit dem durchgeleiteten Waschposten den Waschgang, setze kurz an, wasche und schließe
B1-S013	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Wasche und schließe
B1-S014	B1	f81v	2	MC074 MC153	chdy cheol	den Posten umsetzen weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Setze um, führe weiter, leite am Auslass ab und führe danach von dort weiter.
B1-S015	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Fülle das Gefäß mit der abgeleiteten Arbeitsflüssigkeit, setze den Inhalt um und schließe
B1-S016	B1	f81v	2	MC040 MC153	okal cheol	am Ziel ansetzen weiterführen	Im gemeinsamen zweireihigen Figurenbecken: Setze dort länger an, führe weiter, lass absetzen und schließe
B1-S017	B1	f81v	1	MC154	al	zum Ziel	Im gemeinsamen zweireihigen Figurenbecken: Führe dorthin, führe kurz weiter, setze um und schließe.
B1-S018	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Stelle das Gefäß bereit, lass den Posten kurz weiter ruhen, bringe ihn auf Sollstufe, sammle länger und schließe.
B1-S019	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Lass absetzen und schließe
B1-S020	B1	f81v	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Im gemeinsamen zweireihigen Figurenbecken: Wärme kurz, seih und schließe
B1-S021	B1	f81v	1	MC154	al	zum Ziel	Im gemeinsamen zweireihigen Figurenbecken: Führe den Posten dorthin
B2-S001	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze um und schließe.
B2-S002	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Führe weiter und schließe.
B2-S003	B2	f82r	1	MC123	chey	diesen Posten	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Gib eine Portion zu, setze den Posten länger an und schließe.
B2-S004	B2	f82r	1	MC040	okal	am Ziel ansetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze dort an, leite durch den Ausgang, führe ab, setze länger an, seih ab und schließe.
B2-S005	B2	f82r	2	MC120 MC120	okaiin okaiin	das Sollmaß einstellen das Sollmaß einstellen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Setze diesen Posten dort an, sammle bis zum Sollmaß, leite durch, stelle das Sollmaß ein, führe bereit weiter, wärme länger, ziehe ab und schließe.
B2-S006	B2	f82r	2	MC040 MC026	okal choky	am Ziel ansetzen den Posten ansetzen	Für die Arbeitsflüssigkeit der oberen Doppelbecken mit Mittelzylinder: Nimm den langen Folgeposten, setze ihn dort an, leite ihn kurz durch und setze den Posten an.
B2-S007	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Gib dem weitergeführten Überlaufposten Frischwasser zu und schließe.
B2-S008	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Stelle das Folgemaß ein, setze daraus an, lass absetzen und schließe.
B2-S009	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Lass weiter absetzen und schließe.
B2-S010	B2	f82r	2	MC026 MC119	choky cheey	den Posten ansetzen bis zum Ergebnis	Für die Charge des linken Mittelgeräts mit seinem Einzelknoten: Setze länger an, führe den Posten durch den Auslass und nimm den Klarlauf.
B2-S011	B2	f82r	1	MC055	char	aus der Quelle	Für die liegende Figur im kleinen Becken: Nimm aus dem gesetzten Ansatz eine Portion, gib eine weitere Portion zu, lasse sie länger einwirken und schließe den Schritt.
B2-S012	B2	f82r	3	MC119 MC039 MC123	cheey aiin chey	bis zum Ergebnis nach Sollmaß diesen Posten	Ziehe den Anwendungsanteil aus dem kleinen Liegebecken ab. Wechsle ohne behauptete Leitungsverbindung zum grünen Mehrpersonenbecken: Nimm dort den Klarlauf, halte ihn kurz bereit, setze ihn länger an, führe ihn nach Sollmaß ab, vollende den Posten und schließe.
B2-S013	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für den Ansatz des grünen Mehrpersonenbeckens: Führe ab und schließe.
B2-S014	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für den Ansatz des grünen Mehrpersonenbeckens: Führe von dort ab.
B2-S015	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Halte den vorigen Ablauf geschlossen, gib den Klarlauf zu, setze länger an und schließe.
B2-S016	B2	f82r	3	MC154 MC039 MC120	al aiin okaiin	zum Ziel nach Sollmaß das Sollmaß einstellen	Für die Rand- und Servicebadansatz des unteren Beckens: Führe ihn dorthin und von dort ab, teile gleich, stelle das Sollmaß ein, nimm den langen Folgeposten, setze kurz an, führe ein und schließe.
B2-S017	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Lass den Posten kurz am Ziel ruhen, schließe die Nebenöffnung und beende den Schritt.
B2-S018	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
B2-S019	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Waschgang aus und schließe.
B2-S020	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Nimm die lange Folge und schließe.
B2-S021	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Setze länger an und schließe.
B2-S022	B2	f82r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Rand- und Servicebadansatz des unteren Beckens: Führe den Rest ab und schließe.
B3-S001	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge der oberen offenen Fächerstation: Sammle länger und schließe.
B3-S002	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge der oberen offenen Fächerstation: Führe danach dorthin, wärme länger und schließe.
B3-S003	B3	f83r	3	MC123 MC039 MC123	chey aiin chey	diesen Posten nach Sollmaß diesen Posten	Für die Charge der oberen offenen Fächerstation: Nimm den aktuellen Posten nach Sollmaß, führe ihn ab und schließe.
B3-S004	B3	f83r	2	MC120 MC055	okaiin char	das Sollmaß einstellen aus der Quelle	Für die Charge der oberen offenen Fächerstation: Stelle das Sollmaß ein, führe danach dorthin und nimm daraus.
B3-S005	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des runden Randgefäßes: Setze die entnommene Sollmaßportion um und schließe.
B3-S006	B3	f83r	1	MC040	okal	am Ziel ansetzen	Für die Charge des runden Randgefäßes: Setze dorthin um, führe weiter und schließe.
B3-S007	B3	f83r	2	MC120 MC074	okaiin chdy	das Sollmaß einstellen den Posten umsetzen	Für die Charge des runden Randgefäßes: Stelle das Sollmaß ein, setze um, setze länger an und schließe.
B3-S008	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des runden Randgefäßes: Führe ab und schließe.
B3-S009	B3	f83r	1	MC026	choky	den Posten ansetzen	Für die Charge des runden Randgefäßes: Setze den Posten an.
B3-S010	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des unteren Korb-/Randgefäßes: Führe den angesetzten Posten am Einlass zu, nimm die kurze Folge und schließe.
B3-S011	B3	f83r	2	MC026 MC074	choky chdy	den Posten ansetzen den Posten umsetzen	Für die Charge des unteren Korb-/Randgefäßes: Setze den bereiten Posten um, setze ihn an, setze erneut um und nimm daraus den folgenden Posten.
B3-S012	B3	f83r	1	MC080	chor	den Ansatz	Für die Charge des unteren Korb-/Randgefäßes: Lass den aufgestrichenen und abgekühlten Ansatz absetzen und schließe.
B3-S013	B3	f83r	1	MC120	okaiin	das Sollmaß einstellen	Für die Charge des unteren Korb-/Randgefäßes: Stelle das Sollmaß ein, nimm eine Portion, halte kurz bereit, setze kurz an und schließe.
B3-S014	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des unteren Korb-/Randgefäßes: Lass Wasser ein, lass länger absetzen und schließe.
B3-S015	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für die Charge des unteren Korb-/Randgefäßes: Führe ab und schließe.
B3-S016	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Führe die Charge des unteren Korbgefäßes ab. Beginne jenseits der Bildlücke einen eigenen Übergangsansatz, setze ihn um und schließe; die Lücke ist keine Leitung.
B3-S017	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Den örtlichen Übergangsansatz länger ansetzen und schließen.
B3-S018	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Den örtlichen Übergangsansatz kurz absetzen lassen und schließen.
B3-S019	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Den örtlichen Übergangsansatz ansetzen, absetzen lassen und schließen.
B3-S020	B3	f83r	1	MC154	al	zum Ziel	Den örtlichen Übergangsansatz zur im Exemplar bezeichneten Stelle führen, dort abführen und schließen.
B3-S021	B3	f83r	8	MC120 MC161 MC154 MC123 MC039 MC123 MC154 MC161	okaiin checthy al chey aiin chey al checthy	das Sollmaß einstellen den Posten bereit halten zum Ziel diesen Posten nach Sollmaß diesen Posten zum Ziel den Posten bereit halten	Am örtlichen Übergangsansatz das Sollmaß einstellen, ihn am bezeichneten Platz bereithalten, dort absetzen lassen, kurz prüfen, erneut bereitstellen, umsetzen und schließen.
B3-S022	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Danach den nächsten Übergangsansatz umsetzen und schließen.
B3-S023	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Den Übergangsansatz abführen und schließen.
B3-S024	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Den Übergangsansatz umsetzen und schließen.
B3-S025	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Den nächsten Übergangsansatz ansetzen, umsetzen und schließen.
B3-S026	B3	f83r	2	MC074 MC161	chdy checthy	den Posten umsetzen den Posten bereit halten	Den vorbereiteter Badansatz von seinem gesetzten Ort umsetzen, bis zum Sollmaß absetzen lassen, erneut umsetzen, eine Portion zugeben und bereit halten. Dann ohne behauptete Leitung zum sichtbar gekoppelten behandelte Hauptpaar wechseln, den eingehenden Ansatz dort länger sammeln und schließen.
B3-S027	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Nimm die lange Folge und schließe.
B3-S028	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger, dann kurz an und schließe.
B3-S029	B3	f83r	1	MC153	cheol	weiterführen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Führe weiter, nimm den ganzen Teilposten, setze kurz an und schließe.
B3-S030	B3	f83r	2	MC026 MC039	choky aiin	den Posten ansetzen nach Sollmaß	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze den Posten nach Sollmaß an, leite Wasser weiter, führe die Folgeumsetzung aus und schließe.
B3-S031	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze länger an und schließe.
B3-S032	B3	f83r	1	MC074	chdy	den Posten umsetzen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Setze eine Portion um, stelle ein kurzes Folgemaß und danach das Folgemaß ein, führe die kurze Folge aus und schließe.
B3-S033	B3	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Ziehe ab und schließe.
B3-S034	B3	f83r	2	MC161 MC086	checthy chety	den Posten bereit halten einen Teil abteilen	Für den Ansatz des sichtbar gekoppelten behandelten behandelte Hauptpaars: Bringe auf Sollstufe, halte bereit, trenne einen Teil ab, stelle das Folgemaß ein, führe zur unteren Zielstelle, lass absetzen und schließe.
B4-S001	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze länger an und schließe
B4-S002	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe diesen Posten weiter, setze ihn länger und dann kurz an und schließe.
B4-S003	B4	f83r	4	MC074 MC171 MC026 MC153	chdy otchey choky cheol	den Posten umsetzen danach den nächsten Posten den Posten ansetzen weiterführen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze um, führe danach dorthin, wähle den Folgeposten, setze länger an, führe weiter, lass absetzen und schließe
B4-S004	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Befestige den Posten und schließe
B4-S005	B4	f83r	1	MC074	chdy	den Posten umsetzen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lege das Tuch ein, setze um, setze länger an und schließe
B4-S006	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
B4-S007	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Seih und schließe
B4-S008	B4	f83r	2	MC039 MC032	aiin cheeky	nach Sollmaß den Posten länger wärmen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme länger, lass länger ruhen, setze kurz an und schließe.
B4-S009	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Lass absetzen und schließe
B4-S010	B4	f83r	1	MC019	oldy	weiterführen und schließen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe weiter und schließe
B4-S011	B4	f83r	3	MC039 MC074 MC153	aiin chdy cheol	nach Sollmaß den Posten umsetzen weiterführen	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Stelle das Sollmaß ein, wärme kurz, führe länger fort, gib eine Portion zu, setze um, führe weiter, wasche nach und schließe
B4-S012	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Führe ab und schließe
B4-S013	B4	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze die Fortsetzung ein, lass absetzen und schließe
B4-S014	B4	f83r	2	MC080 MC123	chor chey	den Ansatz diesen Posten	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Setze den Ansatz in einen kurzen Durchlauf, schließe den Wasserlauf und beende den Schritt.
B4-S015	B4	f83r	1	MC119	cheey	bis zum Ergebnis	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine Portion zu, nimm den Klarlauf, leite die Portion zur Zielstelle, sammle kurz, führe ab und schließe.
B4-S016	B4	f83r	1	MC154	al	zum Ziel	Am Hauptpaar mit Tuchanwendung und getrennten Dienstläufen: Gib eine weitere Portion dorthin, giesse sie von dort aus, lass absetzen und schließe.
B5-S001	B5	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	An der linken figurenlosen Dienststation: Führe die Folgeumsetzung aus und schließe
B5-S002	B5	f83r	0	NONE	NONE	[kein gemeinsamer Ganzkartenwert]	An der linken figurenlosen Dienststation: Setze um und schließe
B5-S003	B5	f83r	5	MC154 MC153 MC039 MC153 MC074	al cheol aiin cheol chdy	zum Ziel weiterführen nach Sollmaß weiterführen den Posten umsetzen	An der linken figurenlosen Dienststation: Lass dort absetzen, führe dorthin und weiter, führe von dort weiter, setze dort um, stelle das Sollmaß ein und setze weiter um.
B6-S001	B6	f83r	4	MC153 MC039 MC153 MC123	cheol aiin cheol chey	weiterführen nach Sollmaß weiterführen diesen Posten	An der rechten figurenlosen Dienststation: Sammle den rohen Posten länger, führe diesen Posten dorthin, stelle das Sollmaß ein, lege das Tuch ein und führe den Posten zum Endziel.
