instruction_id	record	article_sentence_no	source_statement_ids	visible_event_ids	original_instruction_de	anaphoric_sentence_de	pronoun_replacements	connector	end_type	component_values_unchanged
I011	B1	2	B1-S002	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten nach Maß ansetzen, dann den Posten im Lauf zuführen, dann den Posten an der Zielstelle ansetzen, dann von dort nehmen, dann den Posten fortsetzen, dann eine Portion zuführen, dann eine Portion fortsetzen und zuführen, dann die Zielstelle setzen, dann den Posten fortsetzen, dann den Posten abkühlen und fortsetzen, dann den Posten führen, dann den Ansatz fortsetzen, dann den Posten fortsetzen, dann den Posten an der Zielstelle am Durchlass kurz halten, dann das Maß setzen, dann den Posten an der Zielstelle länger ansetzen, dann das Maß setzen, dann diesen Posten übernehmen, dann den Posten umsetzen und den Schritt schließen.	Danach ihn nach Maß ansetzen, dann ihn im Lauf zuführen, dann ihn an der Zielstelle ansetzen, dann von dort nehmen, dann ihn fortsetzen, dann eine Portion zuführen, dann eine Portion fortsetzen und zuführen, dann die Zielstelle setzen, dann ihn fortsetzen, dann ihn abkühlen und fortsetzen, dann ihn führen, dann den Ansatz fortsetzen, dann ihn fortsetzen, dann ihn an der Zielstelle am Durchlass kurz halten, dann das Maß setzen, dann ihn an der Zielstelle länger ansetzen, dann das Maß setzen, dann ihn übernehmen, dann ihn umsetzen und den Schritt schließen.	12	Danach	COMMITTED_CLOSE	YES
I012	B1	3	B1-S003	E121|E122	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten fortsetzen, dann den Posten halten und zuführen und umsetzen und den Schritt schließen.	Anschließend ihn fortsetzen, dann ihn halten und zuführen und umsetzen und den Schritt schließen.	2	Anschließend	COMMITTED_CLOSE	YES
I013	B1	4	B1-S004	E123|E124|E125	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann diesen Posten umsetzen, dann den Posten fortsetzen, dann den Posten absetzen und den Schritt schließen.	Sodann ihn umsetzen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen.	3	Sodann	COMMITTED_CLOSE	YES
I014	B1	5	B1-S005	E126	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten fortsetzen und umsetzen und den Schritt schließen.	Danach ihn fortsetzen und umsetzen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I015	B1	6	B1-S006|B1-S007	E127|E128|E129|E130|E131	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann eine Portion ansetzen, dann diesen Posten übernehmen, dann den Posten führen, dann den Posten an der Zielstelle abkühlen, dann den Posten ansetzen und umsetzen und den Schritt schließen.	Anschließend eine Portion ansetzen, dann ihn übernehmen, dann ihn führen, dann ihn an der Zielstelle abkühlen, dann ihn ansetzen und umsetzen und den Schritt schließen.	4	Anschließend	COMMITTED_CLOSE	YES
I016	B1	7	B1-S008	E132|E133|E134|E135|E136	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann diesen Posten übernehmen, dann den Posten fortsetzen, dann diesen Posten kurz wärmen, dann den Posten fortsetzen, dann den Posten absetzen und den Schritt schließen.	Sodann ihn übernehmen, dann ihn fortsetzen, dann ihn kurz wärmen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen.	5	Sodann	COMMITTED_CLOSE	YES
I017	B1	8	B1-S009	E137	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten kurz ansetzen und den Schritt schließen.	Danach ihn kurz ansetzen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I018	B1	9	B1-S010	E138	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten kurz ansetzen und den Schritt schließen.	Anschließend ihn kurz ansetzen und den Schritt schließen.	1	Anschließend	COMMITTED_CLOSE	YES
I019	B1	10	B1-S011|B1-S012	E139|E140|E141|E142|E143	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann diesen Posten übernehmen, dann diesen Posten ansetzen, dann den Arbeitsgang ausführen, dann diesen Posten kurz ansetzen, dann den Posten bearbeiten und den Schritt schließen.	Sodann ihn übernehmen, dann ihn ansetzen, dann den Arbeitsgang ausführen, dann ihn kurz ansetzen, dann ihn bearbeiten und den Schritt schließen.	4	Sodann	COMMITTED_CLOSE	YES
I020	B1	11	B1-S013	E144	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten bearbeiten und den Schritt schließen.	Danach ihn bearbeiten und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I021	B1	12	B1-S014|B1-S015	E145|E146|E147|E148|E149|E150|E151	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann diesen Posten umsetzen, dann diesen Posten auffangen, dann den Posten an der Zielstelle führen und umsetzen, dann den Posten fortsetzen, dann danach von dort nehmen, dann diesen Posten kurz eintragen, dann den Posten ansetzen und umsetzen und den Schritt schließen.	Anschließend ihn umsetzen, dann ihn auffangen, dann ihn an der Zielstelle führen und umsetzen, dann ihn fortsetzen, danach von dort nehmen, dann ihn kurz eintragen, dann ihn ansetzen und umsetzen und den Schritt schließen.	6	Anschließend	COMMITTED_CLOSE	YES
I022	B1	13	B1-S016	E152|E153|E154|E155	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten an der Zielstelle ansetzen, dann diesen Posten länger ansetzen, dann den Posten fortsetzen, dann den Posten absetzen und den Schritt schließen.	Sodann ihn an der Zielstelle ansetzen, dann ihn länger ansetzen, dann ihn fortsetzen, dann ihn absetzen und den Schritt schließen.	4	Sodann	COMMITTED_CLOSE	YES
I023	B1	14	B1-S017	E156|E157|E158	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann die Zielstelle setzen, dann den Posten kurz fortsetzen, dann den Posten umsetzen und den Schritt schließen.	Danach die Zielstelle setzen, dann ihn kurz fortsetzen, dann ihn umsetzen und den Schritt schließen.	2	Danach	COMMITTED_CLOSE	YES
I024	B1	15	B1-S018	E159|E160|E161|E162	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann diesen Posten führen, dann den Posten kurz halten und fortsetzen, dann die Sollstufe einstellen, dann den Posten länger auffangen und den Schritt schließen.	Anschließend ihn führen, dann ihn kurz halten und fortsetzen, dann die Sollstufe einstellen, dann ihn länger auffangen und den Schritt schließen.	3	Anschließend	COMMITTED_CLOSE	YES
I025	B1	16	B1-S019	E163	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann den Posten absetzen und den Schritt schließen.	Sodann ihn absetzen und den Schritt schließen.	1	Sodann	COMMITTED_CLOSE	YES
I026	B1	17	B1-S020	E164|E165	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann diesen Posten kurz wärmen, dann den Posten am Durchlass kurz halten und den Schritt schließen.	Danach ihn kurz wärmen, dann ihn am Durchlass kurz halten und den Schritt schließen.	2	Danach	COMMITTED_CLOSE	YES
I027	B1	18	B1-S021	E166	Bei gemeinsame zweireihige Figuren-/Beckenstation, dann die Zielstelle setzen.	Anschließend die Zielstelle setzen.	0	Anschließend	RECORD_FINAL_OPEN	YES
I028	B2	1	B2-S001	E167	Bei oberes Beckenpaar mit Zylinder, dann den Posten umsetzen und den Schritt schließen.	Zuerst den Posten umsetzen und den Schritt schließen.	0	Zuerst	COMMITTED_CLOSE	YES
I029	B2	2	B2-S002	E168	Bei oberes Beckenpaar mit Zylinder, dann den Posten fortsetzen und umsetzen und den Schritt schließen.	Danach ihn fortsetzen und umsetzen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I030	B2	3	B2-S003	E169|E170|E171	Bei oberes Beckenpaar mit Zylinder, dann eine Portion ansetzen, dann diesen Posten übernehmen, dann den Posten länger ansetzen und den Schritt schließen.	Anschließend eine Portion ansetzen, dann ihn übernehmen, dann ihn länger ansetzen und den Schritt schließen.	2	Anschließend	COMMITTED_CLOSE	YES
I031	B2	4	B2-S004	E172|E173|E174|E175|E176	Bei oberes Beckenpaar mit Zylinder, dann den Posten an der Zielstelle ansetzen, dann diesen Posten am Durchlass führen, dann den Posten führen und umsetzen, dann diesen Posten länger ansetzen, dann den Posten am Durchlass kurz führen und den Schritt schließen.	Sodann ihn an der Zielstelle ansetzen, dann ihn am Durchlass führen, dann ihn führen und umsetzen, dann ihn länger ansetzen, dann ihn am Durchlass kurz führen und den Schritt schließen.	5	Sodann	COMMITTED_CLOSE	YES
I032	B2	5	B2-S005	E177|E178|E179|E180|E181|E182|E183|E184	Bei oberes Beckenpaar mit Zylinder, dann diesen Posten an der Zielstelle ansetzen, dann den Posten nach Maß auffangen, dann diesen Posten übernehmen, dann den Posten nach Maß ansetzen, dann den Arbeitsgang bis bereit kurz fortsetzen, dann diesen Posten länger wärmen, dann den Posten führen und den Schritt schließen.	Danach ihn an der Zielstelle ansetzen, dann ihn nach Maß auffangen, dann ihn übernehmen, dann ihn nach Maß ansetzen, dann den Arbeitsgang bis bereit kurz fortsetzen, dann ihn länger wärmen, dann ihn führen und den Schritt schließen.	6	Danach	COMMITTED_CLOSE	YES
I033	B2	6	B2-S006|B2-S007	E185|E186|E187|E188|E189	Bei oberes Beckenpaar mit Zylinder, dann danach diesen Posten übernehmen, dann den Posten an der Zielstelle ansetzen, dann diesen Posten am Durchlass kurz halten, dann diesen Posten ansetzen, dann ohne sichtbare Bildkante zu mittleres linkes Handgerät mit Inline-Knoten wechseln, dann den Posten kurz halten und den Schritt schließen.	Anschließend ihn übernehmen, dann ihn an der Zielstelle ansetzen, dann ihn am Durchlass kurz halten, dann ihn ansetzen, dann ohne sichtbare Bildkante zu mittleres linkes Handgerät mit Inline-Knoten wechseln, dann ihn kurz halten und den Schritt schließen.	5	Anschließend	COMMITTED_CLOSE	YES
I034	B2	7	B2-S008	E190|E191|E192	Bei mittleres linkes Handgerät mit Inline-Knoten, dann danach das Maß setzen, dann den Posten von dort ansetzen, dann den Posten absetzen und den Schritt schließen.	Sodann das Maß setzen, dann ihn von dort ansetzen, dann ihn absetzen und den Schritt schließen.	2	Sodann	COMMITTED_CLOSE	YES
I035	B2	8	B2-S009	E193	Bei mittleres linkes Handgerät mit Inline-Knoten, dann den Posten kurz fortsetzen und halten und den Schritt schließen.	Danach ihn kurz fortsetzen und halten und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I036	B2	9	B2-S010|B2-S011	E194|E195|E196|E197|E198|E199|E200|E201	Bei mittleres linkes Handgerät mit Inline-Knoten, dann diesen Posten länger ansetzen, dann diesen Posten ansetzen, dann den Posten fortsetzen, dann diesen Posten länger halten, dann ohne sichtbare Bildkante zu mittlere rechte unklare Station wechseln, dann eine Portion ansetzen, dann von dort nehmen, dann eine Portion ansetzen, dann den Posten länger ansetzen und den Schritt schließen.	Anschließend ihn länger ansetzen, dann ihn ansetzen, dann ihn fortsetzen, dann ihn länger halten, dann ohne sichtbare Bildkante zu mittlere rechte unklare Station wechseln, dann eine Portion ansetzen, dann von dort nehmen, dann eine Portion ansetzen, dann ihn länger ansetzen und den Schritt schließen.	5	Anschließend	COMMITTED_CLOSE	YES
I037	B2	10	B2-S012	E202|E203|E204|E205|E206|E207|E208|E209	Bei mittlere rechte unklare Station, dann diesen Posten führen und abziehen, dann ohne sichtbare Bildkante zu unteres grünes Mehrfigurenbecken wechseln, dann diesen Posten länger halten, dann diesen Posten bis bereit halten, dann diesen Posten länger ansetzen, dann diesen Posten länger führen, dann das Maß setzen, dann diesen Posten übernehmen, dann den Posten vollständig ansetzen und den Schritt schließen.	Sodann ihn führen und abziehen, dann ohne sichtbare Bildkante zu unteres grünes Mehrfigurenbecken wechseln, dann ihn länger halten, dann ihn bis bereit halten, dann ihn länger ansetzen, dann ihn länger führen, dann das Maß setzen, dann ihn übernehmen, dann ihn vollständig ansetzen und den Schritt schließen.	7	Sodann	COMMITTED_CLOSE	YES
I038	B2	11	B2-S013	E210	Bei unteres grünes Mehrfigurenbecken, dann den Posten führen und umsetzen und den Schritt schließen.	Danach ihn führen und umsetzen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I039	B2	12	B2-S014|B2-S015	E211|E212|E213	Bei unteres grünes Mehrfigurenbecken, dann den Posten von dort führen, dann ohne sichtbare Bildkante zu kleine Randstationen des unteren Beckens wechseln, dann diesen Posten kurz halten, dann den Posten länger ansetzen und den Schritt schließen.	Anschließend ihn von dort führen, dann ohne sichtbare Bildkante zu kleine Randstationen des unteren Beckens wechseln, dann ihn kurz halten, dann ihn länger ansetzen und den Schritt schließen.	3	Anschließend	COMMITTED_CLOSE	YES
I040	B2	13	B2-S016	E214|E215|E216|E217|E218|E219|E220|E221	Bei kleine Randstationen des unteren Beckens, dann die Zielstelle setzen, dann den Posten von dort führen und umsetzen, dann den Posten kurz abziehen und teilen, dann das Maß setzen, dann danach diesen Posten übernehmen, dann den Posten nach Maß ansetzen, dann diesen Posten kurz ansetzen, dann den Posten hineingeben und umsetzen und den Schritt schließen.	Sodann die Zielstelle setzen, dann ihn von dort führen und umsetzen, dann ihn kurz abziehen und teilen, dann das Maß setzen, danach ihn übernehmen, dann ihn nach Maß ansetzen, dann ihn kurz ansetzen, dann ihn hineingeben und umsetzen und den Schritt schließen.	6	Sodann	COMMITTED_CLOSE	YES
I041	B2	14	B2-S017	E222|E223	Bei kleine Randstationen des unteren Beckens, dann den Posten an der Zielstelle kurz abkühlen und halten, dann die Zielstelle setzen und den Schritt schließen.	Danach ihn an der Zielstelle kurz abkühlen und halten, dann die Zielstelle setzen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I042	B2	15	B2-S018	E224	Bei kleine Randstationen des unteren Beckens, dann den Posten länger ansetzen und den Schritt schließen.	Anschließend ihn länger ansetzen und den Schritt schließen.	1	Anschließend	COMMITTED_CLOSE	YES
I043	B2	16	B2-S019	E225	Bei kleine Randstationen des unteren Beckens, dann den Posten abkühlen und absetzen und den Schritt schließen.	Sodann ihn abkühlen und absetzen und den Schritt schließen.	1	Sodann	COMMITTED_CLOSE	YES
I044	B2	17	B2-S020	E226	Bei kleine Randstationen des unteren Beckens, dann danach den Posten bearbeiten und den Schritt schließen.	Danach ihn bearbeiten und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I045	B2	18	B2-S021	E227	Bei kleine Randstationen des unteren Beckens, dann den Posten länger ansetzen und den Schritt schließen.	Anschließend ihn länger ansetzen und den Schritt schließen.	1	Anschließend	COMMITTED_CLOSE	YES
I046	B2	19	B2-S022	E228	Bei kleine Randstationen des unteren Beckens, dann den Arbeitsgang führen und umsetzen und den Schritt schließen.	Sodann den Arbeitsgang führen und umsetzen und den Schritt schließen.	0	Sodann	COMMITTED_CLOSE	YES
I047	B3	1	B3-S001	E229	Bei obere offene Fächerstation am Rand, dann den Posten länger auffangen und den Schritt schließen.	Zuerst den Posten länger auffangen und den Schritt schließen.	0	Zuerst	COMMITTED_CLOSE	YES
I048	B3	2	B3-S002	E230|E231	Bei obere offene Fächerstation am Rand, dann danach die Zielstelle setzen, dann den Posten länger wärmen und den Schritt schließen.	Danach die Zielstelle setzen, dann ihn länger wärmen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
I049	B3	3	B3-S003	E232|E233|E234|E235	Bei obere offene Fächerstation am Rand, dann diesen Posten übernehmen, dann das Maß setzen, dann diesen Posten übernehmen, dann den Posten führen und umsetzen und den Schritt schließen.	Anschließend ihn übernehmen, dann das Maß setzen, dann ihn übernehmen, dann ihn führen und umsetzen und den Schritt schließen.	3	Anschließend	COMMITTED_CLOSE	YES
I050	B3	4	B3-S004|B3-S005	E236|E237|E238|E239	Bei obere offene Fächerstation am Rand, dann den Posten nach Maß ansetzen, dann danach die Zielstelle setzen, dann von dort nehmen, dann ohne sichtbare Bildkante zu mittlere Randfigur im runden Gefäß wechseln, dann den Posten umsetzen und den Schritt schließen.	Sodann ihn nach Maß ansetzen, danach die Zielstelle setzen, dann von dort nehmen, dann ohne sichtbare Bildkante zu mittlere Randfigur im runden Gefäß wechseln, dann ihn umsetzen und den Schritt schließen.	2	Sodann	COMMITTED_CLOSE	YES
I051	B3	5	B3-S006	E240|E241|E242	Bei mittlere Randfigur im runden Gefäß, dann diesen Posten umsetzen, dann den Posten an der Zielstelle ansetzen, dann den Posten fortsetzen und umsetzen und den Schritt schließen.	Danach ihn umsetzen, dann ihn an der Zielstelle ansetzen, dann ihn fortsetzen und umsetzen und den Schritt schließen.	3	Danach	COMMITTED_CLOSE	YES
I052	B3	6	B3-S007	E243|E244|E245	Bei mittlere Randfigur im runden Gefäß, dann den Posten nach Maß ansetzen, dann diesen Posten umsetzen, dann den Posten länger ansetzen und den Schritt schließen.	Anschließend ihn nach Maß ansetzen, dann ihn umsetzen, dann ihn länger ansetzen und den Schritt schließen.	3	Anschließend	COMMITTED_CLOSE	YES
I053	B3	7	B3-S008	E246	Bei mittlere Randfigur im runden Gefäß, dann den Posten führen und umsetzen und den Schritt schließen.	Sodann ihn führen und umsetzen und den Schritt schließen.	1	Sodann	COMMITTED_CLOSE	YES
I054	B3	8	B3-S009|B3-S010	E247|E248|E249	Bei mittlere Randfigur im runden Gefäß, dann diesen Posten ansetzen, dann ohne sichtbare Bildkante zu untere Randfigur im korbartigen Gefäß wechseln, dann den Posten an der Zielstelle hineingeben und umsetzen, dann danach den Posten bearbeiten und den Schritt schließen.	Danach ihn ansetzen, dann ohne sichtbare Bildkante zu untere Randfigur im korbartigen Gefäß wechseln, dann ihn an der Zielstelle hineingeben und umsetzen, danach ihn bearbeiten und den Schritt schließen.	3	Danach	COMMITTED_CLOSE	YES
I055	B3	9	B3-S011|B3-S012	E250|E251|E252|E253|E254|E255	Bei untere Randfigur im korbartigen Gefäß, dann diesen Posten bis bereit kurz halten und umsetzen, dann diesen Posten ansetzen, dann diesen Posten umsetzen, dann von dort nehmen, dann den Ansatz verwenden, dann den Posten absetzen und den Schritt schließen.	Anschließend ihn bis bereit kurz halten und umsetzen, dann ihn ansetzen, dann ihn umsetzen, dann von dort nehmen, dann den Ansatz verwenden, dann ihn absetzen und den Schritt schließen.	4	Anschließend	COMMITTED_CLOSE	YES
I056	B3	10	B3-S013	E256|E257|E258|E259	Bei untere Randfigur im korbartigen Gefäß, dann den Posten nach Maß ansetzen, dann eine Portion zuführen, dann diesen Posten bis bereit halten, dann den Posten kurz ansetzen und den Schritt schließen.	Sodann ihn nach Maß ansetzen, dann eine Portion zuführen, dann ihn bis bereit halten, dann ihn kurz ansetzen und den Schritt schließen.	3	Sodann	COMMITTED_CLOSE	YES
I057	B3	11	B3-S014	E260|E261	Bei untere Randfigur im korbartigen Gefäß, dann den Posten im Lauf ansetzen, dann den Posten länger halten und den Schritt schließen.	Danach ihn im Lauf ansetzen, dann ihn länger halten und den Schritt schließen.	2	Danach	COMMITTED_CLOSE	YES
I058	B3	12	B3-S015	E262	Bei untere Randfigur im korbartigen Gefäß, dann den Posten führen und umsetzen und den Schritt schließen.	Anschließend ihn führen und umsetzen und den Schritt schließen.	1	Anschließend	COMMITTED_CLOSE	YES
I059	B3	13	B3-S016	E263|E264	Bei untere Randfigur im korbartigen Gefäß, dann den Arbeitsgang führen, dann ohne sichtbare Bildkante zu unverbundener Zwischenbereich wechseln, dann den Posten ansetzen und umsetzen und den Schritt schließen.	Sodann den Arbeitsgang führen, dann ohne sichtbare Bildkante zu unverbundener Zwischenbereich wechseln, dann ihn ansetzen und umsetzen und den Schritt schließen.	1	Sodann	COMMITTED_CLOSE	YES
I060	B3	14	B3-S017	E265	Bei unverbundener Zwischenbereich, dann den Posten länger ansetzen und den Schritt schließen.	Danach ihn länger ansetzen und den Schritt schließen.	1	Danach	COMMITTED_CLOSE	YES
